seq,page,form,meaning_zho,source_table,affix_form,affix_function_zho,base_form,base_meaning_zho,source_context,raw_ocr,retained_xml_id,note,status
445,158,mu-cebu,尿床、尿褲子,table 102,mu-,動詞化,cebu,膀胱,mu- | cebu | 膀胱 | 動詞化,mu-cebu〔mu-膀胱〕（尿床、永 | mu-名詞 | 動詞化功能 | 445 | mU- | 褲子）,AKIW_SZY_2012_TABLE_ROW_112,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
446,158,pa-baybay,掛蚊帳,table 102,pa-,動詞化,baybay,蚊帳,pa- | baybay | 蚊帳 | 動詞化,動詞化功能 | 446 | pa-名詞 | V | pa-baybay〔pa-蚊帳〕（掛蚊帳） | pa-,AKIW_SZY_2012_TABLE_ROW_143,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
447,158,pi-nanum,要喝水！,table 102,pi-,動詞化，表祈使,nanum,水,pi- | nanum | 水 | 動詞化，表祈使,動詞化功能，表祈 | 447 pi- | pi-名詞 | < | pi-nanum〔pi-水〕（要喝水！） | 使,AKIW_SZY_2012_TABLE_ROW_162,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
448,158,si-apuk,有石灰,table 102,si-,有（擁有、存在有）,apuk,石灰,si- | apuk | 石灰 | 有（擁有、存在有）,si-名詞 | 有（擁有、存在有） | 448 | V | si-apuk［si-石灰〕（有石灰）,AKIW_SZY_2012_TABLE_ROW_188,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
449,158,si-bakan,帶刀,table 102,si-,攜帶,bakan,刀,si- | bakan | 刀 | 攜帶,衍生有「攜帶」之 | si-名詞 | < | 449 | si-bakan〔si-刀〕（帶刀） | 意,AKIW_SZY_2012_TABLE_ROW_198,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
450,158,si-buut,戴頭飾,table 102,si-,穿戴,buut,頭飾,si- | buut | 頭飾 | 穿戴,衍生有「穿戴」之 | si- | si-名詞 | 450 | si-buut〔si-頭飾〕（戴頭飾） | 意,AKIW_SZY_2012_TABLE_ROW_203,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
451,158,si-balu,開花,table 102,si-,產生、長,balu,花,si- | balu | 花 | 產生、長,衍生有「產生、長」 | si-名詞 | 451 | si-balu［si-花〕（開花） | 之意,AKIW_SZY_2012_TABLE_ROW_210,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
452,158,ta-amis,往北,table 102,ta-,方向性,amis,北,ta- | amis | 北 | 方向性,452 | ta-方向詞 | ta-amis 〔ta-北〕（往北） | 動詞化功能，表方,AKIW_SZY_2012_TABLE_ROW_224,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
453,158,ta-luma',回家,table 102,ta-,方向性,luma',家,ta- | luma' | 家 | 方向性,動詞化功能，表方 | ta-名詞 | 453 | ta-luma'〔ta-家〕（回家） | ta- | 向性,AKIW_SZY_2012_TABLE_ROW_231,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
454,158,ta-cuwa,去哪裡？,table 102,ta-,方向性,cuwa,哪裡,ta- | cuwa | 哪裡 | 方向性,ta-疑問詞 | 454 | ta-cuwa〔ta-哪裡〕（去哪裡？）,AKIW_SZY_2012_TABLE_ROW_234,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
455,158,atip-en,去夾！,table 102,-en,命令行為,atip,筷子,-en | atip | 筷子 | 命令行為,命令行為 | 名詞-en | 455 | atip-en〔筷子-en〕（去夾！） | -en,AKIW_SZY_2012_TABLE_ROW_334,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
456,159,ni-'neng,坐姿,table 103,ni-,名物化,'neng,坐,ni- | 'neng | 坐 | 名物化,性性 | 名物化功能 | 456 | ni-動詞 | ni- | ni-neng〔ni-坐〕（坐姿）,AKIW_SZY_2012_TABLE_ROW_136,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
457,159,sa-asik,掃把,table 103,sa-,工具,asik,掃,sa- | asik | 掃 | 工具,表示「工具」 | 457 | sa-asik 〔sa-掃〕（掃把） | sa-動詞,AKIW_SZY_2012_TABLE_ROW_171,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
458,159,sa-ading,後盾,table 103,sa-,名物化,ading,保護,sa- | ading | 保護 | 名物化,sa- | 458 | 名物化功能 | sa-ading〔sa-保護〕（後盾）,AKIW_SZY_2012_TABLE_ROW_179,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
459,159,enep-an,淹沒處,table 103,-an,處所或地方,enep,淹沒,-an | enep | 淹沒 | 處所或地方,459 | 動詞-an | 表示「⋯處（地方）」 | enep-an〔淹沒-an〕（淹沒處） | -an,AKIW_SZY_2012_TABLE_ROW_286,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
460,159,imelang-ay,病人,table 103,-ay,動作行為的施事者,imelang,病,-ay | imelang | 病 | 動作行為的施事者,動作行為的施事者 | 460 | 動詞-ay | imelang-ay〔病-ay〕（病人）,AKIW_SZY_2012_TABLE_ROW_305,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
461,159,lima-ay,五的,table 103,-ay,數詞名物化,lima,五,-ay | lima | 五 | 數詞名物化,-ay | 數詞-ay | 名物化功能 | 461 | lima-ay〔五-ay〕（五的）,AKIW_SZY_2012_TABLE_ROW_312,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
462,160,ka-bilil,要勤快一點！,table 104,ka-,輕微命令,bilil,勤,ka- | bilil | 勤 | 輕微命令,性性 | 輕微命令 | 462 ka- | ka-動詞 | ka-bilil 〔ka-勤〕（要勤快一點！）,AKIW_SZY_2012_TABLE_ROW_010,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
463,160,pa-cepcep,使之吸！,table 104,pa-,使役動詞,cepcep,吸、吻,pa- | cepcep | 吸、吻 | 使役動詞,pa-名詞 | 463 | pa-cepcep〔pa-吸、吻〕（使之吸！）,AKIW_SZY_2012_TABLE_ROW_155,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
464,160,pa-tizeng,使之站立！,table 104,pa-,使役動詞,tizeng,站,pa- | tizeng | 站 | 使役動詞,pa-動詞 | 464 | pa-tizeng 〔pa-站〕（使之站立！） | 使役動詞 | pa-,AKIW_SZY_2012_TABLE_ROW_160,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
465,160,pa-bangsis,使之散發香味！,table 104,pa-,使役動詞,bangsis,香味,pa- | bangsis | 香味 | 使役動詞,pa-bangsis〔pa-香味〕（使之散發 | pa-靜態動詞 | 465 | 香味！）,AKIW_SZY_2012_TABLE_ROW_161,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
466,160,pi-nanum,要喝水！,table 104,pi-,動詞化，表祈使,nanum,水,pi- | nanum | 水 | 動詞化，表祈使,動詞化功能， | pi-名詞 | 466 | pi-nanum 〔pi-水〕（要喝水！）,AKIW_SZY_2012_TABLE_ROW_162,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
467,160,pi-tais,去縫製！,table 104,pi-,動詞化，表祈使,tais,縫製,pi- | tais | 縫製 | 動詞化，表祈使,pi- | pi-動詞 | 表祈使 | 467 | pi-tais〔pi-縫製〕（去縫製！）,AKIW_SZY_2012_TABLE_ROW_167,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
468,160,tizeng-a,請站立,table 104,-a,勸使,tizeng,站,-a | tizeng | 站 | 勸使,動詞-a | 勸使的用法 | 468 | tizeng-a〔站-a〕（請站立） | -a,AKIW_SZY_2012_TABLE_ROW_283,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
469,160,namuh-aw,要敬愛！,table 104,-aw,勸使,namuh,高興、喜歡,-aw | namuh | 高興、喜歡 | 勸使,帶有「勸使」 | 469 | namuh-aw〔高興、喜歡-aw〕（要 | 動詞-aw | -aw | 的用法,AKIW_SZY_2012_TABLE_ROW_303,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
470,160,angic-en,哭出來！,table 104,-en,命令行為,angic,哭,-en | angic | 哭 | 命令行為,敬愛！） | 470 | 動詞-en | angic-en〔哭-en〕（哭出來！）,AKIW_SZY_2012_TABLE_ROW_329,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
471,160,atip-en,去夾！,table 104,-en,命令行為,atip,筷子,-en | atip | 筷子 | 命令行為,471 | 命令行為 | 名詞-en | atip-en〔筷子-en〕（去夾！） | -en,AKIW_SZY_2012_TABLE_ROW_334,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
472,160,apuyu'-en,縮短！,table 104,-en,命令行為,apuyu',短,-en | apuyu' | 短 | 命令行為,472 | 靜態動詞-en | apuyu'-en〔短-en〕（縮短！）,AKIW_SZY_2012_TABLE_ROW_339,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
473,160,nanam-i,要學習！,table 104,-i,加強語氣、使役,nanam,學習,-i | nanam | 學習 | 加強語氣、使役,加強語氣、使 | 473 | -i | 動詞-i | nanam-i〔學習-i〕（要學習！） | 役 | 表104中我們可以看到共有七種詞綴可以表示祈使、命令的用法，而這七 | 種詞綴表示使役的強弱主要是依語氣與語境會有所差別。 | 表示處所與方位詞綴 | 四、,AKIW_SZY_2012_TABLE_ROW_345,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
474,160,ka-wili,左邊,table 105,ka-,方位,wili,左,ka- | wili | 左 | 方位,處所、方位詞綴一共有二種，包括前綴ka-、後綴-an。我們將這二種詞綴出 | 現的環境、詞綴的分類、詞綴的用法及語意和例子，整理如表105所列： | 表105 處所、方位詞綴 | 詞功 | 出現的環境 | 用法及語意 | 序號 | 詞綴 | 彙能 | 例子 | 性 | 474 ka- | ka-方位詞 | 方位 | ka-wili［ka-左〕（左邊）,AKIW_SZY_2012_TABLE_ROW_026,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
475,160,adidem-an,桑樹園,table 105,-an,處所或地方,adidem,桑樹,-an | adidem | 桑樹 | 處所或地方,表示「⋯處（地 | 475 | 名詞-an | adidem-an ［桑樹-an〕（桑樹園）,AKIW_SZY_2012_TABLE_ROW_284,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
476,160,paluma-an,種的地方,table 105,-an,處所或地方,paluma,種,-an | paluma | 種 | 處所或地方,-an | 476 | 動詞-an | 方）」 | paluma-an［種-an〕（種的地方）,AKIW_SZY_2012_TABLE_ROW_287,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
477,161,a-mumul,即將出發,table 106,a-,即將進行,mumul,出發、走,a- | mumul | 出發、走 | 即將進行,性 | 性 | a-動詞 | 477 | a-mumul〔a-出發〕（即將出發） | 表示「即將進行」,AKIW_SZY_2012_TABLE_ROW_001,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
478,161,a-sawni,等一下,table 106,a-,即將進行,sawni,剛,a- | sawni | 剛 | 即將進行,a- | 2-時間副詞 | 478 | a-sawni ［a-剛〕（等一下）,AKIW_SZY_2012_TABLE_ROW_007,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
479,161,anu-sandeb,今晚,table 106,anu-,下一個（表未來）,sandeb,夜晚,anu- | sandeb | 夜晚 | 下一個（表未來）,anu-時間詞 | 下一個（表未來） | 479 | anu-sandeb ［anu-夜晚〕（今晚） | V | anu- | 時間已過去、指,AKIW_SZY_2012_TABLE_ROW_238,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
480,161,na-cila,昨天,table 106,na-,時間已過去或指定過去的某一個時段,cila,之前的日子,na- | cila | 之前的日子 | 時間已過去或指定過去的某一個時段,na-時間副詞 | 過去的某一個時 | ：na-cilal na-之前的日子X昨天） | 480 | 段 | na-,AKIW_SZY_2012_TABLE_ROW_124,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
481,161,na-paluma,種過了,table 106,na-,動作或事件已完成,paluma,種,na- | paluma | 種 | 動作或事件已完成,動作或事件已完 | 481 | na-動詞 | na-paluma 〔na-種〕（種過了） | 成,AKIW_SZY_2012_TABLE_ROW_134,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
482,162,ka-laway,大嘴巴,table 107,ka-,突顯、強調，有「很」、「大」之意,laway,嘴巴,ka- | laway | 嘴巴 | 突顯、強調，有「很」、「大」之意,ka-laway ［ka-嘴巴〕（大 | ^ | ka-名詞 | 突顯、強調有 | 482 | 嘴巴） | 「很」「大」之,AKIW_SZY_2012_TABLE_ROW_020,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
483,162,ka-tenes,要很久,table 107,ka-,突顯、強調，有「很」、「大」之意,tenes,久,ka- | tenes | 久 | 突顯、強調，有「很」、「大」之意,ka- | ka-tenes〔ka-久〕（要很 | ka-靜態動詞 | 意 | 483 | 久）,AKIW_SZY_2012_TABLE_ROW_021,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
484,162,sa-aledah,很辣,table 107,sa-,強調、加強，有「很」之意,aledah,辣,sa- | aledah | 辣 | 強調、加強，有「很」之意,強調、加強，有 | sa-靜態動詞 | 484 | V | sa-aledah［ sa-辣〕（很辣） | sa- | 「很」之意,AKIW_SZY_2012_TABLE_ROW_182,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
485,162,tada-limulak,非常高興,table 107,tada-,真的、非常的,limulak,高興,tada- | limulak | 高興 | 真的、非常的,tada-limulak［ tada-高興〕 | 485 | tada-動詞 | （非常高興）,AKIW_SZY_2012_TABLE_ROW_264,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
486,162,tada-mabatad,有夠遠,table 107,tada-,真的、非常的,mabatad,遠,tada- | mabatad | 遠 | 真的、非常的,真的、非常的 | tada- | 486 | tada-mabatad〔tada-遠〕 | tada-靜態動詞 | （有夠遠）,AKIW_SZY_2012_TABLE_ROW_265,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
487,162,tanu-atimela,很多跳蚤,table 107,tanu-,很多、加強，有「很」、「大」之意,atimela,跳蚤,tanu- | atimela | 跳蚤 | 很多、加強，有「很」、「大」之意,487 | tanu-atimela［ tanu-跳蚤〕 | tanu-名詞 | （很多跳蚤）,AKIW_SZY_2012_TABLE_ROW_267,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
488,162,tanu-tuwa',大聲吼,table 107,tanu-,很多、加強，有「很」、「大」之意,tuwa',吼,tanu- | tuwa' | 吼 | 很多、加強，有「很」、「大」之意,tanu-/ | 488 | tanu-tuwa'［tanu-吼〕（大 | tanu-動詞 | 很多、加強 | 聲吼）,AKIW_SZY_2012_TABLE_ROW_276,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
489,162,tanu-uning,很髒,table 107,tanu-,很多、加強，有「很」、「大」之意,uning,髒,tanu- | uning | 髒 | 很多、加強，有「很」、「大」之意,tunu- | 489 | tanu-uning［tanu-髒〕很 | tanu-靜態動詞 | 髒）,AKIW_SZY_2012_TABLE_ROW_277,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
490,163,ma-palaw-ay,祭司,table 108,ma-...-ay,動作行為的施事者或狀態或性質,palaw,舞,ma-...-ay | palaw | 舞 | 動作行為的施事者或狀態或性質,序號 | 與文化相關詞彙 | 詞綴 | 490 | ma-••-ay | ma-palaw-ay〔ma-舞-ay〕（祭司）,AKIW_SZY_2012_TABLE_ROW_370,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
491,163,ma-la-wacu,虛弱,table 108,ma-la-,文化相關詞彙,wacu,狗,ma-la- | wacu | 狗 | 文化相關詞彙,491 | ma-la- | ma-la-wacu〔ma-la-狗〕（虛弱）,,Page-image reviewed late summary/comparison table row.,include
492,163,ma-lalikid,豐年祭,table 108,ma-,文化相關詞彙,lalikid,被流走,ma- | lalikid | 被流走 | 文化相關詞彙,492 | ma-lalikid〔ma-被流走〕（豐年祭） | ma-,,Page-image reviewed late summary/comparison table row.,include
493,163,pa-habay,養育、餵養,table 108,pa-,文化相關詞彙,habay,小米,pa- | habay | 小米 | 文化相關詞彙,493 | pa-habay〔pa-小米〕（養育、餵養） | pa-,,Page-image reviewed late summary/comparison table row.,include
494,163,pa-sepi,給予祝福,table 108,pa-,使役動詞,sepi,夢，延伸爲運氣、祝福,pa- | sepi | 夢，延伸爲運氣、祝福 | 使役動詞,pa-sepi〔pa-夢〕（給予祝福） | 494 | pa-,AKIW_SZY_2012_TABLE_ROW_151,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
495,163,si-sepi,有福氣的,table 108,si-,文化相關詞彙,sepi,夢,si- | sepi | 夢 | 文化相關詞彙,si-sepi〔si-夢〕（有福氣的） | si- | 495,,Page-image reviewed late summary/comparison table row.,include
496,163,mu-sepi-ay,幸運的,table 108,mu-...-ay,文化相關詞彙,sepi,夢,mu-...-ay | sepi | 夢 | 文化相關詞彙,mu-sepi-ay 〔mu-夢-ay〕（幸運的） | mu-•••-ay | 496,,Page-image reviewed late summary/comparison table row.,include
497,166,ha-min,全部,table 109,ha-,動詞化,amin,全部的,ha- | amin | 全部的 | 動詞化,497ha- 動詞化詞綴 | ha-min〔ha-全部的〕（全部） | ha-emin 〔ha-全部的〕（全部） | 同,AKIW_SZY_2012_TABLE_ROW_008,Page-image reviewed exact FORM repeat; the retained XML record receives this row's source meaning as a source-located alternate translation when distinct. Retained in akiw_2012_sakizaya_affixes_table_rows.xml.,excluded_exact_repeat
