status,example,subexample,page,form,word_form,raw_form,source_judgement,retained_xml_id,translation_zho,raw_ocr_gloss,source_gloss,aligned_gloss_tokens_zho,ocr_match_score,ocr_note,note
include,11,,35,mi-lubu ci bayi tu ciwciw.,mi-lubu ci bayi tu ciwciw.,mi-lubu ci bayi tu ciwciw.,,,阿姨正在關小雞。,主焦-關 主格 阿姨 斜格 小雞,主焦-關 主格 阿姨 斜格 小雞,"[""主焦-關"",""主格"",""阿姨"",""斜格"",""小雞""]",1.000,,
include,12,,36,mi-asip kaku tu cudad.,mi-asip kaku tu cudad.,mi-asip kaku tu cudad.,,,我在念書。,主焦-讀書 我.主格 刹格 書,主焦-讀書 我.主格 斜格 書,"[""主焦-讀書"",""我.主格"",""斜格"",""書""]",1.000,,
include,13,,36,ni-mi-cakay-an aku kuyni a udu'.,ni-mi-cakay-an aku kuyni a udu'.,ni-mi-cakay-an aku kuyni a udu'.,,,這是我買的項鍊。,NI-主焦-買-AN 我屬格 這 繫詞 項鍊,NI-主焦-買-AN 我.屬格 這 繫詞 項鍊,"[""NI-主焦-買-AN"",""我.屬格"",""這"",""繫詞"",""項鍊""]",1.000,,
include,14,,36,nguhit sa kiya wawa mi-azih takuwan.,nguhit sa kiya wawa mi-azih takuwan.,nguhit sa kiya wawa mi-azih takuwan.,,,那女孩微笑看著我。,微笑 SA 那 小孩 主焦-看我斜格,微笑 SA 那 小孩 主焦-看 我.斜格,"[""微笑"",""SA"",""那"",""小孩"",""主焦-看"",""我.斜格""]",1.000,PDF page-image verified interlinear column alignment.,
include,15,,37,ma-duka ku abala nu maku.,ma-duka ku abala nu maku.,ma-duka ku abala nu maku.,,,我的肩膀受傷了。,主焦-傷 主格 肩膀 屬格 M-我.屬格,主焦-傷 主格 肩膀 屬格 M-我.屬格,"[""主焦-傷"",""主格"",""肩膀"",""屬格"",""M-我.屬格""]",0.974,PDF page-image correction: 肩膀 restored from OCR 肩牓.,
include,16,,37,mi-amay kiya wawa tu piyang i takuwanan.,mi-amay kiya wawa tu piyang i takuwanan.,mi-amay kiya wawa tu piyang i takuwanan.,,,那小孩向我要糖果。,主焦-要求那小孩 ：斜格 糖果 處所格 我斜格-AN,主焦-要求 那 小孩 斜格 糖果 處所格 我.斜格-AN,"[""主焦-要求"",""那"",""小孩"",""斜格"",""糖果"",""處所格"",""我.斜格-AN""]",0.952,PDF page-image verified interlinear column alignment.,
include,17,a,38,mi-cebus tu lami' ci bayi.,mi-cebus tu lami' ci bayi.,mi-cebus tu            lami'           ci          bayi.,,,阿嬤在澆菜。,主焦-澆 斜格 菜 主格 阿嬤,主焦-澆 斜格 菜 主格 阿嬤,"[""主焦-澆"",""斜格"",""菜"",""主格"",""阿嬤""]",0.927,,
include,17,b,38,ma-talaw kaku tu alisalap.,ma-talaw kaku tu alisalap.,ma-talaw      kaku             tu           alisalap.,,,我很怕蜈蚣。,主焦-害怕 我，主格 斜格 蜈蚣,主焦-害怕 我.主格 斜格 蜈蚣,"[""主焦-害怕"",""我.主格"",""斜格"",""蜈蚣""]",0.978,,
include,17,c,38,mu-celem tu ku cilal.,mu-celem tu ku cilal.,mu-celem      tu               ku           cilal.,,,太陽西下。,主焦-沉入 已經 主格 太陽,主焦-沉入 已經 主格 太陽,"[""主焦-沉入"",""已經"",""主格"",""太陽""]",0.971,,
include,17,d,38,∅-imelang ci Taymu kiyu si-dinget.,∅-imelang ci Taymu kiyu si-dinget.,ø-imelang     ci               Taymu        kiyu           si-dinget.,,,Taymu 生病所以流鼻涕。,生病 主格 人名 所以 流-鼻涕,生病 主格 人名 所以 流-鼻涕,"[""生病"",""主格"",""人名"",""所以"",""流-鼻涕""]",0.966,,PDF pages 17-18 print ø- as the agent-focus prefix and in example 17d; canonicalized to ∅.
include,18,a,38,ma-ideng nu cilal ku mata.,ma-ideng nu cilal ku mata.,ma-ideng      nu               cilal        ku             mata.,,,陽光刺眼。,受焦-閃光 屬格 太陽 主格 眼睛,受焦-閃光 屬格 太陽 主格 眼睛,"[""受焦-閃光"",""屬格"",""太陽"",""主格"",""眼睛""]",0.977,Expert XML review removed a parenthetical explanatory expansion.,
include,18,b,38,muku-en ni Asing ku tabi.,muku-en ni Asing ku tabi.,muku-en ni             Asing           ku          tabi.,,,Asing 扛牛犁。,扛-受焦 屬格人名 主格 犁具,扛-受焦 屬格 人名 主格 犁具,"[""扛-受焦"",""屬格"",""人名"",""主格"",""犁具""]",0.976,,
include,18,c,38,balud-han ni Kacaw ku kasuy.,balud-han ni Kacaw ku kasuy.,balud-han     ni               Kacaw        ku             kasuy.,,,Kacaw 將木材綑綁起來。,綁-受焦 屬格 人名 主格 木材,綁-受焦 屬格 人名 主格 木材,"[""綁-受焦"",""屬格"",""人名"",""主格"",""木材""]",0.979,,
include,19,a,39,sa-pi-sulac nu babalaki tu siuy ku katus.,sa-pi-sulac nu babalaki tu siuy ku katus.,sa-pi-sulac           nu                babalaki tu                siuy             ku            katus.,,,木賊是長輩用來刷鍋子用的。,工焦-刷 屬格 長輩 斜格 鍋子 主格 木賊,工焦-刷 屬格 長輩 斜格 鍋子 主格 木賊,"[""工焦-刷"",""屬格"",""長輩"",""斜格"",""鍋子"",""主格"",""木賊""]",0.986,,
include,19,b,39,u canan ku sa-ka-tayza nu mita i ca-cudad-an?,u canan ku sa-ka-tayza nu mita i ca-cudad-an?,u                 canan ku                   sa-ka-tayza           nu               mita i                ca-cudad-an?,,,我們怎麼去學校？,處所格 CA 重疊-書-處焦,普名標記 什麼 主格 工焦-去哪裡 屬格 m-我們.包含式 處所格 CA 重疊-書-處焦,"[""普名標記"",""什麼"",""主格"",""工焦-去哪裡"",""屬格"",""m-我們.包含式"",""處所格"",""CA 重疊-書-處焦""]",0.949,PDF page-image verified interlinear column alignment.,
include,20,a,39,enep-an nu balad ku laku.,enep-an nu balad ku laku.,enep-an nu                     balad         ku               laku.,,,洪水淹沒水田。,淹-處焦 屬格 洪水 主格 水田,淹-處焦 屬格 洪水 主格 水田,"[""淹-處焦"",""屬格"",""洪水"",""主格"",""水田""]",0.976,,
include,20,b,39,pi-atal-an tu nanum ku caykeng.,pi-atal-an tu nanum ku caykeng.,pi-atal-an            tu                nanum       ku             caykeng.,,,水缸是舀水的地方。,PI-裝水-處焦 斜格 水 主格 水缸,PI-裝水-處焦 斜格 水 主格 水缸,"[""PI-裝水-處焦"",""斜格"",""水"",""主格"",""水缸""]",0.981,,
include,21,a,53,paluma kaku tu paza' i nu zikuz-an nu luma'.,paluma kaku tu paza' i nu zikuz-an nu luma'.,paluma kaku                  tu    paza'        i    nu        zikuz-an      nu    luma'.,,,我在我家後院種香蕉。,種 我.主格 斜格香蕉 處所格 屬格 後面-處焦 屬格 家,種 我.主格 斜格 香蕉 處所格 屬格 後面-處焦 屬格 家,"[""種"",""我.主格"",""斜格"",""香蕉"",""處所格"",""屬格"",""後面-處焦"",""屬格"",""家""]",0.986,,
include,21,b,53,a-paluma kaku tu apalu i umah.,a-paluma kaku tu apalu i umah.,a-paluma               kaku         tu        apalu     i         umah.,,,我將要去田裡種麵包樹。,即將-種我.主格 斜格 麵包樹 處所格 田,即將-種 我.主格 斜格 麵包樹 處所格 田,"[""即將-種"",""我.主格"",""斜格"",""麵包樹"",""處所格"",""田""]",0.980,,
include,22,a,54,na-lawlaw i sawni ma-sa-tezep tu ayza.,na-lawlaw i sawni ma-sa-tezep tu ayza.,na-lawlaw        i           sawni ma-sa-tezep                tu        ayza.,,,剛剛很吵現在安靜下來了。,過去-吵 處所格 剛才 MA-SA-安靜 完成貌 現在,過去-吵 處所格 剛才 MA-SA-安靜 完成貌 現在,"[""過去-吵"",""處所格"",""剛才"",""MA-SA-安靜"",""完成貌"",""現在""]",0.985,,
include,22,b,54,ka-tayni a-sawni i pi-sa-ka-kawaw-an aku.,ka-tayni a-sawni i pi-sa-ka-kawaw-an aku.,ka-tayni a-sawni                i          pi-sa-ka-kawaw-an            aku.,,,等一下來我工作的地方。,命令-來即將-剛扌 處所格 PI-SA-KA-工作-處焦 我.屬格,命令-來 即將-剛才 處所格 PI-SA-KA-工作-處焦 我.屬格,"[""命令-來"",""即將-剛才"",""處所格"",""PI-SA-KA-工作-處焦"",""我.屬格""]",0.986,PDF page-image verified interlinear column alignment.,
include,23,a,55,pa-la-lamel han kiya lami' amin.,pa-la-lamel han kiya lami' amin.,pa-la-lamel                   han     kiya      lami'         amin.,,,把全部的菜都混在一起。,使役-重疊-混 助詞 那個 菜 全部的,使役-重疊-混 助詞 那個 菜 全部的,"[""使役-重疊-混"",""助詞"",""那個"",""菜"",""全部的""]",0.982,Expert XML review corrected 茶 to 菜 from the source.,
include,23,b,55,ha-min han pa-la-lamel kiya lami'.,ha-min han pa-la-lamel kiya lami'.,ha-min                  han          pa-la-lamel              kiya        lami'. 26,,,把菜全部都混在一起。,HA-全部的 助詞 使役-重疊-混 那個 菜,HA-全部的 助詞 使役-重疊-混 那個 菜,"[""HA-全部的"",""助詞"",""使役-重疊-混"",""那個"",""菜""]",0.966,,
include,23,c,55,ha-min han mu-kan kiya hemay.,ha-min han mu-kan kiya hemay.,ha-min                 han           mu-kan             kiya         hemay      .,,,（飯）全部都吃掉。,HA-全部的 助詞 主焦-吃（那個飯）,HA-全部的 助詞 主焦-吃 那個 飯,"[""HA-全部的"",""助詞"",""主焦-吃"",""那個"",""飯""]",0.980,PDF page-image verified interlinear column alignment.,
include,24,a,57,zahkez sa kaku izau kisu.,zahkez sa kaku izau kisu.,zahkez sa           kaku            izau     kisu.,,,有你在我就放心了。,放心 SA 我.主格 有 你.主格,放心 SA 我.主格 有 你.主格,"[""放心"",""SA"",""我.主格"",""有"",""你.主格""]",0.976,,
include,24,b,57,ka-zahkez tu kisu!,ka-zahkez tu kisu!,ka-zahkez            tu              kisu!,,,你放心吧！,命令-放心 完成貌 你.主格,命令-放心 完成貌 你.主格,"[""命令-放心"",""完成貌"",""你.主格""]",0.968,,
include,25,a,58,ci ta-baki-an nu laway.,ci ta-baki-an nu laway.,ci          ta-baki-an nu           laway. 30,,,長舌婦。,主格 TA-大的-處焦 屬格嘴巴,主格 TA-大的-處焦 屬格 嘴巴,"[""主格"",""TA-大的-處焦"",""屬格"",""嘴巴""]",0.974,,
include,25,b,58,ka-laway han nu tau ci Miciyang.,ka-laway han nu tau ci Miciyang.,ka-laway           han     nu       tau       ci         Miciyang.,,,別人都稱 Miciyang大嘴巴。,KA-嘴 稱謂 屬格 別人 主格人名,KA-嘴巴 稱謂 屬格 別人 主格 人名,"[""KA-嘴巴"",""稱謂"",""屬格"",""別人"",""主格"",""人名""]",0.981,PDF page-image verified interlinear column alignment.,
include,26,a,59,u ka-wanan a kuku' ku adadaay ni Pudaw.,u ka-wanan a kuku' ku adadaay ni Pudaw.,u           ka-wanan a            kuku'    ku      adadaay        ni   Pudaw.,,,Pudaw 痛的是右腳。,普名標記KA-右繫詞 腳 主格 痛-AY 屬格人名,普名標記 KA-右 繫詞 腳 主格 痛-AY 屬格 人名,"[""普名標記"",""KA-右"",""繫詞"",""腳"",""主格"",""痛-AY"",""屬格"",""人名""]",0.984,,
include,26,b,59,i ka-wili kiya cudad nu misu.,i ka-wili kiya cudad nu misu.,i             ka-wili            kiya cudad        nu         misu.,,,你的書本在左邊。,處所格 方位-左 那個 書 麕格 m-你.屬格,處所格 方位-左 那個 書 屬格 m-你.屬格,"[""處所格"",""方位-左"",""那個"",""書"",""屬格"",""m-你.屬格""]",0.979,,
include,27,a,61,cacay ku luma' i buyu' ni Panay.,cacay ku luma' i buyu' ni Panay.,cacay          ku              luma' i          buyu'           ni                   Panay.,,,Panay 在山上只有一間房屋。,一個 主格 家 處所格 山上 屬格人名,一個 主格 家 處所格 山上 屬格 人名,"[""一個"",""主格"",""家"",""處所格"",""山上"",""屬格"",""人名""]",0.980,PDF page-image correction: Panay restored from OCR Pamay.,
include,27,b,61,la-cacay ku ni-zateng nu mita.,la-cacay ku ni-zateng nu mita.,la-cacay                 ku          ni-zateng nu               mita. 35,,,我們的理念一致。,變成-一個 主格 ni-想 屬格 m-我們.屬格,變成-一個 主格 ni-想 屬格 m-我們.屬格,"[""變成-一個"",""主格"",""ni-想"",""屬格"",""m-我們.屬格""]",0.962,,
include,28,a,61,ma-lubic ku heci niya mami.,ma-lubic ku heci niya mami.,ma-lubic                 ku          heci      niya        mami.,,,那棵文旦果實纍纍。,主焦-纍纍36 主格 果實 那個 交日,主焦-纍纍 主格 果實 那個 文旦,"[""主焦-纍纍"",""主格"",""果實"",""那個"",""文旦""]",0.978,PDF page-image correction: 文旦 restored from OCR 交旦. PDF page-image verified interlinear column alignment.,
include,28,b,61,la-heci tu ku kawaw nu mita,la-heci tu ku kawaw nu mita,la-heci                  tu          ku      kawaw        nu           mita 37,,,我們的事情已完成。,變成-果實 斜格 主格 事情 屬格 m-我.屬格,變成-果實 斜格 主格 事情 屬格 m-我.屬格,"[""變成-果實"",""斜格"",""主格"",""事情"",""屬格"",""m-我.屬格""]",0.978,,
include,29,a,63,"ayaw nu duba', pa-tudud tu lamal.","ayaw nu duba', pa-tudud tu lamal.","ayaw nu            duba', pa-tudud            tu        lamal.",,,跑步之前，先傳遞聖火。,前 屬格 跑 PA-傳遞 斜格 火,前 屬格 跑 PA-傳遞 斜格 火,"[""前"",""屬格"",""跑"",""PA-傳遞"",""斜格"",""火""]",0.981,,
include,29,b,63,ma-duba' kaku tu sana-sananal.,ma-duba' kaku tu sana-sananal.,ma-duba' kaku               tu   sana-sananal.,,,我每天都在晨跑。,主焦-跑我 斜格 重疊-早上,主焦-跑 我 斜格 重疊-早上,"[""主焦-跑"",""我"",""斜格"",""重疊-早上""]",0.981,PDF page-image verified interlinear column alignment.,
include,30,a,63,lihanaw kaku tu wawa aku.,lihanaw kaku tu wawa aku.,lihanaw kaku                tu        wawa             aku.,,,我好擔心我的孩子。,擔心我 斜格 孩子 我蟨格,擔心 我 斜格 孩子 我.屬格,"[""擔心"",""我"",""斜格"",""孩子"",""我.屬格""]",0.976,PDF page-image verified interlinear column alignment.,
include,30,b,63,ma-lihanaw kaku tu imelang ni ina nu maku.,ma-lihanaw kaku tu imelang ni ina nu maku.,ma-lihanaw kaku                  tu         imelang      ni    ina    nu     maku.,,,我好擔心媽媽的病情。,主焦-擔心 我，主格 斜格 病 屬格 媽媽 屬格 m-我.屬格,主焦-擔心 我.主格 斜格 病 屬格 媽媽 屬格 m-我.屬格,"[""主焦-擔心"",""我.主格"",""斜格"",""病"",""屬格"",""媽媽"",""屬格"",""m-我.屬格""]",0.986,,
excluded_exact_repeat,31,a,64,balud-han ni Kacaw ku kasuy.,balud-han ni Kacaw ku kasuy.,balud-han            ni     Kacaw        ku        kasuy.,,AKIW_SZY_2012_EX_018C,Kacaw 將木材綑綁起來。,綁-受焦 屬格 人名 主格 木材,綁-受焦 屬格 人名 主格 木材,"[""綁-受焦"",""屬格"",""人名"",""主格"",""木材""]",0.979,,Exact source-form repeat of example 018c; extracted text page 38; represented by AKIW_SZY_2012_EX_018C. This row's source translation and gloss remain in the ledger.
include,31,b,64,ma-balud tu ku ni-sapud-an nu maku a tudem.,ma-balud tu ku ni-sapud-an nu maku a tudem.,ma-balud             tu      ku      ni-sapud-an        nu maku                 a     tudem.,,,我撿的漂流木已經綁好了。,m-我.屬格 繫詞 漂流木,受焦-綁 完成貌 主格 NI-撿-處焦 屬格 m-我.屬格 繫詞 漂流木,"[""受焦-綁"",""完成貌"",""主格"",""NI-撿-處焦"",""屬格"",""m-我.屬格"",""繫詞"",""漂流木""]",0.933,PDF page-image verified interlinear column alignment.,
include,32,a,65,ta-umah kita mi-belesiw tu lutuk.,ta-umah kita mi-belesiw tu lutuk.,ta-umah kita                mi-belesiw     tu    lutuk.,,,我們一塊兒到田裡劈草。,TA-田我們.主格 主焦-劈 斜格 草,TA-田 我們.主格 主焦-劈 斜格 草,"[""TA-田"",""我們.主格"",""主焦-劈"",""斜格"",""草""]",0.982,,
include,32,b,65,ma-lutuk tu ku ni-paluma-an a padingad.,ma-lutuk tu ku ni-paluma-an a padingad.,ma-lutuk       tu          ku   ni-paluma-an          a   padingad.,,,鳳梨園雜草叢生。,MA-草 完成貌 主格 NI-種-受焦 繫詞 鳳梨,MA-草 完成貌 主格 NI-種-受焦 繫詞 鳳梨,"[""MA-草"",""完成貌"",""主格"",""NI-種-受焦"",""繫詞"",""鳳梨""]",0.985,,
include,33,a,66,ma-hiza u bulad ku kalaw ni Panay.,ma-hiza u bulad ku kalaw ni Panay.,ma-hiza           u           bulad ku             kalaw          ni   Panay.,,,Panay 的眉毛像月亮。,Ma-那樣 普名標記月亮 主格 眉毛 屬格 人名,Ma-那樣 普名標記 月亮 主格 眉毛 屬格 人名,"[""Ma-那樣"",""普名標記"",""月亮"",""主格"",""眉毛"",""屬格"",""人名""]",0.982,,
include,33,b,66,ma-bulad ku kaying tu pay-bulad.,ma-bulad ku kaying tu pay-bulad.,ma-bulad ku             kaying        tu        pay-bulad.,,,小姐每個月都來月經。,Ma-月經 主格 小姐 斜格 PAY-月,Ma-月經 主格 小姐 斜格 PAY-月,"[""Ma-月經"",""主格"",""小姐"",""斜格"",""PAY-月""]",0.982,,
include,34,a,67,kudus sa tu ci Kacaw.,kudus sa tu ci Kacaw.,kudus          sa    tu         ci Kacaw.,,,Kacaw 越來越瘦。,瘦 SA 斜格 主格 人名,瘦 SA 斜格 主格 人名,"[""瘦"",""SA"",""斜格"",""主格"",""人名""]",0.970,,
include,34,b,67,ma-kudus kina wacu nu misu.,ma-kudus kina wacu nu misu.,ma-kudus kina                  wacu       nu        misu.,,,你飼養的狗很瘦。,MA-瘦 這個 狗 屬格 m-你.屬格,MA-瘦 這個 狗 屬格 m-你.屬格,"[""MA-瘦"",""這個"",""狗"",""屬格"",""m-你.屬格""]",0.978,,
include,35,a,67,ciki sa kaku a pa-ka-azih tu izang.,ciki sa kaku a pa-ka-azih tu izang.,ciki           sa    kaku             a         pa-ka-azih         tu   izang.,,,一看到血，我就會覺得噁心。,噁心 SA 我.主格 繫詞 PA-KA-看 斜格 血,噁心 SA 我.主格 繫詞 PA-KA-看 斜格 血,"[""噁心"",""SA"",""我.主格"",""繫詞"",""PA-KA-看"",""斜格"",""血""]",0.982,,
include,35,b,68,amana pi-azih tu angtul-ay ma-ciki.,amana pi-azih tu angtul-ay ma-ciki.,amana           pi-azih      tu          angtul-ay ma-ciki.,,,不要看髒的會感到噁心,不要 使役-看 斜格 臭-AY MA-噁心,不要 使役-看 斜格 臭-AY MA-噁心,"[""不要"",""使役-看"",""斜格"",""臭-AY"",""MA-噁心""]",0.984,PDF page-image correction: removed a non-source trailing OCR glyph.,
include,36,a,69,binkiw sa ci Kacaw sa u nu Lipun.,binkiw sa ci Kacaw sa u nu Lipun.,binkiw sa        ci          Kacaw sa       u           nu         Lipun.,,,原來Kacaw 所唸的就是日本書。,唸書 SA 主格 人名 SA 普名標記 屬格日本,唸書 SA 主格 人名 SA 普名標記 屬格 日本,"[""唸書"",""SA"",""主格"",""人名"",""SA"",""普名標記"",""屬格"",""日本""]",0.980,,
include,36,b,69,mi-binkiw ci Amu.,mi-binkiw ci Amu.,mi-binkiw        ci          Amu.,,,Amu在唸書。,主焦-唸書 主格人名,主焦-唸書 主格 人名,"[""主焦-唸書"",""主格"",""人名""]",0.966,,
excluded_exact_repeat,37,a,70,balud-han ni Kacaw ku kasuy.,balud-han ni Kacaw ku kasuy.,balud-han            ni          Kacaw             ku          kasuy.,,AKIW_SZY_2012_EX_018C,Kacaw 將木材綑綁起來。,綁-受焦 屬格人名 主格 木材,綁-受焦 屬格 人名 主格 木材,"[""綁-受焦"",""屬格"",""人名"",""主格"",""木材""]",0.979,,Exact source-form repeat of example 018c; extracted text page 38; represented by AKIW_SZY_2012_EX_018C. This row's source translation and gloss remain in the ledger.
include,37,b,70,mi-balud kita tu ni-penen-an i buyu'.,mi-balud kita tu ni-penen-an i buyu'.,mi-balud              kita            tu        ni-penen-an           i         buyu'.,,,我們在綁在山上砍好的官蓁。,主焦-綁 我們.主格 斜格 NI-官蓁-AN 處所格 山上,主焦-綁 我們.主格 斜格 NI-官蓁-AN 處所格 山上,"[""主焦-綁"",""我們.主格"",""斜格"",""NI-官蓁-AN"",""處所格"",""山上""]",0.984,,
include,38,a,71,amana ka-pawan mi-banaw tu atip.,amana ka-pawan mi-banaw tu atip.,amana         ka-pawan mi-banaw                  tu       atip. 50,,,不要忘記洗筷子。,不要 KA-忘記 主焦-洗 斜格筷子,不要 KA-忘記 主焦-洗 斜格 筷子,"[""不要"",""KA-忘記"",""主焦-洗"",""斜格"",""筷子""]",0.982,,
include,38,b,71,mi-atip ci Kacaw tu titi nu katalalan i dangah.,mi-atip ci Kacaw tu titi nu katalalan i dangah.,mi-atip          ci        Kacaw        tu        titi nu         katalalan    i   dangah.,,,Kacaw 在夾鍋子裡的牛肉。,主焦-筷子 主格 人名 科格 肉 屬格 牛 處所格 鍋子,主焦-筷子 主格 人名 斜格 肉 屬格 牛 處所格 鍋子,"[""主焦-筷子"",""主格"",""人名"",""斜格"",""肉"",""屬格"",""牛"",""處所格"",""鍋子""]",0.987,,
include,39,a,71,u salil ku sa-pi-buting nu maku.,u salil ku sa-pi-buting nu maku.,u              salil ku       sa-pi-buting                nu         maku.,,,我抓魚用網的。,普名標記網 主格 工焦-魚 屬格 m-我.屬格,普名標記 網 主格 工焦-魚 屬格 m-我.屬格,"[""普名標記"",""網"",""主格"",""工焦-魚"",""屬格"",""m-我.屬格""]",0.981,PDF page-image verified interlinear column alignment.,
include,39,b,71,mi-salil kuheni i taku.,mi-salil kuheni i taku.,mi-salil             kuheni             i          taku.,,,他們在池塘撒網。,主焦-網他們.主格 處所格 池塘,主焦-網 他們.主格 處所格 池塘,"[""主焦-網"",""他們.主格"",""處所格"",""池塘""]",0.974,PDF page-image verified interlinear column alignment.,
include,40,a,72,bangsis ku ni-pa-wali-an a tebu'.,bangsis ku ni-pa-wali-an a tebu'.,bangsis ku       ni-pa-wali-an            a     tebu'. 51,,,筍乾很香。,香主格 NI-PA-東-處焦 繫詞 筍,香 主格 NI-PA-東-處焦 繫詞 筍,"[""香"",""主格"",""NI-PA-東-處焦"",""繫詞"",""筍""]",0.964,,
include,40,b,73,mi-tebu' kita i buyu' ayza.,mi-tebu' kita i buyu' ayza.,mi-tebu'              kita         i          buyu'      ayza.,,,我們現在上山探竹筍。,主焦-筍 我們-主格 處所格 山 現在,主焦-筍 我們-主格 處所格 山 現在,"[""主焦-筍"",""我們-主格"",""處所格"",""山"",""現在""]",0.978,,
include,41,a,74,yadah ku balaut i laku nu niyam.,yadah ku balaut i laku nu niyam.,yadah       ku balaut         i        laku           nu niyam.,,,我們的水田有很多青蛙。,多 主格青蛙 處所格 水田 靥格我們.贗格,多 主格 青蛙 處所格 水田 屬格 我們.屬格,"[""多"",""主格"",""青蛙"",""處所格"",""水田"",""屬格"",""我們.屬格""]",0.980,PDF page-image verified interlinear column alignment.,
include,41,b,74,mi-balaut kita i laku.,mi-balaut kita i laku.,mi-balaut       kita                    i      laku.,,,我們去水田裡抓青蛙。,主焦-青蛙 我們-主格 處所格 水田,主焦-青蛙 我們-主格 處所格 水田,"[""主焦-青蛙"",""我們-主格"",""處所格"",""水田""]",0.973,,
include,42,a,74,i nanum ku piya'.,i nanum ku piya'.,i nanum        ku         piya'.,,,蚌貝在水裡。,處所格 水 主格 蚌,處所格 水 主格 蚌,"[""處所格"",""水"",""主格"",""蚌""]",0.963,,
include,42,b,74,mi-piya' kami i sauwac.,mi-piya' kami i sauwac.,mi-piya'        kami                i          sauwac.,,,我們在溪邊撿蜆。,主焦-蜆 我們-主格 處所格 溪,主焦-蜆 我們-主格 處所格 溪,"[""主焦-蜆"",""我們-主格"",""處所格"",""溪""]",0.974,,
include,43,a,75,i badahung ku lesa' nu udad.,i badahung ku lesa' nu udad.,i                 badahung ku                lesa'       nu      udad.,,,屋頂漏水。,處所格 屋頂 主格 漏水 屬格 雨,處所格 屋頂 主格 漏水 屬格 雨,"[""處所格"",""屋頂"",""主格"",""漏水"",""屬格"",""雨""]",0.978,,
