status,seq,page,affix_form,affix_function_zho,affix_source,form,meaning_zho,base_form,base_meaning_zho,source_context,raw_ocr,note,retained_xml_id
include,26,59,ka-,方位,table 19,ka-wili,左邊,wili,左,ka- | wili- | 左,26 | ka- | wili-31 | 左 | ka-wili | 左邊,,
include,27,61,la-,變成,table 21,la-cacay,團結、一致,cacay,一個,la- | cacay | 一個,27 | la- | cacay | 一個33 | la-cacay34 | 團結、一致,,
include,28,61,la-,變成,table 21,la-heci,完成,heci,果實,la- | heci | 果實,28 | la- | heci | 果實 | la-heci | 完成,,
include,29,62,ma-,主事者焦點,table 23,ma-busuk,喝醉,busuk,醉,ma- | busuk | 醉,29 | ma- | busuk | 醉 | ma-busuk | 喝醉,,
include,30,63,ma-,主事者焦點,table 23,ma-debay,跌落,debay,跌落,ma- | debay | 跌落,30 | ma- | debay | 跌落 | ma-debay | 跌落 38,,
include,31,63,ma-,主事者焦點,table 23,ma-duba',跑步,duba',跑,ma- | duba' | 跑,31 | ma- | duba' | 跑 | ma-duba' | 跑步 39,,
include,32,63,ma-,主事者焦點,table 23,ma-labades,爲（某因）所苦,labades,痛苦,ma- | labades | 痛苦,32 | ma- | labades | 痛苦 | ma-labades | 爲（某因）所苦,,
include,33,63,ma-,主事者焦點,table 23,ma-lihanaw,很擔心,lihanaw,擔心,ma- | lihanaw | 擔心,33 | ma- | lihanaw | 擔心 | ma-lihanaw | 很擔心,,
include,34,63,ma-,主事者焦點,table 23,ma-namuh,喜歡,namuh,高興、喜歡,ma- | namuh | 高興、喜歡,34 | ma- | namuh | 高興、喜歡 | ma-namuh | 喜歡,,
include,35,64,ma-,受事者焦點,table 24,ma-ala,被拿走,ala,拿、取,ma- | ala- | 拿、取,35 | ma- | ala- | 拿、取 | ma-ala | 被拿走,,
include,36,64,ma-,受事者焦點,table 24,ma-alaw,被搶,alaw,搶,ma- | alaw- | 搶,36 | ma- | alaw- | 搶 | ma-alaw | 被搶,,
include,37,64,ma-,受事者焦點,table 24,ma-apa,被背,apa,背,ma- | apa- | 背,37 | ma- | apa- | 背 | ma-apa | 被背,,
include,38,64,ma-,受事者焦點,table 24,ma-balud,被綁,balud,綁,ma- | balud | 綁,,Page-image verified; Vision OCR omitted the row number.,
include,39,64,ma-,受事者焦點,table 24,ma-belih,被翻,belih,翻面、翻臉,ma- | belih | 翻面、翻臉,,Page-image verified; Vision OCR omitted the row number.,
include,40,64,ma-,受事者焦點,table 24,ma-bulesiw,（草）被劈,bulesiw,砍草,ma- | bulesiw | 砍草,40 | ma- | bulesiw | 砍草 | ma-bulesiw | （草）被劈,,
include,41,64,ma-,受事者焦點,table 24,ma-pili',被挑,pili,挑,ma- | pili- | 挑,41 | ma- | pili- | 挑 | ma-pili' | 被挑,,
include,42,64,ma-,受事者焦點,table 24,ma-tebuc,被罰,tebuc,罰,ma- | tebuc- | 罰,42 | ma- | tebuc- | 罰 | ma-tebuc | 被罰,,
include,43,65,ma-,動詞化,table 25,ma-labi,吃晚餐,labi,晚上,ma- | labi | 晚上,43 | ma- | labi | 晚上 | ma-labi | 吃晚餐,,
include,44,65,ma-,動詞化,table 25,ma-lahuk,吃午餐了,lahuk,午餐,ma- | lahuk | 午餐,44 | ma- | lahuk | 午餐 | ma-lahuk | 吃午餐了,,
include,45,65,ma-,動詞化,table 25,ma-lanam,吃早餐,lanam,早餐,ma- | lanam | 早餐,45 | ma- | lanam | 早餐 | ma-lanam | 吃早餐,,
include,46,65,ma-,動詞化,table 25,ma-libung,得瘟疫,libung,瘟疫,ma- | libung | 瘟疫,46 | ma- | libung | 瘟疫 | ma-libung | 得瘟疫,,
include,47,65,ma-,動詞化,table 25,ma-lutuk,雜草叢生,lutuk,草,ma- | lutuk | 草,47 | ma- | lutuk | 草 | ma-lutuk | 雜草叢生,,
include,48,65,ma-,動詞化,table 25,ma-ngawa,缺齒,ngawa,角,ma- | ngawa | 角,48 | ma- | ngawa | 角 | ma-ngawa | 缺齒,,
include,49,66,ma-,長、產生,table 26,ma-bucekit,長針眼,bucekit,針眼,bucekit | 針眼,49 | bucekit | 針眼 | ma-bucekit | 長針眼 | bucekit,,
include,50,66,ma-,長、產生,table 26,ma-bulad,來月經,bulad,月亮,bulad | 月亮,50 | bulad | 月亮 | ma-bulad | 來月經41 | bulad,,
include,51,66,ma-,長、產生,table 26,ma-cilal,出太陽,cilal,太陽,cilal | 太陽,51 | cilal | 太陽 | ma-cilal | 出太陽 | cilal,,
include,52,66,ma-,長、產生,table 26,ma-izang,流血,izang,血,izang | 血,52 | izang | 血 | ma-izang | 流血 | izang,,
include,53,66,ma-,長、產生,table 26,ma-kebing,出麻疹,kebing,麻疹,kebing | 麻疹,53 | kebing | 麻疹 | ma-kebing | 出麻疹 | kebing,,
include,54,66,ma-,長、產生,table 26,ma-menah,長痔瘡,menah,肛門,ma- | menah | 肛門,54 | menah | 肛門 | ma-menah | 長痚瘡+2 | menah,Page-image verified; Vision OCR misread 痔瘡 and retained a footnote marker.,
include,55,66,ma-,長、產生,table 26,ma-pudas,長癬,pudas,癬,pudas | 癬,55 | pudas | 癬 | ma-pudas | 長癬 | pudas,,
include,56,66,ma-,長、產生,table 26,ma-ubad,長白髮,ubad,白髮,ubad | 白髮,56 | ubad | 白髮 | ma-ubad | 長白髮43 | ubad,,
include,57,67,ma-,感覺、覺得,table 27,ma-becul,吃飽,becul,飽,ma- | becul | 飽,57 | ma- | becul | 飽 | ma-becul | 吃飽,,
include,58,67,ma-,感覺、覺得,table 27,ma-capi,很近,capi,近,ma- | capi- | 近,58 | ma- | capi- | 近 | ma-capi | 很近,,
include,59,67,ma-,感覺、覺得,table 27,ma-ciki,骯髒、噁心、汙穢,ciki,噁心、汙穢,ma- | ciki | 噁心、汙穢,59 | ma- | ciki | 噁心、汙穢 | ma-ciki | 骯髒、噁心、汙穢,,
include,60,67,ma-,感覺、覺得,table 27,ma-dimel,乾淨,dimel,乾淨,ma- | dimel- | 乾淨,60 | ma- | dimel- | 乾淨 | ma-dimel | 乾淨,,
include,61,67,ma-,感覺、覺得,table 27,ma-kudus,很瘦,kudus,瘦,ma- | kudus | 瘦,61 | ma- | kudus | 瘦 | ma-kudus | 很瘦,,
include,62,69,mi-,主事者焦點，表示（正）在進行動作,table 29,mi-akik,在烤,akik,烤,mi- | akik | 烤,62 | mi- | akik | 烤 | mi-akik | 在烤,,
include,63,69,mi-,主事者焦點，表示（正）在進行動作,table 29,mi-balud,在綁,balud,綁,mi- | balud | 綁,63 | mi- | balud | 綁 | mi-balud | 在綁$6,,
include,64,69,mi-,主事者焦點，表示（正）在進行動作,table 29,mi-banaw,正在洗,banaw,洗,mi- | banaw- | 洗,64 | mi- | banaw- | 洗 | mi-banaw | 正在洗,,
include,65,69,mi-,主事者焦點，表示（正）在進行動作,table 29,mi-binkiw,在唸書、在研究,binkiw,唸書、研究,mi- | binkiw | 唸書、研究,65 | mi- | binkiw | 唸書、研究 | mi-binkiw | 在唸書、在研究,,
include,66,69,mi-,主事者焦點，表示（正）在進行動作,table 29,mi-cikcik,在切,cikcik,切,mi- | cikcik- | 切,66 | mi- | cikcik- | 切 | mi-cikcik | 在切,,
include,67,69,mi-,主事者焦點，表示（正）在進行動作,table 29,mi-dadum,在挑水,dadum,挑水,mi- | dadum- | 挑水,67 | mi- | dadum- | 挑水 | mi-dadum | 在挑水,,
include,68,69,mi-,主事者焦點，表示（正）在進行動作,table 29,mi-kalic,在爬,kalic,爬,mi- | kalic- | 爬,68 | mi- | kalic- | 爬 | mi-kalic | 在爬,,
include,69,69,mi-,主事者焦點，表示（正）在進行動作,table 29,mi-lilid,正在抬,lilid,搬、抬,lilid- | 搬、抬,69 | lilid- | 搬、抬 | mi-lilid | 正在抬,,
include,70,69,mi-,主事者焦點，表示（正）在進行動作,table 29,mi-muku,正在扛,muku,扛,muku | 扛,70 | muku | 扛 | mi-muku | 正在扛,,
include,71,69,mi-,主事者焦點，表示（正）在進行動作,table 29,mi-niwaniw,在除草,niwaniw,除草,mi- | niwaniw | 除草,71 | mi- | niwaniw | 除草 | mi- niwaniw | 在除草,,
include,72,70,mi-,（正在）進行與名詞相關之動作,table 30,mi-misa,參加彌撒（天主教之禮拜）,misa,彌撒（天主教之禮拜）,mi- | misa | 彌撒（天主教之禮拜）,,Page-image verified; Vision OCR split the two-line meaning cell.,
include,73,70,mi-,（正在）進行與名詞相關之動作,table 30,mi-seking,在考試,seking,測驗、考試,mi- | seking | 測驗、考試,73 | mi- | seking | 測驗、考試 | mi-seking | 在考試,,
include,74,70,mi-,（正在）進行與名詞相關之動作,table 30,mi-tima',施法,tima',法術,mi- | tima'- | 法術,74 | mi- | tima'- | 法術 | mi-tima' | 施法,,
include,75,70,mi-,（正在）進行與名詞相關之動作,table 30,mi-atip,正在夾,atip,筷子,mi- | atip | 筷子,75 | mi- | atip | 筷子 | mi-atip | 正在夾48,,
include,76,70,mi-,（正在）進行與名詞相關之動作,table 30,mi-cudad,上課、讀書,cudad,書,mi- | cudad | 書,76 | mi- | cudad | 書 | mi-cudad | 上課、讀書,,
include,77,70,mi-,（正在）進行與名詞相關之動作,table 30,mi-dadingu,在照鏡子,dadingu,鏡子、玻璃窗,mi- | dadingu | 鏡子、玻璃窗,77 | mi- | dadingu | 鏡子、玻璃窗 | mi-dadingu | 在照鏡子,,
include,78,70,mi-,（正在）進行與名詞相關之動作,table 30,mi-hamunika,吹囗琴,hamunika,口琴,mi- | hamunika | 口琴,78 | mi- | hamunika | 口琴 | mi-hamunika | 吹囗琴,,
include,79,70,mi-,（正在）進行與名詞相關之動作,table 30,mi-laedis,舉行海神祭、舉行捕魚祭,laedis,海神祭、捕魚祭,mi- | laedis | 海神祭、捕魚祭,79 | mi- | laedis | 海神祭、捕魚祭 | mi-laedis | 舉行海神祭、舉行捕魚祭,,
include,80,71,mi-,（正在）進行與名詞相關之動作,table 30,mi-lisin,慶祝豐年祭,lisin,祭典、習俗,mi- | lisin | 祭典、習俗,,Page-image verified; table continuation page was below OCR row-selection threshold.,
include,81,71,mi-,（正在）進行與名詞相關之動作,table 30,mi-pana',射箭,pana',箭,mi- | pana' | 箭,,Page-image verified; table continuation page was below OCR row-selection threshold.,
include,82,71,mi-,（正在）進行與名詞相關之動作,table 30,mi-piyu,吹奏,piyu,哨子、笛子,mi- | piyu | 哨子、笛子,,Page-image verified; table continuation page was below OCR row-selection threshold.,
include,83,71,mi-,（正在）進行與名詞相關之動作,table 30,mi-salil,在撒網,salil,網,mi- | salil | 網,,Page-image verified; table continuation page was below OCR row-selection threshold.,
include,84,71,mi-,（正在）進行與名詞相關之動作,table 30,mi-sanek,在聞,sanek,味道,mi- | sanek | 味道,,Page-image verified; table continuation page was below OCR row-selection threshold.,
include,85,71,mi-,（正在）進行與名詞相關之動作,table 30,mi-sasing,在照相,sasing,相片,mi- | sasing | 相片,,Page-image verified; table continuation page was below OCR row-selection threshold.,
include,86,71,mi-,（正在）進行與名詞相關之動作,table 30,mi-tabaku,在抽菸,tabaku,香煙,mi- | tabaku | 香煙,,Page-image verified; table continuation page was below OCR row-selection threshold.,
include,87,72,mi-,採、收、摘、拔等動作,table 31,mi-alupal,探柿子,alupal,柿子樹,mi- | alupal | 柿子樹,87 | mi- | alupal | 柿子樹 | mi-alupal | 探柿子,,
include,88,72,mi-,採、收、摘、拔等動作,table 31,mi-badisusu',探葡萄,badisusu',葡萄,mi- | badisusu' | 葡萄,88 | mi- | badisusu' | 葡萄 | mi-badisusu' | 探葡萄,,
include,89,72,mi-,採、收、摘、拔等動作,table 31,mi-bidaul,摘黃瓜,bidaul,黃瓜,mi- | bidaul | 黃瓜,89 | mi- | bidaul | 黃瓜 | mi-bidaul | 摘黃瓜,,
include,90,72,mi-,採、收、摘、拔等動作,table 31,mi-habay,收小米,habay,小米,habay | 小米,90 | habay | 小米 | mi-habay | 收小米,,
include,91,72,mi-,採、收、摘、拔等動作,table 31,mi-kalitang,拔花生,kalitang,花生,kalitang | 花生,91 | kalitang | 花生 | mi-kalitang | 拔花生,,
include,92,72,mi-,採、收、摘、拔等動作,table 31,mi-kamulaw,探番茄,kamulaw,番茄,旷旷耏砬m | kamulaw | 番茄,92 | 旷旷耏砬m | kamulaw | 番茄 | mi-kamulaw | 探番茄,,
include,93,72,mi-,採、收、摘、拔等動作,table 31,mi-lami',探菜,lami',菜,lami' | 菜,93 | lami' | 菜 | mi-lami' | 探菜,,
include,94,72,mi-,採、收、摘、拔等動作,table 31,mi-tebu',探竹筍,tebu',筍類統稱,tebu' | 筍類統稱,94 | tebu' | 筍類統稱 | mi-tebu' | 探竹筍,,
include,95,73,mi-,抓、捕、撿等動作,table 32,mi-alem,抓穿山甲,alem,穿山甲,mi- | alem | 穿山甲,95 | mi- | alem | 穿山甲 | mi-alem | 抓穿山甲,,
include,96,73,mi-,抓、捕、撿等動作,table 32,mi-altipal,抓白頭翁,altipal,白頭翁烏,mi- | altipal | 白頭翁烏,96 | mi- | altipal | 白頭翁烏 | mi-altipal | 抓白頭翁,,
include,97,73,mi-,抓、捕、撿等動作,table 32,mi-alungdas,抓錦蛇,alungdas,錦蛇,mi- | alungdas | 錦蛇,97 | mi- | alungdas | 錦蛇 | mi-alungdas | 抓錦蛇,,
include,98,73,mi-,抓、捕、撿等動作,table 32,mi-balaut,抓青蛙,balaut,青蛙,mi- | balaut | 青蛙,98 | mi- | balaut | 青蛙 | mi-balaut | 抓青蛙,,
include,99,73,mi-,抓、捕、撿等動作,table 32,mi-buting,捕魚,buting,魚,mi- | buting | 魚,99 | mi- | buting | 魚 | mi-buting | 捕魚,,
include,100,73,mi-,抓、捕、撿等動作,table 32,mi-cuhcuh,撿田螺,cuhcuh,田螺（燒酒螺）,mi- | cuhcuh | 田螺（燒酒螺）,100 | mi- | cuhcuh | 田螺（燒酒螺） | mi-cuhcuh | 撿田螺,,
include,101,73,mi-,抓、捕、撿等動作,table 32,mi-kalang,抓螃蟹,kalang,螃蟹,mi- | kalang | 螃蟹,101 | mi- | kalang | 螃蟹 | mi-kalang | 抓螃蟹,,
include,102,73,mi-,抓、捕、撿等動作,table 32,mi-kuhkuh,撿田螺,kuhkuh,田螺,mi- | kuhkuh | 田螺,102 | mi- | kuhkuh | 田螺 | mi-kuhkuh | 撿田螺,,
include,103,73,mi-,抓、捕、撿等動作,table 32,mi-lalacan,撿海螺,lalacan,海螺,mi- | lalacan | 海螺,103 | mi- | lalacan | 海螺 | mi-lalacan | 撿海螺,,
include,104,73,mi-,抓、捕、撿等動作,table 32,mi-piya',撿蚌、撿貝、撿蜆,piya',蚌、貝、蜆,mi- | piya' | 蚌、貝、蜆,104 | mi- | piya' | 蚌、貝、蜆 | mi-piya' | 撿蚌、撿貝、撿蜆,,
include,105,73,mi-,抓、捕、撿等動作,table 32,mi-uzang,抓蝦子,uzang,大的蝦子，如泰國蝦等,mi- | uzang | 大的蝦子，如泰國蝦等,105 | mi- | uzang | 大的蝦子，如泰國蝦等 | mi-uzang | 抓蝦子,,
include,106,75,mi-,建造的動作,table 33,mi-badahung,蓋屋頂,badahung,屋頂,mi- | badahung | 屋頂,106 | mi- | badahung | 屋頂 | mi-badahung | 蓋屋頂,,
include,107,75,mi-,建造的動作,table 33,mi-cilis,建水道以引水用,cilis,水田引水用的人工水道,mi- | cilis | 水田引水用的人工水道,107 | mi- | cilis | 水田引水用的人工水道 | mi-cilis | 建水道以引水用 $2,,
include,108,75,mi-,建造的動作,table 33,mi-langat,去作（某人）的圍籬,langat,柵欄、圍牆,mi- | langat | 柵欄、圍牆,108 | mi- | langat | 柵欄、圍牆 | mi-langat | 去作（某人）的圍籬,,
include,109,76,mi-,吸、喝的動作,table 34,mi-cucu,吸奶,CUCU,奶、乳房,mi- | CUCU | 奶、乳房,109 | mi- | CUCU | 奶、乳房 | mi-cucu | 吸奶,,
include,110,76,mi-,吸、喝的動作,table 34,mi-kabi,喝湯,kabi,湯,mi- | kabi | 湯,110 | mi- | kabi | 湯 | mi-kabi | 喝湯,,
include,111,76,mi-,吸、喝的動作,table 34,mi-nanum,喝水,nanum,水,mi- | nanum | 水,111 | mi- | nanum | 水 | mi-nanum | 喝水,,
include,112,77,mu-,動詞化,table 36,mu-cebu,尿床、尿褲子,cebu,膀胱,mu- | cebu | 膀胱,112 | mU- | cebu | 膀胱 | mu-cebu | 尿床、尿褲子,,
include,113,77,mu-,動詞化,table 36,mu-esus,放屁,esus,屁,mu- | esus | 屁,113 | mU- | esus | 屁 | mu-eSuS | 放屁,Page-image verified; Vision OCR capitalized lowercase letters in the table row.,
include,114,77,mu-,動詞化,table 36,mu-isi',撒尿,isi',尿,mu- | isi' | 尿,114 | mU- | isi' | 尿 | mu-isi！ | 撒尿,,
include,115,77,mu-,動詞化,table 36,mu-sepi,很幸運,sepi,夢，延伸爲運氣、祝福,mu- | sepi- | 夢，延伸爲運氣、祝福,115 | mU- | sepi- | 夢，延伸爲運氣、祝福 | mu-sepi | 很幸運,,
include,116,79,mu-,主事者焦點,table 37,mu-bahel,飛,bahel,飛,mu- | bahel- | 飛,,Page-image verified; Vision OCR merged the first cells.,
include,117,79,mu-,主事者焦點,table 37,mu-dadiw,唱歌,dadiw,唱,mu- | dadiw- | 唱,117 | mu- | dadiw- | 唱 | mu-dadiw | 唱歌,,
include,118,79,mu-,主事者焦點,table 37,mu-kan,吃,kan,吃,mu- | kan | 吃,118 | mu- | kan | 吃 | mu-kan | 吃,,
include,119,79,mu-,主事者焦點,table 37,mu-lekal,起床,lekal,起來,mu- | lekal- | 起來,119 | mu- | lekal- | 起來 | mu-lekal | 起床,,
include,120,79,mu-,主事者焦點,table 37,mu-lesa',漏水,lesa',漏水（雨）、滲水,mu- | lesa'- | 漏水（雨）、滲水,120 | mu- | lesal- | 漏水（雨）、滲水 | mu-lesa' | 漏水$7,Page-image verified while adding source-table base forms; OCR read the final glottal mark as l.,
include,121,79,mu-,主事者焦點,table 37,mu-tizeng,站立,tizeng,站,mu- | tizeng- | 站,121 | mu- | tizeng- | 站 | mu-tizeng | 站立,,
include,122,79,mu-,主事者焦點,table 37,mu-belih,折返（反悔）,belih,翻面、翻臉,mu- | belih | 翻面、翻臉,122 | mu- | belih | 翻面、翻臉 | mu-belih | 折返（反悔）,,
include,123,79,mu-,主事者焦點,table 37,mu-kulkul,水滾開、水沸騰、煮開,kulkul,水沸騰,mu- | kulkul- | 水沸騰,123 | mu- | kulkul- | 水沸騰 | mu-kulkul | 水滾開、水沸騰、煮開,,
include,124,80,na-,時間已過去或指定過去的某一個時段,table 39,na-cila,昨天,cila,之前的日子,na- | cila- | 之前的日子,124 | na- | cila- | 之前的日子 | na-cila | 昨天,,
include,125,80,na-,時間已過去或指定過去的某一個時段,table 39,na-sanal,今天上午（已過去的）,sanal,上午,na- | sanal | 上午,125 | na- | sanal | 上午 | na-sanal,Page-image verified; Vision OCR missed the wrapped rightmost meaning cell.,
include,126,80,na-,時間已過去或指定過去的某一個時段,table 39,na-sandeb,昨晚（當說話的時間點是中午之前使用）,sandeb,夜晚,na- | sandeb | 夜晚,126 | na- | sandeb | 夜晚 | na-sandeb,Page-image verified; Vision OCR missed the wrapped rightmost meaning cell.,
include,127,80,na-,時間已過去或指定過去的某一個時段,table 39,na-sawni,剛,sawni,剛,na- | sawni- | 剛,127 | na- | sawni- | 剛 | na-sawni | 剛,,
include,128,80,na-,時間已過去或指定過去的某一個時段,table 39,na-yaan,什麽時候,yaan,何時,na- | yaan | 何時,128 | na- | yaan | 何時 | na-yaan | 什麽時候,,
include,129,81,na-,動作或事件已完成,table 40,na-adada,痛過,adada,痛,na- | adada | 痛,129 | na- | adada | 痛 | na-adada | 痛過,,
include,130,81,na-,動作或事件已完成,table 40,na-imelang,曾經生病,imelang,生病,na- | imelang | 生病,130 | na- | imelang | 生病$8 | na-imelang | 曾經生病,,
include,131,81,na-,動作或事件已完成,table 40,na-iza,曾經有,iza,有,na- | iza | 有,131 | na- | iza | 有 | na-iza | 曾經有,,
include,132,81,na-,動作或事件已完成,table 40,na-nabaw,浮出水面,nabaw,漂浮,na- | nabaw- | 漂浮,132 | na- | nabaw- | 漂浮 | na-nabaw | 浮出水面,,
include,133,81,na-,動作或事件已完成,table 40,na-pacena',休息過,pacena',歇一下、休息一下,na- | pacena’ | 歇一下、休息一下,133 | na- | pacena’ | 歇一下、休息一下 | na-pacena’ | 休息過,,
include,134,81,na-,動作或事件已完成,table 40,na-paluma,種過了,paluma,種,na- | paluma | 種,134 | na- | paluma | 種 | na-paluma | 種過了,,
include,135,82,ni-,名物化,table 42,ni-muku,所扛之物,muku,扛,ni- | muku | 扛,135 | ni- | muku | 扛 | ni-muku | 所扛之物,,
include,136,82,ni-,名物化,table 42,ni-'neng,坐姿,'neng,坐,ni- | 'neng- | 坐,136 | ni- | 'neng- | 坐 | ni-neng | 坐姿,Page-image verified; Vision OCR dropped the glottal mark in the affixed form.,
include,137,82,ni-,名物化,table 42,ni-pazeng,放置物,pazeng,放,ni- | pazeng | 放,137 | ni- | pazeng | 放 | ni-pazeng | 放置物,,
include,138,82,ni-,名物化,table 42,ni-tabu,飯盒,tabu,包,ni- | tabu | 包,138 | ni- | tabu | 包 | ni-tabu | 飯盒,,
include,139,82,ni-,名物化,table 42,ni-tizeng,站姿,tizeng,站,ni- | tizeng- | 站,139 | ni- | tizeng- | 站 | ni-tizeng | 站姿,,
include,140,82,ni-,名物化,table 42,ni-zateng,想法、觀點,zateng,想,ni- | zateng | 想,140 | ni- | zateng | 想 | ni-zateng | 想法、觀點,,
include,141,84,pa-,動詞化,table 44,pa-acawa,成婚（嫁或娶）,acawa,老公、老婆,pa- | acawa | 老公、老婆,141 | pa- | acawa | 老公、老婆 | pa-acawa | 成婚（嫁或娶）,,
include,142,84,pa-,動詞化,table 44,pa-balunga,划船,balunga,船,pa- | balunga | 船,142 | pa- | balunga | 船 | pa-balunga | 划船,,
include,143,84,pa-,動詞化,table 44,pa-baybay,掛蚊帳,baybay,蚊帳,pa- | baybay | 蚊帳,143 | pa- | baybay | 蚊帳 | pa-baybay | 掛蚊帳,,
include,144,84,pa-,動詞化,table 44,pa-ciid,長芽,ciid,枝,pa- | ciid | 枝,144 | pa- | ciid | 枝 | pa-ciid | 長芽,,
include,145,84,pa-,動詞化,table 44,pa-hutin,牧養,hutin,牧養、牧場,pa- | hutin | 牧養、牧場,145 | pa- | hutin | 牧養、牧場 | pa-hutin | 牧養,,
include,146,84,pa-,動詞化,table 44,pa-kulul,背對著,kulul,背,pa- | kulul | 背,146 | pa- | kulul | 背 | pa-kulul | 背對著,,
include,147,84,pa-,動詞化,table 44,pa-kungku,說故事,kungku,故事,pa- | kungku | 故事,147 | pa- | kungku | 故事 | pa-kungku | 說故事,,
include,148,84,pa-,動詞化,table 44,pa-liling,作屋牆,liling,牆壁,pa- | liling | 牆壁,148 | pa- | liling | 牆壁 | pa-liling | 作屋牆,,
include,149,84,pa-,動詞化,table 44,pa-pubu,放魚筌,pubu,魚筌,pa- | pubu | 魚筌,149 | pa- | pubu | 魚筌 | pa-pubu | 放魚筌,,
