decision	reviewed_id	baseline_ids	baseline_sha256	form	reason	reviewer	review_date	review_source_sha256
accepted	section_15_first_sermon_sentence_011	section_15_first_sermon_sentence_011	688baa59776ade14a1e63251b390e8c09f44049b1eefe162039febd6cbded71a	Lallum aicho-ies man, micham, ṣummarra, macheauboen cho-na.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_012	section_15_first_sermon_sentence_012	f864aa7eb22f76d7e265cb62c4e85fc679a20d7d66f7b3ac129919ef865ae8ee	Maunis a don o mini; don o Deos, don o atite, don o ai-acha, don o atil.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_013	section_15_first_sermon_sentence_013	55149eaffa42a9d58f4767ecee758aee9b9dfffbf7e305651da4b898c5827cab	Insini eachanni ta Deos, adassen ja naan o kummasjies a maro.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_014	section_15_first_sermon_sentence_014	24cbe817064f82aea79a9b35540443bc0e909af5e79afab14314053334b0b07a	Tamasea mauranies, mais, ja manniki insini, mannach'i ta Deos, ṣo-o tummallas ochoa aṣiel o atil o boesum ai.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_015	section_15_first_sermon_sentence_015	6640cf7b24fa35aeae3886b20d73a330c5d1897234f12d477d76a197c94258c7	Mauchus o rummé o micho ta Deos; cho-no mini, machó, dummaat ina o choa ranied, ṣo-o madas ina ochoa dorren, ṣo-o maro ja choa tsjes innai Ina-ë.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_016	section_15_first_sermon_sentence_016	d02899ec5def63f4bff209f42dec18457fcce3e43436fd81c61545295be4679b	Inau decho alanni inni bido o Deos, e-illa-na oa aṣiel, ṣabanno mai dummoro i don o Deos, ṣo-o aḡa-a a chaddik, all'oa maṣini.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_017	section_15_first_sermon_sentence_017	48d513c86427f4b2f81762031a6c9fdedfdd477b7e29ac94255ff96249717594	Maibas attitean, ja merab o moss'i don o arorroai-a e-illa-na depa mauranies, ja me o atil o Deos, inau ta Deos miall'oa tsjes, kailau mate'ijo-noë.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_018	section_15_first_sermon_sentence_018	ee1a7e6eefd3e22cd024b62f2560f58c06aed76baa3edbb1974a457617b0ed27	Miall'o tapos o cho innai boesum ta Deos, mab'o tattup'i tsjes, maibas o chau manṣar o tapos o ma-arapies.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_019	section_15_first_sermon_sentence_019	e7e79d9007a11371f07de90cb2979a56098b00f6fb82cef7f5cb138e0d5bd137	Oedan, tamasea ṣai dummaat icho, ṣo-o alli mikkil o choa rais o mato, gagil maraas a tsjes, ṣo-o charri o zijsja tatummala, alla maraas o tummok o bato ja aṣiel.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_020	section_15_first_sermon_sentence_020	d9339875e409df26ab48dab0570c34ce56df1af189644e20f0dca5d83ca1e269	Mai, hai mannach'i ta Deos.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_021	section_15_first_sermon_sentence_021	81b86d00bb06945b556ef14b8f47a48a4c73c2fc5db9edb5405abbc92f1ee7fd	Alli annachan o baak ja icho.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_022	section_15_first_sermon_sentence_022	f62e24050a77c09138b15223c052a2af06d419cce5039a44a0b472d3fb00cb13	Ja tummalpon o mosse dummoro i don o Deos?	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_023	section_15_first_sermon_sentence_023	7aa0b5fe0640cd373407b4f71166604f144f573a8a9a57d6ef3baf098062b22a	Abissassa tau-aab oa boa, o-óa, joa tsjes-oë katinnaam atil, itiss'o tattuppau rapies innai imo-noë.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_024	section_15_first_sermon_sentence_024	e3bdc9fbc63fcca7ec9c8775e86974edfc292b83641c32be58fd2482c26da477	Don o mini don o atil, don o ai-acha; hai tump'insini oa don, oa tatapan, ja bonna, ja tumkach, ja maribaribat, ja micham.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_025	section_15_first_sermon_sentence_025	377b3bfb62ee37c0437f0f3ef9a243a482b2f0f53ab5cc26f7fc1f13655c4bde	Hai para joa tsjes de don o atil ai-an tattuppa masini.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_026	section_15_first_sermon_sentence_026	47504b2d4dc01ffdda7c1fd60b76925f138035f9585c4130f6f02ca3f46082fd	Tattup-pau mini alli matsikap de don o mini.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_027	section_15_first_sermon_sentence_027	d794d66b966307aaec23112fb8792bb927c512187fcd1c033d2c668390b2de32	Paulapp'o tsjes, ṣo-o kummatto innai ta Deos, innai boesum aicho-ies.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_028	section_15_first_sermon_sentence_028	9bf50f9829bfbade7374db050e885ed162ce4d9d530f5410e74646492fd7e243	Maso rapies channumma moa taulan tump'i ta haibos-ech.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_029	section_15_first_sermon_sentence_029	4cac00dc05de23a20ee02ae031aa809587185fba7b81d3211aa503a2c5af72e9	Alli par'i haibos ta Deos-oë.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_030	section_15_first_sermon_sentence_030	140f49160cd39859fb28616306cb634180e1b6eb6173f4b9f2d458a0d7ce4e3f	Kamazjies dechonoë.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_031	section_15_first_sermon_sentence_031	0d7c769a3e19aeaab59c5450dd782738326b9ea562a9d2c56eb52e58a11afb9c	Sja machonṣar o paan i haibos imo-noë, kamaibas oa dog, ṣabanno tummalpon o man, o micham, ja alli pattonan o baak o naan o Deos?	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_032	section_15_first_sermon_sentence_032	794fedf25d3e88ae4f6803a107d61f629f8bd32438892dacd88ba7af2b125cf5	Ja alli mannach'o choa naan?	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_033	section_15_first_sermon_sentence_033	997cfd0383b510669afcb506d0eab10b7f4e1099786f693671ed637c4fa92af8	Alli tummosik oa tamau ja icho?	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_034	section_15_first_sermon_sentence_034	b8d6eb43e209b3b18996252f83b2a5107624b701f2d6b534582f88db10af9dcc	Oedan, ta Deos allipa ara.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_035	section_15_first_sermon_sentence_035	7b477dc499f6f443db75dc43c86c2153dcafc5f0c1c63c593820b398915a07bd	Allipa ja roman maibas icho.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_036	section_15_first_sermon_sentence_036	3b1548ad8c42f8adfa5d51c65ab8faaf16f156cb58167735106b2e9bfd45469a	Makammichi-ṣar gagil o Deos, ṣo-o kummasjies a maro, a mabarra, a mabada ṣaan.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_037	section_15_first_sermon_sentence_037	326b9331f4740620fa90a1db1ef757e6adb8a4228f55d21d6901916b97fb6c31	Makammichiṣar chummimit o tapos o ai de boesum, de ta.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_038	section_15_first_sermon_sentence_038	cea62bbca774b2effa80c3b7f8c205e7cbc402c06ee32e23935f35df1ded2b56	Masannan o baak o choa, chachimit ta haibos, o ai initis innai boesum inau aṣies o tsjes.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_039	section_15_first_sermon_sentence_039	3d957bda3b76bd5d0b63d7ec0824b78dba9cabfab05c16c299ca88e379d95e2f	Tsinummallas icho de rapo choa aṣiel ta Deos.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_040	section_15_first_sermon_sentence_040	4bdef0c15902bd9c37d26507aa9c93c9dea095af8b781b4afe9edc149c8e659c	Achoa mikkil ṣo-o paan icho.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_041	section_15_first_sermon_sentence_041	106c38d7ebe7e9f2035709f7030ece2c24d614844abb4393f0ceae943b70f806	Mauchus makarrichi ranied o Deos, inau poetat inni adam, inni haibos, ṣo-o tump'o choa arien cho.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_042	section_15_first_sermon_sentence_042	24cbe596454b721ce859ef015154829fc031cdb7da8ca2517fef889cd291c712	Itiss'o raras a dog o micho.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_043	section_15_first_sermon_sentence_043	e001bd4fbc4185e7619ceef741a83e11006109c9ff1d784ec3653e201b42d479	Tapos oai baak, ṣo-o sasall'o haibos.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_044	section_15_first_sermon_sentence_044	6d54ed9abb3901dbab505f86cf1904cc030ca4c637a71f4d302f427311153a82	Pinaulakies icho oa boeboe-no anibaas.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_045	section_15_first_sermon_sentence_045	b6df4a7420d9e80ba21702c45a536380c8cbf3a38e96d3a601bbecb580f4ee02	Pazigal'i ta Deos, alla summall'o cho.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_046	section_15_first_sermon_sentence_046	e2a30f0cc41a0b64a6553779545056704f3d0bc6689ba127056a16f2a30dbc64	Paikkil o cho, alla me-il ṣo-o paan icho.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_047	section_15_first_sermon_sentence_047	af9b6c2e4df03698b63fe1be0f113fe7bff01dd626431950f8e07e754defaa0e	Baak o ikkil o micho.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_048	section_15_first_sermon_sentence_048	400f3dcd4859dd902f9048ec6dd297a14975123632bc66f40ce3ac80c82d4556	Oedan, mikkil onumma?	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_049	section_15_first_sermon_sentence_049	a9f2ce417a05bf51b9d47ab19906c8840a7c63bbeee4886516e5352df83c96ca	Matalam mamakabol icho?	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_050	section_15_first_sermon_sentence_050	b136073ad7d66c51b459152d2faa12dc5874b015dae2d735ada83e7627e84804	Pagatomma: masó mato, a mabarra ta Deos.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_051	section_15_first_sermon_sentence_051	e2f7c3c4735d1e0f3fbaa4951a602045efea88b32f33c0ef0903ddbc7a7d3508	Alli mabarr'ija icho parapies i namo, sja alli pauss'icho ta Deos.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_052	section_15_first_sermon_sentence_052	e1f4b70ab0b1125047463fb9ebe2b8257d53b0edb570ced73cd894baca3ca6c5	Maspot a poetautat inni ta Deos, inni choa ranied imoa, ino barrasan o ikkil o haibos.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_053	section_15_first_sermon_sentence_053	eb005591bf5fa4f6b1eb8018600847dffdf2ceb2827df35acf904850fafebe0c	Maspot a mikkil i ta Deos ma-akammichi-ṣar, o ai mato o gagil, ṣo-o mato choa barra.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_054	section_15_first_sermon_sentence_054	e888f3b4d57d294e55a0e01483cb74c890b4d52787d9f08c317be67bd3d73eba	Maukat ja Deos, ṣo-o maladik o tapos cho-no ai, kame-il icho.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_055	section_15_first_sermon_sentence_055	665255dcc92ce4e572e19ce0f9f3959c845c4caef8dc8424069e210187ee6fd4	Ikkil o Deos mario.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_056	section_15_first_sermon_sentence_056	fb701100c07b7b0502f7886fae46796f037cbc4ef99b8765cef4512e130d0d09	Merien o maba-da ṣaan, pa-ikkil o tsjes, ṣo-o miel o kakossi.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_057	section_15_first_sermon_sentence_057	69d427a762fa87327d8c5a0cc77ff9d27267372b8820f31b548821242356ebf1	Ikkil o haibos rapies, ṣo-o paulakies o tsjes.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_058	section_15_first_sermon_sentence_058	cdfd95d06c143b3c478d482b0dfd3d3b289c7842f0405f612dcb533ba2ab16d7	Inau micho atillan ja namo, meach'i ta Deos: Barras'i namo innai rapies ai.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_059	section_15_first_sermon_sentence_059	07ba246c644ebcb03acae62d5ccf4fdb709b357bcb12fbb64bd157317630efb4	Maibas pala ja namo, Deos o tamau hai pauss'i haibos paulakies ṣo-o lummal'i namo, kailau kummossi oa atite torroa tsjes, ṣo-o ummior o airab o haibos.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_060	section_15_first_sermon_sentence_060	a0c6e5aba60c33b836ef2396ae43fadcc438bf29ac10e99c4b098d0fb9f64f6b	Maukat o parapies icho, ṣo-o pallidollido maibas o ibien, alla sumbach i namo.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_061	section_15_first_sermon_sentence_061	0d4ea885f9648d1a7fce6e8012b10613e44320c201bc0132fd21bceb0286d2b1	Inau decho attonannan-ṣar inni bido o Deos raras a ibien, ṣo-o tamau o tattosik.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_062	section_15_first_sermon_sentence_062	2589373a0b38b95fd51d3c7b166f5455f29a99c2d733338f5c4b7ae519de0f5e	Inau sasalla matapo choa tsjes, maibas matapo tag bog o ibien.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_063	section_15_first_sermon_sentence_063	f0a6902580f7fc3b4f84be56b33f17efed5828427d4590fdaffe9ce9d7d8073d	Mai, ja alli masum a sallaan imo-noë, hai maṣini icho.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_064	section_15_first_sermon_sentence_064	d896b2ec5732a935d69743d98653caa9450ed827395d18be9ce9f2862fd2ca35	Obea innai ta haibos, maibas innai ibien o boesum.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_065	section_15_first_sermon_sentence_065	93af65016effea9b0cbbf310be3d4daef2b1c44ec81723156015ae0948aa5a52	Ipáchappa, ipauach'o choa naan.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_066	section_15_first_sermon_sentence_066	bc86483c7914b38f890a06def1e5eb82d1308525eab2e9a5b116299b6558b54b	Tsinummalpono dummaat i ta Deos o pia, tamasea merab o pairóòs imonoë o choa sisjiem badda ta Jesus Christus.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_067	section_15_first_sermon_sentence_067	3be4fd5ff4d5706fdae387a30f79117d5199469021cd380a27704bc2c64a5b4f	Hai machonṣar mikkap i haibos.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_068	section_15_first_sermon_sentence_068	a169678fd94dca68a2d24eed63870ce4379ab3a35344fd9ee79b0d51f67ed2a5	Alli masum o ara ta Christus.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_069	section_15_first_sermon_sentence_069	0bf87173ce1cb3010139d5813468f4d1669788c61b4d08764ad4354c8d529cb5	Oa tsjes, oa bog, imo tapos maunis icho.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
accepted	section_15_first_sermon_sentence_070	section_15_first_sermon_sentence_070	5de5bcf260bed00ac16d7cdb65b734a7e55ad55eaf0ab47403de08a9f5f804e3	Hai ḡummeroa oa tsjes, hai pe'o ḡeroan ta haibos, ḡeroan ta Deos.	Hand-reviewed against the source PDF; transcription accepted or corrected.	Madeline Boese	2026-08-12	a8447242a20117486a0c7406a1184cc81c1991570ab39779659097ce2ced7196
