omitted_id,retained_id,reason
GLOSBE_ami_eng_TMEM_U002780,GLOSBE_ami_eng_TMEM_U002769,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002864,GLOSBE_ami_eng_TMEM_U002827,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002866,GLOSBE_ami_eng_TMEM_U002847,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002896,GLOSBE_ami_eng_TMEM_U002697,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002898,GLOSBE_ami_eng_TMEM_U002829,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002904,GLOSBE_ami_eng_TMEM_U002282,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002915,GLOSBE_ami_eng_TMEM_U002845,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U002987,GLOSBE_ami_eng_TMEM_U002966,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U003186,GLOSBE_ami_eng_TMEM_U003180,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U003190,GLOSBE_ami_eng_TMEM_U003185,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U003224,GLOSBE_ami_eng_TMEM_U003195,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U003289,GLOSBE_ami_eng_TMEM_U003275,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U003300,GLOSBE_ami_eng_TMEM_U002543,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U003318,GLOSBE_ami_eng_TMEM_U002597,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U003382,GLOSBE_ami_eng_TMEM_U003376,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U003675,GLOSBE_ami_eng_TMEM_U003672,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U003679,GLOSBE_ami_eng_TMEM_U002250,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U004041,GLOSBE_ami_eng_TMEM_U004033,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U004077,GLOSBE_ami_eng_TMEM_U004073,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U004081,GLOSBE_ami_eng_TMEM_U004080,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U004094,GLOSBE_ami_eng_TMEM_U004086,Same reference example after removal of paired source labels; distinct translations retained (POL-022/025).
GLOSBE_ami_eng_TMEM_U003118,GLOSBE_ami_eng_TMEM_U002962,Same bilingual heading; only page label and dash spacing differ. Both raw witnesses remain in source_records.jsonl (POL-022).
GLOSBE_ami_zho_TMEM_U000046,GLOSBE_ami_zho_TMEM_U000012,"Published FORM, both PHON and TRANSL are identical. Retained reviewed source includes both historical witnesses (POL-022)."
