record_id,source_locator,included_in_xml,source_original,leading_star,parenthesis_count,square_bracket_count,apostrophe_count,hyphen_count,equals_count,terminal_punctuation,translation,alternate_translation,review_status
excluded_005b,PDF p. 81; printed p. 76; example (20b),no,The child who came first in the examination is very talented.,no,0,0,0,0,0,.,The child who came first in the examination is very talented.,,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S022,PDF p. 81; printed p. 76; example (21),yes,"Adi mpe-sepug ka laqi 'u, seku-i haya.",no,0,0,1,2,0,.,"As the child will not read, put it away.",,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S023,PDF p. 81; printed p. 76; example (22),yes,"M-uduh siyaŋ ka sehiga 'u, 'eme-'ima ka m-eniq hiya?",no,0,0,3,3,0,?,"When they roasted meat, who were there?",,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S024,PDF p. 81; printed p. 76; example (23),yes,"M-iyah q-em-ita tema-'an ka rubiq 'u, wada ŋaŋut ka tama.",no,0,0,2,4,0,.,"Though rubiq came to see father, father went outside.",,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S025,PDF pp. 81-82; printed pp. 76-77; example (24),yes,"M-iyah=su hini 'u, me-qaras=ku.",no,0,0,1,2,2,.,"If you come, I would be glad.",,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S026,PDF p. 82; printed p. 77; example (25),yes,"T-em-egesa 'uyas kelemukan ka tiwaŋ 'u, t-em-egesa 'uyas nihuŋ ka daway 'uri.",no,0,0,4,4,0,.,"Ciwang taught Taiwanese songs, and Daway taught Japanese songs.",,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S027,PDF p. 82; printed p. 77; example (26),yes,"Pe-kedus-un=ta=na ka 'ita 'u, m-en-da huway yisu kirisuto tehawlaŋ.",no,0,0,2,4,2,.,"That we are made to live by him, it is through the grace of Lord Jesus Christ.",,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S028,PDF p. 82; printed p. 77; example (27),yes,"M-usa sapah rubiq ka kumu 'u, me-kela ka rubiq.",no,0,0,1,2,0,.,Rubiq knows that Kumu went to Rubiq's house.,,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S029,PDF p. 83; printed p. 78; duplicate-labeled example (27),yes,"[P-en-huqil rebiq-an ka se'diq] 'u, wada qeduriq.",no,0,2,2,3,0,.,The person who killed Rubiq escaped.,,rendered source page rechecked 2026-08-08
excluded_006,PDF p. 83; printed p. 78; example (28a),no,"Kumuᵢ 'u, b-en-arig=naᵢ laqi=na ka patas niyi.",no,0,0,1,2,2,.,"As for Kumu, she bought this book for her child.",,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S030,PDF p. 83; printed p. 78; example (28b),no,"*Ga reŋag-an yudaw ga ka lupuŋ 'u, b-en-arig=na laqi=na ka patas niyi.",yes,0,0,1,3,2,.,"As for the guest to whom Yudaw is talking to, s/he bought this book for her/his child.",,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S031,PDF p. 83; printed p. 78; example (29),no,*B-en-arig [ga reŋag-an yudaw ga ka lupuŋ] laqi=na ka patas niyi.,yes,0,2,0,3,1,.,The guest to whom Yudaw is talking tobought this for her/his child.,,rendered source page rechecked 2026-08-08
