pdf_page,printed_page,source_locator,page_entry_record,target_text,translation_gloss_segmentation,method,confidence_review_note,included,exclusion_reason,final_xml_path,final_s_id
1,116,"attachment PDF p. 1; printed p. 116, row 10",kaiki sentence 10,"adamadang yi daiya, mahah kaulang ngat-dai",（人名）在東、故要號名,manual transcription from scan; OCR used only as a diagnostic,high; Typographic line-wrap rejoined,true,,XML/Pazeh/Nanpo_Dozoku_1931_Kaiki_no_Uta.xml,nanpo1931_kaiki_s010
1,116,"attachment PDF p. 1; printed p. 116, row 11",kaiki sentence 11,"dahah-mat-dang yi daiya, mahakaulang-atdai",（人名）在東、故要號名,manual transcription from scan; OCR used only as a diagnostic,high; Typographic line-wrap rejoined,true,,XML/Pazeh/Nanpo_Dozoku_1931_Kaiki_no_Uta.xml,nanpo1931_kaiki_s011
1,116,"attachment PDF p. 1; printed p. 116, row 12",kaiki sentence 12,"Silapbang yi daiya, mahakau lang ngat dai",是蚋望在東、故號名,manual transcription from scan; OCR used only as a diagnostic,high; Corrected second character after enlarged scan review,true,,XML/Pazeh/Nanpo_Dozoku_1931_Kaiki_no_Uta.xml,nanpo1931_kaiki_s012
1,116,"attachment PDF p. 1; printed p. 116, row 13",kaiki sentence 13,"Silapbang yi rahot, mahakaulangngat dai",（別人也）在西、故要號名,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Kaiki_no_Uta.xml,nanpo1931_kaiki_s013
1,116,"attachment PDF p. 1; printed p. 116, row 14",kaiki sentence 14,"papakhah raruma-aih, mahah kaulang ngatdai",使彼做桂竹故要號名,manual transcription from scan; OCR used only as a diagnostic,high; Corrects inherited aib misreading,true,,XML/Pazeh/Nanpo_Dozoku_1931_Kaiki_no_Uta.xml,nanpo1931_kaiki_s014
1,116,"attachment PDF p. 1; printed p. 116, row 15",kaiki sentence 15,burruh mat-dang yi daiya,軟竹黎明在東,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Kaiki_no_Uta.xml,nanpo1931_kaiki_s015
1,116,"attachment PDF p. 1; printed p. 116, row 16",kaiki sentence 16,"burruh mat-dang yi daiya, au nu sasipudah",軟竹黎明在東可以割臍帶,manual transcription from scan; OCR used only as a diagnostic,high; Typographic line-wrap in sasipudah rejoined,true,,XML/Pazeh/Nanpo_Dozoku_1931_Kaiki_no_Uta.xml,nanpo1931_kaiki_s016
1,116,"attachment PDF p. 1; printed p. 116, row 17",kaiki sentence 17,rakihan tinnating,小孩赤子,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Kaiki_no_Uta.xml,nanpo1931_kaiki_s017
1,116,"attachment PDF p. 1; printed p. 116, row 18",kaiki sentence 18,hauliak kakatduhu ni Apu-Tia,好哉法術、祖知仔之賜,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Kaiki_no_Uta.xml,nanpo1931_kaiki_s018
2,117,p117 lower block,philological notes,,Section I (2) 試註 notes 1-15,manual visual inventory of rendered scan,high; Visually reviewed; evidence used to resolve line-wraps,false,"Japanese scholarly notes, not target-language sentence rows",,
2,117,"attachment PDF p. 2; printed p. 117, row 19",kaiki sentence 19,"nahhah-dah datduwa, di rubbuh rubbuh rubbuh a kauwas",俱各有哉在地下,manual transcription from scan; OCR used only as a diagnostic,high; Typographic line-wrap rejoined,true,,XML/Pazeh/Nanpo_Dozoku_1931_Kaiki_no_Uta.xml,nanpo1931_kaiki_s019
2,117,"attachment PDF p. 2; printed p. 117, row 20",kaiki sentence 20,"uka kakkahukahui, uka sasumusumul",衆樹木類及衆草類,manual transcription from scan; OCR used only as a diagnostic,high; Both instances of 衆 checked against scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Kaiki_no_Uta.xml,nanpo1931_kaiki_s020
2,117,"attachment PDF p. 2; printed p. 117, row 21",kaiki sentence 21,"aiyan nu aiyan, saisaih ya wilan.",論至此可以也,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Kaiki_no_Uta.xml,nanpo1931_kaiki_s021
3,118,p118 upper block,philological notes,,Section I 試註 notes 16-21,manual visual inventory of rendered scan,high; Visually reviewed; evidence used to resolve readings,false,"Japanese scholarly notes, not target-language sentence rows",,
3,118,p118 lower block,free summary,,Section I (3) 大意,manual visual inventory of rendered scan,high; Visually reviewed,false,"Japanese poetic summary, not an aligned source translation row",,
4,119,p119 heading,article metadata,,II 大水氾濫之歌; (1) 原文,manual visual inventory of rendered scan,high; Visually reviewed,false,"Structural metadata, not a target-language sentence",,
4,119,"attachment PDF p. 4; printed p. 119, row 1",flood sentence 1,Ai-yan nu ai-yan,韻母也,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s001
4,119,"attachment PDF p. 4; printed p. 119, row 2",flood sentence 2,dau-doai lai-tah,吾要論,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s002
4,119,"attachment PDF p. 4; printed p. 119, row 3",flood sentence 3,Tap-ba-nan nu mat-taro,タバナン長者,manual transcription from scan; OCR used only as a diagnostic,high; Corrected Tap-ta to printed Tap-ba after enlarged scan review,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s003
4,119,"attachment PDF p. 4; printed p. 119, row 4",flood sentence 4,Sap-bung-nga-kai-sih,サボンカイシ（人名、長者ノ妹）,manual transcription from scan; OCR used only as a diagnostic,high; Katakana and ノ preserved,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s004
4,119,"attachment PDF p. 4; printed p. 119, row 5",flood sentence 5,ma-hah ki-kid-deh-haih,則要落來,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s005
4,119,"attachment PDF p. 4; printed p. 119, row 6",flood sentence 6,Tup-pu du a lal-liuh,高峯のアラウリウ（山名）,manual transcription from scan; OCR used only as a diagnostic,high; Name checked against scan and note,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s006
4,119,"attachment PDF p. 4; printed p. 119, row 7",flood sentence 7,mahah ma-sak-ku-laih,是以要到,manual transcription from scan; OCR used only as a diagnostic,high; Source hyphenation preserved,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s007
4,119,"attachment PDF p. 4; printed p. 119, row 8",flood sentence 8,di ngu-ji-ngut da Bok-gi-jih,在山尾ボギジ（地名）,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s008
4,119,"attachment PDF p. 4; printed p. 119, row 9",flood sentence 9,ma-hah pau-su-ngut daih,則將造橋,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s009
4,119,"attachment PDF p. 4; printed p. 119, row 10",flood sentence 10,su-ngut du ma-bida-bit,橋曰美好,manual transcription from scan; OCR used only as a diagnostic,high; Corrects inherited semantic-character error,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s010
4,119,"attachment PDF p. 4; printed p. 119, row 11",flood sentence 11,di ma-rabahan rabong,在溪南,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s011
4,119,"attachment PDF p. 4; printed p. 119, row 12",flood sentence 12,"ini lau isiah, Tabanan mataro",敢是伊タバナン長者,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s012
4,119,"attachment PDF p. 4; printed p. 119, row 13",flood sentence 13,Sabong-nga-kaisih,サボンカイシ（人名、沙望皆是）,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s013
4,119,"attachment PDF p. 4; printed p. 119, row 14",flood sentence 14,mahah tau-malaai hommau a tutut,則聽得鳥之聲,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s014
4,119,"attachment PDF p. 4; printed p. 119, row 15",flood sentence 15,"at-da maha-roaro, Tabanan mataro",又有悶心タバナン長者,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s015
4,119,"attachment PDF p. 4; printed p. 119, row 16",flood sentence 16,kah manah ma-sakkul-lai,則要到,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s016
4,119,"attachment PDF p. 4; printed p. 119, rows 17-18",flood sentence 17,mau-jut-a Kat-jau-wan mahah masakul-lai,山腰なるカザワンといふ地に,manual transcription from scan; OCR used only as a diagnostic,high; Two printed Formosan lines share one translation and remain one S,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s017
4,119,"attachment PDF p. 4; printed p. 119, row 19",flood sentence 18,di bun-nu-bun-na tau-man,則能到山股タウマン,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s018
4,119,"attachment PDF p. 4; printed p. 119, row 20",flood sentence 19,mit-da-lun di ribunan,擔水在リブナン,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s019
5,120,p120 lower block,philological notes,,Section II (2) 試註 notes begin,manual visual inventory of rendered scan,high; Visually reviewed,false,"Japanese scholarly notes, not target-language sentence rows",,
5,120,"attachment PDF p. 5; printed p. 120, row 21",flood sentence 20,mahah Kikitta-ai Ap-boah likkah,所以見得、阿抹利甲（アポアリカー）,manual transcription from scan; OCR used only as a diagnostic,high; Chinese transliteration checked at enlarged scale,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s020
5,120,"attachment PDF p. 5; printed p. 120, row 22",flood sentence 21,yu-i ub-bach a lik-kah,與鳥肉利甲（ウバアリカー）,manual transcription from scan; OCR used only as a diagnostic,high; Corrects inherited duplicated ub,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s021
5,120,"attachment PDF p. 5; printed p. 120, row 23",flood sentence 22,ya sia Kau-sah a-ba-san-na Soa-jih,彼二人姉妹,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s022
5,120,"attachment PDF p. 5; printed p. 120, row 24",flood sentence 23,"ma-hah ma-kakau-wa-sai, rahal-lu hauliah",則說出好言語,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s023
5,120,"attachment PDF p. 5; printed p. 120, row 25",flood sentence 24,at-da ma-hah roa-ro Ta-banna mata-ro,又有悶心タバナン長者,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s024
5,120,"attachment PDF p. 5; printed p. 120, row 26",flood sentence 25,"i-ni lau is siya, Ta-ban-na ma-ta-ro",敢是此人乃是長者,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s025
5,120,"attachment PDF p. 5; printed p. 120, row 27",flood sentence 26,"kah mahah pau sung-ngut-dai, di mia-mi-san nu ra-hong",則由此要造橋在溪北勢,manual transcription from scan; OCR used only as a diagnostic,high; Typographic line-wrap rejoined,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s026
5,120,"attachment PDF p. 5; printed p. 120, row 28",flood sentence 27,Sung-ngut du mabit-da-bit,橋曰美草,manual transcription from scan; OCR used only as a diagnostic,high; Final character checked at enlarged scale,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s027
5,120,"attachment PDF p. 5; printed p. 120, row 29",flood sentence 28,ma-hah ma-sa-kul-lai di bai-yu au-was,則能到于海邊,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s028
5,120,"attachment PDF p. 5; printed p. 120, row 30",flood sentence 29,"kah mahah ki-kit-ta-ai, ai-yam-mu pa-su-kku-wan",所以見得鳥的古事,manual transcription from scan; OCR used only as a diagnostic,high; Typographic line-wrap rejoined,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s029
5,120,"attachment PDF p. 5; printed p. 120, row 31",flood sentence 30,lak-gu lak-gu dar-ru-pit,細々隻鳥（雀よりも小なる鳥也）,manual transcription from scan; OCR used only as a diagnostic,high; Iteration mark preserved,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s030
5,120,"attachment PDF p. 5; printed p. 120, row 32",flood sentence 31,"dar-ri bap-bu bap-bu-kah, bu-bun-nat au-was",鳥以足爪爬沙乃是海沙,manual transcription from scan; OCR used only as a diagnostic,high; Typographic line-wrap rejoined,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s031
5,120,"attachment PDF p. 5; printed p. 120, row 33",flood sentence 32,"ma-hah u ki-kit-ta-ai, kin-nu-hoh rik-ki-bul",所以見得栗倉,manual transcription from scan; OCR used only as a diagnostic,high; Restores source u omitted by inherited XML,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s032
5,120,"attachment PDF p. 5; printed p. 120, row 34",flood sentence 33,"ma-hah kikit-ta-ai, pia-hun ma-ri-his",所以見得黍,manual transcription from scan; OCR used only as a diagnostic,high; Final character checked at enlarged scale,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s033
5,120,"attachment PDF p. 5; printed p. 120, row 35",flood sentence 34,"i-ni lau is-sia, Tap-ban-nu mat-taro",敢是此個タバナン長者,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s034
5,120,"attachment PDF p. 5; printed p. 120, row 36",flood sentence 35,ma-hah u ma-tu-hu-mak-kai hum-mak par-ril,則要築室、廁與廚房,manual transcription from scan; OCR used only as a diagnostic,high; Typographic line-wrap rejoined,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s035
5,120,"attachment PDF p. 5; printed p. 120, row 37",flood sentence 36,"ma-hah na-hat-da-ai, pia-hun ma-ri-his",由是則有黍,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s036
5,120,"attachment PDF p. 5; printed p. 120, row 38",flood sentence 37,di rub-bu-rub-bu a kau-was,在地下,manual transcription from scan; OCR used only as a diagnostic,high; Corrects inherited final h,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s037
5,120,"attachment PDF p. 5; printed p. 120, row 39",flood sentence 38,"as-su-un nu-uhuni, au-bil-la bat-doach",則傳至後世,manual transcription from scan; OCR used only as a diagnostic,high; Corrects inherited nu-uhumi misreading,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s038
5,120,"attachment PDF p. 5; printed p. 120, row 40",flood sentence 39,"ai-yia-nu ai-yan, sai-sai ya-wi-lan.",語至此可以也,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Daisui_Hanran_no_Uta.xml,nanpo1931_flood_s039
6,121,p121 full page,philological notes,,Section II 試註 continuation through note 41,manual visual inventory of rendered scan,high; Visually reviewed; evidence used to resolve readings,false,"Japanese scholarly notes, not target-language sentence rows",,
7,122,p122 full page,free summary,,Section II (3) 大意,manual visual inventory of rendered scan,high; Visually reviewed,false,"Japanese poetic summary, not aligned source translation rows",,
8,123,p123 heading,article metadata,,III 氾濫後人民分居之歌; (1) 原文,manual visual inventory of rendered scan,high; Visually reviewed,false,"Structural metadata, not a target-language sentence",,
8,123,"attachment PDF p. 8; printed p. 123, row 1",dispersion sentence 1,"Aiyan nu aiyan, ta du-dwau manoh",起唱之語、請論古事,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s001
8,123,"attachment PDF p. 8; printed p. 123, row 2",dispersion sentence 2,"daudu-wai liahah, Ubach-pini Adapini",要論之也、鳥肉比耳阿踏比耳,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s002
8,123,"attachment PDF p. 8; printed p. 123, row 3",dispersion sentence 3,"paitul rahong, abasan soadi",從溪而上兄弟,manual transcription from scan; OCR used only as a diagnostic,high; Corrects inherited 旁 misreading,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s003
8,123,"attachment PDF p. 8; printed p. 123, row 4",dispersion sentence 4,"maha makitaai, Tap-banan mataro",是以見得タバナン長者,manual transcription from scan; OCR used only as a diagnostic,high; Corrects inherited extra t,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s004
8,123,"attachment PDF p. 8; printed p. 123, row 5",dispersion sentence 5,"maha makau-wasai, mausai paimoh",故相問情從何去乎,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s005
8,123,"attachment PDF p. 8; printed p. 123, row 6",dispersion sentence 6,"lahai Tap-banna mataro, mahah makau-wasai",長者如此問故有說曰,manual transcription from scan; OCR used only as a diagnostic,high; Typographic line-wrap rejoined,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s006
8,123,"attachment PDF p. 8; printed p. 123, row 7",dispersion sentence 7,"abasan soadi, mausai haiyamih",兄弟二人我等要往我所,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s007
8,123,"attachment PDF p. 8; printed p. 123, row 8",dispersion sentence 8,"mausai maha pajech, pajech u sik-ki daiya",乃是要爲蕃人、蕃乃是東蕃也,manual transcription from scan; OCR used only as a diagnostic,high; Historical source wording and prewar 爲 glyph preserved,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s008
8,123,"attachment PDF p. 8; printed p. 123, row 9",dispersion sentence 9,tatung-ngap-ban nu lij-jach,在日出之所也,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s009
8,123,"attachment PDF p. 8; printed p. 123, row 10",dispersion sentence 10,"manau amisan, manau rapbahan",向北向南,manual transcription from scan; OCR used only as a diagnostic,high; Corrects inherited missing b,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s010
8,123,"attachment PDF p. 8; printed p. 123, row 11",dispersion sentence 11,"daudauduwai, Tatumaumauwan Taumaumauwan",再論甲乙二人,manual transcription from scan; OCR used only as a diagnostic,high; Typographic line-wrap rejoined,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s011
8,123,"attachment PDF p. 8; printed p. 123, row 12",dispersion sentence 12,maha masik-kulaih Tap-ban na mataro,則相遇長者之所,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s012
8,123,"attachment PDF p. 8; printed p. 123, row 13",dispersion sentence 13,"mahah pabaruddai, rahal-lu hauliak",則有答好言語,manual transcription from scan; OCR used only as a diagnostic,high; Corrects inherited extra i,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s013
8,123,"attachment PDF p. 8; printed p. 123, row 14",dispersion sentence 14,"mausai haiyami, mahadahoh, dahoh sarau-moh",我等要去我所、乃是爲生蕃是生蕃沙漏毛（サラウモー蕃號也）,manual transcription from scan; OCR used only as a diagnostic,high; Smaller explanatory note transcribed without adding enclosing punctuation,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s014
8,123,"attachment PDF p. 8; printed p. 123, row 15",dispersion sentence 15,"ada mahah roaro, Tap-banna mat-taro",聞得憂悶者乃是長者,manual transcription from scan; OCR used only as a diagnostic,high; Corrects inherited 開 misreading,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s015
9,124,p124 lower block,philological notes,,Section III (2) 試註 notes begin,manual visual inventory of rendered scan,high; Visually reviewed; evidence used to resolve readings,false,"Japanese scholarly notes, not target-language sentence rows",,
9,124,"attachment PDF p. 9; printed p. 124, row 16",dispersion sentence 16,"inilau issia, mahah pau-sug-ngut-dai",敢是如此則要造橋,manual transcription from scan; OCR used only as a diagnostic,high; Corrects inherited pan-sug sequence,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s016
9,124,"attachment PDF p. 9; printed p. 124, row 17",dispersion sentence 17,"sug-ngut du ma-bit-da-bit, i Tatumaumauwan",橋號マビダピ、乃是タトゥマウマウワン,manual transcription from scan; OCR used only as a diagnostic,high; Corrected final katakana ビ to printed ピ after enlarged scan review,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s017
