xml_id,source_locator,pdf_page,printed_page,example_label,source_ref,source_original,standard_form,translation,gloss,notes
li2014_thao_S015,PDF p. 398; printed p. 405; example (15),398,405,15,32-9,"maqa ya s<m>apuk sa ɬkaribuʃ, ma-θuaw undu-an.","maqa ya smapuk sa ɬkaribuʃ, maθuaw unduan.",Because (he) was very capable when (he) was catching wild animals.,because when catch<AF> DET wild.animal STA-very capable-LF,"OCR/source text omitted a space in ""wild animals""; corrected in translation only."
li2014_thao_S016,PDF p. 398; printed p. 405; example (16),398,405,16,4-5,"maqa a-saran-an ya mu-ʃuqiʃ, pa-tqa-tqal-an.","maqa asaranan ya muʃuqiʃ, patqatqalan.",(They) kept making marks so that (they) could find their way back.,so.that IRR-road-LF when AF-return CAUS-RED-mark-LF,
li2014_thao_S017,PDF p. 398; printed p. 405; example (17),398,405,17,6-9,"numa iðáy ɬa-ɬawʃin a fafaw quθquθ-an minabút, maqa antu a-m-utun, maqa a-ma-daqri ya iðáy a fa ɬawʃin-an.","numa iðáy ɬaɬawʃin a fafaw quθquθan minabút, maqa antu amutun, maqa amadaqri ya iðáy a fa ɬawʃinan.","Then the top of this swing is tied with rice straw, so that (it) won't break, so that this creeper swing will be smooth when swung.",then that RED-swing LIG above tie-LF straw so.that not IRR-AF-break so.that IRR-STA-smooth if that LIG creeper swing-LF,
li2014_thao_S018,PDF p. 398; printed p. 405; example (18),398,405,18,6-12,"maqa ma-tiŋ-qaran mun-ɬawʃin, maqa antu ma-qirið ya mu-buhat.","maqa matiŋqaran munɬawʃin, maqa antu maqirið ya mubuhat.","To go swinging so that one is happy, so that one does not get tired if/when working in the field.",so.that STA-TIN-happy MUN-swing so.that not STA-tired if/when go-field,
li2014_thao_S019,PDF p. 398; printed p. 405; example (19),398,405,19,8-14,"numa ya m<in>u-lalu-yða, k<m>an afu.","numa ya minulaluyða, kman afu.","If/When the ceremony is over, (we) eat cooked rice.",then if/when AF<PFV>hold-ceremony-ALR eat<AF> rice,
li2014_thao_S020,PDF p. 398; printed p. 405; example (20),398,405,20,13-5,m-ayaw sa θaw ya antu mu-tantu.,mayaw sa θaw ya antu mutantu.,(I would have been) sorry to people if (I had) not gone there.,STA-shy DET person if not go-there,
li2014_thao_S021,PDF p. 399; printed p. 406; example (21),399,406,21,39-50,myaðáy a malan-ta-tnur t<m>aðam ya tima sa ma-ʔania panaq sa iðáy ɬpaðiSan.,myaðáy a malantatnur tmaðam ya tima sa maʔania panaq sa iðáy ɬpaðiSan.,"For such a practice, it was to test to see who was capable of shooting with an arrow.",in.that.way LIG MALAN-RED-practice test<AF> COMP who DET STA-capable shoot DET that arrow,
li2014_thao_S022,PDF p. 399; printed p. 406; example (22),399,406,22,39-57,"maqa tu kahiwan ma-θuaw antu pidara ya s<m>iwsiw, antu ma-rarabaða.","maqa tu kahiwan maθuaw antu pidara ya smiwsiw, antu mararabaða.",People in the past took a magic (a ritual ceremony) very seriously; they did not allow it to be slighted.,because DET formerly STA-very not pardon COMP do.magic<AF> not STA-joke,
li2014_thao_S023,PDF p. 399; printed p. 406; example (23),399,406,23,39-211,"iðáy binanawʔað, ya itiða sa rarifið, ʃi-na-haðiʃ-uan, kanun-iða suma wa binanawʔað ya ɬquðan.","iðáy binanawʔað, ya itiða sa rarifið, ʃinahaðiʃuan, kanuniða suma wa binanawʔað ya ɬquðan.","When the wooden plate of ancestors arrives, women should stay away, in case someone should be pregnant.",that woman when arrive DET plate go-to-far-please in.case-ALR some LIG woman COMP pregnant,
li2014_thao_S024,PDF p. 399; printed p. 406; example (24),399,406,24,39-236,"numa mataŋ-kaktun-iða, parʃian ya ma-qa-quyaʃ ʃa-ʃayla wa quyaʃ.","numa mataŋkaktuniða, parʃian ya maqaquyaʃ ʃaʃayla wa quyaʃ.","When all is over, to keep singing and dancing for the ritual ceremony is forbidden.",then MATAN-finish-ALR taboo COMP AF-RED-sing RED-perform LIG song,
li2014_thao_S025,PDF p. 399; printed p. 406; footnote 7 example (1),399,406,fn7-1,Blust 2003:1043,a muʃa iDa yaku ya saqaDi.,a muʃa iDa yaku ya saqaDi.,I'll leave this noon.,,Footnote 7 quotes this Thao example from Blust 2003; no gloss line is provided.
li2014_thao_S026,PDF p. 399; printed p. 406; footnote 7 example (2),399,406,fn7-2,Blust 2003:398,ya ʃaʃanu maθuaw waDaqan maharbuk.,ya ʃaʃanu maθuaw waDaqan maharbuk.,In the morning the lake is very foggy.,,Footnote 7 quotes this Thao example from Blust 2003; no gloss line is provided.
li2014_thao_S027,PDF p. 399; printed p. 406; footnote 7 example (3),399,406,fn7-3,Blust 2003:393,hadana ita iDa ya aDaDak.,hadana ita iDa ya aDaDak.,Let's adopt a child.,,Footnote 7 quotes this Thao example from Blust 2003; no gloss line is provided.
