table_id,page_number_one_based,printed_page_number,chapter_number,section_number,table_title,row_label,column_label,truku_form_raw,truku_form_clean,chinese_meaning_raw,chinese_meaning_clean,morphology_label,word_class_change,cell_raw,cell_clean,parse_confidence,xml_eligible_candidate,notes
p0023_t02,23,,,,,17,發音部位和方法;書寫文字;國際音標;語詞;中文,l,l,舌尖邊音,舌尖邊音,,,舌尖邊音 | l | l | laqi | 小孩,舌尖邊音 | l | l | laqi | 小孩,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t02,23,,,,,18,發音部位和方法;書寫文字;國際音標;語詞;中文,w,w,雙唇半元音,雙唇半元音,,,雙唇半元音 | w | w | waru | 脖子,雙唇半元音 | w | w | waru | 脖子,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t02,23,,,,,19,發音部位和方法;書寫文字;國際音標;語詞;中文,y,y,舌面半元音,舌面半元音,,,舌面半元音 | y | j | yayu | 小刀,舌面半元音 | y | j | yayu | 小刀,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t02,23,,,,,20,發音部位和方法;書寫文字;國際音標;語詞;中文,Total,Total,,,,,Total | 19 | 19 | 19 | 19,Total | 19 | 19 | 19 | 19,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0024_t01,24,,,,,1,;u, (e), (e),,,,, (e) | o, (e) | o,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0024_t01,24,,,,,2,;u,a,a,,,,,a,a,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0024_t02,24,,,,,1,發音部位和方法;書寫文字;國際音標;語詞;中文,i,i,前高元音,前高元音,,,前高元音 | i | i | isu | 你,前高元音 | i | i | isu | 你,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0024_t02,24,,,,,2,發音部位和方法;書寫文字;國際音標;語詞;中文,e,e,央中元音,央中元音,,,央中元音 | e |  | embrax | 力量,央中元音 | e |  | embrax | 力量,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0024_t02,24,,,,,3,發音部位和方法;書寫文字;國際音標;語詞;中文,a,a,央低元音,央低元音,,,央低元音 | a | a | asu | 船,央低元音 | a | a | asu | 船,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0024_t02,24,,,,,4,發音部位和方法;書寫文字;國際音標;語詞;中文,u,u,後高元音,後高元音,,,後高元音 | u | u | usik | 辣椒,後高元音 | u | u | usik | 辣椒,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0024_t02,24,,,,,5,發音部位和方法;書寫文字;國際音標;語詞;中文,o,o,後中元音,後中元音,,,後中元音 | o | o | do | 到了…的時候,後中元音 | o | o | do | 到了…的時候,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0024_t02,24,,,,,6,發音部位和方法;書寫文字;國際音標;語詞;中文,Total,Total,,,,,Total | 5 | 5 | 5 | 5,Total | 5 | 5 | 5 | 5,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0028_t01,28,,,,,1,;;;;附著式;;;;;;自由式;;;;;;;,,,人稱,人稱,,,人稱,人稱,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0028_t01,28,,,,,2,;;;;附著式;;;;;;自由式;;;;;;;,,,主格,主格,,,主格 | 屬格 | 中性格 | 所有格 | 受格,主格 | 屬格 | 中性格 | 所有格 | 受格,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0028_t01,28,,,,,4,;;;;附著式;;;;;;自由式;;;;;;;,1S,1S,,,,,1S | ku | mu | yaku | (n)naku | knan,1S | ku | mu | yaku | (n)naku | knan,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0028_t01,28,,,,,5,;;;;附著式;;;;;;自由式;;;;;;;,2S,2S,,,,,2S | su | su | isu | (n)nisu | sunan,2S | su | su | isu | (n)nisu | sunan,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0028_t01,28,,,,,6,;;;;附著式;;;;;;自由式;;;;;;;,3S,3S,,,,,3S | ─── | na/niya | hiya | nhiya | hyaan,3S | ─── | na/niya | hiya | nhiya | hyaan,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0028_t01,28,,,,,7,;;;;附著式;;;;;;自由式;;;;;;;,1PL,1PL,,,,,1PL | nami | nami | yami | (n)nami | mnan,1PL | nami | nami | yami | (n)nami | mnan,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0028_t01,28,,,,,8,;;;;附著式;;;;;;自由式;;;;;;;,1PE,1PE,,,,,1PE | ta | ta | ita | (n)nita | tnan,1PE | ta | ta | ita | (n)nita | tnan,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0028_t01,28,,,,,9,;;;;附著式;;;;;;自由式;;;;;;;,2P,2P,,,,,2P | namu | namu | yamu | (n)namu | munan,2P | namu | namu | yamu | (n)namu | munan,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0028_t01,28,,,,,10,;;;;附著式;;;;;;自由式;;;;;;;,3P,3P,,,,,3P | ─── | dha | dhiya | (n)dhiya | dhyaan,3P | ─── | dha | dhiya | (n)dhiya | dhyaan,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0033_t01,33,,,,,1,;焦點類別;;;焦點詞綴;;;所屬時態;;;表達的語意角色;,m- / em- / -m- / Ø-,m- / em- / -m- / Ø-,主事焦點,主事焦點,,,主事焦點 | m- / em- / -m- / Ø- | 現在式 | 主事者,主事焦點 | m- / em- / -m- / Ø- | 現在式 | 主事者,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0033_t01,33,,,,,2,;焦點類別;;;焦點詞綴;;;所屬時態;;;表達的語意角色;,-un,-un,受事焦點,受事焦點,,,受事焦點 | -un | 未來式 | 受事者,受事焦點 | -un | 未來式 | 受事者,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0033_t01,33,,,,,3,;焦點類別;;;焦點詞綴;;;所屬時態;;;表達的語意角色;,-an,-an,處所焦點,處所焦點,,,處所焦點 | -an | 過去式 | 處所,處所焦點 | -an | 過去式 | 處所,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0033_t01,33,,,,,4,;焦點類別;;;焦點詞綴;;;所屬時態;;;表達的語意角色;,s-,s-,工具/受惠焦點,工具/受惠焦點,,,工具/受惠焦點 | s- | 過去式或未來式 | 工具 / 受惠,工具/受惠焦點 | s- | 過去式或未來式 | 工具 / 受惠,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0035_t01,35,,,,,1,;主事焦點的詞綴;;;主語的語意角色;;;例字/句;,m-,m-,主事者,主事者,,,m- | 主事者 | 12a,m- | 主事者 | 12a,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0035_t01,35,,,,,2,;主事焦點的詞綴;;;主語的語意角色;;;例字/句;,12b,12b,客體,客體,,,客體 | 12b,客體 | 12b,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0035_t01,35,,,,,3,;主事焦點的詞綴;;;主語的語意角色;;;例字/句;,12c,12c,經驗者,經驗者,,,經驗者 | 12c,經驗者 | 12c,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0035_t01,35,,,,,4,;主事焦點的詞綴;;;主語的語意角色;;;例字/句;,em-,em-,主事者,主事者,,,em- | 主事者 | 13a,em- | 主事者 | 13a,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0035_t01,35,,,,,5,;主事焦點的詞綴;;;主語的語意角色;;;例字/句;,13b,13b,客體,客體,,,客體 | 13b,客體 | 13b,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0035_t01,35,,,,,6,;主事焦點的詞綴;;;主語的語意角色;;;例字/句;,-m-,-m-,主事者,主事者,,,-m- | 主事者 | 14a,-m- | 主事者 | 14a,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0035_t01,35,,,,,7,;主事焦點的詞綴;;;主語的語意角色;;;例字/句;,14b,14b,客體,客體,,,客體 | 14b,客體 | 14b,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0035_t01,35,,,,,8,;主事焦點的詞綴;;;主語的語意角色;;;例字/句;,15a、15b,15a、15b,主事者,主事者,,,Ø- | 主事者 | 15a、15b,Ø- | 主事者 | 15a、15b,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0036_t01,36,,,,,1,Language Transitivity;;Atayal;;;Truku;;;Seediq;;;Saisiyat;;;Amis;;;Bunun;,"(-um-, m-, ma-, )","(-um-, m-, ma-, )",,,,,"(-um-, m-, ma-, ) | (m-, m-, em-, ) | (-m-, m-, ) | (-om-, m-, ma-, ) | (mi-, -um-, ma-, ) | (ma-, mu-, m-, )","(-um-, m-, ma-, ) | (m-, m-, em-, ) | (-m-, m-, ) | (-om-, m-, ma-, ) | (mi-, -um-, ma-, ) | (ma-, mu-, m-, )",medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0036_t01,36,,,,,2,Language Transitivity;;Atayal;;;Truku;;;Seediq;;;Saisiyat;;;Amis;;;Bunun;,High,High,,,,,"High | -um,-, m- ∅ | -m- ∅ | -m- ∅ | -om- ∅ | mi- ∅ | ma- ∅","High | -um,-, m- ∅ | -m- ∅ | -m- ∅ | -om- ∅ | mi- ∅ | ma- ∅",medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0036_t01,36,,,,,3,Language Transitivity;;Atayal;;;Truku;;;Seediq;;;Saisiyat;;;Amis;;;Bunun;,Low,Low,,,,,"Low | ma- | m- | m- | m- | ma- | m-, mu-","Low | ma- | m- | m- | m- | ma- | m-, mu-",medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0036_t01,36,,,,,4,Language Transitivity;;Atayal;;;Truku;;;Seediq;;;Saisiyat;;;Amis;;;Bunun;,t-um-aqu 推倒 ma-taqu 跌倒 2,t-um-aqu 推倒 ma-taqu 跌倒 2,例子,例子,,,例子 | t-um-aqu 推倒 ma-taqu 跌倒 2 | d-em-engu 用濕 | t-m-utuy 叫醒 m-tutuy 醒 | l-om-akay 打破 m-’in-lakay 破掉 | mi-patay 殺死 ma-patay 死亡 | ma-pinkaylas 醒 m-pinkaylas 叫醒,例子 | t-um-aqu 推倒 ma-taqu 跌倒 2 | d-em-engu 用濕 | t-m-utuy 叫醒 m-tutuy 醒 | l-om-akay 打破 m-’in-lakay 破掉 | mi-patay 殺死 ma-patay 死亡 | ma-pinkaylas 醒 m-pinkaylas 叫醒,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0036_t01,36,,,,,5,Language Transitivity;;Atayal;;;Truku;;;Seediq;;;Saisiyat;;;Amis;;;Bunun;,me-dengu 濕,me-dengu 濕,me-dengu 濕,me-dengu 濕,,,me-dengu 濕,me-dengu 濕,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0037_t01,37,,,,,1,;主事焦點形式;;;語法功能;;;動詞及物性;;;表示時態;,m-,m-,動詞化、名物化,動詞化、名物化,,,m- | 動詞化、名物化 | 較低 | 未來式 (將要),m- | 動詞化、名物化 | 較低 | 未來式 (將要),medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0037_t01,37,,,,,2,;主事焦點形式;;;語法功能;;;動詞及物性;;;表示時態;,-m-,-m-,動詞化、無名物化 28,動詞化、無名物化 28,,,-m- | 動詞化、無名物化 28 | 較高 | 進行式 (正在),-m- | 動詞化、無名物化 28 | 較高 | 進行式 (正在),medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0039_t01,39,,,,,1,;動詞搭配的詞綴形式;;;產生的語意角色和類別;,-an,-an,過去式、處所,過去式、處所,,,-an | 過去式、處所,-an | 過去式、處所,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0039_t01,39,,,,,2,;動詞搭配的詞綴形式;;;產生的語意角色和類別;,-n-…-an,-n-…-an,過去式,過去式,,,-n-…-an | 過去式,-n-…-an | 過去式,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0059_t01,59,,,,,1,;序號;;;詞彙;;;發音人一;;;發音人二;;;發音人三66;,mirit kusuy (羊+雜亂的),mirit kusuy (羊+雜亂的),綿羊,綿羊,,,1 | 綿羊 | mirit kusuy (羊+雜亂的) | mirit uban (羊+毛) | mirit uban (羊+毛),1 | 綿羊 | mirit kusuy (羊+雜亂的) | mirit uban (羊+毛) | mirit uban (羊+毛),medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0059_t01,59,,,,,2,;序號;;;詞彙;;;發音人一;;;發音人二;;;發音人三66;,kacing s-waru (牛+s-脖子),kacing s-waru (牛+s-脖子),長頸鹿,長頸鹿,,,2 | 長頸鹿 | kacing s-waru (牛+s-脖子) | ─── | rqnux bbaraw waru (鹿+很長的+脖子),2 | 長頸鹿 | kacing s-waru (牛+s-脖子) | ─── | rqnux bbaraw waru (鹿+很長的+脖子),medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0059_t01,59,,,,,3,;序號;;;詞彙;;;發音人一;;;發音人二;;;發音人三66;,asu rudux (船+雞),asu rudux (船+雞),雞槽,雞槽,,,3 | 雞槽 | asu rudux (船+雞) | tbg-an rudux (餵-LF+雞) | tbg-an rudux (餵-LF+雞),3 | 雞槽 | asu rudux (船+雞) | tbg-an rudux (餵-LF+雞) | tbg-an rudux (餵-LF+雞),medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0059_t01,59,,,,,4,;序號;;;詞彙;;;發音人一;;;發音人二;;;發音人三66;,kulu huda (箱+冰),kulu huda (箱+冰),冰箱,冰箱,,,4 | 冰箱 | kulu huda (箱+冰) | sku-an pajiq (存放-LF+菜) | sku-an samat (存放-LF+獸肉),4 | 冰箱 | kulu huda (箱+冰) | sku-an pajiq (存放-LF+菜) | sku-an samat (存放-LF+獸肉),medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0059_t01,59,,,,,5,;序號;;;詞彙;;;發音人一;;;發音人二;;;發音人三66;,tdruy bahu (車子+箱子),tdruy bahu (車子+箱子),公車,公車,,,5 | 公車 | tdruy bahu (車子+箱子) | tdruy ppa-an (車子+搭載-LF) | tdruy ppa-an (車子+搭載-LF),5 | 公車 | tdruy bahu (車子+箱子) | tdruy ppa-an (車子+搭載-LF) | tdruy ppa-an (車子+搭載-LF),medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0061_t01,61,,,,,1,;華語;;;太魯閣語;;;內部詞素;,bukung alang,bukung alang,村長,村長,,,村長 | bukung alang | 統治者+部落,村長 | bukung alang | 統治者+部落,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0061_t01,61,,,,,2,;華語;;;太魯閣語;;;內部詞素;,bukung m-klawa,bukung m-klawa,總統,總統,,,總統 | bukung m-klawa | 統治者+照顧者,總統 | bukung m-klawa | 統治者+照顧者,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0061_t01,61,,,,,3,;華語;;;太魯閣語;;;內部詞素;,bukung n-sg-an,bukung n-sg-an,鄉長,鄉長,,,鄉長 | bukung n-sg-an | 統治者+分配,鄉長 | bukung n-sg-an | 統治者+分配,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0062_t01,62,,,,,1,縣長;bukung n-yus-an;統治者+界線,bukung ptas-an,bukung ptas-an,校長,校長,,,校長 | bukung ptas-an | 統治者+學校,校長 | bukung ptas-an | 統治者+學校,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0062_t02,62,,,,,1,;華語;;;太魯閣語;;;內部詞素;,m-klawa alang,m-klawa alang,警察,警察,,,警察 | m-klawa alang | 照顧者+部落,警察 | m-klawa alang | 照顧者+部落,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0062_t02,62,,,,,2,;華語;;;太魯閣語;;;內部詞素;,m-klawa laqi,m-klawa laqi,保母,保母,,,保母 | m-klawa laqi | 照顧者+小孩,保母 | m-klawa laqi | 照顧者+小孩,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0062_t02,62,,,,,3,;華語;;;太魯閣語;;;內部詞素;,m-klawa qpah-un,m-klawa qpah-un,工頭,工頭,,,工頭 | m-klawa qpah-un | 照顧者+工作,工頭 | m-klawa qpah-un | 照顧者+工作,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0062_t03,62,,,,,1,;華語;;;太魯閣語;;;內部詞素;,quyu bhngil,quyu bhngil,青竹絲,青竹絲,,,青竹絲 | quyu bhngil | 蛇+芒草(蘆葦),青竹絲 | quyu bhngil | 蛇+芒草(蘆葦),medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0062_t03,62,,,,,2,;華語;;;太魯閣語;;;內部詞素;,quyu shus,quyu shus,眼鏡蛇,眼鏡蛇,,,眼鏡蛇 | quyu shus | 蛇+擬聲詞,眼鏡蛇 | quyu shus | 蛇+擬聲詞,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0062_t03,62,,,,,3,;華語;;;太魯閣語;;;內部詞素;,quyu buraw,quyu buraw,錦蛇,錦蛇,,,錦蛇 | quyu buraw | 蛇+老、舊,錦蛇 | quyu buraw | 蛇+老、舊,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0062_t03,62,,,,,4,;華語;;;太魯閣語;;;內部詞素;,quyu kawir,quyu kawir,雨傘節,雨傘節,,,雨傘節 | quyu kawir | 蛇+彎的(項鍊),雨傘節 | quyu kawir | 蛇+彎的(項鍊),medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0062_t03,62,,,,,5,;華語;;;太魯閣語;;;內部詞素;,quyu mlhay,quyu mlhay,百步蛇,百步蛇,,,百步蛇 | quyu mlhay | 蛇+百步蛇,百步蛇 | quyu mlhay | 蛇+百步蛇,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0062_t04,62,,,,,1,;華語;;;太魯閣語;;;內部詞素;,qowlit balay,qowlit balay,山老鼠 (胸口有白線),山老鼠 (胸口有白線),,,山老鼠 (胸口有白線) | qowlit balay | 老鼠+一般,山老鼠 (胸口有白線) | qowlit balay | 老鼠+一般,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0062_t04,62,,,,,2,;華語;;;太魯閣語;;;內部詞素;,qowlit gmiya,qowlit gmiya,田鼠,田鼠,,,田鼠 | qowlit gmiya | 老鼠+茅草,田鼠 | qowlit gmiya | 老鼠+茅草,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0062_t04,62,,,,,3,;華語;;;太魯閣語;;;內部詞素;,qowlit s-muhing,qowlit s-muhing,鼬鼠,鼬鼠,,,鼬鼠 | qowlit s-muhing | 老鼠+長鼻子的,鼬鼠 | qowlit s-muhing | 老鼠+長鼻子的,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
