example_record_id,page_number_one_based,example_label_clean,truku_line_clean,chinese_translation_clean,rejection_reason,notes
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0145,64,(11),花類：phpah (花)、bowxi (百合花)、snegil (櫻花)、swasan (蓮花)。,,form_contains_chinese_or_academic_prose,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0146,64,(8),和(9)都是透過複合形式來造詞，分別以sari和usik做為核心詞，在例(8),draqun (指有顏色的豆子，即花豆)。,form_contains_chinese_or_academic_prose,form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0147,65,(12),食：uqun (吃的東西、食物),,form_contains_chinese_or_academic_prose,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0148,65,(13),衣：lukus (衣服),外衣 lukus mg-truma 衣服+在下面的,form_contains_chinese_or_academic_prose,missing_chinese_free_translation;form_contains_cjk; split_embedded_translation_from_gloss
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0149,65,(14),住：sapah (家),,form_contains_chinese_or_academic_prose,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0150,65,(15),行：tdruy (車),,form_contains_chinese_or_academic_prose,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0151,65,(12),的詞彙各有兩種說法，第一種uq-un是受事焦點，表示要吃的東西，第,作為核心詞擴展，再依照該物最突顯的特徵來命名。,form_contains_chinese_or_academic_prose,form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0152,66,(16),tama,爸爸,isolated_affix_lexeme_or_morphology_record_sidecar_only,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0153,66,(17),patas,書、信,isolated_affix_lexeme_or_morphology_record_sidecar_only,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0154,66,(16),的 tama (爸爸)對太魯閣族來說相當重要，核心語意除了爸爸外，還有,對太魯閣族的重要性。,form_contains_chinese_or_academic_prose,form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0155,66,(18),balay,一般,isolated_affix_lexeme_or_morphology_record_sidecar_only,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0156,67,(19),utux(,鬼、神、祖靈),isolated_affix_lexeme_or_morphology_record_sidecar_only,removed_trailing_translation_footnote_number
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0157,68,(20),paru,大的,isolated_affix_lexeme_or_morphology_record_sidecar_only,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0158,68,(20),修飾語都是paru，這類的詞彙和文化並沒有很大的關係，但是可以發,加大、後兩個詞彙是屬於「狀態」的加強。,form_contains_chinese_or_academic_prose,form_contains_cjk; removed_trailing_translation_footnote_number
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0159,68,(21),em-banah(,紅的),isolated_affix_lexeme_or_morphology_record_sidecar_only,removed_trailing_translation_footnote_number
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0160,68,(21),都是以 em-banah 當作修飾語，這類的詞是以「外觀」的顏色為主要,觀上的不同，因此用「紅色的鐵」來表示銅。,form_contains_chinese_or_academic_prose,form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0161,71,(1) a.,綴 t-，可以將名詞詞根轉變為動詞，如 t- + bqlit (膝蓋) → t-bqlit (跪下)。,,form_contains_chinese_or_academic_prose,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0162,71,(1) b.,綴-an，可以和詞根組合表示處所或地方，如 trima (洗澡) + -an → trma-an,,form_contains_chinese_or_academic_prose,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0163,72,(1) c.,是少數的。太魯閣語的中綴只有-m-和-n-兩個，但是絕大多數是不具有,衍生功能。,form_contains_chinese_or_academic_prose,form_contains_cjk; removed_trailing_translation_footnote_number
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0185,79,(11) b.,Malu uq-un ka n-hapuy nii.,,missing_source_published_chinese_translation,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0188,79,(12) c.,* N-nima ka s-n-rus nii? (* N-nima ka n-srus nii?),,ungrammatical_starred_form,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0214,87,(24) b.,* S-mring =ku da.,,ungrammatical_starred_form,missing_chinese_free_translation
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0238,94,(34) a.,bhraw (,追) → p-bhraw (讓…追),isolated_affix_lexeme_or_morphology_record_sidecar_only,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0239,94,(34) b.,phpah (,花) → em-phpah (開花，AF 形式),isolated_affix_lexeme_or_morphology_record_sidecar_only,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0240,94,(34) c.,hapuy (,煮) → p-hapuy (使…煮；叫人煮),isolated_affix_lexeme_or_morphology_record_sidecar_only,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0241,94,(34) d.,tgsa (,教) → p-tgsa (使…教；受教),isolated_affix_lexeme_or_morphology_record_sidecar_only,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0267,119,(41) a.,衍生 > 複合：qowlit (老鼠) + s-muhing (長鼻子) → qowlit s-muhing 鼴鼠,,form_contains_chinese_or_academic_prose,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0268,119,(41) b.,* qowlit + muhing (,有鼻子的老鼠) → qowlit s-muhing (鼴鼠),ungrammatical_starred_form,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0269,119,(41),要檢視的是「衍生和複合」的先後順序。(41a)是衍生先於複合，不論,順序上也是不正確的。,form_contains_chinese_or_academic_prose,form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0270,119,(42) a.,衍生 > 重疊：t-m-b-bowyak 專門抓山豬(的人),,form_contains_chinese_or_academic_prose,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0271,119,(42) b.,bowyak (,山豬) → * b-bowyak (很多山豬) → * t-b-bowyak (抓很多山豬),isolated_affix_lexeme_or_morphology_record_sidecar_only,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0272,119,(42),要檢視的是「衍生和重疊」的先後順序。(42a)是衍生先於重疊，順序,此這樣的順序上也是不正確的。,form_contains_chinese_or_academic_prose,form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0273,119,(43) a.,重疊 > 複合：kuwi (蟲) + qalux (黑色) → kuwi qalux (小黑蚊),1. kuwi (蟲) → kw-kuwi (很多蟲) → kw-kuwi qalux (很多黑色的蟲),form_contains_chinese_or_academic_prose,form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0274,120,(43) b.,1. kuwi qalux (,小黑蚊) → kw-kuwi qalux (很多小黑蚊),isolated_affix_lexeme_or_morphology_record_sidecar_only,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0275,120,(43),要檢視的是重疊和複合的先後順序。(43a)是重疊先於複合，(43a.1)是,這兩個順序都出了一點問題。,form_contains_chinese_or_academic_prose,form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0276,120,(44) a.,1. birat (,耳朵) → s-birat (長耳朵的) → kacing s-birat (驢子),isolated_affix_lexeme_or_morphology_record_sidecar_only,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0277,120,(44) b.,1. birat (,耳朵) → s-birat (長耳朵的) → s-sbirat (很多兔子),isolated_affix_lexeme_or_morphology_record_sidecar_only,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0290,127,(5) b.,btunux qurug,圓的石頭。,isolated_affix_lexeme_or_morphology_record_sidecar_only,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0321,144,(19) a.,借代路徑：以 kulu(箱子)為例。,,form_contains_chinese_or_academic_prose,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0322,144,(19) b.,特指路徑：以 uqan(吃的地方)為例。,,form_contains_chinese_or_academic_prose,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0323,145,(19) a.,以 klaway(燕子)為例：,,form_contains_chinese_or_academic_prose,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0324,145,(19) b.,以 elug(道路)為例：,,form_contains_chinese_or_academic_prose,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0325,146,(20) a.,以 qurug(腎)為例：,,form_contains_chinese_or_academic_prose,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0326,146,(20) b.,以 msapuh(巫師、巫婆)為例：,,form_contains_chinese_or_academic_prose,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0327,147,(21) a.,以 empqeepah(農夫)為例：,,form_contains_chinese_or_academic_prose,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0328,147,(21) b.,以 qmpahan(農地)為例：,,form_contains_chinese_or_academic_prose,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0329,152,(1) a.,前綴 emp-的能產性高於前綴 m-，前者能和多數動詞搭配表示「指人或職,業」，但後者只能和少數動詞搭配。,form_contains_chinese_or_academic_prose,form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0330,152,(1) b.,若和前綴 emp-搭配可表示「指人或職業」的詞彙，該詞彙也可以表示未,即兩個詞彙有清楚的分工，如：m-sapuh(醫生)、emp-sapuh(將要求診)。,form_contains_chinese_or_academic_prose,form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0331,152,(2) a.,前綴 sk-不是雙語素詞綴，而是前綴 s-加上前綴 k-組成，前者是工具焦點,詞綴，後者是靜態動詞標記。,form_contains_chinese_or_academic_prose,form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0332,152,(2) b.,前綴 s-可表原因，前綴 s-k-也可表原因，但前者一般都和動態動詞搭配，,,form_contains_chinese_or_academic_prose,missing_chinese_free_translation;form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0333,153,(3) a.,前綴 t-和前綴 s-都可表示「產生」，兩者之間不易區分，目前僅發現幾個,例子同時加上 s-和 t-時會有明顯區分，但是並未成為一個系統性。,form_contains_chinese_or_academic_prose,form_contains_cjk
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0334,153,(3) b.,這類的詞彙幾乎都只會搭配前綴 s-，如 s-bgihur(起風)；是屬於自然現象,中的「實體」，這類的詞彙幾乎都會搭配前綴 t-，如 t-pngrah(星星出來)。,form_contains_chinese_or_academic_prose,form_contains_cjk
