example_record_id,sentence_id,page_number_one_based,example_label_clean,form_token_count,gloss_token_count,word_count_emitted,morpheme_count_emitted,alignment_status,reason,form_tokens,gloss_tokens,notes
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0043,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E011H,32,(11) h.,8,7,8,11,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,S-pe-adas =na ktu-an mgay knan ka patas nii,IF-Caus-帶-他 人名-受格 給 我 主格 書本 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0049,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E012A,33,(12) a.,6,5,6,7,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-imah sinaw kdjiyax ka tama =mu,AF-喝 酒 每天 主格 爸爸-我,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0050,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E012B,34,(12) b.,5,5,5,6,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-sibus balay ka emmu nii,AF-甜 非常 主格 糖果 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0051,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E012C,34,(12) c.,4,4,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-ngungu utux ka laqi,AF-害怕 鬼 主格 小孩,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0053,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E013A,34,(13) a.,4,4,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Em-psru knan ka hiya,AF-打 我 主格 他,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0054,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E013B,34,(13) b.,4,4,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Em-brhibung ka blbul nii,AF-成熟 主格 香蕉 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0056,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E014A,34,(14) a.,5,4,5,6,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,S-m-alu lukus ka kuyuh =mu,製作<AF> 衣服 主格 太太-我,infix_reanalysis S-m-alu -> S-alu+-m-
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0057,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E014B,34,(14) b.,4,4,4,6,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,S-m-huda ka qsiya nii,s-<AF>-雪 主格 水 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0058,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E015A,34,(15) a.,5,5,5,6,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Ø-dhuq sapah ka tama da,AF-到達 家 主格 爸爸 了,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0059,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E015B,35,(15) b.,6,6,6,9,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Ø-thmuku quri emp-tgsa ka laqi em-patas,AF-彎腰 向 emp-教 主格 小孩 AF-書寫,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0060,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E016A,35,(16) a.,3,2,3,4,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-tutuy =ku da,AF-起來-我 了,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0061,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E016B,36,(16) b.,4,4,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,T-m-utuy knan ka tama,起來<AF> 我 主格 爸爸,infix_reanalysis T-m-utuy -> T-utuy+-m-
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0062,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E017A,36,(17) a.,4,3,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-hidaw =ku lukus ngangut,AF-曬-我 衣服 外面,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0063,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E017B,36,(17) b.,4,3,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,H-m-idaw =ku lukus ngangut,曬<AF>-我 衣服 外面,infix_reanalysis H-m-idaw -> H-idaw+-m-
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0064,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E018A,37,(18) a.,5,4,5,6,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Ds-un =mu ka qabang nii,帶-PF-我 主格 棉被 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0065,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E018B,37,(18) b.,5,4,5,6,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Ttak-un =mu ka qhuni nii,砍-PF-我 主格 木頭 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0066,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E018C,37,(18) c.,5,4,5,6,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Biq-un =na pila ka laqi,給-PF-他 錢 主格 小孩,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0071,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E021A,38,(21) a.,4,3,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Tqi-an =mu ka hiya,睡-an-我 主格 那裡,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0072,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E021B,38,(21) b.,3,3,3,4,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Hpuy-an ka gaga,煮-LF 主格 那,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0073,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E021C,38,(21) c.,5,5,5,6,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Biq-an pila tama ka laqi,給-LF 錢 爸爸 主格 小孩,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0074,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E021D,38,(21) d.,6,5,6,9,words_only,source_gloss_not_reliably_alignable,S-n-lu-an kuyuh =mu ka lukus nii,製作-n-LF 太太-我 主格 衣服 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0075,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E022A,39,(22) a.,6,6,6,7,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,S-qarit gasil laqi ka qarit nii,IF-剪刀 繩子 小孩 主格 剪刀 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0076,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E022B,39,(22) b.,5,4,5,6,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,S-hangut =mu idaw ka Lowking,IF-煮-我 飯 主格 人名,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0077,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E022C,39,(22) c.,8,7,8,10,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,S-lingis =na o yamu m-takur ka laqi nii,IF-哭-他 主題 因為 AF-跌倒 主格 小孩 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0078,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E023A,40,(23) a.,5,4,5,6,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-hapuy idaw ka bubu =mu,AF-煮 飯 主格 媽媽-我,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0080,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E023C,40,(23) c.,5,4,5,6,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Ds-un =mu ka huling nii,帶-PF-我 主格 狗 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0080,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E023Cb,40,(23) c.,6,5,6,7,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Ds-un =mu saman ka huling nii,帶-PF-我 明天 主格 狗 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0081,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E023D,40,(23) d.,5,4,5,6,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Ds-an =mu ka huling nii,帶-PF-我 主格 狗 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0081,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E023Db,40,(23) d.,6,5,6,7,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Ds-an =mu shiga ka huling nii,帶-PF-我 昨天 主格 狗 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0082,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E023E,40,(23) e.,5,4,5,8,words_only,source_gloss_not_reliably_alignable,T-n-tak-an =mu ka spriq nii,砍-LF-我 主格 草 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0084,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E024A,41,(24) a.,4,4,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Hpuy-an =nami ka nii,煮-LF 我們 主格 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0085,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E024B,41,(24) b.,4,4,4,7,words_only,word_count_matches_source_gloss_token_count_but_word_level_gloss_not_emitted,H-n-puy-an idaw ka bubu,煮-LF 飯 主格 媽媽,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0087,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E025B,41,(25) b.,5,5,5,7,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-ha s-buraw ka blbul nii,未-去 IF-爛 主格 香蕉 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0088,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E025C,41,(25) c.,3,2,3,4,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-kan =ku idaw,AF-吃-我 飯,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0089,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E025D,41,(25) d.,3,2,3,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-m-kan =ku idaw,未-AF-吃-我 飯,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0090,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E025E,41,(25) e.,4,4,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Em-phpah ka phpah nii,AF-花 主格 花 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0091,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E025F,41,(25) f.,4,4,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Emp-phpah ka phpah nii,未-花 主格 花 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0092,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E026A,42,(26) a.,3,2,3,4,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-n-kan =ku idaw,吃<n>-我 飯,infix_reanalysis M-n-kan -> M-kan+-n-
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0092,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E026Ab,42,(26) a.,4,3,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-n-kan =ku idaw da,吃<n>-我 飯 了,infix_reanalysis M-n-kan -> M-kan+-n-
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0093,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E026B,42,(26) b.,5,4,5,6,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Wada m-taqi ka tama =mu,助動詞 AF-睡 主格 爸爸-我,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0094,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E026C,42,(26) c.,5,5,5,6,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Wada p-riyax ka hidaw da,完成貌 p-下降 主格 太陽 了,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0095,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E026A_0079_01,42,(26) a.,4,4,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-tgsa laqi ka Lowking,AF-教 小孩 主格 人名,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0096,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E026B_0080_01,42,(26) b.,4,4,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Emp-tgsa laqi ka Lowking,emp-教 小孩 主格 人名,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0098,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E026E,43,(26) e.,5,4,5,7,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Jima m-kan =ku n-hapuy da,已經 AF-吃-我 n-煮 了,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0099,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E027A,43,(27) a.,3,3,3,3,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Gaga =su hmuya,正在 你 做什麼,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0100,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E027B,43,(27) b.,3,3,3,3,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Gisu =su hmuya,正在 你 做什麼,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0101,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E027C,43,(27) c.,4,4,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Gisu m-taqi ka hiya,進行貌 AF-睡 主格 他,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0102,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E027D,44,(27) d.,4,4,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Gaga m-taqi ka hiya,持續貌 AF-睡 主格 他,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0103,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E027E,44,(27) e.,5,5,5,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Gaga bsukan ka risaw gaga,進行貌 宿醉 主格 男人 那個,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0104,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E028A,44,(28) a.,2,0,2,2,words_only,no_source_gloss_line,gisu hini,,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0105,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E028B,44,(28) b.,2,0,2,2,words_only,no_source_gloss_line,nii hini,,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0106,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E028C,44,(28) c.,2,0,2,2,words_only,no_source_gloss_line,gaga hini,,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0107,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E030A,45,(30) a.,4,3,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-eha =ku sapah da,AF-去-我 回家 了,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0108,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E030B,45,(30) b.,2,2,2,3,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,S-bgihur da,IF-風 了,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0109,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E001A1,54,(1) a.1,2,2,2,2,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,qhuni qowlit,木 老鼠,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0110,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E001A2,54,(1) a.2,2,2,2,2,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,kuwi quci,蟲 糞便,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0111,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E001A,54,(1) a.,2,2,2,2,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,ska hidaw,中間 太陽,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0112,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E001B,54,(1) b.,2,2,2,3,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,lukus mg-babaw,衣服 mg-上面,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0113,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E001B1,55,(1) b.1,2,2,2,3,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,bukung ptas-an,統治者 書寫-LF,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0114,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E001B2,55,(1) b.2,2,2,2,4,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,bukung n-sg-an,統治者 n-分配-LF,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0115,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C02_E001C1,55,(1) c.1,2,2,2,3,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,ptas-an prajing,書寫-LF 開始,
