id	source_locator	pdf_page	printed_page	example_label	source_ref	included	original	gloss	translation	notes
li2014_thao_S001	PDF p. 395; printed p. 402; example (1)	395	402	1	5-7	yes	ma-faðaq m-apa buna masa kawi.	AF-know AF-carry.on.back sweet.potatoes and firewood	I know how to carry sweet potatoes and firewood on my back.	OCR/source text omitted a space in "firewood on"; corrected in translation only.
li2014_thao_S018	PDF p. 398; printed p. 405; example (18)	398	405	18	6-12	yes	maqa ma-tiŋ-qaran mun-ɬawʃin, maqa antu ma-qirið ya mu-buhat.	so.that STA-TIN-happy MUN-swing so.that not STA-tired if/when go-field	To go swinging so that one is happy, so that one does not get tired if/when working in the field.
li2014_thao_S019	PDF p. 398; printed p. 405; example (19)	398	405	19	8-14	yes	numa ya m<in>u-lalu-yða, k<m>an afu.	then if/when AF<PFV>hold-ceremony-ALR eat<AF> rice	If/When the ceremony is over, (we) eat cooked rice.
li2014_thao_S020	PDF p. 398; printed p. 405; example (20)	398	405	20	13-5	yes	m-ayaw sa θaw ya antu mu-tantu.	STA-shy DET person if not go-there	(I would have been) sorry to people if (I had) not gone there.
li2014_thao_S021	PDF p. 399; printed p. 406; example (21)	399	406	21	39-50	yes	myaðáy a malan-ta-tnur t<m>aðam ya tima sa ma-ʔania panaq sa iðáy ɬpaðiSan.	in.that.way LIG MALAN-RED-practice test<AF> COMP who DET STA-capable shoot DET that arrow	For such a practice, it was to test to see who was capable of shooting with an arrow.
li2014_thao_S022	PDF p. 399; printed p. 406; example (22)	399	406	22	39-57	yes	maqa tu kahiwan ma-θuaw antu pidara ya s<m>iwsiw, antu ma-rarabaða.	because DET formerly STA-very not pardon COMP do.magic<AF> not STA-joke	People in the past took a magic (a ritual ceremony) very seriously; they did not allow it to be slighted.
li2014_thao_S023	PDF p. 399; printed p. 406; example (23)	399	406	23	39-211	yes	iðáy binanawʔað, ya itiða sa rarifið, ʃi-na-haðiʃ-uan, kanun-iða suma wa binanawʔað ya ɬquðan.	that woman when arrive DET plate go-to-far-please in.case-ALR some LIG woman COMP pregnant	When the wooden plate of ancestors arrives, women should stay away, in case someone should be pregnant.
li2014_thao_S024	PDF p. 399; printed p. 406; example (24)	399	406	24	39-236	yes	numa mataŋ-kaktun-iða, parʃian ya ma-qa-quyaʃ ʃa-ʃayla wa quyaʃ.	then MATAN-finish-ALR taboo COMP AF-RED-sing RED-perform LIG song	When all is over, to keep singing and dancing for the ritual ceremony is forbidden.
li2014_thao_S025	PDF p. 399; printed p. 406; footnote 7 example (1)	399	406	fn7-1	Blust 2003:1043	yes	a muʃa iDa yaku ya saqaDi.		I'll leave this noon.	Footnote 7 quotes this Thao example from Blust 2003; no gloss line is provided.
li2014_thao_S026	PDF p. 399; printed p. 406; footnote 7 example (2)	399	406	fn7-2	Blust 2003:398	yes	ya ʃaʃanu maθuaw waDaqan maharbuk.		In the morning the lake is very foggy.	Footnote 7 quotes this Thao example from Blust 2003; no gloss line is provided.
li2014_thao_S027	PDF p. 399; printed p. 406; footnote 7 example (3)	399	406	fn7-3	Blust 2003:393	yes	hadana ita iDa ya aDaDak.		Let's adopt a child.	Footnote 7 quotes this Thao example from Blust 2003; no gloss line is provided.
