record_id	section	section_title	part	label	printed_page_start	printed_page_end	pdf_object_page_start	pdf_object_page_end	has_translation	form_chars	standard_chars	translation_chars	notes	translation	form	standard
section_03_item_05	3	The Ten Commandments of the Lord	numbered_item	item_05	4	4	36	36	True	90	87	124	Printed numbered item aligned to the corresponding English item; boundary number omitted	Be modest or respectful to thy father and mother, that thy days be prolonged in the land, that the Lord thy God giveth thee.	A-arichá oa tamau ṣo-o oa tanai, alla moab o zijsja de ta-ech, ta Jehova oa Deos pe'o ijo.	Aarichá oa tamau ṣoo oa tanai, alla moab o zijsja de taech, ta Jehova oa Deos pe'o ijo.
section_03_item_06	3	The Ten Commandments of the Lord	numbered_item	item_06	5	5	37	37	True	27	27	20	Printed numbered item aligned to the corresponding English item; boundary number omitted	Thou shalt not kill.	Alli papach'o machá ijonoë.	Alli papach'o machá ijonoë.
section_03_item_07	3	The Ten Commandments of the Lord	numbered_item	item_07	5	5	37	37	True	23	23	31	Printed numbered item aligned to the corresponding English item; boundary number omitted	Thou shalt not commit adultery.	Alli chachummod ijonoë.	Alli chachummod ijonoë.
section_03_item_08	3	The Ten Commandments of the Lord	numbered_item	item_08	5	5	37	37	True	20	20	21	Printed numbered item aligned to the corresponding English item; boundary number omitted	Thou shalt not steal.	Alli mamchap ijonoë.	Alli mamchap ijonoë.
section_03_item_09	3	The Ten Commandments of the Lord	numbered_item	item_09	5	5	37	37	True	75	74	56	Printed numbered item aligned to the corresponding English item; boundary number omitted	Thou shalt not bear false witness against thy neighbour.	Alli papattite ijonoë o tattassal ma-attosik kasjabaan oa maacháddik o cho.	Alli papattite ijonoë o tattassal maattosik kasjabaan oa maacháddik o cho.
section_03_item_10	3	The Ten Commandments of the Lord	numbered_item	item_10	5	5	37	37	True	214	212	202	Printed numbered item aligned to the corresponding English item; boundary number omitted	Thou shalt not covet thy neighbour's house, and thou shalt not covet thy neighbour's wife, nor his man-servant, nor his maid-servant, nor his ox, nor his ass, nor anything that belongs to thy neighbour.	Alli mamaksas o don oa maacháddik o cho, alli mamaksas o roos oa ma-acháddik o cho, ja cho aran o badda, ja mammali, ja choa loan o tummaap, ja chao loan o maraag, ja charri o ai kamaunis a oa ma-acháddik o chonoë.	Alli mamaksas o don oa maacháddik o cho, alli mamaksas o roos oa maacháddik o cho, ja cho aran o badda, ja mammali, ja choa loan o tummaap, ja chao loan o maraag, ja charri o ai kamaunis a oa maacháddik o chonoë.
section_04_title	4	The Morning Prayer	section_title	title	5	5	37	37	True	21	20	19	Printed Favorlang section heading aligned to Campbell's English heading	The Morning Prayer.	Ai-ach'o Patsjisimma.	Aiach'o Patsjisimma.
section_04_morning_prayer	4	The Morning Prayer	primary_section		5	6	37	38	True	1438	1411	1398	Printed primary section joined across page boundaries	Merciful Father! we praise Thee, that Thou hast so faithfully watched over us during the past night, and we pray Thee that Thou mayest strengthen us by Thy pure breath, the Holy Ghost; that He may henceforth lead us, so that in every work of righteousness and purity we may end this day, as also all the other days of our life; and that to whatsoever we apply ourselves we may always endeavour openly to declare Thy praise, since we can expect from Thy bounteous hand alone the assistance required in all our labours. And in order we may obtain this mercy from Thee, forgive us, according to the testimony of Thy word, our transgressions, only and alone for the sufferings of our Lord and Mediator, who shed His blood for us; and because we repent of our sins. Enlighten also our souls, so that after abandoning all the works of darkness, we may as the children of light enter upon a new life, and walk in the righteous paths of God. Give also Thy assistance in the work of proclaiming Thy word, and making it known in all parts of the world. Disperse all the works of Satan. Strengthen all teachers of Thy Word, and all the chiefs of Thy people. Comfort all persons who are persecuted and who suffer affliction; for the sake of Thy beloved Son, who hast testified unto us that Thou wilt give us all things we pray for in His Name, and therefore Thou hast taught us thus to pray: - Our Father, etc.	Ma-abó a Tamau madas ijo namo, all'ijo rínummi i torroani bi-ini masini o gagil, ṣo-o meách'ijo, alla merab ijo pábarr'i torro o ta joa Auchar o ma-áchimit-ech, alla pana rummi-es pa-i-jor i namo ja ichoṣar, alla namo inni tapos o tataap o babissé a chímit ummoob o zijsj'o mini, maibas channumm'o tapos zijsj'o torroa morich: ṣo-o tummalpon onúmm'ija namo, alla torro tallochon maddobor o pattite o tapos assaban oa adas; masiniṣar alla torro tummassín o a-olli-eul o torroa tapos o tataap innai joa ma-adaldál a rima ma-akamunchiṣar. Ṣo-o alla namo marach o bóno mini innai ijo, erábbana mabó i namo, kamaibas o al'o joa ranied, o tapos torroa kakossi, inau machoté o ma-áchimit, ṣo-o ṣaṣa-ód o taḡḡ'o torroa ma-acháchimit a maazínado ta Jesus Christus; inau machia ja torroa tsjes aicho-íes. Ipárara channumm'o torroa tsjes, alla namo, kaitis o tapos o tataap o odum, maibas o sisjiem o rará tummalpon o bao a morich, alla mababat inni tapos o babissé o ta Deos. Ipachípp'oa a-olli-eul channumma, ino akaukáuan ṣo-o ipab'oa ranied de tapos o ta. Ipáurtatach'o tapos o tataap o ta Ṣaitan. Ipabarrá o tapos ma-átil o joa ranied, ṣo-o ta ma-acháchimit o joa chosar. Talattalá o tapos liollioón a cho, ṣo-o tsiannanni a tsjes, inau oa aukáttan a sjiem badda ta Jesus Christus, tamasea minaunis o al'i namo, alla tapos o ai torro meách'inni choa naan, gagil oa pape'i namo, ṣo-o inau micho pináttillo torro meach'o masini:-Namoa Tamau, etc.	Maabó a Tamau madas ijo namo, all'ijo rínummi i torroani biini masini o gagil, ṣoo meách'ijo, alla merab ijo pábarr'i torro o ta joa Auchar o maáchimitech, alla pana rummies paijor i namo ja ichoṣar, alla namo inni tapos o tataap o babissé a chímit ummoob o zijsj'o mini, maibas channumm'o tapos zijsj'o torroa morich: ṣoo tummalpon onúmm'ija namo, alla torro tallochon maddobor o pattite o tapos assaban oa adas; masiniṣar alla torro tummassín o aollieul o torroa tapos o tataap innai joa maadaldál a rima maakamunchiṣar. Ṣoo alla namo marach o bóno mini innai ijo, erábbana mabó i namo, kamaibas o al'o joa ranied, o tapos torroa kakossi, inau machoté o maáchimit, ṣoo ṣaṣaód o taḡḡ'o torroa maacháchimit a maazínado ta Jesus Christus; inau machia ja torroa tsjes aichoíes. Ipárara channumm'o torroa tsjes, alla namo, kaitis o tapos o tataap o odum, maibas o sisjiem o rará tummalpon o bao a morich, alla mababat inni tapos o babissé o ta Deos. Ipachípp'oa aollieul channumma, ino akaukáuan ṣoo ipab'oa ranied de tapos o ta. Ipáurtatach'o tapos o tataap o ta Ṣaitan. Ipabarrá o tapos maátil o joa ranied, ṣoo ta maacháchimit o joa chosar. Talattalá o tapos liollioón a cho, ṣoo tsiannanni a tsjes, inau oa aukáttan a sjiem badda ta Jesus Christus, tamasea minaunis o al'i namo, alla tapos o ai torro meách'inni choa naan, gagil oa pape'i namo, ṣoo inau micho pináttillo torro meach'o masini:-Namoa Tamau, etc.
section_05_title	5	The Evening Prayer	section_title	title	7	7	39	39	True	17	16	19	Printed Favorlang section heading aligned to Campbell's English heading	The Evening Prayer.	Ai-ach'o Marpesa.	Aiach'o Marpesa.
section_05_evening_prayer	5	The Evening Prayer	primary_section		7	8	39	40	True	1319	1298	1294	Printed primary section joined across page boundaries	Merciful God! Eternal Light, that shinest in the darkness, who dispellest the darkness of wicked works and enlightenest the benighted mind, inasmuch as Thou dost appoint the night for rest, even as the day for labour; we pray Thee that our bodies may rest in quiet and peace, so that they may be fit to perform the work they have to do. Moderate our sleep, so that it may not be excessive, and that our bodies and minds may remain pure; nay, may our sleep give cause to praise Thy Name. Enlighten also the eyes of our understanding, so that we may not remain sleeping unto death, but let us rather live in constant hope of being delivered from the evil afflictions of this world. Protect us also from all the temptations of Satan; lead all as Thy children by Thy pure breath (the Holy Ghost), and although we have not finished this day without having committed great and wicked sins against Thy will; we pray Thee, that Thy mercy may cover all our trespasses, even as Thou dost cover all things upon this earth with the darkness of night, so that we may not be cast forth from Thy countenance. Give also rest and consolation to all sick persons, to all who are afflicted, to all souls harassed by Satan; for the sake of our Lord Jesus Christ, who hath taught us thus to pray: - Our Father, etc.	Deos o ma-ábo a tsjes rará o maáchonṣar o ai tumṣar i odum, tamasea paube o bi-ini o tataap o arapies, ṣo-o rapalna tsjes; inau kaitan ijo páṣai o bi-ini, alla pissassen, maibas o zijsja, alla tummaap; meach'ijo namo ipaissassen'o torroa bog kakaitsítsi a ma-a-árra, alla mamatsikap asag-á moddon o tataap, o ai maspot a ummoob aichoies. Ipaka-qua'o torroa ṣaṣárra, depa matsiballách ja micho, alla máchonṣar ma-áchimit o torroa bog a tsjes-oë; hena channumma alla padás ja oa naan torroa ṣaṣárra. Íparar'o machá o torroa ṣaan, depa máchonṣar ṣummarra ja namo inni machá: kasjabaan ipatassina torro tallochon ino barrasan ja torro innai zichil o rapies de babo ta mini. Aladikk'i namo channumma innai tapos o lalál'o ta Ṣaitan: maibas oa sisjiem a-i-jorr'i namo o ta joa ma-áchimit o Auchar-ech. Ṣo-o pagatomma torro inummoob o zijsj'o mini, alli marotul o kakossi kossi; tataap o kakossi mato a rapies kasjabaan oa airab; meách'ijo namo, erábbana tummakkoop torroa kakossi o joa bó, maibas ijo tummakkoop o tapos ai babó ta mini o odum o bi-ini, depa inau decho kartattisan ja namo innai joa morra-dech. Ipáissassena channumma ṣo-o talattalá o tapos cho ma-ádig, ma-ázichil, ṣo-o lalan a a tsjes innai ta Ṣaitan, inau maacháchimit ja torro ta Jesus Christus, tamasea pináttil i namo meách'o o masini:-Namoa Tamau, etc.	Deos o maábo a tsjes rará o maáchonṣar o ai tumṣar i odum, tamasea paube o biini o tataap o arapies, ṣoo rapalna tsjes; inau kaitan ijo páṣai o biini, alla pissassen, maibas o zijsja, alla tummaap; meach'ijo namo ipaissassen'o torroa bog kakaitsítsi a maaárra, alla mamatsikap asagá moddon o tataap, o ai maspot a ummoob aichoies. Ipakaqua'o torroa ṣaṣárra, depa matsiballách ja micho, alla máchonṣar maáchimit o torroa bog a tsjesoë; hena channumma alla padás ja oa naan torroa ṣaṣárra. Íparar'o machá o torroa ṣaan, depa máchonṣar ṣummarra ja namo inni machá: kasjabaan ipatassina torro tallochon ino barrasan ja torro innai zichil o rapies de babo ta mini. Aladikk'i namo channumma innai tapos o lalál'o ta Ṣaitan: maibas oa sisjiem aijorr'i namo o ta joa maáchimit o Aucharech. Ṣoo pagatomma torro inummoob o zijsj'o mini, alli marotul o kakossi kossi; tataap o kakossi mato a rapies kasjabaan oa airab; meách'ijo namo, erábbana tummakkoop torroa kakossi o joa bó, maibas ijo tummakkoop o tapos ai babó ta mini o odum o biini, depa inau decho kartattisan ja namo innai joa morradech. Ipáissassena channumma ṣoo talattalá o tapos cho maádig, maázichil, ṣoo lalan a a tsjes innai ta Ṣaitan, inau maacháchimit ja torro ta Jesus Christus, tamasea pináttil i namo meách'o o masini:-Namoa Tamau, etc.
section_06_title	6	Prayer Before Meals	section_title	title	8	8	40	40	True	21	20	20	Printed Favorlang section heading aligned to Campbell's English heading	Prayer Before Meals.	Ai-ach'o tinnaam Man.	Aiach'o tinnaam Man.
section_06_prayer_before_meals	6	Prayer Before Meals	primary_section		8	9	40	41	True	906	892	909	Printed primary section joined across page boundaries	All eyes wait upon Thee, and thou givest them food in due season. Thou openest Thy hand, and satisfieth every thing that liveth, according to Thy almighty will. Almighty Ruler, Almighty God! who hast created all things, and who by Thy divine power constantly upholdest all things; Thou who hast fed Thy people Israel in the wilderness, graciously extend now Thy bounty to Thy poor servants, and bless these gifts unto us; the gifts which we receive from Thy bountiful hand; so that we may moderately, and in singleness of heart, partake of them, thus acknowledging that Thou art our Father, and that Thou art the source from whence all good cometh. Grant that we may always, and above all other things, seek the Bread of the soul, Thy Word, so that our souls may be fed unto Life everlasting, which Thou hast promised to give us, only for the sake of the great suffering of Thy beloved Son Jesus Christ. Amen.	Machá o tapos o ai tummassín ijo: ṣo-o ijo pe'i decho cho'inochan ka choa rasoom. Ijo kumrár oa rima, ṣo-o padabbi o tapos, o ai morích, kamaibas o aukat oa airab. Ma-acháchimit ta Deos kamabarr'ija tapos o ai, tamasea minerienṣar o tapos ai, ṣo-o tumka taulaulan lan oa barr'o Deossar, ijo tamasea pinaán o chono Israel inni maaimoch a bonna, erábbana tummó joa al-ál i babó torro joa aran o ma-aṣábba, ṣo-o paátsikap i namo áṣosono mini, torro marach innai joa ma-adaldál a rió, alla torro kamaibas o mario oa airab tsimimis o qua a chímit aicho-ies, ṣo-o innai micho madarram alla paga ijo namoa Tamau, ṣo-o chuppód o gagil o tapos rió. Epé-e channumma alla tallochon ṣo-o tinnaam o tapos ai torro summad'o úppono tsjessar, oa ranied innínumma channan ja torroa tsjes pana morích o ma-áchonṣar, o ai pinab'o pape'i namo ijonoë, inau machoté o maáchimit oa aukattan a sjiem badda ta Jesus Christus, Amen.	Machá o tapos o ai tummassín ijo: ṣoo ijo pe'i decho cho'inochan ka choa rasoom. Ijo kumrár oa rima, ṣoo padabbi o tapos, o ai morích, kamaibas o aukat oa airab. Maacháchimit ta Deos kamabarr'ija tapos o ai, tamasea minerienṣar o tapos ai, ṣoo tumka taulaulan lan oa barr'o Deossar, ijo tamasea pinaán o chono Israel inni maaimoch a bonna, erábbana tummó joa alál i babó torro joa aran o maaṣábba, ṣoo paátsikap i namo áṣosono mini, torro marach innai joa maadaldál a rió, alla torro kamaibas o mario oa airab tsimimis o qua a chímit aichoies, ṣoo innai micho madarram alla paga ijo namoa Tamau, ṣoo chuppód o gagil o tapos rió. Epée channumma alla tallochon ṣoo tinnaam o tapos ai torro summad'o úppono tsjessar, oa ranied innínumma channan ja torroa tsjes pana morích o maáchonṣar, o ai pinab'o pape'i namo ijonoë, inau machoté o maáchimit oa aukattan a sjiem badda ta Jesus Christus, Amen.
section_07_title	7	Prayer To Be Used After Meals	section_title	title	9	9	41	41	True	23	20	30	Printed Favorlang section heading aligned to Campbell's English heading	Prayer To Be Used After Meals.	Ai-ach'o a-i-jor a Man.	Aiach'o aijor a Man.
section_07_prayer_after_meals	7	Prayer To Be Used After Meals	primary_section		9	10	41	42	True	1008	1000	1039	Printed primary section joined across page boundaries	After thou hast partaken of food, and art satisfied, thou shalt praise the Lord Thy God for the fertile land that He hath given thee. Take heed that ye do not forget the Lord thy God, and that ye neglect not to keep His commandments and His statutes, as well as the institutions of His Word, which I have (given) commanded you this day. Almighty Ruler, God our Heavenly Father, we praise Thee for all Thy benefits, which we are continually receiving from Thy bountiful hand; that it is Thy divine will we should be sustained by Thee in this transitory life; and that Thou dost give us all that we require; above all things, that Thou hast begotten us unto the hope of a better life, which Thou hast made known unto us through the pure word of Thy Gospel. Merciful God and Father! we pray Thee, that Thou wilt not suffer our souls to cleave unto the perishable possessions of this world; let us on the contrary continually look up to heaven, whence we expect our Saviour Jesus Christ, till He shall appear in the clouds to deliver us. Amen.	Ka ochal mamán a mamaddabí ijonoë, mamadas ijo i ta Jehova oa Deos-ech, inau marió a ta, o ai ochal icho pape'imonoë. E-íllá na joa micho boa, depa poach ijo i ta Jehova, oa Deosṣar, kailau ijo pa ummior o choa átillo, a choa bissebissé, a ṣaṣirau choa ranied, o ai na-a páttillo imoa piadái. Ma-acháchimit ta Deos Tamau de boesum, madás, ijo namo inau tapos joa tataap o rio, torro tallochon marach innai joa ma-adaldál a rima, alla paga oa airab o Deosṣar porích torro boa inni morích o maauribál o mini, ṣo-o pe'i torro tapos o ai maṣabb'ija namo: kamaunionis, all'ijo pinodd'o tattaul'i namo ka tattassín o máso mario a morích, o ai pinab'i namo ijonoë inni oa maáchimit o ranied o Evangelium. Deos o Tamau ma-ábo a tsjes, meach'ijo namo, depa kummono ijo alla mamáchonṣar torroa tsjes insini mikkap o ma-auribál a ballach de ta mini: kasjabaán ipádaukoa torro tallochon pana boesum, all'innaide tummassín torroa maababárras ta Jesus Christus, áte tatummoach icho lallum rabbo pana torroa babarrás, Amen.	Ka ochal mamán a mamaddabí ijonoë, mamadas ijo i ta Jehova oa Deosech, inau marió a ta, o ai ochal icho pape'imonoë. Eíllá na joa micho boa, depa poach ijo i ta Jehova, oa Deosṣar, kailau ijo pa ummior o choa átillo, a choa bissebissé, a ṣaṣirau choa ranied, o ai naa páttillo imoa piadái. Maacháchimit ta Deos Tamau de boesum, madás, ijo namo inau tapos joa tataap o rio, torro tallochon marach innai joa maadaldál a rima, alla paga oa airab o Deosṣar porích torro boa inni morích o maauribál o mini, ṣoo pe'i torro tapos o ai maṣabb'ija namo: kamaunionis, all'ijo pinodd'o tattaul'i namo ka tattassín o máso mario a morích, o ai pinab'i namo ijonoë inni oa maáchimit o ranied o Evangelium. Deos o Tamau maábo a tsjes, meach'ijo namo, depa kummono ijo alla mamáchonṣar torroa tsjes insini mikkap o maauribál a ballach de ta mini: kasjabaán ipádaukoa torro tallochon pana boesum, all'innaide tummassín torroa maababárras ta Jesus Christus, áte tatummoach icho lallum rabbo pana torroa babarrás, Amen.
section_08_title	8	Prayer Before Religious Instruction	section_title	title	11	11	43	43	True	23	22	36	Printed Favorlang section heading aligned to Campbell's English heading	Prayer Before Religious Instruction.	Ai-acha katinnaam Atil.	Aiacha katinnaam Atil.
