language,ilrdf_headword,branch_sentence_id,sentence
Atayal,bihi,Atayal_515,bihi cikay mquʼ qasa ha. katun taʼ nyaʼ lʼay.
Atayal,bingiʼ,Atayal_531,piraʼ bingiʼ iniʼ suʼ ʼabiʼ la?
Atayal,bkaruh,Atayal_565, skihuy na bkaruh qu uraw pmhyun ngahiʼ iniʼ ga sehuy. 
Atayal,bniq,Atayal_623,smqas hintagan ryax mu ga piyux bniq wal mu galun.
Atayal,bnuʼ,Atayal_638,"Sasan: mtkgil tunux suʼ ga? Sayun: aw ga! imaʼ baq lga, kuna bnuʼ na wagiʼ ga!"
Atayal,bnuʼ,Atayal_639,swaʼ cyux mtlasuw lihuy suʼ? bnuʼ btunux na ʼlaqiʼ ni Saciʼ.
Atayal,bsibut,Atayal_684,iniʼ baqi muhiʼ tqinu qu bsibut hiyaʼ.
Atayal,btunux,Atayal_713,turuy btunux qani ha. tetaʼ taʼ baqun mwah.
Atayal,bubuʼ,Atayal_723,iniʼ bubuʼ ʼlaqiʼ makuʼ hiyaʼ la.
Atayal,bzirun,Atayal_790,iniʼ khnuk bizrun qu tennaw wah.
Atayal,bzyok,Atayal_802,mtzyu bzyok pinsina nya sapat Yukan qasa.
Atayal,bzyok,Atayal_803,blaq balay niqun szik bzyok tnahuk yaya.
Atayal,bzyok,Atayal_804,smoya maniq ngahi qu bzyok maku.
Atayal,bzywak,Atayal_817,cyux msinaʼ bzywak qu l_yutas ni Suyan la.
Atayal,cikay,Atayal_838,ungat qu sinkrugan hiyaʼ la. kya cikay naʼ qu cinmmyan hiyaʼ. pqaniq suʼ pi?
Atayal,cinngasal,Atayal_908,ima cinngasal qu cyux maki bʼbu rgyax qasa hiya?
Atayal,cintman,Atayal_930,"qani ga, cintman na yakiʼ makuʼ."
Atayal,cyux,Atayal_977,"kwaliʼ ga, thwiruʼ mlakaʼ squ babaw kayal ru cyux mha kuzyuk kuzyuk mqwas."
Atayal,cyux,Atayal_990,cyux mkbway pinnuya su skway la?
Atayal,cyux,Atayal_991,cyux tkmu zik pali yaya nha qu uyuk ngta.
Atayal,g_yagan,Atayal_1024,cyux nhaʼ g_yagan sa gtenux nyaʼ.
Atayal,g_yagun ,Atayal_1026,"Binay: nanuʼ nyux suʼ g_yagun? Pitay: han, bbtunux ka nyux mʼimaw sa bwax qani ga."
Atayal,gleng,Atayal_1193,laxi usaʼ te gleng maʼ! ksuru cikay msʼrux!
Atayal,gmaluʼ,Atayal_1210,gmaluʼ iyal bnkis i Sayun qasa.
Atayal,gmrgir,Atayal_1226,cyux gmrgir bwax na trakis i Ciwas.
Atayal,grgir,Atayal_1275,grgir cikay na gituʼ qu trakis qasa!
Atayal,grgiran,Atayal_1279,"abaw na tanaʼ hiyaʼ ga, mutu nhaʼ spgluw ayang tmahuk. qbuciʼ nyaʼ hiyaʼ lga, grgiran nhaʼ qurip."
Atayal,hanray,Atayal_1354,rʼusuw balay qu hanray qani.
Atayal,hanray,Atayal_1355,cyux psʼunan ramat hanray qasa.
Atayal,hb_yagaw,Atayal_1376,hb_yagaw suʼ ʼlaqiʼ qasa ay. ptakuy la!
Atayal,hb_yaw,Atayal_1377,hb_yaw squliq qasa.
Atayal,hb_yaw,Atayal_1378,iniʼ hb_yaw tryung qasa lga?
Atayal,hb_yaw,Atayal_1379,laxi hb_yaw ga!
Atayal,hb_yagun,Atayal_1380,imaʼ cyux suʼ hb_yagun?
Atayal,hbangan ,Atayal_1382,wal mturuy kwaraʼ hbagang mu la.?
Atayal,hinb_yagan,Atayal_1465,ta ryax hinb_yagan na kinsat i Losing qani la ru iniʼ nhaʼ kyapi naʼ.
Atayal,hiʼ,Atayal_1533,payat hiʼ kwaraʼ qutux ngasal myan.
Atayal,hk_yun,Atayal_1536,"swaʼ nhaʼ nyux hk_yun sqani qu tuqi qani la? balay ga, hk_yun nhaʼ te thasa cikay ga, aki labang qu tuqi qani."
Atayal,hk_yun,Atayal_1537,swaʼ suʼ nyux hk_yun kmzyap qbaʼ nyaʼ la?
Atayal,hmb_yaw,Atayal_1607,nyux sami hmb_yaw tuqi wah!
Atayal,hmobing,Atayal_1658,musa saku hmobing bway niqun ta kwara.
Atayal,hnb_yaw,Atayal_1706,talagay memaw nyux mplhiq rqyas suʼ la. hnb_yaw suʼ na utux ga?!
Atayal,hngzyang,Atayal_1732,tik tak tik tak mha hngzyang nya.
Atayal,huluy,Atayal_1857,"huluy rangiy su, hata mluw mita Ega."
Atayal,huluy,Atayal_1858,"huluy sazing ruma qaniy, galay ta hiran lukus. ."
Atayal,ibuh,Atayal_1909,cyux mtgayaw qu ibuh qasa la. ʼsay ʼmip cikay ha! tetaʼ iniʼ qihut tuqi.
Atayal,inbwan,Atayal_1928,inbwan nhaʼ qu qwaw qani la.
Atayal,inbwan,Atayal_1929,piraʼ kwaraʼ inbwan nyaʼ? sazing syang.
Atayal,inringan,Atayal_1955,inringan qmomah ni kotas makuʼ qu qmayah qani.
Atayal,inringan,Atayal_1956,nanuʼ inringan nhaʼ ms_yaqih?
Atayal,iyal,Atayal_1974,blaq iyal kayal ryax soni .
Atayal,k_yamil,Atayal_1989,k_yamil yamil makuʼ!
Atayal,k_yan,Atayal_1990,laxi k_yan Alan ka mhmut iyal maʼ?!
Atayal,k_yangiʼ,Atayal_1991,iniʼ k_yangiʼ yakiʼ suʼ ga?!
Atayal,k_yaqih,Atayal_1992,iniʼ k_yaqih inlungan nyaʼ i Hakaw.
Atayal,k_yaqih,Atayal_1993,iniʼ k_yaqih naʼ qu kikay na pagay qani. baqun kmikay naʼ.
Atayal,k_yayaʼ,Atayal_1994,laxi k_yayaʼ mitaʼ squliq ma isuʼ!
Atayal,k_yopun,Atayal_1995,iniʼ k_yopun ʼlaqiʼ qasa.
Atayal,k_yubing,Atayal_1996,"mha ni mitaʼ suʼ squliq ka iniʼ kintehuk qnxan nhaʼ ga, kragi! laxi k_yubing ru biqi ana nanuʼ soyan nhaʼ!"
Atayal,k_yuhum,Atayal_1997,iniʼ k_yuhum i Ciwas hiyaʼ.
Atayal,karaʼoke,Atayal_2043,"pqwasan karaʼoke qani ga, gnyah sasan ha ru babaw kinryaxan lga, qmluʼ la."
Atayal,kawas,Atayal_2055,piraʼ kawas suʼ la?
Atayal,kaxaʼ,Atayal_2065,mwah suʼ knwan? haziʼ kaxaʼ mwah sakuʼ .
Atayal,kblayun,Atayal_2113,kblayun nyaʼ na labing qu qonguʼ. tetaʼ iniʼ kʼusuw mha.
Atayal,kblayun,Atayal_2116,musa saku mluw yaya mbaziy pala kblayun lukus.
Atayal,khngtun,Atayal_2187,baq maniq kwiʼ qu khngtun.
Atayal,khuʼ,Atayal_2195,"kya qu knloh taʼ kawas qani ga, inbleqaw taʼ tluhung sa kskaʼ na khuʼ."
Atayal,khuziq,Atayal_2198,aras rukuʼ! kana suʼ khuziq.
Atayal,kin_yuran,Atayal_2213,"ana si ptywaw qutux ryax i Hayung qasa hiyaʼ ga, iniʼ kin_yuran ana qutux."
Atayal,kin_yaqih,Atayal_2215,talagay kin_yaqih qu squliq qasa!
Atayal,kinbetunux,Atayal_2222,hminas kinbetunux kwara laqi na tayal qaniy.
Atayal,kinhngzyang,Atayal_2245,ta kinhngzyang iyal qu qwas mamu. psyangan mamu kwaraʼ squliq ka cyux mʼabiʼ qasa la.
Atayal,kinlhan,Atayal_2268,cikuy kinlhan.
Atayal,kinmrawiʼ,Atayal_2288,talagay kinmrawiʼ iyal ʼlaqiʼ qani!
Atayal,kinryaxan,Atayal_2321,msqun sami maniq mamiʼ babaw na kinryaxan.
Atayal,kinutan,Atayal_2356,iniʼ kblaq naʼ qu kinutan qani.
Atayal,klokah,Atayal_2457,si klokah nanak mqwas biru beh hogan.
Atayal,klokah,Atayal_2458,klokah inlungan su laxiy koyay.
Atayal,km_yayaʼ,Atayal_2470,cyux km_yayaʼ mitaʼ paris nhaʼ i Kagiʼ ki Masaw.
Atayal,kn_yayaʼ,Atayal_2559,kn_yayaʼ mitaʼ itaʼ sqani mlhngan sheraʼ qu paris taʼ mha ma.
Atayal,kneril,Atayal_2576,imaʼ qu kneril qasa hyaʼ?
Atayal,kneril,Atayal_2577,zimagal laqi nya kneril Temu qasa.
Atayal,knwan,Atayal_2610,knwan ptehuk suʼ?
Atayal,kongat,Atayal_2626,wal si kongat hira huzil mu.
Atayal,krʼusi,Atayal_2714,laxi krʼusi bnkis qasa!
Atayal,kskaʼ,Atayal_2728,"tmutuʼ taʼ rumaʼ ru kbalay taʼ ngasal ga, siki ʼmiyup taʼ te kskaʼ ga, yasa qu mshzyuʼ ru blaq galan qnryang."
Atayal,kskaʼ,Atayal_2729,cyux tay kskaʼ i Ciwas hiyaʼ.
Atayal,ksosi,Atayal_2748,si ksosi tmahuk qu tqinu qani la.
Atayal,kugus,Atayal_2806,kugus ngurus suʼ!
Atayal,kunuʼ,Atayal_2822,kutan na yuyut qu kunuʼ nyaʼ.
Atayal,kunuʼ,Atayal_2823,"suru na qpul hiyaʼ ga, kunuʼ na kakay."
Atayal,kwaraʼ,Atayal_2848,rwa maku qu kwara trakis qani
Atayal,kyapun,Atayal_2873,cyux kyapun na mʼatuʼ qu squliq qasa la.
Atayal,kyapun,Atayal_2874,cyux kyapun na ngyaw qu qoliʼ qasa.
Atayal,kyapun,Atayal_2875,haziʼ cyux kyapun na utux qu tninun ni Tuyaw ma.
Atayal,kyukay,Atayal_2890,"Sangas bukusiʼ ga, mintywaw zywaw na kyukay sraral."
Atayal,kzyupan,Atayal_2920,blaq qmluʼ qu blihun ru tubung! bha blaq kzyupan taʼ squliq la.
Atayal,kʼman,Atayal_2933,bsyaq iniʼ taʼ ʼsay makiʼ qu ngasal taʼ rgyax lga. kiʼa cyux kʼman kwaraʼ tanux nyaʼ la.
Atayal,lihang,Atayal_3049,qhuniq qani hiyaʼ ga lihang.
Atayal,llamuʼ,Atayal_3085,pzyux iyal llamuʼ na rramat pinuhiʼ suʼ. maymaw iniʼ kwaʼi maniq.
Atayal,luhung,Atayal_3230,zʼusu balay qu luhung qani.
Atayal,m_yangiʼ,Atayal_3253,m_yangiʼ iyal hiʼ nyaʼ i Pagung qasa.
Atayal,m_yugiʼ,Atayal_3254,pqasun balay na lelaqiʼ qu m_yugiʼ ru mqwas hiyaʼ.
Atayal,m_yuhum,Atayal_3255,laxi hmut m_yuhum! pgyaran suʼ na llpyung la.
Atayal,m_yup,Atayal_3257,nyux tʼaring m_yup qu behuy nyaʼ la.
Atayal,mbuluq,Atayal_3359,"aring sa snilay na qparung i Yukan lga, mbuluq kya la."
Atayal,mbuluq,Atayal_3361,mbuluq roziq suʼ ga?
Atayal,mhuniʼ,Atayal_3490,mhuniʼ sun nhaʼ qu tayal qasa. pingabaq ki! plhnyaw suʼ nyaʼ.
Atayal,min_gleng,Atayal_3525,min_gleng hiyaʼ ay! wal inuʼ lpi? kuna wal mtkariʼ lga?
Atayal,min_yangiʼ,Atayal_3531,min_yangiʼ iyal sraral i Mayaʼ qasa ma.
Atayal,min_yan,Atayal_3532,min_yan balay qnxan na qinyatan qu qnxan myan sraral.
Atayal,min_yaqih,Atayal_3533,iyat min_yaqih ru iniʼ baqi mitaʼ qu teribi qani pi? swaʼ nyux blaq la?
Atayal,mink_yamil,Atayal_3580,"mink_yamil suʼ sulipaʼ mwah suʼ ha. ru ta qu nyux suʼ mosaʼ qani lga, swaʼ suʼ nyux iniʼ pk_yamil lpi?"
Atayal,minkin_yuran,Atayal_3592,minkin_yuran sakuʼ sheraʼ ru nyux sakuʼ mhngaw soniʼ la.
Atayal,mins_yahuq,Atayal_3699,mins_yahuq sami kya llgan na basuʼ ekiʼ shiraʼ.
Atayal,minʼabiʼ,Atayal_3813,ptliqun nyaʼ qu ʼlaqiʼ nyaʼ ka minʼabiʼ ru rasun nyaʼ qmumah qmayah.
Atayal,mk_yamil,Atayal_3835,cyux mk_yamil yamil mtalah i Payas.
Atayal,mkin_yuran,Atayal_3862,cyux mkin_yuran ptywaw nyaʼ i Payas la.
Atayal,mkukuʼ,Atayal_3905,mkukuʼ rqyas suʼ la.
Atayal,mkʼuluw,Atayal_3910,wal simuʼ ms_yahuq shiraʼ. baha simu mkʼuluw lpi.
Atayal,mlhngan,Atayal_3929,"mlhngan na ryax nasaʼ ga, msliʼ kwaraʼ qu mrkyas na qalang la."
Atayal,mnakiʼ,Atayal_3954,hrhiran myan kwaraʼ kbakih ka mnakiʼ sa skaʼ na qmayah.
Atayal,mps_yaqih,Atayal_4076,"mps_yaqih ga, Payan ki Sirosiʼ? swaʼ mptucing krryax pi?"
Atayal,ms_yabux,Atayal_4193,"lokah ms_yabux qu ʼlaqiʼ qani. mzywiʼ cikay lga, ms_yabux la."
Atayal,ms_yulung,Atayal_4195,"ms_yulung ru iniʼ kbsyaq lga, mqwalax la."
Atayal,msuʼun,Atayal_4333,cyux msuʼun qu qsyaʼ ru ʼsay muyut la.
Atayal,mttaʼ,Atayal_4485,cyux mttaʼ tunux na rgyax qu yulung la.
Atayal,mturuy,Atayal_4500,wal mha kukang kukang mturuy qu kluban qasa. 
Atayal,mzwiʼ,Atayal_4615,cyux mzwiʼ qu kʼman.
Atayal,mʼksasan,Atayal_4651,aring sa iniʼ thiʼ kneril nyaʼ qu ʼRabay lga wal mʼksasan la.
Atayal,n_gi,Atayal_4673,n_gi ana qutux bengiʼ!
Atayal,n_gaqaw,Atayal_4674,n_gaqaw qu qmayah qani. nisan pinnyangan.
Atayal,n_gaw,Atayal_4675,n_gaw taʼ. kuna makiʼ blaq nyaʼ.
Atayal,n_gaw,Atayal_4676,n_gaw simu balay ha!
Atayal,n_gon,Atayal_4677,imaʼ nyux suʼ n_gon?
Atayal,n_gon,Atayal_4678,n_gon misuʼ ana tehuk knwan.
Atayal,n_gop,Atayal_4679,n_gop myan qutux kopuʼ la.
Atayal,n_gryung,Atayal_4680,"laluʼ na hkil qasa ga, n_gryung."
Atayal,naʼ,Atayal_4702,"Silan qasa ga, ana minbusuk sheraʼ ga, cyux mnbuw lozi naʼ. "
Atayal,nyux,Atayal_4848,nyux mssliʼ kwaraʼ mmrkyas na qalang taʼ ru musaʼ tmrrgyax.
Atayal,nyux,Atayal_4851,cingay balay ngahi nyux rasun ngasal yaya mu.
Atayal,p_yugiʼ,Atayal_4866,p_yugiʼ cikay ha!
Atayal,p_yangay ,Atayal_4867,p_yangay sami pkzyap kiraʼ. p_yangay simu uzi?
Atayal,p_yangay ,Atayal_4868,yaqih balay Yumin qasa ga! cyux nyaʼ p_yangay squliq kwaraʼ tegamiʼ ni Takun.
Atayal,palaʼ,Atayal_4887,soyan makuʼ balay palaʼ tninun na yataʼ makuʼ Sugi.
Atayal,pcʼalax,Atayal_5001,cyux mswak qoluʼ ni Yukan i Llyu. ihiʼ ʼsay pcʼalax qbaʼ ni Llyu gi phqilun nyaʼ Yukan la!
Atayal,phb_yaw ,Atayal_5060,pcisal taʼ babaw nyaʼ la. phb_yaw sakuʼ glgan makuʼ!
Atayal,phb_yaw ,Atayal_5061,laxi phb_yaw ga! ptacing simu la!
Atayal,phogun,Atayal_5123,pingabaq mtutuh ki! phogun suʼ na thawkiʼ la.
Atayal,pinbahuw,Atayal_5194,piyang pinbahuw na qalang Balung ga qwirux.
Atayal,pinnyangan,Atayal_5248,iniʼ tlapaʼ pinnyangan suʼ qasa ga? laxi koxi. iniʼ nbah tlapaʼ.
Atayal,pk_yamil ,Atayal_5332,nyux sakuʼ mtayak. usaʼ pk_yamil yabaʼ suʼ ga!
Atayal,pk_yamil ,Atayal_5333,pk_yamil suʼ knwan? nhay haziʼ! iyat taʼ shlngan basuʼ la!
Atayal,pk_yan ,Atayal_5336,"iniʼ suʼ laxi qu qwo suʼ qani lga, pk_yan suʼ squ squliq ka wal rasun na innbuʼ szik uzi la."
Atayal,pk_yaqih,Atayal_5338,bleqi cbaq i Kocyang qasa ga! pk_yaqih lʼay.
Atayal,pk_yaqih,Atayal_5339,blaq smkuʼ sa tenpinsyang qu qulih qasa. pk_yaqih ru psknux kya lʼay.
Atayal,pk_yayaʼ,Atayal_5340,pk_yayaʼ sakuʼ mitaʼ paris taʼ te sqani knan ru ʼsay km_yayaʼ te thasa simu hiyaʼ.
Atayal,pk_yopun,Atayal_5343,pk_yopun ʼlaqiʼ suʼ!
Atayal,pkin_yuran,Atayal_5413,hngaw cikay ha! pkin_yuran suʼ lʼay. 
Atayal,plkusun,Atayal_5584,spung cikay kinqruzyux nyaʼ yopun qani ha. ktay taʼ tnaq suʼ plkusun iniʼ ga iniʼ ktnaq.
Atayal,pmhyan,Atayal_5617,"sraral ga, pmhyan taʼ pagay qu slaq taʼ. misu qani lga, pmhyan taʼ rramat ru bebway la."
Atayal,pp_yugiʼ,Atayal_5686,pp_yugiʼ simu ga?
Atayal,ps_yahuq,Atayal_5920,blaq pkal pkitaʼ simu te inuʼ. bhaʼ blaq ps_yahuq simu la.
Atayal,ps_yaqih,Atayal_5922,laxi ps_yaqih! psblaq lki!
Atayal,pshriq,Atayal_5985,"nyux sakuʼ iniʼ pshriq naʼ ga, usaʼ pbiruʼ Masaw!"
Atayal,qasa,Atayal_6455,wayal rimaʼ spangaʼ ni yayaʼ makuʼ qu trakis qasa la.
Atayal,qasa,Atayal_6457,ima qu squliq qasa hiya.
Atayal,qhutul,Atayal_6552,"rgani kya cikay qhutul qasa, taytaʼ msuling puniq nyaʼ."
Atayal,qmibuw,Atayal_6719,"zik na pmuya ga, lmon qmibuw ha."
Atayal,qparung,Atayal_6854,cyux lingay qparung qu qsqi qasa.qaniq poriʼ nyaʼ.
Atayal,qs_yap,Atayal_6911,laxi usaʼ qs_yap!
Atayal,qsliq,Atayal_6916,swaʼ suʼ mkosuy iyal ktan. bha suʼ qsliq na mkrakis la!
Atayal,qszyap,Atayal_6935,imaʼ cyux hmwaw mlawaʼ te qszyap qasa?
Atayal,qzyuhungun/tmaq,Atayal_7031,blaq balay qzyuhungun qu qhuniq na rknus hiyaʼ.
Atayal,ren_gaʼ,Atayal_7082,cyux pbkuw ren_gaʼ i Kumay.
Atayal,rihaw,Atayal_7108,krahuʼ iyal rihaw na tubung suʼ la.
Atayal,s_qihi,Atayal_7228,laxi s_qihi ana imaʼ!
Atayal,s_yabux,Atayal_7229,"ana mkilux iyal qu kayal nyaʼ ga, iniʼ s_yabux ana cikuy qu hiʼ nyaʼ. blaq ga, m_yan qani?"
Atayal,s_yahuq,Atayal_7230,uxul blaq iniʼ taʼ s_yahuq sheraʼ. aki misuʼ iniʼ ʼlwi la.
Atayal,s_yangay ,Atayal_7231,cyux s_yangay ni mamaʼ Iran qu kkitaʼ makuʼ.
Atayal,s_yangay ,Atayal_7232,"swaʼ suʼ si ani s_yangay teribi qu yutas suʼ lpi? ana ga, ani sphapuy cikay nniqun nyaʼ maʼ!"
Atayal,s_yaqih,Atayal_7233,laxi s_yaqih ki squliq!
Atayal,s_yaqih,Atayal_7234,s_yaqih suʼ squliq ga giwan isuʼ nanak qu nyux suʼ sqihan.
Atayal,s_yhuqan,Atayal_7235,wal s_yhuqan ni Pepay qu kisyaʼ qasa la.
Atayal,s_yhuqay,Atayal_7236,pkitaʼ taʼ Mnkaʼ suxan ru s_yhuqay sakuʼ lki!
Atayal,s_yhuqun,Atayal_7237,zbuq cikay musaʼ! s_yhuqun suʼ basuʼ lʼay.
Atayal,s_yulung,Atayal_7238,iniʼ s_yulung kayal nyaʼ soniʼ.
Atayal,sehuy,Atayal_7387,phpah balay niqun sehuy qani.
Atayal,shb_yaw,Atayal_7434,anay misuʼ shb_yaw basuʼ qasa.
Atayal,sinkrugan,Atayal_7531,cyux skyuʼan qu sinkrugan suʼ qasa. baha hmswaʼ cikuy iyal cimuʼ wal suʼ syun. 
Atayal,sinqisan,Atayal_7548,blaq ktan uzi sinqisan ni Pitay Lomuy ay.
Atayal,sk_yamil,Atayal_7585,anay makuʼ sk_yamil amekucyuʼ qu ginaw qasa ha.
Atayal,sk_yamil,Atayal_7586,ani sk_yamil yamil giqas i Rimuy. tetaʼ suʼ nyaʼ iniʼ krusi.
Atayal,smʼr_yut,Atayal_7846,cyux smʼr_yut sakaw i Ciwas.
Atayal,sokan,Atayal_7923,blaq balay sokan phpah qaniy .
Atayal,sqani,Atayal_8010,kiʼay taʼ sqani mnagaʼ.
Atayal,sʼr_yut,Atayal_8374,sʼr_yut cikay hanray qani!
Atayal,t_yaqih,Atayal_8410,iniʼ sakuʼ t_yaqih zywaw suʼ ay. hlyaw sakuʼ lʼay!
Atayal,ta,Atayal_8411,glgay taʼ gagaʼ na kinbkisan taʼ.
Atayal,ta,Atayal_8412,laxi taʼ zngi pincbaq na bikisan taʼ.
Atayal,tehuk,Atayal_8505,nyux sami tehuk Takaw sami ki Rimuy la!
Atayal,tehuk,Atayal_8506,musa knwan tehuk su ngasal mu suxal?
Atayal,thasa,Atayal_8535,mpitu tqitun cyux maki thasa.
Atayal,tlakaʼ,Atayal_8670,tltuʼ iyal kayal nyaʼ ru memaw giway tlakaʼ kwaraʼ qu babaw na rnamuw.
Atayal,tninun,Atayal_8829,tninun nyaʼ nanak yaqih wah.
Atayal,tninun,Atayal_8830,kuna yani qu tninun makuʼ.
Atayal,tninun,Atayal_8831,wal mtkariʼ tninun nyaʼ la.
Atayal,tuqi,Atayal_8997,pinbaq mhkaniʼ! wiway sqi tay tuqi sqani.
Atayal,wagiq,Atayal_9093,wagiq kwaraʼ ssweʼ makuʼ kneril hiyaʼ. nanak kun qu iniʼ kwagiq.
Atayal,wingwing,Atayal_9132,"ʼbagan ga, si wingwing mqwas qu ktataʼ. mkmʼabiʼ mung qwas nhaʼ kreryax."
Atayal,yanay,Atayal_9162,cyux mtʼbul muʼ qulih qu yanay makuʼ.
Atayal,yopun,Atayal_9193,yopun qalux qasa ga rwa mu.
Atayal,yugaw,Atayal_9198,"nyux yaqih qu bbengan na sapuh qani la, yugaw ta giqas."
Atayal,yutas,Atayal_9227,Temuʼ: cyux msinaʼ bzok qu yutas ni Sayuʼ la. Taruʼ:piraʼ qu cyux nhaʼ psnon? Temuʼ: mtzyuʼ haziʼ ma.
Atayal,yutas,Atayal_9228,musa saku mita yutas mu kira.
Atayal,yutas,Atayal_9229,pira kawas nya yutas su la?
Atayal,zinaw,Atayal_9253,talagay kinsknux qu zinaw qani!
Atayal,ʼmbul,Atayal_9345,cyux ʼmbul minhoqil na huzil qu yabaʼ muʼ.
Atayal,ʼn_gyutun,Atayal_9355,cyux nyaʼ ʼn_gyutun lmamuʼ qu bwax ka minhutaw squ rhzyal.
Atayal,ʼsay,Atayal_9382,qap qu giriʼ qani. ʼsay muhiʼ sa tanux ngasal mamu.
Atayal,ʼzil,Atayal_9411,  msrʼux sami/myan tay/te ʼzil. 
Bunun,Talum,Bunun_289,"Maza talum hai, mahtu a talum iskaʼuni mas savishapzan."
Bunun,adiip,Bunun_368,Adiip inaak lumaha.
