source_locator,source_item,target_text,translation_or_gloss,included_in_xml,exclusion_reason,final_xml_path,final_s_id
"maljialjian a qaciljay(black stone).doc: Word document page 1, table row 9 (Paiwan); Word document page 1, table row 9 (Chinese)",maljialjian row 9,"avanzua kilimu mekelj a sema umaq, aza kula nimadju naminvalak anga.",爺爺急忙地跑回家，這時腳已經腫得好大好大。,yes,,XML/Paiwan/maljialjian_a_qaciljay.xml,S9
"maljialjian a qaciljay(black stone).doc: Word document page 1, table row 10 (Paiwan); Word document page 1, table row 10 (Chinese)",maljialjian row 10,"ti vuvu a vavayan djaljaw a kiqeljing tua ljaqedi, sa sialap tua qecengecengel a qaciljay padjekecan tua kinacan a piqay, semamalji aravac aza qaciljay kidjekec tua piqay ika matjani.",奶奶趕緊拜託鄰居，把黑色的石頭放在咬傷的地方，奇妙的是黑石黏住了。,yes,,XML/Paiwan/maljialjian_a_qaciljay.xml,S10
"maljialjian a qaciljay(black stone).doc: Word document page 1, table row 11 (Paiwan); Word document page 1, table row 11 (Chinese)",maljialjian row 11,"aicu a qecengcengl a qaciljay maqati a semeljup tua duku nua qatjuvi, nuna matjani anga qaciljay, ayaing anan tua miruku a putjeveng.",黑色的石頭能吸出蛇的毒液，處理完傷口後，石頭需要用牛奶泡著。,yes,,XML/Paiwan/maljialjian_a_qaciljay.xml,S11
"maljialjian a qaciljay(black stone).doc: Word document page 1, table row 12 (Paiwan); Word document page 1, table row 12 (Chinese)",maljialjian row 12,"aya ti vuvu ""aicu a maljialjian a qaciljay, tazua tjuruvu anga qineljing a sikataqaljan a caucau, kana izua duku a qatjuvi, ljaljiga, katua kumakuma, pangac, tuki namakuda a saqetjuan, maqati a tjasikiqeljing icengceng.""",奶奶說＂這奇特的石頭，在當時救了許多村民，無論是毒蛇、蜈蚣、蜘蛛、蜂、任何有毒的昆蟲動物，或是疼痛，都可用它做為急救工具。＂,yes,,XML/Paiwan/maljialjian_a_qaciljay.xml,S12
"maljialjian a qaciljay(black stone).doc: Word document page 1-2, table row 13 (Paiwan); Word document page 1-2, table row 13 (Chinese)",maljialjian row 13,"ti vuvu qivuanan a maitucu ""izua puita na malayu amen katua ku rava seme vavua.""",奶奶接著說，有一次她和朋友去山上換工，,yes,,XML/Paiwan/maljialjian_a_qaciljay.xml,S13
"maljialjian a qaciljay(black stone).doc: Word document page 2, table row 14 (Paiwan); Word document page 2, table row 14 (Chinese)",maljialjian row 14,"izua za madrusa vavayan a lumamad nasekataqed, aza macidilj sinipakaladray tua dradruy, a macidilj piniteku itua cepeng.",有兩位小女孩睡得香甜，一個掛在樹上，一個在地上的籃子裡。,yes,,XML/Paiwan/maljialjian_a_qaciljay.xml,S14
"maljialjian a qaciljay(black stone).doc: Word document page 2, table row 15 (Paiwan); Word document page 2, table row 15 (Chinese)",maljialjian row 15,"manu tjevuta zepung, kiliulius tua palingulj nua cepeng a pacucun ta lumamad.",突然一隻眼鏡蛇串了出來，圍在籃子邊看著嬰孩。,yes,,XML/Paiwan/maljialjian_a_qaciljay.xml,S15
"maljialjian a qaciljay(black stone).doc: Word document page 2, table row 16 (Paiwan); Word document page 2, table row 16 (Chinese)",maljialjian row 16,"maru emusilui, aza qatjuvi inika kinac aza vavayan, kamaka sequ vaik pasamalji, akumaya sakemeljang mun ri?",神奇的是，蛇沒有咬那位女孩，卻跑走了，你們知道為什麼嗎?,yes,,XML/Paiwan/maljialjian_a_qaciljay.xml,S16
dingding蝸牛.pdf: PDF pages 1 and 3-31,source exclusion,,,no,Cover and illustration-only pages contain no target-language prose.,,
dingding蝸牛.pdf: PDF page 32 paratext,source exclusion,,,no,"Title, credits, publication metadata, rights notice, and English legal text are not corpus sentences; all 15 Chinese story paragraphs are included.",,
kavatjes ni vuvu奶奶的寶物.pdf: PDF pages 1 and 3-31,source exclusion,,,no,Cover and illustration-only pages contain no target-language prose.,,
kavatjes ni vuvu奶奶的寶物.pdf: PDF page 32 paratext,source exclusion,,,no,"Title, credits, publication metadata, rights notice, and English legal text are not corpus sentences; all 15 Chinese story paragraphs are included.",,
