story	sequence	s_id	legacy_id	source_filename	original_locator	translation_locator	notes	original	translation
dingding	11	S11	S11	dingding蝸牛.pdf	PDF page 22	PDF page 32, Chinese paragraph 11		au calaing a pinizuanan tua ljaljikan, kamangulj kata ljameljam, masane sanguanguaq a djamay.	之後用九層塔、辣椒、生薑炒，變成是桌上的一道佳餚。
dingding	12	S12	S12	dingding蝸牛.pdf	PDF page 24	PDF page 32, Chinese paragraph 12		aicu a dingding sinan pazangal a masanitalj nua se kacalisian a kakanen, azua liaw atja ka manguaqen.	蝸牛一直是原住民很重要的食物之一，因為牠的營養價值很高。
dingding	13	S13	S13	dingding蝸牛.pdf	PDF page 26	PDF page 32, Chinese paragraph 13		a pi qinaljan tjengelay a keman tucu a djamay.	部落裡的人都很喜歡吃這一道菜。
dingding	14	S14	S14	dingding蝸牛.pdf	PDF page 28	PDF page 32, Chinese paragraph 14		ljakua tucu malaluanga kemakan, aza tjialj nimadju masaneliavan a baiking.	但是現在吃的人越來越少，因為牠的肚子裡充滿細菌。
dingding	15	S15	S15	dingding蝸牛.pdf	PDF page 30	PDF page 32, Chinese paragraph 15	Published ASCII exclamation mark retained; the PDF uses a full-width mark.	a dingding kasicuayan maqati a sane raceven, tucu aza laiq maqati a siki valeljevelj tua mudingan!	蝸牛以前除了可以賣錢維生，現在牠的黏液卻可以用來敷臉!
kavatjes	1	S1	S1	kavatjes ni vuvu奶奶的寶物.pdf	PDF page 2	PDF page 32, Chinese paragraph 1		izua za kavatjes ni vuvu, liaw a pinitaladj.	vuvu 有一個籃子，裡面藏了很多東西。
kavatjes	2	S2	S2	kavatjes ni vuvu奶奶的寶物.pdf	PDF page 4	PDF page 32, Chinese paragraph 2		nu pasa sainu kakacuing.	無論走到哪裡，她都會帶著。
kavatjes	3	S3	S3	kavatjes ni vuvu奶奶的寶物.pdf	PDF page 6	PDF page 32, Chinese paragraph 3		izua siqunu, qavu.	有小刀和石灰。
kavatjes	4	S4	S4	kavatjes ni vuvu奶奶的寶物.pdf	PDF page 8	PDF page 32, Chinese paragraph 4		izua cakel kata asaw.	有荖藤和荖葉。
kavatjes	5	S5	S5	kavatjes ni vuvu奶奶的寶物.pdf	PDF page 10	PDF page 32, Chinese paragraph 5		izua saviki kata sipu saluman a pudju.	有檳榔和增加香氣的植物。
kavatjes	6	S6	S6	kavatjes ni vuvu奶奶的寶物.pdf	PDF page 12	PDF page 32, Chinese paragraph 6		nu kemaljavaljava tua djidusia. seman savikiviki timadju.	她等車的時候會開始包檳榔。
kavatjes	7	S7	S7	kavatjes ni vuvu奶奶的寶物.pdf	PDF page 14	PDF page 32, Chinese paragraph 7		utauta ramaljeng anga ljakua djemulu anan a mapu.	她雖然老了但是牙齒還是咬得動。
kavatjes	8	S8	S8	kavatjes ni vuvu奶奶的寶物.pdf	PDF page 16	PDF page 32, Chinese paragraph 8		aza italjatj izuanan a qungecuy kata qecap.	有菸斗和叉具。
kavatjes	9	S9	S9	kavatjes ni vuvu奶奶的寶物.pdf	PDF page 18	PDF page 32, Chinese paragraph 9		tjengelay ti vuvu a tjemamaku, sa izua talem a paulin.	vuvu 喜歡抽菸，所以自己種了菸草。
kavatjes	10	S10	S10	kavatjes ni vuvu奶奶的寶物.pdf	PDF page 20	PDF page 32, Chinese paragraph 10		drasiven a asaw sa numetad, luteluten sa tjamakuy.	菸草曬乾後，就捲成圓形。
kavatjes	11	S11	S11	kavatjes ni vuvu奶奶的寶物.pdf	PDF page 22	PDF page 32, Chinese paragraph 11		kasicuayan a ramaljemaljeng tjengelay a maciuciul a maljaval sa tjemamakumaku.	以前的老人家很喜歡一起抽菸聊天。
kavatjes	12	S12	S12	kavatjes ni vuvu奶奶的寶物.pdf	PDF page 24	PDF page 32, Chinese paragraph 12	Chinese translation realigned to the rendered source	tucu numasepelj timadju qemungcuy a pucidilj.	他們還會用菸頭來處理嘴破皮的傷口。
kavatjes	13	S13	S13	kavatjes ni vuvu奶奶的寶物.pdf	PDF page 26	PDF page 32, Chinese paragraph 13	Chinese translation realigned to the rendered source	nu maqavu tiamadju ki iluqan a qungecuy sa djuasan a namaqavu a kisusaqetjuan.	現在她無聊的時候，常常一個人抽菸。
kavatjes	14	S14	S14	kavatjes ni vuvu奶奶的寶物.pdf	PDF page 28	PDF page 32, Chinese paragraph 14	Chinese translation realigned to the rendered source	izua nimadju a pinilimalimain a dingua.	還有一台老人機，
kavatjes	15	S15	S15	kavatjes ni vuvu奶奶的寶物.pdf	PDF page 30	PDF page 32, Chinese paragraph 15	Chinese translation realigned to the rendered source	nu singelit tjanu aken, padinguan pasa taihuku a kisa singelitan tjanu aken a kalakudakuda.	想念時就會打電話給在台北工作的我。
maljialjian	1	S1	S1	maljialjian a qaciljay(black stone).doc	Word table row 1	Word table row 1		aicu a qecengecengel a qaciljay.	這是一顆黑色的石頭。
maljialjian	2	S2	S2	maljialjian a qaciljay(black stone).doc	Word table row 2	Word table row 2		ita, drusa, tjelu, sepatj, lima, unem, izua unem a qecengecengel a qaciljay, a kinaqaca kata kinakedri maretimalji.	1、2、3、4、5、6，有6顆黑色的石頭，每一個形狀和大小都不一樣。
maljialjian	3	S3	S3	maljialjian a qaciljay(black stone).doc	Word table row 3	Word table row 3		pasusaceqalj nu tja djadjasen pitua kaviaqan, ika maru sadjelung uta.	拿在手上感覺輕輕的，一點也不重。
maljialjian	4	S4	S4	maljialjian a qaciljay(black stone).doc	Word table row 4, first unit	Word table row 4, first unit	Published quotation typography retained (Hartshorne, 2026-06-08, 4e1a510df).	"ti kapi kivadaq tjaivuvu ""vuvu, aicu a qaciljay sikudakuda?"""	kapi問＂奶奶，這顆石頭是做什麼用的?＂
maljialjian	5	S5	S5	maljialjian a qaciljay(black stone).doc	Word table row 4, second unit	Word table row 4, second unit		peluseq ti vuvu ka lemangeda, mapaqenetj a sinecevungan a sepaleqelegan kasicuayan.	奶奶突然流下眼淚，想起過去發生的事情。
maljialjian	6	S6	S6	maljialjian a qaciljay(black stone).doc	Word table row 5	Word table row 5	Previously omitted Chinese translation restored	izua tu caviljan na djemuljadjuljat a i qinaljan.	有一年部落正舉辦五年祭，
maljialjian	7	S6a		maljialjian a qaciljay(black stone).doc	Word table row 6	Word table row 6	Paiwan sentence omitted from legacy XML restored from the rendered source	tjaukaljia ti vuvu a uqaljay na kemadrangu, sa masi dramiya uri vaik a pasa vavua a kalakuda.	爺爺一大早就揹著簍筐，帶著鐮刀往山裡去工作。
maljialjian	8	S7	S7	maljialjian a qaciljay(black stone).doc	Word table row 7	Word table row 7		djemavadjavac a gemadugaduan, manu tjevuta za ita qatjuvi sa kaci a pikuzkuzan ti vuvu.	有一隻蛇跑出來咬傷了爺爺的腳踝。
maljialjian	9	S8	S8	maljialjian a qaciljay(black stone).doc	Word table row 8	Word table row 8		avanzua kilimu mekelj a sema umaq, aza kula nimadju naminvalak anga.	爺爺急忙地跑回家，這時腳已經腫得好大好大。
maljialjian	10	S9	S9	maljialjian a qaciljay(black stone).doc	Word table row 9	Word table row 9		ti vuvu a vavayan djaljaw a kiqeljing tua ljaqedi, sa sialap tua qecengecengel a qaciljay padjekecan tua kinacan a piqay, semamalji aravac aza qaciljay kidjekec tua piqay ika matjani.	奶奶趕緊拜託鄰居，把黑色的石頭放在咬傷的地方，奇妙的是黑石黏住了。
maljialjian	11	S10	S10	maljialjian a qaciljay(black stone).doc	Word table row 10	Word table row 10		aicu a qecengcengl a qaciljay maqati a semeljup tua duku nua qatjuvi, nuna matjani anga qaciljay, ayaing anan tua miruku a putjeveng.	黑色的石頭能吸出蛇的毒液，處理完傷口後，石頭需要用牛奶泡著。
maljialjian	12	S11	S11	maljialjian a qaciljay(black stone).doc	Word table row 11	Word table row 11	Published comma spacing and quotation typography retained.	"aya ti vuvu ""aicu a maljialjian a qaciljay, tazua tjuruvu anga qineljing a sikataqaljan a caucau, kana izua duku a qatjuvi, ljaljiga, katua kumakuma, pangac, tuki namakuda a saqetjuan, maqati a tjasikiqeljing icengceng."""	奶奶說＂這奇特的石頭，在當時救了許多村民，無論是毒蛇、蜈蚣、蜘蛛、蜂、任何有毒的昆蟲動物，或是疼痛，都可用它做為急救工具。＂
maljialjian	13	S12	S12	maljialjian a qaciljay(black stone).doc	Word table row 12	Word table row 12	Published quotation typography retained.	"ti vuvu qivuanan a maitucu ""izua puita na malayu amen katua ku rava seme vavua."""	奶奶接著說，有一次她和朋友去山上換工，
maljialjian	14	S13	S13	maljialjian a qaciljay(black stone).doc	Word table row 13	Word table row 13		izua za madrusa vavayan a lumamad nasekataqed, aza macidilj sinipakaladray tua dradruy, a macidilj piniteku itua cepeng.	有兩位小女孩睡得香甜，一個掛在樹上，一個在地上的籃子裡。
maljialjian	15	S14	S14	maljialjian a qaciljay(black stone).doc	Word table row 14	Word table row 14		manu tjevuta zepung, kiliulius tua palingulj nua cepeng a pacucun ta lumamad.	突然一隻眼鏡蛇串了出來，圍在籃子邊看著嬰孩。
maljialjian	16	S15	S15	maljialjian a qaciljay(black stone).doc	Word table row 15	Word table row 15		maru emusilui, aza qatjuvi inika kinac aza vavayan, kamaka sequ vaik pasamalji, akumaya sakemeljang mun ri?	神奇的是，蛇沒有咬那位女孩，卻跑走了，你們知道為什麼嗎?
