seq,page,form,meaning_zho,source_context,allow_affix_form_mismatch,note
1,53,a-mumul,即將出發,a- | mumul | 出發、走,,Page-image verified; Vision OCR missed the rightmost meaning cell.
293,127,kan-an,被吃,-an | kan | 吃！,,Page-image verified; Vision OCR read the printed exclamation mark as an apostrophe and retained a footnote marker.
297,128,Panay-an,Panay 那裡,-an | Panay | 人名,,Page-image verified; Vision OCR selected the root name instead of the suffixed form.
300,130,salahbal-an,月圓時，亦指中秋節,-an | salahbal | 月圓,,Page-image verified; Vision OCR missed the wrapped rightmost meaning cell.
302,131,bangbang-aw,要多勉勵,-aw | bangbang | 火燒旺，可延伸有加油、勉勵之意,,Page-image verified while adding source-table base forms; OCR omitted the base-meaning cell.
304,133,Bunuk-aw,親暱的稱Bunuk啊！,-aw | Bunuk | 人名,,Page-image verified; Vision OCR merged the root and affixed-form cells.
313,135,sepat,四的,-ay | sepat | 四,true,Page-image verified source inconsistency: table 83 row 313 prints affix -ay but affixed form sepat; the following prose gives sept-ay. The XML preserves the table row and represents -ay in its source affix M tier.
317,136,panunu'-ay,向（某人）炫耀的,-ay | panunu' | 向（某人）炫耀,,Page-image verified; Vision OCR missed the wrapped rightmost meaning cell.
320,136,balucu'-ay,心目中的,-ay | balucu' | 心,,Page-image verified while adding source-table base forms; OCR omitted the glottal mark.
323,137,uli'-ay,茅草的,-ay | uli' | 茅草,,Page-image verified while adding source-table base forms; OCR omitted l and the glottal mark in the root cell.
325,137,pu'nel-ay,矮的,-ay | pu'nel | 矮（形容事物，延伸形容人矮）,,Page-image verified while adding source-table base forms; OCR omitted the glottal mark from the affixed form.
362,145,ma-badi'-ay,枯萎的,ma-...-ay | badi'- | 枯萎、乾掉,,Page-image verified while adding source-table base forms; OCR omitted the glottal mark and misread 萎 as 菱.
364,145,ma-id'id-ay,烤過的,ma-...-ay | id'id- | 烤,,Page-image verified while adding source-table base forms; OCR omitted the medial glottal mark.
365,145,ma-limula'-ay,很會撒嬌的,ma-...-ay | limula'- | 撒嬌,,Page-image verified; Vision OCR omitted both printed glottal apostrophes.
371,145,ma-salaw-ay,巨人,ma-...-ay | salaw | 巨大,,Page-image verified; Vision OCR merged the first cells.
375,146,mi-sanga'-an,建造的、製作的,mi-...-an | sanga'- | 建造、製作,,Page-image verified while adding source-table base forms; OCR omitted the glottal mark.
376,147,mu'-'neng-ay,坐下的,mu-...-ay | 'neng- | 坐,,Page-image and embedded scan text verified the two printed glottal apostrophes; Vision OCR omitted the second.
381,147,mu-lecuh-ay,生產的、分娩的，例如產婦,mu-...-ay | lecuh- | 生產,,Page-image verified; Vision OCR retained the footnote marker and corrupted the wrapped rightmost meaning cell.
383,148,na-emek-an,腳印,na-...-an | emek- | 踩,,Page-image verified while adding source-table base forms; OCR read initial e as c and missed the base meaning.
387,148,na-ngelu'-an,辛苦得來的,na-...-an | ngelu' | 辛苦,,Page-image verified while adding source-table base forms; OCR omitted the glottal mark from the affixed form.
388,148,na-sazipa'-an,腳印,na-...-an | sazipa' | 腳掌,,Page-image verified while adding source-table base forms; OCR read the glottal mark as l and omitted it from the affixed form.
408,151,pa-pili'-en,挑選,pa-...-en | pili'- | 挑,,Page-image verified; Vision OCR omitted both printed glottal apostrophes.
420,152,pi-badi'-i,去曬乾！,pa-...-i | badi'- | 枯萎、乾掉,,"Page-image verified; Vision OCR omitted the source glottal mark. The table affix column prints pa-...-i while the heading, prose, and full form use pi-...-i."
421,152,pi-badisusu'-i,去採葡萄！,pa-...-i | badisusu' | 葡萄,,Page-image verified while adding source-table base forms; OCR inserted l before the imperative suffix.
433,154,ta-tip-en,往西邊！,ta-...-en | tip | 西,,Page-image verified while adding source-table base forms; OCR read i as j in the root cell.
