s_id	w_id	resolution	source_url	source_head	translation
S500_1	S500_1W5	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/07/paiwan-every-day-500-qata.html	qata or 'ata	sglass bead. Another word is mulimulitan, which really refers to the most significant and precious bead among all glass beads. However, in Ferrel (p. 55), he had drungaljisan 'glass bead, specific type from Dutch trade. I could not find drung in any dictionary, but aljis is tooth, and -an is the end marker for nominalization.
S499_1	S499_1W4	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/07/paiwan-every-day-499-aljis.html	ta-tiyaw or ka-tiyaw	yesterday. ta- or ka- 'prefix which indicates past time'.
S493_1	S493_1W1	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/07/paiwan-every-day-493-ainu-inu.html	ainu or inu	where
S493_1	S493_1W7	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/07/paiwan-every-day-493-ainu-inu.html	siyaw or siav	soup
S493_1	S493_1W8	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/07/paiwan-every-day-493-ainu-inu.html	ainu or inu	where
S491_1	S491_1W6	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/07/paiwan-every-day-491-agu-quzip.html	'a-si-cuai-yan or kasicuaiyan	from a long time ago. The root is cuai 'long'.
S478_1	S478_1W27	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/06/paiwan-every-day-478-kai-vii.html	'ivavadaqan or ki-va-va-daq-an	were asking, AV. The root is vadaq 'ask, question' in RED.
S448_1	S448_1W1	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/05/paiwan-every-day-448-sekez-sinekezan.html	avan or mavan	is, 'be' verb. In the study of Paiwan, the common knowledge is there is no 'be' verb.
S412_1	S412_1W4	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/04/paiwa-every-day-412-cun-pinacunan.html	kata or katua	and, conjunction (CONJ)
S404_1	S404_1W9	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/04/paiwan-every-day-404-cunuq-kacunuqan.html	ka-ta or ka-tua	and
S401_1	S401_1W8	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/04/paiwan-every-day-401-qeceng-qineceng.html	nua or na	of, genitive (GEN) case marker
S374_1	S374_1W6	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/03/paiwan-every-day-374-kan-kenamain.html	kenamain*	breakfast. I don't know how to break the word until the root kan. How?
S368_1	S368_1W3	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/03/paiwan-every-day-368-kan-keman.html	aken or a'en	I, 1st person singular nominative (NOM)
S362_1	S362_1W5	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/03/paiwan-every-day-362-kesa-kemesa.html	katua or kata	and
S361_1	S361_1W5	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/03/paiwan-every-day-361-cengceng.html	aken or a'en	I, 1st person singular NOM
S346_1	S346_1W3	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/02/paiwan-every-day-346-anan.html	a'en or aken	I, 1st person singular nominative (NOM)
S346_1	S346_1W5	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/02/paiwan-every-day-346-anan.html	a'en or aken	I, 1st person singular nominative (NOM)
S318_1	S318_1W9	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/01/paiwan-every-day-318-vai-sinivai.html	tua or ta	oblique (OBL) case marker
S316_1	S316_1W2	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/01/paiwan-every-day-316-gacalj-migacalj.html	a'en or aken	I, 1st person singular nominative (NOM)
S309_1	S309_1W10	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/01/paiwan-every-day-309-veli-veneli.html	kata or katua	and. This is also like a combination of the OBL ta or tua and ka. But I don't claim authority here.
S303_1	S303_1W4	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/01/paiwan-every-day-303-caqu-icaquanan.html	a'en or aken	I, 1st person singular nominative (NOM)
S303_1	S303_1W6	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/01/paiwan-every-day-303-caqu-icaquanan.html	'ivadaq or kivadaq	ask
S303_1	S303_1W13	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/01/paiwan-every-day-303-caqu-icaquanan.html	lingaw or lingav	time. In our dialect, we use more /w/ than /v/ in the ending of a word.
S303_1	S303_1W15	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/01/paiwan-every-day-303-caqu-icaquanan.html	i-caqu-an-an or kicaquan-an	learn or study. The root is caqu 'talen, knowledge'. I listened for many times and I am sure Mom Naluku has the extra ending -an, which I do not know how to explain. Why did she use a undergoer voice (UV) case marker with the nominative subject case marker ti?
S303_1	S303_1W27	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/01/paiwan-every-day-303-caqu-icaquanan.html	i-caqu-an-an or kicaquan-an	learn or study. The root is caqu 'talen, knowledge'. I listened for many times and I am sure Mom Naluku has the extra ending -an, which I do not know how to explain. Why did she use a undergoer voice (UV) case marker with the nominative subject case marker ti?
S281_1	S281_1W5	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2020/12/paiwan-every-day-281-sepi-pusepi.html	tua / ta	oblique (OBL) case marker
S275_1	S275_1W1	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2020/12/paiwan-every-day-275-veric.html	titjen / itjen	we inclusive (INCL)
S275_1	S275_1W5	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2020/12/paiwan-every-day-275-veric.html	titjen / itjen	we inclusive (INCL)
S154_1	S154_1W6	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2020/08/paiwan-every-day-154-gang.html	tua or ta	oblique (OBL) case marker
S39_1	S39_1W4	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2020/04/paiwan-every-day-39.html	ka-kuda- (a)n	custom, culture, rule. The root is kuda 'rule, what'.
