corpus,file,s_id,n_quotation,n_ambiguous,n_transl,form_original,transl
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000518,0,3,1,'Itini i saikoray lintad o pasangaray a si'ayawen a 'awaled' sanay ci Pawlo.,"""The last days,"" wrote the apostle Paul, would bring ""critical times hard to deal with."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000558,0,1,1,"Itini Loma 15:5 somowalay to pairaen ko 'harateng ni Kristo Yis,' sanay.","And Romans 15:5 refers to having ""the same mental attitude that Christ Jesus had."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000567,0,2,1,"Itini Yohani 15:4 to 10 toni pina sinael, kinapinaay masowal ni Yis ko 'mararid' sanay a tilid, paihekal to kalimelaan ko mihadidiay.","Jesus stressed the need for endurance by using forms of the word ""remain"" over and over in the brief passage recorded at John 15:4-10."
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000627,0,4,1,"Sanay ko sowal no Kawas: 'Wa mahecad kamo o 'engaenga a komaen to hacol, 'afofoen i falohang a mipohpoh, itini cepi' a mikalona.","""You will nurse and be carried on the hip, and you will be bounced on the knees."
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U000950,0,2,1,Samaan a malo 'hafay' iso ci Yihofa?,"make Jehovah your ""portion""?"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001038,2,0,1,"Mahecaday kita ci Yihofaan, makalimay micada ko tamdaw to so'linay kimad a 'ma'orip'.","Like Jehovah, we dearly wish that people would respond to the message and ""keep living."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001069,0,5,1,"Kalimelaan ko 'kafana' ita' ci Yihofaan ato 'paso'lin a miti'er' to wawa Ningra ci Yisan, nganga'ay milifok to tahada'ocay 'orip.","The only path to everlasting life involves ""coming to know"" Jehovah and ""exercising faith"" in Jesus, His only-begotten Son."
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001100,0,2,1,"'O Moecelay Tamdaw, Pakayniay ci Yihofaan a Lipahak'","""The Righteous One Will Rejoice in Jehovah"""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001143,0,2,1,"Misamanay hano 'o misa'adaay ci Yihofaan, awaay ko taneng' hani?","Why is there ""no wisdom... in opposition to Jehovah""?"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001210,0,1,1,Sanay ko ca'of ni Yis: 'Cowa ko noni hekal ko Hongti Kitakit ako.',"Jesus answered: ""My Kingdom is no part of this world."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001228,0,1,1,'Ayaw no somowal ci Yis to kilang no fadisoso'a sapatinako pasowalay to tarokos: 'Pafelien ako kamo to dipayal no mako.',"Earlier on that last evening before his death, Jesus told his apostles: ""I give you my peace."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001247,0,3,1,Samanay ci Yis malo 'ta'enengan a fakeloh no loma'' hani?,"How could Jesus become ""the chief cornerstone""?"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001266,0,1,1,"Mikayatan no coyoh ci Filipan, tayra i 'a'ayaw noniya Iciyopiya tamdaw, 'milasil to nga'ayay ratoh ni Yis cingranan.'","Prompted by Jehovah's angel, Philip approached the Ethiopian and ""declared to him the good news about Jesus."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001286,0,3,1,"Palimo'otay ci Yis to nisawawaan padama to tamdaw 'malo Krisciyang..., mipaino' cangranan,' sanay.","Just about a year before Jesus gave the commission to ""make disciples..., baptizing them,"" he provided insight into what would be required of his followers."
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001294,0,3,1,"Sowal ni Yis ci Akoma Satan 'miliyangay to so'linay kimad, samanen awaay ko so'linay kimad ilaloma' ningra.'","In explaining the Devil's actions, Jesus stated: ""He did not stand fast in the truth, because truth is not in him."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001319,2,0,1,"Mikitini i sakayat no 'madimadiay inanengay a koli', wa samaan mahapinang ita to ciharatengay ci Yis to no'adingoan a pakayraan ita hani?","How is Christ's concern for our spiritual welfare clearly reflected in the direction given by ""the faithful and discreet slave""?"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001333,0,2,1,Misamaanay hano o 'salakatay milidongan' ci Yis hani?,"Why is it significant that Jesus is ""the firstfruits""?"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001340,0,1,1,Sanay ko sowal ni Yis to nisawawaan: 'Padotoc kamo a ciheci... mihaen mapa'dil ko Wama ako.',"Jesus told his apostles: ""My Father is glorified in this, that you keep bearing much fruit."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001342,0,2,1,"Sowal ni Yis, 'ano mararid kamo mitoor to sowal ako' sa i, tatodong noni sowal, ano sapilifokaw ko tamdaw to pasalat, mitoor to patirengan ningra a sa'osi, o sanay.","Jesus' statement ""if you remain in my word"" implies that there are certain requirements or boundaries for being set free by him."
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001348,0,3,1,Samaan kita mikilim to o cima ko 'citatodongay milifok to tahada'ocay 'orip a tamdaw' hani?,"How can we know who are ""rightly disposed for everlasting life,"" and how can we find them?"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001383,0,1,1,"Cowa ko pilengo aca no Taneng 23:23 to mi'aca to so'linay kimad, pasowalayho to mami'aca kita to 'taneng, sapirikec, saka cipinang.'","In addition to buying truth, Proverbs 23:23 says that we should also buy ""wisdom and discipline and understanding."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001404,2,0,1,"Cowa ko pitadi'ec aca nangra to Kawas, misadayayho a milood, mahecad o pahatatanaman a sofitay, mica'edongay cangra to 'sapafeli no Kawas polong a sapilood a riko'.'","Like well-trained soldiers, they have ""put on the complete suit of armor from God."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001500,0,1,1,"Padotoc kamo a ciheci, paihekal to nisawawaan ako kamo, mihaen mapa'dil ko wama ako.'","""My Father is glorified in this, that you keep bearing much fruit and prove yourselves my disciples."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001569,0,2,1,"Ano mahaen 'o sasafaay' ko demak ako, wa mikangodo ko tao takowanan han?""","If I conduct myself ""as a lesser one,"" might people lose respect for me?'"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001594,0,3,1,"Pasowalan ni Yis ko nisawawaan: 'Ano micerid kamo midofdof to sowal ako, o so'linayto a nisawawaan ako. Wa mafana' kamo to so'linay kimad, wa pasalaten no so'linay kimad kamo.'","Jesus said to his followers: ""If you remain in my word, you are really my disciples, and you will know the truth, and the truth will set you free."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001647,0,2,1,Misamaanay hano 'adihayay ko roray' no roma tamdaw anini hani?,"What causes people today to ""multiply their sorrows""?"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001682,3,5,1,"Anini, iraay ko tokel tayra i kakarayan 'mimingay 'opo a siri' ato iraay ko tokel i fafekang no sera tahada'oc ma'orip a 'roma lopay'ay siri' malo 'cecayay 'opo', sahtoay o kalimlaan ni Yihofa a finawlan cangra.","Today, the ""little flock,"" with a heavenly hope, and the ""other sheep,"" with an earthly hope, compose the ""one flock"" that Jehovah highly regards as his people."
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001821,2,0,1,"Kawra, hinatalaay cangra to sakaira no 'romi'ad ni Yihofa', mipala'afo toni tatiihay a hekal.","Rather, they await the end of this wicked system of things during ""Jehovah's day."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001873,0,2,1,Wa 'padotoc a ciheci' cangra.,"They had to ""go and keep bearing fruit."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U001882,0,2,1,"Mahecaday ko harateng ni Yis, miocoran ningra ko 70 tamdaw a mitosil, samanen nga'ayay ko minaro'an 'lipahakay a minokay' cangra, pakahemekay konini ci Yisan.","Jesus also experienced great happiness when the 70 preachers whom he had sent out to the field ""returned with joy"" because of the favorable results they had experienced."
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U002006,0,2,1,"Itiniay i saka cecay hahekalan, o roma tamdaw hano 'pa'aca' to so'linay kimad hani?","In the first century, why did some ""sell"" the truth?"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U002024,2,0,1,"Misamaanay o tarokos ci Pawlo hano palimo'ot to Hiprayay a Krisciyang, 'tongalen ko pisa'icel a pakalalolalok' saan hani?","Why did the apostle Paul exhort the early Hebrew Christians to encourage one another ""all the more so""?"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U002040,0,4,1,"Tooren ko lalangian no 'Olic saka 3 fedengan, oniya 'Olic itiniay 'piliyas ni Tafiti to wawa ci Apsaloman' a tiliden.","The superscription of Psalm 3 indicates that it was composed when David ""was fleeing from his son Absalom."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U002105,0,2,1,"Misaka dademakay cingra to safalod i Taneng 20:5, mitala to matatodongay a toki 'pakapipatalahkal to harateng' no mako, kawrira cowa koyaan hahimeden a demak.""","""Then she will apply the principle found at Proverbs 20:5, even when this means waiting for the right time to 'draw out' my thoughts if it is a matter that I am free to discuss with her."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U002124,0,2,1,"Ano misetek kita to faloco'midopo to Kawas i, sasamaan Cingra padama kitaanan 'pakalowid' to mararaway a coos hani?","How does Jehovah help us to ""get the mastery over"" sinful inclinations when we take a firm stand on his side?"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U002127,2,0,1,Sanay ko sowal ni Marta: 'Mafana' kako to nika o mamiliyaw a ma'orip cingra nai patay i saikoray a romi'ad.',"She said: ""I know he will rise in the resurrection on the last day."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U002209,1,2,1,"Isalakatay a somowal ci Pawlo to 'micoliay micongangah to wama wina', aikor somowalay to caay ka fana' a miahowid ko tamdaw, o matiniay tamdaw cowa piako'id to nano demak no tao i cangranan.","Fittingly, unthankful follows ""disobedient to parents"" because it describes the attitude of those who lack appreciation for the kindnesses shown to them by others."
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U002270,0,1,1,"Tahira i romi'ad ni Nowa, 'adihayay miedefay ko mari'angay a demak icowacowa.'","In fact, in Noah's day, ""the earth was filled with violence."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U002279,0,2,1,"Pasifana' ko tarokos ci Pawlo to Krisciyang mapakalalok i, hano pasowal cangranan to 'tongalen ko pihaen to demak' hani?","Why did the apostle Paul use the expression ""all the more so"" when he instructed Christians to encourage one another?"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U002331,0,2,1,Hano misetek ko faloco' iso 'mihadidi a ciheci' hani?,"Why are you determined to ""bear fruit with endurance""?"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U002381,2,0,1,"Ano haratengen ita ko teloc no mararaway, wa nga'ay misa'osi ko faloco' 'ka'itehen ko tatiihay'.","By reflecting on the bad consequences of sin, we can strengthen our heart to ""hate what is bad."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U002419,0,1,1,"Ikor somowal ko Fangcalay Cudad ci Mosian, sanay: ""Orasaka, Masa ano eca i, Miripa han koya pipasadakan to nanom a 'ongcoy. Nawhani ngaliwngiw ko finawlan no Israil a mipakaketer ci Yihofaan. 'Mikapotay ci Yihofa i titaanan saw?'","The inspired record goes on to tell us that Moses ""named the place Massah and Meribah because of the quarreling of the Israelites and because they put Jehovah to the test by saying: 'Is Jehovah in our midst or not?'"""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U002527,0,2,1,Misamanay Hano 'Papadotoc a Ciheci' Kita Hani?,"Why We ""Keep Bearing Much Fruit"""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U002532,0,3,1,Samaan kita mafana' to o cima ko 'citatodongay milifok to tahada'ocay 'orip a tamdaw' hani?,"How can we know who are ""rightly disposed for everlasting life""?"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U002602,0,1,1,"Misa'icel kita palahad to 'harateng ni Kristo,' hano nga'ay padama kitanan malo no'adingoan a tamdaw?","How will our effort to have ""the mind of Christ"" help us to be spiritual people?"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U002644,2,0,1,Hano misa'icel kita a palahad to 'harateng ni Kristo'?,"Why should we strive to have ""the mind of Christ""?"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U002673,0,1,1,"Sowal i 1 Korinto 2:16 pairaen ita ko 'harateng ni kristo,' sanay.","The Bible at 1 Corinthians 2:16 speaks of having ""the mind of Christ."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U002767,2,0,1,"Samanen no wama wina a padama ko wawa, 'ira ko taneng nga'ay malidong'?","How can parents help their children to become ""wise for salvation""?"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U002772,0,1,1,"Pakayni i sowal ni Yihofa ato fangcalay saocor, ato misadakan iso a 'icel, wa nga'ay padama to wawa iso, 'ira ko taneng nga'ay malidong.'","May Jehovah's Word, his spirit, and your efforts as a parent help your children to become ""wise for salvation."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U003197,0,2,1,"O mitilidan ni Yohani saka tosa ato saka tolo a tikami, pakahemekan ningra koya padotocay 'midoedo to so'linay kimad dademak' a Krisciyang.","His second and third letters commend Christians who continue ""walking in the truth."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U003271,0,1,1,'Nanay Pahemeken no Tamdaw Kiso to Nika Citanengay Kiso!',"""Blessed Be Your Good Sense!"""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U003446,0,2,1,Itini tikami ni Pawlo mikiriwi'ay masowal ni Pawlo ko 'patanektekay' cingranan a salikaka.,"Paul took special note of brothers who had proved to be ""a strengthening aid"" to him."
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U003519,0,2,1,'Misinanotay mitengil' ci Yihofa to maanan a demak hani?,"Jehovah is ""paying attention and listening"" to what?"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U003585,0,2,1,O manan ko 'tadamaanay a miliyaway ma'orip' hani?,"What ""better resurrection"" is yet ahead?"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U003687,2,0,1,"Pakayni sapadamaaw kitaanan, pafeliay to 'malo sida'itay a tamdaw', o malohemay malitengay no kasakopang, tangongolay ko piako'id no mita ci Yihofaan.","Consequently, appreciate Jehovah's provision of ""gifts in men,"" congregation elders."
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U003910,0,1,1,"Somowalay ko mikingkiway a tamdaw, padama to tamdaw 'matongalay ko araaw ato epoc no ka'orip, samanen mihaen to demak mirenecay to sasafaay a saali no tamdaw.'","Helping others, researchers say, is important to developing ""a greater sense of purpose and meaning"" in life ""because it fulfills basic human needs."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U003989,0,2,1,"O roma, masowalay ni Yihofa i Fangcalay Cudad ko Hongti Kitakit ni Misiya, somowalayho Cingra o mapasimalay Krisciyang iraay ko hatokel, tayra i kakarayan tahada'oc a ma'orip, o 'roma lopay'ay siri' wa itini i sera a Lakoing tahada'oc a ma'orip.","Jehovah also informs us about the Messianic Kingdom, and he sets before the anointed the heavenly hope and before the ""other sheep"" the hope of the earthly Paradise."
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U004059,0,2,1,Sowal ni Pawlo 'maolahay to payso' ko tamdaw sanay.,"Paul wrote that people would be ""lovers of money."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U004089,2,0,1,"Itini ta'angayay kaemingay a demak no ka'orip, o so'linay Krisciyang wa 'ka sasiso'lin ko sowal'.","In every aspect of life, true Christians ""speak the truth with one another."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U004121,0,1,1,Katayni takowanan!',"Come to me!"""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U004150,0,2,1,"Kaemangay Tamdaw, Ka 'Padotoc Misa'icel, Milahecito Sakalidong Namo a Tayal'","Young Ones, ""Keep Working Out Your Own Salvation"""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U004155,0,2,1,"Kaemangay Tamdaw, ka 'Padotoc Misa'icel, Milahecito Sakalidong Namo a Tayal'","Young Ones, ""Keep Working Out Your Own Salvation"""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U004186,0,2,1,"Mitadtaday ci Pawlo to kasasiroma 'no'adingoan a tamdaw' ato 'midoedoay to tireng a tamdaw,' padamaay konini kitanan cipinang to o maanan ko tatodong no no'adingoan a tamdaw.","The apostle Paul helps us to understand what a spiritual person is by drawing a contrast between a ""spiritual man"" and ""a physical man."""
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_eng_tmem.xml,GLOSBE_ami_eng_TMEM_U004212,0,2,1,"Sowal no Fangcalay Cudad, oyaan 'moecelay mangodoay to Kawas' a Simiyong ato 84 ko mihecaan a fafahiyan ci Anna hananay a pairasolay ko pahapinangan ni Yihofa ci Yisan, o cangrato ko milasilay to tamdaw, o mamalo Misiya a wawa masadakayto.","Instead, Jehovah used a ""righteous and devout"" man named Simeon, along with an 84-year-old widow, the prophetess Anna, to acknowledge that this child would become the promised Messiah, or Christ."
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_zho_tmem.xml,GLOSBE_ami_zho_TMEM_U000002,2,0,1,"Mahecaday kita ci Yihofaan, makalimay micada ko tamdaw to so'linay kimad a 'ma'orip'.","我們像耶和華一樣,衷心盼望別人接受真理而＂活下去＂。("
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_zho_tmem.xml,GLOSBE_ami_zho_TMEM_U000126,0,1,1,"Itiya, itiniay i Yirusalim cingra pasayra i ""kakerikeridan no finawlan ato mato'asay, ato pasifana'ay to rikec a tamdaw,"" no Yutaya a pasowal: 'Oya Nacali tamdaw ci Yis Kristo, na mipacekan namo i hecek, patikolanto no Kawas pa'orip cingra nai patay.'","當時,他在耶路撒冷對猶太人的＂官長、長老、抄經士＂說:＂拿撒勒人耶穌基督......你們把他掛在柱上,上帝卻使他從死裡復活了。＂"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_zho_tmem.xml,GLOSBE_ami_zho_TMEM_U000168,0,1,2,"So'lin ano caka pasowal cangra, latek mamatira ci Tafitian ko harateng nangra: 'Nanay pahemeken no tamdaw kiso to nika citanengay kiso!'","即使別人沒有說出口,說不定他們很想對我們說:＂願人贊賞你明白事理。＂ || 即使別人沒有說出口,說不定他們很想對我們說:＂願人贊賞你明白事理。＂"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_zho_tmem.xml,GLOSBE_ami_zho_TMEM_U000169,0,1,1,'Ayaw no somowal ci Yis to kilang no fadisoso'a sapatinako pasowalay to tarokos: 'Pafelien ako kamo to dipayal no mako.',耶穌在講葡萄樹的比喻前對使徒說:＂我......把我的平安賜給你們。＂
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_zho_tmem.xml,GLOSBE_ami_zho_TMEM_U000261,0,1,2,"Matawaay ci Alinta a pasowal: ""Mikawihay ko palakatay to faso tamiyanan, o roma palakatay mikitira i faso miowaw tamiyanan: 'Tada kasemeranto kamo!'","奧琳達也笑著說:＂公車司機向我們揮手,有些司機還從車裡對我們大喊:‘你們真了不起!’ || 奧琳達也笑著說:＂公車司機向我們揮手,有些司機還從車裡對我們大喊:‘你們真了不起!’"
Glosbe,Corpora/Glosbe/XML/ami/Glosbe_ami_zho_tmem.xml,GLOSBE_ami_zho_TMEM_U000293,0,2,2,3 'Itini i saikoray lintad o pasangaray a si'ayawen a'awaled' sanay ci Pawlo.,"3 保羅寫到,＂最後的日子＂會是個＂難以應付的非常時期＂。 || 3 保羅寫到,＂最後的日子＂會是個＂難以應付的非常時期＂。"
