category,language,file,sentence_id,n_words,last_w_form
Stories,Saisiyat,Saisiyat_SaiNr-election_lahi_ a taro_ babay.xml,SaiNr-election_lahi_ a taro_ babay_S_9,7,sinkano'on
Stories,Saisiyat,Saisiyat_SaiNr-election_lahi_ a taro_ babay.xml,SaiNr-election_lahi_ a taro_ babay_S_18,12,wa'ae'
Stories,Saisiyat,Saisiyat_SaiNr-election_lahi_ a taro_ babay.xml,SaiNr-election_lahi_ a taro_ babay_S_20,7,pinobaeah
Stories,Saisiyat,Saisiyat_SaiNr-election_lahi_ a taro_ babay.xml,SaiNr-election_lahi_ a taro_ babay_S_45,9,haysani
Stories,Saisiyat,Saisiyat_SaiNr-election_lahi_ a taro_ babay.xml,SaiNr-election_lahi_ a taro_ babay_S_47,12,moto
Stories,Saisiyat,Saisiyat_SaiNr-holiday_kalaeh a _oemaw.xml,SaiNr-holiday_kalaeh a _oemaw_S_23,9,hoN
Stories,Saisiyat,Saisiyat_SaiNr-holiday_kalaeh a _oemaw.xml,SaiNr-holiday_kalaeh a _oemaw_S_44,1,C
Stories,Saisiyat,Saisiyat_SaiNr-holiday_kalaeh a _oemaw.xml,SaiNr-holiday_kalaeh a _oemaw_S_93,25,tinawbon
Stories,Saisiyat,Saisiyat_SaiNr-holiday_kalaeh a _oemaw.xml,SaiNr-holiday_kalaeh a _oemaw_S_107,1,C
Stories,Saisiyat,Saisiyat_SaiNr-life_waon a boong.xml,SaiNr-life_waon a boong_S_1,6,baboeyoe'-an
Stories,Saisiyat,Saisiyat_SaiNr-life_waon a boong.xml,SaiNr-life_waon a boong_S_35,15,atomalan
Stories,Saisiyat,Saisiyat_SaiNr-life_waon a boong.xml,SaiNr-life_waon a boong_S_38,2,'oka'
Stories,Saisiyat,Saisiyat_SaiNr-life_waon a boong.xml,SaiNr-life_waon a boong_S_48,12,F
Stories,Saisiyat,Saisiyat_SaiNr-life_waon a boong.xml,SaiNr-life_waon a boong_S_55,4,kayzaeh
Stories,Saisiyat,Saisiyat_SaiNr-life_waon a boong.xml,SaiNr-life_waon a boong_S_70,12,nak'ino'
Stories,Saisiyat,Saisiyat_SaiNr-life_waon a boong.xml,SaiNr-life_waon a boong_S_72,8,talboeyoe'
Stories,Saisiyat,Saisiyat_SaiNr-life_waon a boong.xml,SaiNr-life_waon a boong_S_87,2,patpatalpeteh
Stories,Saisiyat,Saisiyat_SaiNr-life_waon a boong.xml,SaiNr-life_waon a boong_S_96,12,noka
Stories,Saisiyat,Saisiyat_SaiNr-life_waon a boong.xml,SaiNr-life_waon a boong_S_100,7,isa'an
Stories,Saisiyat,Saisiyat_SaiNr-life_waon a boong.xml,SaiNr-life_waon a boong_S_122,2,too'
Stories,Saisiyat,Saisiyat_SaiNr-life_waon a boong.xml,SaiNr-life_waon a boong_S_123,4,lahiya-hiya
Stories,Saisiyat,Saisiyat_SaiNr-life_waon a boong.xml,SaiNr-life_waon a boong_S_129,4,ari'
Stories,Saisiyat,Saisiyat_SaiNr-life_waon a boong.xml,SaiNr-life_waon a boong_S_139,2,hayno'
Stories,Saisiyat,Saisiyat_SaiNr-life_waon a boong.xml,SaiNr-life_waon a boong_S_143,2,say'ino'
Stories,Saisiyat,Saisiyat_SaiNr-life_waon a boong.xml,SaiNr-life_waon a boong_S_146,4,in-aliyong-a
Stories,Saisiyat,Saisiyat_SaiNr-life_waon a boong.xml,SaiNr-life_waon a boong_S_148,6,o
Stories,Saisiyat,Saisiyat_SaiNr-life_waon a boong.xml,SaiNr-life_waon a boong_S_151,2,'ihi'
Stories,Seediq,Seediq_sdqCon-dialog3_robo_bakan 2021s.xml,sdqCon-dialog3_robo_bakan 2021s_S_27,1,B
Stories,Tsou,Tsou_TsouConv-typhoon.xml,TsouConv-typhoon_S_216,8,P
