rule_id,file,s_id,character,position,form_before,form_after
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog1_bownay a tahes.xml,SaiNr-frog1_bownay a tahes_S_33,',13,kas'oehaz ka 'oewi'.,"kas'oehaz ka ""oewi""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog1_bownay a tahes.xml,SaiNr-frog1_bownay a tahes_S_33,',18,kas'oehaz ka 'oewi'.,"kas'oehaz ka ""oewi""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog1_bownay a tahes.xml,SaiNr-frog1_bownay a tahes_S_39,',29,ilahao ila ray kaehkaehoeyan 'i'izo' si'oe'oe.,"ilahao ila ray kaehkaehoeyan ""i'izo"" si'oe'oe."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog1_bownay a tahes.xml,SaiNr-frog1_bownay a tahes_S_39,',35,ilahao ila ray kaehkaehoeyan 'i'izo' si'oe'oe.,"ilahao ila ray kaehkaehoeyan ""i'izo"" si'oe'oe."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog1_bownay a tahes.xml,SaiNr-frog1_bownay a tahes_S_44,',46,hiza' korkoring paksahae'en ila hao ray ralom 'i'izo'.,"hiza' korkoring paksahae'en ila hao ray ralom ""i'izo""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog1_bownay a tahes.xml,SaiNr-frog1_bownay a tahes_S_44,',52,hiza' korkoring paksahae'en ila hao ray ralom 'i'izo'.,"hiza' korkoring paksahae'en ila hao ray ralom ""i'izo""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog1_bownay a tahes.xml,SaiNr-frog1_bownay a tahes_S_53,',10,takem kin 'akoy ila hiza'.,"takem kin ""akoy ila hiza""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog1_bownay a tahes.xml,SaiNr-frog1_bownay a tahes_S_53,',24,takem kin 'akoy ila hiza'.,"takem kin ""akoy ila hiza""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,SaiNr-kathethel2_kalaeh a oemaw_S_103,',5,koSa 'ampowa' sia hiza kin raam ka inak hiza'an ka tatnon.,"koSa ""ampowa"" sia hiza kin raam ka inak hiza'an ka tatnon."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,SaiNr-kathethel2_kalaeh a oemaw_S_103,',12,koSa 'ampowa' sia hiza kin raam ka inak hiza'an ka tatnon.,"koSa ""ampowa"" sia hiza kin raam ka inak hiza'an ka tatnon."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog5__awi_ a basi_.xml,SaiNr-frog5__awi_ a basi__S_9,',18,hini korkoring ki 'aehoe' ma a kiim ila.,"hini korkoring ki ""aehoe"" ma a kiim ila."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog5__awi_ a basi_.xml,SaiNr-frog5__awi_ a basi__S_9,',24,hini korkoring ki 'aehoe' ma a kiim ila.,"hini korkoring ki ""aehoe"" ma a kiim ila."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog5__awi_ a basi_.xml,SaiNr-frog5__awi_ a basi__S_14,',34,a noka ahoe' ray tabai kiimin ma' 'oka'.,"a noka ahoe' ray tabai kiimin ma' ""oka""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog5__awi_ a basi_.xml,SaiNr-frog5__awi_ a basi__S_14,',38,a noka ahoe' ray tabai kiimin ma' 'oka'.,"a noka ahoe' ray tabai kiimin ma' ""oka""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog5__awi_ a basi_.xml,SaiNr-frog5__awi_ a basi__S_26,',0,'aehoe' ma' hinghae'.,"""aehoe' ma' hinghae""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog5__awi_ a basi_.xml,SaiNr-frog5__awi_ a basi__S_26,',19,'aehoe' ma' hinghae'.,"""aehoe' ma' hinghae""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog5__awi_ a basi_.xml,SaiNr-frog5__awi_ a basi__S_41,',10,hayza nak 'osa'an ka a roroo'.,"hayza nak ""osa'an ka a roroo""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog5__awi_ a basi_.xml,SaiNr-frog5__awi_ a basi__S_41,',28,hayza nak 'osa'an ka a roroo'.,"hayza nak ""osa'an ka a roroo""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog5__awi_ a basi_.xml,SaiNr-frog5__awi_ a basi__S_60,',10,kas'oehaz 'aehae' nakhini koSa'en ka a wae'ae'.,"kas'oehaz ""aehae' nakhini koSa'en ka a wae'ae""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog5__awi_ a basi_.xml,SaiNr-frog5__awi_ a basi__S_60,',45,kas'oehaz 'aehae' nakhini koSa'en ka a wae'ae'.,"kas'oehaz ""aehae' nakhini koSa'en ka a wae'ae""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog5__awi_ a basi_.xml,SaiNr-frog5__awi_ a basi__S_69,',0,'inaray hinolaw langi hayza ka kaehoey sa korkoring sahae' ila ila haw ray hinolaong(an) ki ahoe'.,"""inaray hinolaw langi hayza ka kaehoey sa korkoring sahae' ila ila haw ray hinolaong(an) ki ahoe""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog5__awi_ a basi_.xml,SaiNr-frog5__awi_ a basi__S_69,',96,'inaray hinolaw langi hayza ka kaehoey sa korkoring sahae' ila ila haw ray hinolaong(an) ki ahoe'.,"""inaray hinolaw langi hayza ka kaehoey sa korkoring sahae' ila ila haw ray hinolaong(an) ki ahoe""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog5__awi_ a basi_.xml,SaiNr-frog5__awi_ a basi__S_78,',30,isaa noka a korkoring koSa'en 'iyahimi'.,"isaa noka a korkoring koSa'en ""iyahimi""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog5__awi_ a basi_.xml,SaiNr-frog5__awi_ a basi__S_78,',38,isaa noka a korkoring koSa'en 'iyahimi'.,"isaa noka a korkoring koSa'en ""iyahimi""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-holiday_kalaeh a _oemaw.xml,SaiNr-holiday_kalaeh a _oemaw_S_11,',24,C a K sizaeh ila saboeh 'a'aynaa' sizaeh saboeh mwai' ila K mwai' o rihani' baala'.,"C a K sizaeh ila saboeh ""a'aynaa' sizaeh saboeh mwai' ila K mwai' o rihani' baala""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-holiday_kalaeh a _oemaw.xml,SaiNr-holiday_kalaeh a _oemaw_S_11,',81,C a K sizaeh ila saboeh 'a'aynaa' sizaeh saboeh mwai' ila K mwai' o rihani' baala'.,"C a K sizaeh ila saboeh ""a'aynaa' sizaeh saboeh mwai' ila K mwai' o rihani' baala""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-holiday_kalaeh a _oemaw.xml,SaiNr-holiday_kalaeh a _oemaw_S_95,',77,K a C e babai' C sayna'ase titiyon karkarang C sepat sinraehoe na C a C so'o 'anahiya ma' isaa ko'ngin rima' ma C papsibai' ila hiza ila sizaeh ray sasinsinraehoe'.,"K a C e babai' C sayna'ase titiyon karkarang C sepat sinraehoe na C a C so'o ""anahiya ma' isaa ko'ngin rima' ma C papsibai' ila hiza ila sizaeh ray sasinsinraehoe""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-holiday_kalaeh a _oemaw.xml,SaiNr-holiday_kalaeh a _oemaw_S_95,',162,K a C e babai' C sayna'ase titiyon karkarang C sepat sinraehoe na C a C so'o 'anahiya ma' isaa ko'ngin rima' ma C papsibai' ila hiza ila sizaeh ray sasinsinraehoe'.,"K a C e babai' C sayna'ase titiyon karkarang C sepat sinraehoe na C a C so'o ""anahiya ma' isaa ko'ngin rima' ma C papsibai' ila hiza ila sizaeh ray sasinsinraehoe""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-holiday_kalaeh a _oemaw.xml,SaiNr-holiday_kalaeh a _oemaw_S_98,',25,C XXXX K hiza m aroma so 'oka' o hara a'.,"C XXXX K hiza m aroma so ""oka' o hara a""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-holiday_kalaeh a _oemaw.xml,SaiNr-holiday_kalaeh a _oemaw_S_98,',39,C XXXX K hiza m aroma so 'oka' o hara a'.,"C XXXX K hiza m aroma so ""oka' o hara a""."
