id	source_example	source_locator	segmented_form	gloss	translation_1	translation_2	acceptability	decision	sentence_ending	word_ids
s32a	32a	PDF 8 / printed 8 / example 32a	Pa-fli ∅-ci mayaw ci aki-an t-u paysu	give NOM-NCM Mayaw NCM Aki-DAT DAT-NCM money	Mayaw is going to give money to Aki.		accepted	Preserve Pa-fli/give at W and source-segmented Pa and fli at M, without individually unsupported glosses (POL-023/036).		s32aw0 s32aw1 s32aw2 s32aw3 s32aw4 s32aw5 s32aw6
s32b	32b	PDF 8 / printed 8 / example 32b	Ma-pa-fli aku t-u paysu ∅-ci mayaw	UV-CaU-give 1S.GEN DAT-NCM money NOM-NCM Mayaw	I gave the money to Mayaw already.		accepted	Source CaU is original and CAU is additive standard; null is canonical ∅ at S original and W/M, and absent from S standard.		s32bw0 s32bw1 s32bw2 s32bw3 s32bw4 s32bw5
s32c	32c	PDF 8 / printed 8 / example 32c	Ma-pa-fli aku k-u payau i ci mayaw-an	UV-CAU-give 1S.GEN NOM-NCM money PREP NCM Mayaw-DAT	I gave the money to Mayaw.		accepted	POL-017: *(i) is obligatory, so retain i/PREP; keep printed payau and the existing surrounding word IDs.	.	s32cw0 s32cw1 s32cw2 s32cw3 s32cwi s32cw4 s32cw5
s32d	32d	PDF 8 / printed 8 / example 32d	Aka pa-fli-en k-u wawa	NEG.IMP CAU-give-UV NOM-NCM child	Don't give the child!		accepted	Literal grammatical source example; starred 32f excluded.		s32dw0 s32dw1 s32dw2 s32dw3
s33a	33a	PDF 9 / printed 9 / example 33a	Pa-caliw ∅-ci panay ci aki-an t-u paliding	CAU-borrow NOM-NCM Panay NCM Aki-DAT DAT-NCM car	Panay lent the car to Aki.		accepted	Printed null is canonical ∅ at S original and W/M; S standard omits the null unit.	.	s33aw0 s33aw1 s33aw2 s33aw3 s33aw4 s33aw5 s33aw6
s33b	33b	PDF 9 / printed 9 / example 33b	Ma-pa-caliw n-i kacaw k-u singsi t-u paysu	UV-CAU-borrow GEN-NCM Kacaw NOM-NCM teacher DAT-NCM money	Kacaw lent the teacher money.		accepted	Literal grammatical source example.	.	s33bw0 s33bw1 s33bw2 s33bw3 s33bw4 s33bw5 s33bw6
s33c	33c	PDF 9 / printed 9 / example 33c	Ma-pa-caliw ni kacaw ku paysu i singsi	UV-CAU-borrow GEN-NCM Kacaw NOM-NCM money PREP teacher	Kacaw lent the money to the teacher.		accepted	Unsegmented source ni and ku retained at W; starred 33d excluded.	.	s33cw0 s33cw1 s33cw2 s33cw3 s33cw4 s33cw5 s33cw6
s36a	36a	PDF 9 / printed 9 / example 36a	Ma-na'ay kaku pa-nanum t-u sayta	MA-reluctant 1S.NOM CAU-water DAT-NCM soda	I don't want to add water into the soda.		accepted	The printed t-u/DAT-NCM variant is retained with the unstarred reading; the starred second reading is excluded.	.	s36aw0 s36aw1 s36aw2 s36aw3 s36aw4
s36aalt	36a	PDF 9 / printed 9 / example 36a	Ma-na'ay kaku pa-nanum i sayta	MA-reluctant 1S.NOM CAU-water PREP soda	I don't want to add water into the soda.		accepted	The printed i/PREP variant is expanded as a complete sentence with the unstarred reading; the starred second reading is excluded.	.	s36aaltw0 s36aaltw1 s36aaltw2 s36aaltw3 s36aaltw4
s36c	36c	PDF 10 / printed 10 / example 36c	Ma-pa-nanum tu n-i ina k-u sayta i wawa	UV-CAU-water ASP GEN-NCM mother NOM-NCM soda PREP child	Mother gave soda for the child to drink.		accepted	Literal grammatical source example; starred 36b excluded.	.	s36cw0 s36cw1 s36cw2 s36cw3 s36cw4 s36cw5 s36cw6 s36cw7
s37a	37a	PDF 10 / printed 10 / example 37a	Pa-neneneng kaku t-u-ni-ni a tilid ci sawmah-an	CAU-see 1S.NOM DAT-NCM-this-RED LNK letter NCM Sawmah-DAT	I am going to show the letter to Sawmah.		accepted	Literal grammatical source example.	.	s37aw0 s37aw1 s37aw2 s37aw3 s37aw4 s37aw5 s37aw6
s37b	37b	PDF 10 / printed 10 / example 37b	Pa-nengneng-en kaku t-u-ni impic	CAU-see-UV 1S.NOM DAT-NCM-this pencil	Let me see the pencil!		accepted	Literal grammatical source example; starred 37c excluded.	!	s37bw0 s37bw1 s37bw2 s37bw3
s38a	38a	PDF 10 / printed 10 / example 38a	Pa-cinas-en ∅-ci aki t-u kami	CAU-tear-UV NOM-NCM Aki DAT-NCM paper	Tear the paper apart and give Aki a portion!		accepted	Printed null is canonical ∅ at S original and W/M; S standard omits the null unit.	.	s38aw0 s38aw1 s38aw2 s38aw3 s38aw4
s38b	38b	PDF 10 / printed 10 / example 38b	Pa-cinas-en k-u kami	CAU-tear-UV NOM-NCM paper	Tear the paper!		accepted	Literal grammatical source example.	!	s38bw0 s38bw1 s38bw2
s38c	38c	PDF 10 / printed 10 / example 38c	Pa-pecih-en k-u wawa t-u mantu	CAU-break.into.half-UV NOM-NCM child DAT-NCM steamed.bun	Break the steam bun into halves and give one half to the child.		accepted	Literal grammatical source example.	.	s38cw0 s38cw1 s38cw2 s38cw3 s38cw4
