language	source_id	printed_page	source_form	gloss	source_translation_eng	translation_readings_eng_json	source_note	admission_status	exclusion_reason	xml_record_source_id	xml_id	pdf_page
Amis	5b	255	* icuwa-en isu mi-saosi k-u cudad?	where-PV 2SG.ERG AV-read ABS-CN book	Where do you read the book?	"[""Where do you read the book?""]"	Source-marked ungrammatical contrast; printed again as 28b.	excluded	source-marked ungrammatical example excluded under POL-016			3
Amis	6a	256	mi-sni’ t-u nanum i takid.	AV-pour OBL-CN water PREP cup	(Somebody) pours water into the cup.	"[""(Somebody) pours water into the cup.""]"		admitted		6a	S_amis_004	4
Amis	6b	256	mi-nanum=ho kaku.	AV-drink=IPFV 1SG.ABS	I am still drinking water.	"[""I am still drinking water.""]"		admitted		6b	S_amis_005	4
Kavalan	7a	257	q‹um›uni=isu tangi?	<AV>do.what=2SG.ABS just now	What were you doing just now?	"[""What were you doing just now?""]"	"Independently printed repetition of example 2a; this occurrence prints ""just now"", while 2a prints ""just.now""."	admitted		2a	S_kavalan_001	5
Kavalan	7b	257	quni-an-su ya sunis-ku?	do.what-PV-2SG.ERG ABS child-1SG.GEN	What did you do to my child?	"[""What did you do to my child?""]"		admitted		7b	S_kavalan_008	5
Amis	8a	257	mi-maan ci panay?	AV-do.what NCM PN	What is Panay doing?	"[""What is Panay doing?""]"	Independently printed repetition of example 1a.	admitted		1a	S_amis_001	5
Amis	8b	257	ma-maan cingra?	AV-what.happen 3SG.ABS	What happened to him?	"[""What happened to him?""]"		admitted		8b	S_amis_006	5
Amis	8c	257	na maan-en isu k-u-ra wacu?	PST do.what-PV 2SG.ERG ABS-CN-that dog	What did you do to that dog?	"[""What did you do to that dog?""]"	Independently printed repetition of example 1b.	admitted		1b	S_amis_002	5
Amis	10a	259	mi-nanum ci aki t-u nanum.	AV-water NCM PN OBL-CN water	Aki is going to drink water./Aki is drinking water.	"[""Aki is going to drink water."", ""Aki is drinking water.""]"	Source separates two translation readings with a slash.	admitted		10a	S_amis_007	7
Amis	10b	259	mi-palu ci sawmah ci mayaw-an.	AV-beat NCM PN NCM PN-OBL	Sawmah is going to beat Mayaw./Sawmah is beating Mayaw.	"[""Sawmah is going to beat Mayaw."", ""Sawmah is beating Mayaw.""]"	Source separates two translation readings with a slash.	admitted		10b	S_amis_008	7
Amis	11a	259	ma-adah=tu kaku.	AV-recover=PFV 1SG.ABS	I have recovered (from illness).	"[""I have recovered (from illness).""]"		admitted		11a	S_amis_009	7
Amis	11b	259	ma-ruhem=tu k-u pawli.	AV-ripe=PFV ABS-CN banana	The banana is ripe (just now).	"[""The banana is ripe (just now).""]"		admitted		11b	S_amis_010	7
Amis	14a	260	tuniq-en aku ku ti’ti’ aca.	soft-PV 1SG.ERG ABS meat a.little	I will tenderise the meat a little.	"[""I will tenderise only the meat.""]"	"Footnote 6 corrects the body translation to ""I will tenderise only the meat."" (Joy Wu, pers. comm.)."	admitted		14a	S_amis_011	8
Amis	14b	260	* tuniq-en nu kuwaq ku ti’ti’ aca.	soft-PV ERG papaya ABS meat a.little		[]	Source marks this example ungrammatical and supplies no translation.	excluded	source-marked ungrammatical example excluded under POL-016			8
Amis	15a	260	ranam-en=ho.	breakfast-PV=IPFV	Eat the same thing for the breakfast again!	"[""Eat the same thing for the breakfast again!""]"		admitted		15a	S_amis_012	8
Amis	15b	261	mi-nanum=ho ci panay t-u sayta.	AV-water=IPFV NCM PN OBL-CN soda	Panay is still drinking soda.	"[""Panay is still drinking soda.""]"		admitted		15b	S_amis_013	9
Amis	18a	262	* mi-nanum-en			[]	Source presents this as an ungrammatical word form without gloss or translation.	excluded	source-marked ungrammatical example excluded under POL-016			10
Amis	18b	262	* ma-ruhem-en			[]	Source presents this as an ungrammatical word form without gloss or translation.	excluded	source-marked ungrammatical example excluded under POL-016			10
Amis	19a	262	ka-k‹um›a’en-an ni ofad t-u ’epah k-u luma aku.	KA-<UM>eat-LA ERG PN OBL-CN wine ABS-CN house 1SG.GEN	Ofad drinks (wine) at my place. (My place is where Ofad drinks (wine).)	"[""Ofad drinks (wine) at my place."", ""My place is where Ofad drinks (wine).""]"		admitted		19a	S_amis_014	10
Amis	19b	263	mi-cikay-an ni ofad i pitilidan k-u cudad.	MI-run-LA ERG PN PREP school ABS-CN book	Ofad runs to school to get the book (for the book). (The book is what Ofad runs to school to get).	"[""Ofad runs to school to get the book."", ""Ofad runs to school for the book."", ""The book is what Ofad runs to school to get.""]"		admitted		19b	S_amis_015	11
Amis	19c	263	sa-ka-k‹um›a’en ni ofad t-u futing k-u alapit.	IA-KA-<UM>eat ERG PN OBL-CN fish ABS-CN chopsticks	Ofad eats fish with the chopsticks. (The chopsticks are what Ofad uses to eat fish.)	"[""Ofad eats fish with the chopsticks."", ""The chopsticks are what Ofad uses to eat fish.""]"		admitted		19c	S_amis_016	11
Amis	20	263	ma-talaw ci lekal t-u maan?	AV-afraid NCM PN OBL-CN what	What is Lekal afraid of?	"[""What is Lekal afraid of?""]"		admitted		20	S_amis_017	11
Kavalan	21a	264	sabiqbiq=ti ya zanum ’nay.	boil=PFV ABS water that	The water has boiled.	"[""The water has boiled.""]"		admitted		21a	S_kavalan_009	12
Kavalan	21b	264	* sabiqbiq=ti=iku tu zanum.	boil=PFV=1SG.ABS OBL water		[]	Source marks this example ungrammatical and supplies no translation.	excluded	source-marked ungrammatical example excluded under POL-016			12
Kavalan	21c	264	pa-sabiqbiq=ti=iku tu zanum.	CAUS-boil=PFV=1SG.ABS OBL water	I boiled water. (I had the water boiled.)	"[""I boiled water."", ""I had the water boiled.""]"		admitted		21c	S_kavalan_010	12
Kavalan	21d	264	sabiqbiq-an-ku ya zanum ’nay.	boil-PV-1SG.ERG ABS water that	I boiled the water.	"[""I boiled the water.""]"		admitted		21d	S_kavalan_011	12
Kavalan	23a	265	? maynep=iku tu qaynepan.	sleep.AV=1SG.ABS OBL bed	I am sleeping in a bed.	"[""I am sleeping in a bed.""]"	Source marks this example marginal and labels the translation as intended.	excluded	source-marked marginal example excluded under POL-016			13
Kavalan	23b	265	qaynep-an-ku ya qaynepan.	sleep-PV-1SG.ERG ABS bed	I slept in the bed.	"[""I slept in the bed.""]"		admitted		23b	S_kavalan_012	13
Kavalan	23c	265	t‹m›alumbi ta-liab-an na takan ya sunis a yau.	<AV>hide LOC-underside-LOC GEN table ABS child LNK that	The child hides under the table.	"[""The child hides under the table.""]"		admitted		23c	S_kavalan_013	13
Kavalan	23d	265	? t‹m›alumbi ta-liab-an na takan ya sunis a yau tu tina-na.	<AV>hide LOC-underside-LOC GEN table ABS child LNK that OBL mother-3GEN	The child hides under the table from his mother.	"[""The child hides under the table from his mother.""]"	Source marks this example marginal and labels the translation as intended.	excluded	source-marked marginal example excluded under POL-016			13
Kavalan	23e	266	talumbi-an na sunis a yau ta-liab-an na takan ya tina-na.	hide-PV ERG child LNK that LOC-underside-LOC GEN table ABS mother-3GEN	The child hides under the table from his mother.	"[""The child hides under the table from his mother.""]"		admitted		23e	S_kavalan_014	14
Kavalan	24a	266	(na)quni-an-su ya sunis a yau?	do.what-PV-2SG.ERG ABS child LNK that	What do you do to that child?	"[""What do you do to that child?""]"		admitted		24a	S_kavalan_015	14
Kavalan	24b	266	(na)quni-an-su m-kala ya sunis a yau?	do.how-PV-2SG.ERG AV-find ABS child LNK that	How do you find that child?	"[""How do you find that child?""]"		admitted		24b	S_kavalan_016	14
Amis	25a	266	na maan-en isu k-u-ra wacu?	PST do.what-PV 2SG.ERG ABS-CN-that dog	What did you do to that dog?	"[""What did you do to that dog?""]"	Independently printed repetition of example 1b.	admitted		1b	S_amis_002	14
Amis	25b	266	na maan-en ni panay mi-padang kisu?	PST do.how-PV ERG PN AV-help 2SG.ABS	How did Panay help you?	"[""How did Panay help you?""]"		admitted		25b	S_amis_018	14
Kavalan	27a	267	tanian-an-su ya kelisiw-su?	where-PV-2SG.ERG ABS money-2SG.GEN	Where do you put your money?	"[""Where do you put your money?""]"	Independently printed repetition of example 3a.	admitted		3a	S_kavalan_004	15
Kavalan	27b	267	* tanian-an-su q‹m›an tu/ya babuy?	where-PV-2SG.ERG <AV>eat OBL/ABS pig	Where do you eat pork?	"[""Where do you eat pork?""]"	Exact repetition of example 3b; the source does not label it as repeated.	excluded	source-marked ungrammatical example excluded under POL-016			15
Amis	28a	268	icuwa-en isu k-u payci?	where-PV 2SG.ERG ABS-CN money	Where do you put the money?	"[""Where do you put the money?""]"	Independently printed repetition of example 5a.	admitted		5a	S_amis_003	16
Amis	28b	268	* icuwa-en isu mi-saosi k-u cudad?	where-PV 2SG.ERG AV-read ABS-CN book	Where do you read the book?	"[""Where do you read the book?""]"	Source marks this example ungrammatical and labels the translation as intended.	excluded	source-marked ungrammatical example excluded under POL-016			16
Kavalan	29a	268	tanuz-an na tuliq tanian ya wasu?	chase-PV ERG bee where ABS dog	Where do the bees chase the dog?	"[""Where do the bees chase the dog?""]"		admitted		29a	S_kavalan_017	16
Kavalan	29b	268	tanian tanuz-an na tuliq ya wasu?	where chase-PV ERG bee ABS dog	Where do the bees chase the dog?	"[""Where do the bees chase the dog?""]"	Independently printed repetition of example 4b.	admitted		4b	S_kavalan_006	16
Amis	30a	268	k‹um›a’en kisu t-u hemay icuwa?	<AV>eat 2SG.ABS OBL-CN rice where	Where do you eat?	"[""Where do you eat?""]"		admitted		30a	S_amis_019	16
Amis	30b	268	icuwa k‹um›a’en kisu t-u hemay?	where <AV>eat 2SG.ABS OBL-CN rice	Where do you eat?	"[""Where do you eat?""]"		admitted		30b	S_amis_020	16
Kavalan	37	271	tanian-an ni abas m-Rupu ya adam ’nay?	where-PV ERG PN AV-shut ABS bird that	Where does Abas shut the bird?	"[""Where does Abas shut the bird?""]"		admitted		37	S_kavalan_018	19
Amis	38	271	icuwa-en isu mi-na’ang k-u riku’?	where-PV 2SG.ERG AV-pack ABS-CN clothes	Where do you pack the clothes?	"[""Where do you pack the clothes?""]"		admitted		38	S_amis_021	19
Kavalan	39	272	* tanian=isu tu kelisiw-su?	where=2SG.ABS OBL money-2SG.GEN	Where do you put your money?	"[""Where do you put your money?""]"	Source marks this example ungrammatical and labels the translation as intended.	excluded	source-marked ungrammatical example excluded under POL-016			20
Amis	40	272	* icuwa kisu t-u payci?	where 2SG.ABS OBL-CN money	Where do you put money?	"[""Where do you put money?""]"	Source marks this example ungrammatical and labels the translation as intended.	excluded	source-marked ungrammatical example excluded under POL-016			20
Kavalan	41a	272	kin-tani-an-su=pa p‹m›ukun ya sunis?	HUM-how.many-PV-2SG.ERG=FUT <AV>beat ABS child	How many children will you beat?	"[""How many children will you beat?""]"		admitted		41a	S_kavalan_019	20
Kavalan	41b	272	u-tani-an na wasu q‹m›aRat ya saku?	NHUM-how.many-PV ERG dog <AV>take ABS cat	How many cats does the dog bite?	"[""How many cats does the dog bite?""]"	Published gloss '<AV>take' is retained despite the free translation 'bite'.	admitted		41b	S_kavalan_020	20
Amis	42a	273	pina-en ni ofad k-u paysu?	how.many-PV ERG PN ABS-CN money	How much money does Ofad want/take?	"[""How much money does Ofad want?"", ""How much money does Ofad take?""]"		admitted		42a	S_amis_022	21
Amis	42b	273	pa-pina-en isu mi-lawup k-u wawa?	HUM-how.many-PV 2SG.ERG AV-chase ABS-CN child	How many children will you chase?	"[""How many children will you chase?""]"		admitted		42b	S_amis_023	21
Kavalan	43	273	u-tani ya ni-ala-su tu kelisiw?	NHUM-how.many ABS PFV-take-2SG.GEN OBL money	How much money did you take? (Lit. The money that you took is how much?)	"[""How much money did you take?"", ""The money that you took is how much?""]"		admitted		43	S_kavalan_021	21
Amis	44	273	pina k-u mi-ala-an ni utay a payci?	how.many ABS-CN MI-take-LA ERG PN LNK money	How much money did Utay take? (Lit. The money that Utay took is how much?)	"[""How much money did Utay take?"", ""The money that Utay took is how much?""]"		admitted		44	S_amis_024	21
Kavalan	46	274	* u-tani=isu tu kelisiw?	NHUM-how.many=2SG.ABS OBL money	How much money do you want/take?	"[""How much money do you want/take?""]"	Source marks this example ungrammatical and labels the translation as intended.	excluded	source-marked ungrammatical example excluded under POL-016			22
Amis	47	274	* pina ci ofad t-u payci?	how.many NCM PN OBL-CN money	How much money does Ofad want/take?	"[""How much money does Ofad want/take?""]"	Source marks this example ungrammatical and labels the translation as intended.	excluded	source-marked ungrammatical example excluded under POL-016			22
Kavalan	48a	276	tazian-an-ku (pizi) ya kelisiw-ku.	here-PV-1SG.ERG put ABS money-1SG.GEN	I put my money here.	"[""I put my money here.""]"	Optional secondary verb pizi is expanded under POL-026.	admitted		48a	S_kavalan_022	24
Kavalan	48b	276	tawian-an-ku (pizi) ya kelisiw-ku.	there-PV-1SG.ERG put ABS money-1SG.GEN	I put my money there.	"[""I put my money there.""]"	Optional secondary verb pizi is expanded under POL-026.	admitted		48b	S_kavalan_023	24
Amis	49a	276	itini-en ni panay (pateli) k-u payci.	here-PV ERG PN put ABS-CN money	Panay put the money here.	"[""Panay put the money here.""]"	Optional secondary verb pateli is expanded under POL-026.	admitted		49a	S_amis_025	24
Amis	49b	276	itiraw-en ni panay (pateli) k-u payci.	there-PV ERG PN put ABS-CN money	Panay put the money there.	"[""Panay put the money there.""]"	Optional secondary verb pateli is expanded under POL-026.	admitted		49b	S_amis_026	24
Kavalan	50	276	* tazian-an-ku m-Rasa tu/ya sudad.	here-PV-1SG.ERG AV-buy OBL/ABS book	I buy a/the book here.	"[""I buy a/the book here.""]"	Source marks this example ungrammatical and labels the translation as intended.	excluded	source-marked ungrammatical example excluded under POL-016			24
Amis	51	277	* itiraw-en ni utay mi-pacu’ t-u/k-u fafuy.	there-PV ERG PN AV-kill OBL-CN/ABS-CN pig	Utay kills pigs there.	"[""Utay kills pigs there.""]"	Source marks this example ungrammatical and labels the translation as intended.	excluded	source-marked ungrammatical example excluded under POL-016			25
Kavalan	52a	277	nayau-an-ku.	that.way-PV-1SG.ERG	I do (it) in that way.	"[""I do (it) in that way.""]"		admitted		52a	S_kavalan_024	25
Kavalan	52b	277	nayau-an-na ya sunis-na.	that.way-PV-3ERG ABS child-3SG.GEN	He treats his child in that way.	"[""He treats his child in that way.""]"		admitted		52b	S_kavalan_025	25
Kavalan	52c	277	paqanas-an-ku t‹m›ayta ya sudad.	slow-PV-1SG.ERG <AV>see ABS book	I read the book slowly.	"[""I read the book slowly.""]"		admitted		52c	S_kavalan_026	25
Amis	53	277	ha’en-en k-u kamay.	this.way-PV ABS-CN hand	Make your hand like this!	"[""Make your hand like this!""]"		admitted		53	S_amis_027	25
Kavalan	54a	278	qumni tayta-an-su ya ti-buya?	when see-PV-2SG.ERG ABS NCM-PN	When do you see Buya?	"[""When do you see Buya?""]"		admitted		54a	S_kavalan_027	26
Kavalan	54b	278	* qumni-an-su t‹m›ayta ti-buya-an?	when-PV-2SG.ERG <AV>see NCM-PN-LOC		[]	Source marks this example ungrammatical and supplies no translation.	excluded	source-marked ungrammatical example excluded under POL-016			26
Kavalan	54c	279	mana ala-an-su ya kelisiw-ku?	why take-PV-2SG.ERG ABS money-1SG.GEN	Why do you take my money?	"[""Why do you take my money?""]"		admitted		54c	S_kavalan_028	27
Kavalan	54d	279	* mana-an-su m-ala ya kelisiw-ku?	why-PV-2SG.ERG AV-take ABS money-1SG.GEN		[]	Source marks this example ungrammatical and supplies no translation.	excluded	source-marked ungrammatical example excluded under POL-016			27
Amis	55a	279	ihakuwa ma-alaw isu ci panay?	when PV-see 2SG.ERG NCM PN	When do you see Panay?	"[""When do you see Panay?""]"		admitted		55a	S_amis_028	27
Amis	55b	279	* ihakuwa-en ma-alaw isu ci panay?	when-PV PV-see 2SG.ERG NCM PN		[]	Source marks this example ungrammatical and supplies no translation.	excluded	source-marked ungrammatical example excluded under POL-016			27
Amis	55c	279	naw ma-ulah ci panay ci lekal-an?	why AV-like NCM PN NCM PN-OBL	Why does Panay like Lekal?	"[""Why does Panay like Lekal?""]"		admitted		55c	S_amis_029	27
Amis	55d	279	* naw-en ma-ulah ci panay ci lekal-an?	why-PV AV-like NCM PN NCM PN-OBL		[]	Source marks this example ungrammatical and supplies no translation.	excluded	source-marked ungrammatical example excluded under POL-016			27
Kavalan	56a	280	sudad zau	book this	this book	"[""this book""]"		admitted		56a	S_kavalan_029	28
Kavalan	56b	280	zau=ay sudad	this=REL book	this book	"[""this book""]"		admitted		56b	S_kavalan_030	28
Kavalan	56c	280	sudad zaku	book 1SG.POSS	my book	"[""my book""]"		admitted		56c	S_kavalan_031	28
Kavalan	56d	280	zaku=ay sudad	1SG.POSS=REL book	my book	"[""my book""]"		admitted		56d	S_kavalan_032	28
Amis	57a	280	* c‹m›ikay wawa k-u-ni.	<AV>run child ABS-CN-this		[]	Source marks this example ungrammatical and supplies no translation.	excluded	source-marked ungrammatical example excluded under POL-016			28
Amis	57b	280	c‹m›ikay k-u-ni (a) wawa.	<AV>run ABS-CN-this LNK child	This child is running.	"[""This child is running.""]"		admitted		57b	S_amis_030	28
Amis	57c	280	wacu nu maku	dog GEN 1SG.POSS	my dog	"[""my dog""]"		admitted		57c	S_amis_031	28
Amis	57d	280	(nu) maku a wacu	GEN 1SG.POSS LNK dog	my dog	"[""my dog""]"		admitted		57d	S_amis_032	28
Kavalan	59a	281	[mayni=ay sunis] ya tayta-an ni imuy?	which=REL child ABS see-PV ERG PN	Which child does Imuy see? (Lit. ‘The person that Imuy sees is which child?’)	"[""Which child does Imuy see?"", ""The person that Imuy sees is which child?""]"		admitted		59a	S_kavalan_033	29
Kavalan	59b	281	[zanitiana=ay kelisiw] ya ala-an=ay ni utay?	whose=REL money ABS take-PV=REL ERG PN	Whose money does Utay take? (Lit. ‘The stuff that Utay takes is whose money?’)	"[""Whose money does Utay take?"", ""The stuff that Utay takes is whose money?""]"		admitted		59b	S_kavalan_034	29
Amis	60a	281	[icuwaay a wacu] k-u ka-ulah-an isu?	which LNK dog ABS-CN KA-like-LA 2SG.ERG	Which dog do you like? (Lit. ‘What you like is which dog?’)	"[""Which dog do you like?"", ""What you like is which dog?""]"		admitted		60a	S_amis_033	29
Amis	60b	281	[nima a wacu] k-u mi-kalat-ay t-u pusi aku?	whose LNK dog ABS-CN AV-bite-FAC OBL-CN cat 1SG.GEN	Whose dog bites my cat? (Lit. The thing that bites my cat is whose dog?)	"[""Whose dog bites my cat?"", ""The thing that bites my cat is whose dog?""]"		admitted		60b	S_amis_034	29
