language,file_name,Sentence_id,sentence
Seediq,sdqCon-dialog5_dakis_takun 2020s,"[272, 273]",adisi mrebu kusun da ma adisun mu hmaduc a kii.
Seediq,sdqCon-dialog5_dakis_takun 2020s,"[276, 277]",uxe ini huwa usa skadi mrebu han eniqan seediq rengoun kesai.
Seediq,sdqCon-dialog5_dakis_takun 2020s,"[280, 282]",uxe ga naqah henu na ga.
Kanakanavu,kkvNr_frog_Uva,[144],isiava nimta takarura ihi tekirim karʉ en.
Saisiyat,SaiNr-life_waon a boong,"[94, 97]",kayzaeh ma'an ka anoka poer'oe' inoka aewpil ma' hayza' tabo'on.
Saisiyat,SaiNr-life_waon a boong,"[142, 144]",m 'okik wa'isan kaba:iwan ma' isaa 'am nak'ino'.
Saisiyat,SaiNr-life_waon a boong,[246],'ama' no aki'.
Saisiyat,SaiNr-life_waon a boong,"[263, 264]",niSo korkoring hayza' ka 'ima minowa' isaa kita' ila.
Saisiyat,SaiNr-frog5__awi_ a basi_,"[16, 17]",korkoring haysia ma'rem ray a halapaw.
Saisiyat,SaiNr-holiday_kalaeh a _oemaw,"[13, 15]",nom talboewah isaa nak'isaza.
Saisiyat,SaiNr-holiday_kalaeh a _oemaw,"[106, 108]",ai eh noka 'inaz'azema komoSa: sia ila hiza marke.
Saisiyat,SaiNr-holiday_kalaeh a _oemaw,[119],.
Saisiyat,SaiNr-holiday_kalaeh a _oemaw,"[205, 206]",m isaa kamoenhael isaa 'aewhaey.
Saisiyat,SaiNr-holiday_kalaeh a _oemaw,"[207, 211]",'i'ini' kosa si'ael ila potoy ila paphahai potoy ila a ato.
Saisiyat,SaiNr-holiday_kalaeh a _oemaw,"[212, 213]",m aroma' 'am si'ael ila ka tatini' 'am ima raroton o:.
Saisiyat,SaiNr-holiday_kalaeh a _oemaw,"[217, 218]",potoyon ila.
Saisiyat,SaiNr-holiday_kalaeh a _oemaw,"[219, 220]",kamoenhal isaa nakisaa 'aewhaey。.
Saisiyat,SaiNr-holiday_kalaeh a _oemaw,"[221, 222]",isahini kaysa'an 'am manabih lasia.
Saisiyat,SaiNr-holiday_kalaeh a _oemaw,"[226, 227]",uN si'ael naehaen o: So: kayni' ila isaa.
Saisiyat,SaiNr-holiday_kalaeh a _oemaw,"[264, 265]",hiza m aroma so: 'oka' o: hara a'.
Saisiyat,SaiNr-holiday_kalaeh a _oemaw,"[267, 268]",m e si'ael ma' si'ael ila saboeh.
Saisiyat,SaiNr-holiday_kalaeh a _oemaw,"[271, 272]",m si'aelen kayzaeh kik 'akoy ayra:i' o.
Saisiyat,SaiNr-holiday_kalaeh a _oemaw,[282],.
Bunun,bnNr-hunter-becominig-a-bird_Hanaivaz,"[185, 186]",mikui nii a saia mahtu musuhis mais nii tu inkaduan a maz a asu at.
Bunun,bnNr-frog_Laniahu,"[282, 285]",maza dii asu hai kaz tunghabin ii aupa sininap mas sinapu s buhusaz cia saia hai inastu sia batu cia tunghabin.
Kavalan,KavCon-relatives_buya_ngengi,"[140, 142]",tyatyana aita kebalan mai mautu mlawut timaikuan nazau.
Kavalan,KavCon-relatives_buya_ngengi,"[210, 211]",Ranaw kasianem iku titipilan masang.
Kavalan,KavCon-relatives_buya_ngengi,[215],Ranaw sikawma zimaisu.
Kavalan,KavCon-relatives_buya_ngengi,[381],yau imi talepawan atu tu sunis.
Kavalan,KavCon-earthquake_abas_haciang,"[574, 575]",usiwa betin .
Rukai,RukaiNr-frog_salrabu,"[57, 58]",la katuase kuini tawpong si kuini e vavalake si.
