source_locator,reader_page,example_label,target_text,translation,gloss_or_segmentation,method,confidence_review_note,included,exclusion_reason,final_xml_path,final_s_id
page-069,69,4-10,’una tassa sasarunai na pipiningi.,外面有兩個男人。,,Direct comparison against official page image and positioned text XML,Final punctuation restored from page image,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0013
page-069,69,4-11,’akia cau arakuracʉ.,沒有人生氣。,,Direct comparison against official page image and positioned text XML,Final punctuation restored from page image,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0014
page-069,69,4-12,mate’a ti’ingi kʉna!,請留下一點吃的！,,Direct comparison against official page image and positioned text XML,Reviewed directly against reader p. 69,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0015
page-069,69,4-13,’apacacoo manu musu!,讓你的孩子笑！,,Direct comparison against official page image and positioned text XML,Reviewed directly against reader p. 69,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0016
page-070,70,4-14,’akuni arapipiningi soni!,今天不要出去！,,Direct comparison against official page image and positioned text XML,Removed footnote marker 15 from target and retained sentence punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0017
page-070,70,4-15,neni sua nimovua kasua urucin sinatʉ isi.,給你這兩本書的是誰？,,Direct comparison against official page image and positioned text XML,Restored space before isi and final punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0018
page-070,70,4-16,upeni sua cenana musu?,你的歲數是多少？,,Direct comparison against official page image and positioned text XML,Reviewed directly against reader p. 70,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0019
page-070,70,4-17,’acuu nanu nguani?,他們去哪裡了？,,Direct comparison against official page image and positioned text XML,Reviewed directly against reader p. 70,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0020
page-070,70,4-18,te kasu múkusa nananu muranʉ?,你要去哪些地方幫忙？,,Direct comparison against official page image and positioned text XML,Reviewed directly against reader p. 70,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0021
page-071,71,4-19,makananu sua Pori?,Pori怎樣？（詢問生活狀況、身體狀況）,,Direct comparison against official page image and positioned text XML,Machine translation was unrelated prose; restored printed aligned translation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0022
page-071,71,4-20,vatu tatia,大石頭,,Direct comparison against official page image and positioned text XML,Reviewed directly against reader p. 71,no,Noun phrase rather than a complete sentence,,
page-072,72,4-21,uturu tarukuka musu,你的三隻雞,,Direct comparison against official page image and positioned text XML,Reviewed directly against reader p. 72,no,Noun phrase rather than a complete sentence,,
page-072,72,4-22,sarunai tarukuka in tapúnia ísua,他那隻白色（羽毛）公雞,,Direct comparison against official page image and positioned text XML,Restored word boundary before ísua from page image,no,Noun phrase rather than a complete sentence,,
page-072,72,4-23,nguain tamna manu,他的孩子,,Direct comparison against official page image and positioned text XML,Machine translation was unrelated prose; printed translation restored,no,Noun phrase rather than a complete sentence,,
page-072,72,4-24,me’icunu a’una musu nonoman.,你所指的東西很重。,,Direct comparison against official page image and positioned text XML,Retained aligned translation and omitted explanatory lexical parenthesis,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0023
page-073,73,4-25,arikʉroo nipuciria maku parai isa.,去舂搗我所蒸煮的那個糯米。,,Direct comparison against official page image and positioned text XML,Machine translation was unrelated prose; printed aligned translation restored,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0024
page-073,73,4-26,takituturua sua isi.,這位是老師。,,Direct comparison against official page image and positioned text XML,Reviewed directly against reader p. 73,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0025
page-073,73,4-27,tammi sua po’ucipia mu.,你們所煮的是地瓜。,,Direct comparison against official page image and positioned text XML,Reviewed directly against reader p. 73,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0026
page-073,73,4-28,"sua iku ia, Pani Kanapaniana.",我是Pani Kanapaniana。,,Direct comparison against official page image and positioned text XML,Final punctuation restored from page image,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0027
page-074,74,4-29,"sua cau isa ia, nanakʉ kara?",那個人是女的嗎？,,Direct comparison against official page image and positioned text XML,Restored word boundary before question clitic from page image,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0028
page-074,74,4-30,maningcau cina maku.,我媽媽很漂亮。,,Direct comparison against official page image and positioned text XML,Final punctuation restored from page image,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0029
page-074,74,4-31,marápusu cʉpʉngʉ maku masini.,我現在心裡很亂。,,Direct comparison against official page image and positioned text XML,Restored word boundary and final punctuation from page image,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0030
page-074,74,4-31-footnote17i,’akia cau arakuracʉ.,沒有人生氣。,,Direct comparison against official page image and positioned text XML,Recovered translated sentence from footnote 17; machine candidate omitted it,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0031
page-074,74,4-31-footnote17ii,’akia cau kuracʉ ’inia.,沒有人罵他。,,Direct comparison against official page image and positioned text XML,Recovered translated sentence from footnote 17; machine candidate omitted it,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0032
page-075,75,4-32,’esi rumaravisi cʉnʉ Saupu.,Saupu在拔草。,,Direct comparison against official page image and positioned text XML,Restored word boundary and final punctuation from page image,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0033
page-075,75,4-33,maramia’ʉ kasua sua cuma.,爸爸叫醒你。,,Direct comparison against official page image and positioned text XML,Restored word boundary and final punctuation from page image,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0034
page-075,75,4-34,nima’icʉpʉ ku tacau.,我曾經怕狗。,,Direct comparison against official page image and positioned text XML,Restored bound-pronoun word boundary and final punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0035
page-076,76,4-35,tia aramia’ʉn Mu’u sua Paicʉ.,Mu’u要叫醒Paicʉ。,,Direct comparison against official page image and positioned text XML,Final punctuation restored from page image,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0036
page-076,76,4-36,te maku arivura’ʉn nguain.,我要打他。,,Direct comparison against official page image and positioned text XML,Final punctuation restored from page image,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0037
page-076,76,4-37a,tinituru cu maku Pani ’angai tamna cʉpʉngʉ.,我已經告訴Pani ’angai的想法。,,Direct comparison against official page image and positioned text XML,Split printed slash alternatives into separate source sentences and restored word boundaries,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0038
page-076,76,4-37b,tinituru cu maku kasua ’angai tamna cʉpʉngʉ.,我已經告訴你’angai的想法。,,Direct comparison against official page image and positioned text XML,Split printed slash alternatives into separate source sentences and restored word boundaries,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0039
page-077,77,4-38a,koo ku pacʉpʉcʉpʉngʉ tavara’ʉ kasu marisinatʉ.,我沒想到你會寫字。,,Direct comparison against official page image and positioned text XML,Machine candidate omitted subexample label and several word boundaries,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0040
page-077,77,4-38b,ka’anʉ ku karapa’ici.,我不喝酒。,,Direct comparison against official page image and positioned text XML,Recovered printed subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0041
page-077,77,4-38c,’akuni kita pokaríkari. ’esi tumatúturu kitana takitutura.,我們不要說話，老師在教我們（上課）。,,Direct comparison against official page image and positioned text XML,Recovered printed two-clause subexample omitted by machine candidate; retained as one aligned source example,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0042
page-079,79,5-1a,mima pa’ici sua cau.,別人／人們在喝酒。,,Direct comparison against official page image and positioned text XML,Restored subexample label and final punctuation; grammatical-role parenthesis omitted from translation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0043
page-079,79,5-1b,natia maku kunun sua tammi.,我本來要把那個地瓜吃掉的。,,Direct comparison against official page image and positioned text XML,Recovered printed subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0044
page-080,80,5-1c,siavua maku Savoo sua vántuku isi.,這些錢我用來給Savoo。,,Direct comparison against official page image and positioned text XML,Recovered cross-page continuation subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0045
page-080,80,5-2,mima sua pa’ici sua cau.,人們在喝酒。,,Direct comparison against official page image and positioned text XML,Removed parenthetical usage note from target and restored final punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0046
page-080,80,5-3a,"Paicʉ tamna tanasʉn ia, ’esi na Namásia.",Paicʉ的家鄉在那瑪夏。,,Direct comparison against official page image and positioned text XML,Restored label word boundaries capitalization and final punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0047
page-080,80,5-3b,múkusa cu kim na rʉmʉra.,我們去了深山。,,Direct comparison against official page image and positioned text XML,Recovered printed subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0048
page-081,81,5-3c,kiriin kee tarisi na ’ucu tanasa.,他把繩子拴在家裡的柱子。,,Direct comparison against official page image and positioned text XML,Recovered cross-page continuation subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0049
page-081,81,5-4,"nakai sii tinituruʉn cu kee cau, nimu’uru’uru arávari na ka’anʉ ’apitarʉ to’unaa.",但是族人因已獲得通報，提早移至不危險的地方。,,Direct comparison against official page image and positioned text XML,Restored text-layer word boundaries and omitted source-attribution parenthesis from translation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0050
page-081,81,5-5,’akia na nguain tamna vuku.,（那個東西）不在他的腰帶上。,,Direct comparison against official page image and positioned text XML,Final punctuation restored from page image,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0051
page-081,81,5-6a,tia marivura’ʉ Pani na Pi’i.,Pani要去打Pi’i。,,Direct comparison against official page image and positioned text XML,Restored subexample label word boundaries and final punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0052
page-082,82,5-6b,nimuranʉcu ’apio na Kuatʉ marisiki.,’apio幫過Kuatʉ打掃。,ni-m-uranʉ=cu; m-arisiki,Direct comparison against official page image and positioned text XML,Recovered cross-page subexample omitted by machine candidate; moved source-visible analysis out of the natural sentence form,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0053
page-083,83,5-7a,manmaan ku maritapasʉ.,我喜歡畫圖。,,Direct comparison against official page image and positioned text XML,Restored subexample label and final punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0054
page-083,83,5-7b,ka’anʉ kim tia ka’umó’uma soni.,我們今天不做田園工作。,,Direct comparison against official page image and positioned text XML,Recovered printed subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0055
page-083,83,5-8a,arivura’ʉn mia sua nguani.,他們被我們打。,,Direct comparison against official page image and positioned text XML,Restored subexample label and final punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0056
page-083,83,5-8b,te maku parakicacʉn nguani.,我要嚇他們。,,Direct comparison against official page image and positioned text XML,Recovered printed subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0057
page-084,84,5-8c,tia siavua maku kasua sua sinatʉ isi.,這書本是我要給你的。,,Direct comparison against official page image and positioned text XML,Recovered cross-page continuation subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0058
page-084,84,5-9a,araceni tanasʉn mia.,我們的部落很遠。,,Direct comparison against official page image and positioned text XML,Restored subexample label and final punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0059
page-084,84,5-9b,cangkan tikuru in.,他的衣服很髒。,,Direct comparison against official page image and positioned text XML,Recovered printed subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0060
page-084,84,5-10,ka’anʉ tarákusa kimia sua nguain.,他沒有望著我們。,,Direct comparison against official page image and positioned text XML,Restored word boundary and final punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0061
page-084,84,5-11a,"sua iku ia, Pani.",我是Pani。,,Direct comparison against official page image and positioned text XML,Restored subexample label and final punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0062
page-085,85,5-11b,"sua iku ia, kaNamásia.",我啊，住在那瑪夏。,,Direct comparison against official page image and positioned text XML,Recovered cross-page continuation subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0063
page-085,85,5-11c,"sua tia ka’anmana maku ia, íkasu.",我要喜歡的（人）是你。,,Direct comparison against official page image and positioned text XML,Recovered cross-page continuation subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0064
page-085,85,5-12a,nimarivici ’ikua naPani múkusa rʉmʉra.,過世的Pani曾經帶我去深山。,,Direct comparison against official page image and positioned text XML,Restored subexample label and printed word boundaries,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0065
page-085,85,5-12b,te ku mákari ’inia.,我要跟他說話。,,Direct comparison against official page image and positioned text XML,Recovered printed subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0066
page-085,85,5-12c,te ku múkusa tapasavuana cumacʉ’ʉra kasua.,我要去醫院看你。,,Direct comparison against official page image and positioned text XML,Recovered printed subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0067
page-085,85,5-12d,nivua cu maku kamua sua vántuku.,我把錢給你們了。,,Direct comparison against official page image and positioned text XML,Recovered printed subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0068
page-086,86,5-13,mara’an ku na kasua arapana’ʉ.,我跑得比你快。,,Direct comparison against official page image and positioned text XML,Final punctuation restored from page image,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0069
page-086,86,5-14,tamu’iarʉ kavangvang cani pininga tee Pani.,Pani他們一家人都很勤勞。,,Direct comparison against official page image and positioned text XML,Restored word boundary and final punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0070
page-087,87,5-15a,"sua isi ia, tavʉnʉvʉnʉ.",這是青蕉。,,Direct comparison against official page image and positioned text XML,Machine candidate captured explanatory heading; recovered printed subexample,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0071
page-087,87,5-15b,"sua isa ia, mamíriki.",那是李子。,,Direct comparison against official page image and positioned text XML,Recovered printed subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0072
page-087,87,5-15c,"sua cau ísua ia, takitutura maku.",那個人是我的老師。,,Direct comparison against official page image and positioned text XML,Recovered printed subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0073
page-088,88,5-16a,"cukʉcukʉun maku nesi to’umangʉ maku, cukʉcukoo nesa to’umangʉ musu.",我的竹竿插在這裏，你的竹竿插在那裡。,,Direct comparison against official page image and positioned text XML,Machine candidate captured explanatory heading; printed subexample restored,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0074
page-088,88,5-16b,"sua nesi ia, tanasa maku.",這裡是我的家。,,Direct comparison against official page image and positioned text XML,Recovered printed subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0075
page-088,88,5-16c,manu tati’ingi! mukusaa na araceni sumasima’ʉ. ka’anʉ mapúnarʉ nesi.,小朋友們！你們到遠一點的地方玩樂，這裡不夠寬敞。,,Direct comparison against official page image and positioned text XML,Recovered multi-sentence printed subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0076
page-088,88,5-17a,’akia tarisinata sian,這裡沒有學校。,,Direct comparison against official page image and positioned text XML,Machine candidate captured explanatory heading; preserved source line without terminal punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0077
page-088,88,5-17b,’esi kara suan manu Paicʉ?,Paicʉ的小孩有在你那裡嗎？,,Direct comparison against official page image and positioned text XML,Recovered printed subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0078
page-089,89,5-17c,nisu’ʉ maku na tinsana taru’an sua ’uai.,黃藤我放在工寮的那裡。,,Direct comparison against official page image and positioned text XML,Recovered cross-page continuation and omitted explanatory parenthesis from translation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0079
page-089,89,5-18a,"noo makacʉkʉna kita ’inia ia, makacang kita putukikio.",我們抵達那裡之後，我們立即工作。,,Direct comparison against official page image and positioned text XML,Machine candidate captured explanatory heading; printed subexample restored,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0080
page-089,89,5-18b,"sua tiniturua mamarang ia, makasi maraa marʉngʉcai kani ’ʉnai neesua, ímua maraa mintasʉ kangvang canumu ’inia.",老人家的說法是因為，荖濃溪，那裡地勢較高，所以水流也比較湍急。,,Direct comparison against official page image and positioned text XML,Recovered long printed subexample and omitted source-attribution parenthesis from translation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0081
page-089,89,5-19a,"makásua cu, múkusa cu ku na rʉmʉra.",就那樣之後，我去深山上。,,Direct comparison against official page image and positioned text XML,Removed subexample-label corruption and restored final punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0082
page-090,90,5-19b,ka’anʉ pakasuun nguani mangurʉ taparu.,他們不會那樣炒豆子。,,Direct comparison against official page image and positioned text XML,Recovered cross-page chapter-ending subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0083
page-092,92,6-1a,mamanʉng sua ’uva tamna navungʉ.,’uva很聰明。,,Direct comparison against official page image and positioned text XML,Machine translation was incorrect; restored printed translation and omitted literal parenthesis,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0084
page-092,92,6-1b,maningcau tangria musu.,你的朋友很漂亮。,,Direct comparison against official page image and positioned text XML,Recovered printed subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0085
page-093,93,6-2a,’esi tumatang mamanu.,孩子們在哭。,,Direct comparison against official page image and positioned text XML,Restored subexample label and final punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0086
page-093,93,6-2b,nimusutúpuku sua nguain na nesi.,他曾在此處跌倒過。,,Direct comparison against official page image and positioned text XML,Recovered printed subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0087
page-093,93,6-3,’esi múciri na vatu sua manu.,小孩站在石頭上。,,Direct comparison against official page image and positioned text XML,Final punctuation restored from page image,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0088
page-093,93,6-4a,’esi matakoru ’uru sua nguain.,他在盛飯。,,Direct comparison against official page image and positioned text XML,Restored subexample label word boundary and final punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0089
page-093,93,6-4b,nima’icʉpʉ ku tacau.,我曾經怕狗。,,Direct comparison against official page image and positioned text XML,Recovered printed subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0090
page-094,94,6-5a,pusu’anʉn kavangvang turaku na ciriri cakʉran sua ravuku.,卡車把所有的沙子都搬到河邊了。,,Direct comparison against official page image and positioned text XML,Restored subexample label and final punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0091
page-094,94,6-5b,uvʉngun kee na racʉcʉna sua vutunu.,他把水鹿藏在草叢裡。,,Direct comparison against official page image and positioned text XML,Recovered printed subexample omitted by machine candidate,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0092
page-094,94,6-5-footnote22i,kʉnee ’ikua sua Pa’ʉ tamna ’uru vina’ʉ.,我（不情願地）試著吃了Pa’ʉ的小米飯。,,Direct comparison against official page image and positioned text XML,Recovered complete translated sentence from footnote 22,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0093
page-094,94,6-5-footnote22ii,ngutunee Pori sua ’angai tamna karu.,Pori（凶狠地）試著砍’angai的樹。,,Direct comparison against official page image and positioned text XML,Recovered complete translated sentence from footnote 22,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0094
page-095,95,6-6,arivura’ʉn mia sua nguani.,他們被我們打。,,Direct comparison against official page image and positioned text XML,Final punctuation restored from page image,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0095
page-095,95,6-7a,tia vʉʉn kee vungavung sua Na’u.,他要給Na’u花。,,Direct comparison against official page image and positioned text XML,Restored subexample label and final punctuation,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0096
page-095,95,6-7b,koo kee usʉ’ʉn na cʉpʉngʉ. tia aramamanʉng nusoni misee.,她沒放在心上，心想待會兒會好起來的。,,Direct comparison against official page image and positioned text XML,Recovered multi-sentence subexample and omitted source-attribution parenthesis,yes,,XML/Kanakanavu/Song_2018_Kanakanavu_Grammar.xml,song-2018-kanakanavu-S0097
