source_locator,reader_page,example_label,target_candidate,translation_candidate,method,review_status,review_note
page-072,72,4-22,sarunai tarukuka in tapúniaísua,例子如（4-23）。,Official positioned text XML; must be checked against page image,REVIEWED_EXCLUDED,Noun phrase; word boundary and translation corrected in source ledger
page-072,72,4-23,nguain tamna manu,十四章修飾結構。,Official positioned text XML; must be checked against page image,REVIEWED_EXCLUDED,Noun phrase; unrelated prose replaced with printed translation in source ledger
page-072,72,4-24,me’icunu a’una musu nonoman,,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Aligned translation and final punctuation restored from page image
page-073,73,4-25,arikʉroo nipuciria maku parai isa,類，我們先描述名詞謂語，再談動詞謂語。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Unrelated prose replaced with printed aligned translation
page-073,73,4-26,takituturua sua isi,這位是老師。,Official positioned text XML; must be checked against page image,REVIEWED_CONFIRMED,Confirmed directly from page image
page-073,73,4-27,tammi sua po’ucipia mu,你們所煮的是地瓜。,Official positioned text XML; must be checked against page image,REVIEWED_CONFIRMED,Confirmed directly from page image
page-073,73,4-28,"sua iku ia, Pani Kanapaniana",我是Pani Kanapaniana。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Final punctuation restored from page image
page-074,74,4-29,"sua cau isa ia, nanakʉkara?",那個人是女的嗎？,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Word boundary before question clitic restored
page-074,74,4-30,maningcau cina maku,我媽媽很漂亮。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Final punctuation restored
page-074,74,4-31,marápusu cʉpʉngʉmaku masini,我現在心裡很亂。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Word boundary restored; two translated footnote examples also recovered
page-075,75,4-32,’esi rumaravisi cʉnʉSaupu,Saupu在拔草。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Word boundary and final punctuation restored
page-075,75,4-33,maramia’ʉkasua sua cuma,爸爸叫醒你。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Word boundary and final punctuation restored
page-075,75,4-34,nima’icʉpʉku tacau,我曾經怕狗。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Bound-pronoun word boundary and final punctuation restored
page-076,76,4-35,tia aramia’ʉn Mu’u sua Paicʉ,Mu’u要叫醒Paicʉ。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Final punctuation restored
page-076,76,4-36,te maku arivura’ʉn nguain,我要打他。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Final punctuation restored
page-076,76,4-37,tinituru cu maku Pani’angai tamna cʉpʉngʉ�/ tinituru cu maku kasua’angai,我已經告訴Pani’angai的想法。／我已經告訴你’angai的想法。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Printed slash alternatives split into 4-37a and 4-37b with word boundaries restored
page-077,77,4-38,a�koo ku pacʉpʉcʉpʉngʉtavara’ʉkasu marisinatʉ,我沒想到你會寫字。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to printed subexamples 4-38a-c; restored labels word boundaries and punctuation
page-079,79,5-1,a�mima pa’ici sua cau,,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to printed 5-1a-b on this page and cross-page 5-1c on page 80
page-080,80,5-2,和上面的例句（5-1a），（5-2）多了一個sua在pa’ici之前，族人雖然接受,兩個sua的用法，但很少使用兩個sua。,Official positioned text XML; must be checked against page image,REJECTED_MACHINE_PROSE,Chinese prose was misidentified as a numbered source example
page-080,80,5-2,mima sua pa’ici sua cau�（很少使用兩個sua）,人們在喝酒。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Parenthetical usage note removed from target and final punctuation restored
page-080,80,5-3,"a�Paicʉtamna tanasʉn ia,’esi na Namásia",Paicʉ的家鄉在那瑪夏。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to 5-3a-b with word boundaries capitalization and punctuation restored
page-081,81,5-4,"nakai sii tinituruʉn cu kee cau, nimu’uru’uru arávari na ka’anʉ’apitarʉto’unaa",「不在」的語意，如（5-5）所示。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Word boundaries and actual printed translation restored
page-081,81,5-5,’akia na nguain tamna vuku,（那個東西）不在他的腰帶上。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Final punctuation restored
page-081,81,5-6,a�tia marivura’ʉPani na Pi’i,Pani要去打Pi’i。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to 5-6a and cross-page 5-6b; word boundaries and punctuation restored
page-083,83,5-7,a�manmaan ku maritapasʉ,我喜歡畫圖。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to printed 5-7a-b and restored labels and punctuation
page-083,83,5-8,a�arivura’ʉn mia sua nguani,他們被我們打。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to printed 5-8a-b and restored labels and punctuation
page-084,84,5-9,a�araceni tanasʉn mia,我們的部落很遠。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Recovered cross-page 5-8c and expanded 5-9 to subexamples a-b
page-084,84,5-10,ka’anʉtarákusa kimia sua nguain,他沒有望著我們。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Word boundary and final punctuation restored
page-084,84,5-11,"a�sua iku ia, Pani",我是Pani。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to 5-11a and cross-page 5-11b-c
page-085,85,5-12,a�nimarivici’ikua naPani múkusa rʉmʉra,過世的Pani曾經帶我去深山。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to printed subexamples 5-12a-d with word boundaries and punctuation restored
page-086,86,5-13,mara’an ku na kasua arapana’ʉ,我跑得比你快。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Final punctuation restored
page-086,86,5-14,tamu’iarʉkavangvang cani pininga tee Pani,Pani他們一家人都很勤勞。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Word boundary and final punctuation restored
page-087,87,5-15,isi這／isa那（可見）／ísua那（未必可見）,這是青蕉。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Explanatory heading replaced by printed subexamples 5-15a-c
page-088,88,5-16,nesi這裡／nesa那裡,我的竹竿插在這裏，你的竹竿插在那裡。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Explanatory heading replaced by printed subexamples 5-16a-c
page-088,88,5-17,sian這裡／suan那裡／tinsana那裡,這裡沒有學校。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Explanatory heading replaced by printed 5-17a-b and cross-page 5-17c
page-089,89,5-18,’inia那裡／neesua那裡,我們抵達那裡之後，我們立即工作。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Explanatory heading replaced by printed subexamples 5-18a-b
page-089,89,5-19,。,,Official positioned text XML; must be checked against page image,REJECTED_MACHINE_PUNCTUATION,Isolated punctuation was falsely identified as an example
page-089,89,5-19,"a�makásua cu, múkusa cu ku na rʉmʉra",就那樣之後，我去深山上。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Restored 5-19a and recovered cross-page 5-19b
page-092,92,6-1,a�mamanʉng sua’uva tamna navungu,你的朋友很漂亮。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to 6-1a-b; machine translation for a corrected from page image
page-093,93,6-2,a�’esi tumatang mamanu,孩子們在哭。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to printed 6-2a-b
page-093,93,6-3,’esi múciri na vatu sua manu,小孩站在石頭上。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Final punctuation restored
page-093,93,6-4,a�’esi matakoru’uru sua nguain,他在盛飯。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to 6-4a-b and restored word boundary and punctuation
page-094,94,6-5,a�pusu’anʉn kavangvang turaku na ciriri cakʉran sua ravuku,卡車把所有的沙子都搬到河邊了。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to 6-5a-b and recovered two complete translated footnote examples
page-095,95,6-6,arivura’ʉn mia sua nguani,他們被我們打。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Final punctuation restored
page-095,95,6-7,a�tia vʉʉn kee vungavung sua Na’u,他要給Na’u花。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to printed subexamples 6-7a-c
page-096,96,6-8,’apuukusa’ikua sua cina na Taipe,媽媽讓我去台北。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Word boundary and final punctuation restored
page-096,96,6-9,"maraa taningninga sua tapaicaa Nancʉsiensii tamna cunumu,ímua maraa",,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Truncated target completed and printed translation restored
page-096,96,6-10,a�tia siarukucu tamu sua karu,木頭祖父母用來做拐杖。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to printed subexamples 6-10a-b
page-097,97,6-11,sia-表達原因,Pani為什麼原因生氣呢？,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Explanatory heading replaced by printed subexamples 6-11a-c
page-097,97,6-12,vanai表達原因,Pani為了Mu’u準備魚餌。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Heading replaced by 6-12a plus footnote review and cross-page 6-12b-c
page-098,98,6-13,a�patimanʉngoo tikuru!,把衣服弄好！,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to 6-13a and cross-page 6-13b
page-100,100,6-14,主事焦點,她的小孩哭。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Heading replaced by printed subexamples 6-14a-c
page-100,100,6-15,主事焦點,他們每天在一起玩耍。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Heading replaced by printed sentence
page-101,101,6-16,非主事焦點,媽媽天天幫你穿衣服。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Heading replaced by printed subexamples 6-16a-b
page-101,101,6-17,實現貌：過去已發生的事件,你的小孩剛才有哭。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Heading replaced by printed 6-17a-c; continuation proceeds to page 102
page-102,102,6-18,實現貌：受事焦點及完成貌,現在，烏梅已經賣掉了。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Completed cross-page 6-17d-e and replaced heading with 6-18a-d across pages 102-103
page-103,103,6-19,「感嘆」,Pani的心腸真的很好！,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Replaced heading with both printed subexamples 6-19a-b
page-103,103,6-20,「預期不同」,原來這麼美味！,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Replaced heading with both printed subexamples 6-20a-b
page-104,104,6-21,「強調或叮嚀」,我已經煮飯了，一定要來！,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Replaced heading with printed subexamples 6-21a-b
page-104,104,6-22,’acuu為趨向動詞「去了」,爸爸去深山了。,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Replaced heading with the complete printed sentence
page-104,104,6-23,’acuu為實現貌助動詞,孩子哭了。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Replaced heading with 6-23a-b across pages 104-105
page-105,105,6-24,進行貌：正發生的事件,,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Replaced heading with complete printed sentence and parenthetical translation
page-105,105,6-25,tia tantaniara kasu uranʉʉn cina matikuru,媽媽天天要幫你穿衣服。,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Restored printed spacing and punctuation
page-105,105,6-26,a�nikʉmʉnʉcu kavangvang kim,我們都已經吃了。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Removed machine corruption and recovered all four subexamples 6-26a-d across pages 105-106
page-107,107,7-1,a�存在句,平坦之地有一棟房子。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Replaced heading with printed subexample 7-1a; example continues on page 108
page-108,108,7-2,’esi na’umó’uma karavung kumakʉnʉcʉnʉ�26,牛在田裡吃草。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Completed 7-1b-c and retained 7-2 plus translated footnote examples 25i and 26i
page-109,109,7-3,a�存在句,平坦之地沒有房子。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Replaced heading with all three printed subexamples 7-3a-c
page-109,109,7-4,para’akia’apitarʉ,（某事或某物）讓危機解除。,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Restored printed spacing and punctuation
page-109,109,7-5,’akia na nguain tamna vuku,（那個東西）不在他的腰帶上。,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Restored printed spacing and punctuation
page-112,112,8-1,a�arapana’aa!,請快點！,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded machine candidate to all three printed subexamples 8-1a-c
page-112,112,8-2,ivataa sian!,請來這裡！,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Retained complete printed sentence
page-112,112,8-3,所示。若上下文合適，亦可表達「警告」之意，如（8-4）。,,Official positioned text XML; must be checked against page image,REVIEWED_REJECTED,Chinese explanatory prose false positive
page-112,112,8-3,kʉmʉnaan kasu nipo’ucipi maku!,請吃看看（表達嘗試語氣）我煮的！,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Retained complete printed sentence
page-112,112,8-4,karapa’ician kasu!,,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Recovered complete aligned translation from page image
page-113,113,8-5,imoo sua canumu isi!,這水拿去喝！,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Retained complete printed sentence
page-113,113,8-6,imoon sua canumu isi!,這水（你）喝看看（表達嘗試語氣）！,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Retained complete printed sentence
page-113,113,8-7,"puraion tasinʉva isa, manátʉrʉkara?",那窗戶推看看（表達嘗試語氣），牢不牢固？,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Restored printed spacing before question particle
page-113,113,8-8,"aroon na navungu musu carapong, tia maningcau kara?",你頭上的帽子拿掉看看（表達嘗試語氣），會好看嗎？,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Retained complete printed sentence
page-114,114,8-9,主事焦點,不要喝這個水。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Replaced heading with 8-9a-d and explicitly excluded the starred untranslated form
page-114,114,8-10,受事焦點,不要把那個臭的東西攪來攪去的。,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Replaced heading with complete printed sentence
page-114,114,8-11,工具焦點,別用這把刀子刴骨頭。,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Replaced heading with complete printed sentence
page-115,115,8-12,受惠語意的否定祈使句,別因為這孩子煮（吃的）。,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Replaced heading with complete printed sentence
page-117,117,9-1,a�te ku mitaniarʉ�（非使動結構）,我要曬太陽。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Replaced heading with both printed comparison examples 9-1a-b
page-119,119,9-2,a�’esi pocanumu sua cuma,爸爸在澆水。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded 9-2a-b and explicitly excluded two starred untranslated forms
page-119,119,9-3,a�arakuracʉsua cina,媽媽生氣。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to printed subexamples 9-3a-b and restored spacing
page-119,119,9-4,a�macici canumu,水很熱。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to printed subexamples 9-4a-b and restored spacing
page-120,120,9-5,a�te ku múkusa na Taipe,我要去台北。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to both printed subexamples 9-5a-b
page-120,120,9-6,a�pu’a Pani vungavung,Pani買花。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to both printed subexamples 9-6a-b and documented source name inconsistency
page-120,120,9-7,muiri’ikua sua takituturua marisinitʉ,老師勉強我寫字。,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Restored printed spacing and punctuation
page-121,121,9-8,a�’apuciri kanárua na pipiningi sua cina,媽媽讓弟弟站在外面。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to both printed subexamples 9-8a-b
page-122,122,9-9,a�’esi ku’apakʉnʉkaravung cʉnʉ,,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to 9-9a-b with aligned translations and explicitly excluded starred 9-9c
page-124,124,10-1,a�takituturua sua’angai,’angai是老師。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to both printed subexamples 10-1a-b and restored spacing
page-124,124,10-2,a�主事焦點,我不打我的小孩。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Replaced heading with all three printed subexamples 10-2a-c across pages 124-125
page-125,125,10-3,靜態動詞謂語,,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Replaced heading with all three printed subexamples 10-3a-c
page-126,126,10-4,a�ka’anʉmunasʉ「不一定」（也表達「不確定」）,Mu’u真的會回來嗎？還不確定。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Replaced heading with 10-4a-c and retained translated footnote 28i
page-127,127,10-5,a�主事焦點,這個木頭沒有被用來做床（板）。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Replaced heading with all three printed subexamples 10-5a-c
page-127,127,10-6,靜態動詞謂語,,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Replaced heading with both printed subexamples 10-6a-b
page-128,128,10-7,a�’akia cau tia kumakʉnʉ,沒有人要吃。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Completed cross-page 10-6c and replaced heading with all five printed subexamples 10-7a-e
page-129,129,10-8,a�主事焦點,別去狗獵！,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Replaced heading with all three printed subexamples 10-8a-c
page-129,129,10-9,’akuni + -’e「強調或叮嚀」,絕對不要忘記帶我的帽子！,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Replaced heading with complete printed sentence
page-130,130,10-10,a�問：tia kara kasu múkusa na Taipe?,你要去台北嗎？,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded full two-question dialogue with five standalone answers across pages 130-131
page-131,131,10-13,中的’akia「沒有」否定vántuku「錢」，而ka’anʉ「不是」則是否定後面,一整句’akia vántuku sua Mu’u「Mu’u沒有錢」這件事。,Official positioned text XML; must be checked against page image,REVIEWED_REJECTED,Chinese explanatory prose false positive
page-131,131,10-11,ka’anʉcucuru sua ka’anʉku manmaan’inia,,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Restored printed spacing and aligned translation from page image
page-131,131,10-12,ka’anʉPani pacʉpʉngʉsua ka’anʉtia aracakanʉ�’inmámia’esi mupacai sua,Pani不是不想去打獵，只是他有點累。,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Restored printed spacing and line-wrap continuity
page-131,131,10-13,ka’anʉ’akia vántuku sua Mu’u,Mu’u不是沒有錢。,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Restored printed spacing and punctuation
page-133,133,11-1,（說話者看到媽媽忙進忙出，就對著媽媽說）,你的孩子在哭嗎？,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Replaced context heading with printed sentence and removed metalinguistic intonation symbol
page-133,133,11-2,a�macangcangarʉkara kasu↘?,你開心嗎？,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to 11-2a-d across pages 133-134; omitted metalinguistic arrows and parenthetical placement variants
page-134,134,11-3b,，大部份的情況之下kara只出現一次如（11-3c）。年輕一代的族人已不,太用saa這個詞彙。,Official positioned text XML; must be checked against page image,REVIEWED_REJECTED,Chinese explanatory prose false positive
page-134,134,11-3,"a�te kara kasu pokaríkari, saa te kara kasu putukikio?",你要說話，還是你要工作？,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to all three printed subexamples 11-3a-c and restored spacing
page-135,135,11-4,"a�te kara kasu kumakʉnʉ’uru, saa kamsia?",你要吃飯，還是（吃）糖果？,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to both printed subexamples 11-4a-b and restored spacing
page-136,136,11-5,a�neni sua cau isi?,這人是誰？,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded machine heading to all five printed subexamples 11-5a-e
page-136,136,11-6,a�neni tamna manu sua ka’anmana musu?,你喜歡的是誰的小孩？,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded machine heading to both printed subexamples 11-6a-b
page-137,137,11-7,a�neni tia kʉna tarukuka?,雞要吃的是什麼？,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded machine heading to both printed subexamples 11-7a-b
page-137,137,11-8,a�papeni nguain tamna manu?,你所吃的地瓜有多少個？,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to 11-8a-e across pages 137-138 and explicitly excluded untranslated footnote 30 variant
page-138,138,11-9,a�niaranai kasu nanu iávatu?,你從哪裡來？,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to 11-9a-e across pages 138-139 and split optional na in 11-9d into two variants
page-139,139,11-10,a�inanuin ka’anmana musu tapi?,你喜歡哪一個背簍？,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded machine heading to all three printed subexamples 11-10a-c
page-140,140,11-11,a�makananu kasu masini?,,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to 11-11a-b and recovered both aligned translations
page-140,140,11-12,a�’esi kasu pakʉnnanu’akori?,你對’akori做了什麼？,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded machine heading to all four printed subexamples 11-12a-d
page-141,141,11-13,a�nimikiananu’angai múkusa na Taipe?,詢問「程度」如何，如例句（11-14a）~（11-14b）。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to 11-13a-b and replaced incorrect prose translation with aligned source translations
page-141,141,11-14,a�Q: cau makananu sua nanmarua isi?,這個年輕人是個怎麼樣的人？,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded full 11-14a question-answer pair plus 11-14b
page-141,141,11-15,a�makananu sika’icunu nipinarupua vutuukuru Pani miʉra?,Pani昨天釣到的魚多重？,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded to 11-15a-b across pages 141-142
page-142,142,11-16,a�Q: kinamananu sua’angai mataa’uva?,’angai和’uva之間的關係是什麼？,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded complete printed question-answer pair
page-142,142,11-17,te cu makananu!,要怎麼辦啊！,Official positioned text XML; must be checked against page image,REVIEWED_INCLUDED,Retained complete printed exclamation
page-143,143,11-18,a�nukunmana kita múkusa na Taipe?,我們什麼時候去台北？,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded machine heading to all three printed subexamples 11-18a-c
page-143,143,11-19,a�amiseni tamu sarunai?,祖父怎麼說？,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded machine heading to all four printed subexamples 11-19a-d
page-144,144,11-20,miseni kasu makásua! cucuruana kasu natutu!,你怎麼那樣！你真是頑皮啊！,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Split machine-combined example into two independently translated sentences 11-20a-b
page-144,144,11-21,a�nikaranómani kasu? miseni mavucʉrʉkʉcu kasu?,你喝了什麼？為什麼你飽了？,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Split 11-21a into two independently translated questions and recovered 11-21b
page-145,145,11-22,a�te kasu makapeni pupui’i?,你要來回幾趟？,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Expanded machine heading to all four printed subexamples 11-22a-d
