source_locator,reader_page,candidate_count,coverage_status,review_note
page-035,35,0,REVIEWED_NO_EXAMPLES,Introduction and phonological description contain no independently translated full-sentence examples
page-036,36,0,REVIEWED_NO_EXAMPLES,Introduction and phonological description contain no independently translated full-sentence examples
page-037,37,0,REVIEWED_NO_EXAMPLES,Introduction and phonological description contain no independently translated full-sentence examples
page-038,38,0,REVIEWED_NO_EXAMPLES,Introduction and phonological description contain no independently translated full-sentence examples
page-039,39,0,REVIEWED_NO_EXAMPLES,Introduction and phonological description contain no independently translated full-sentence examples
page-040,40,0,REVIEWED_NO_EXAMPLES,Introduction and phonological description contain no independently translated full-sentence examples
page-041,41,0,REVIEWED_NO_EXAMPLES,Introduction and phonological description contain no independently translated full-sentence examples
page-042,42,0,REVIEWED_NO_EXAMPLES,Introduction and phonological description contain no independently translated full-sentence examples
page-043,43,0,REVIEWED_NO_EXAMPLES,Introduction and phonological description contain no independently translated full-sentence examples
page-044,44,0,REVIEWED_NO_EXAMPLES,Introduction and phonological description contain no independently translated full-sentence examples
page-045,45,0,REVIEWED_NO_EXAMPLES,Grammar exposition contains no independently translated full-sentence examples
page-046,46,0,REVIEWED_NO_EXAMPLES,Grammar exposition contains no independently translated full-sentence examples
page-047,47,1,REVIEWED_INCLUDED,Example 3-1 expanded from one machine candidate to five printed subexamples; sentences a-c included and noun phrases d-e excluded
page-048,48,0,REVIEWED_NO_EXAMPLES,Phonology and grammar paradigms or tables contain no bilingual full-sentence examples
page-049,49,0,REVIEWED_NO_EXAMPLES,Phonology and grammar paradigms or tables contain no bilingual full-sentence examples
page-050,50,0,REVIEWED_NO_EXAMPLES,Phonology and grammar paradigms or tables contain no bilingual full-sentence examples
page-051,51,0,REVIEWED_NO_EXAMPLES,Phonology and grammar paradigms or tables contain no bilingual full-sentence examples
page-052,52,0,REVIEWED_NO_EXAMPLES,Phonology and grammar paradigms or tables contain no bilingual full-sentence examples
page-053,53,0,REVIEWED_NO_EXAMPLES,Phonology and grammar paradigms or tables contain no bilingual full-sentence examples
page-054,54,0,REVIEWED_NO_EXAMPLES,Phonology and grammar paradigms or tables contain no bilingual full-sentence examples
page-055,55,0,REVIEWED_NO_EXAMPLES,Phonology and grammar paradigms or tables contain no bilingual full-sentence examples
page-056,56,0,REVIEWED_NO_EXAMPLES,Phonology and grammar paradigms or tables contain no bilingual full-sentence examples
page-057,57,0,REVIEWED_NO_EXAMPLES,Phonology and grammar paradigms or tables contain no bilingual full-sentence examples
page-058,58,0,REVIEWED_NO_EXAMPLES,Phonology and grammar paradigms or tables contain no bilingual full-sentence examples
page-059,59,0,REVIEWED_NO_EXAMPLES,Phonology and grammar paradigms or tables contain no bilingual full-sentence examples
page-060,60,0,REVIEWED_NO_EXAMPLES,Phonology and grammar paradigms or tables contain no bilingual full-sentence examples
page-061,61,0,REVIEWED_NO_EXAMPLES,Phonology and grammar paradigms or tables contain no bilingual full-sentence examples
page-062,62,0,REVIEWED_NO_EXAMPLES,Phonology and grammar paradigms or tables contain no bilingual full-sentence examples
page-063,63,0,REVIEWED_NO_EXAMPLES,Phonology and grammar paradigms or tables contain no bilingual full-sentence examples
page-064,64,0,REVIEWED_NO_EXAMPLES,Phonology and grammar paradigms or tables contain no bilingual full-sentence examples
page-065,65,0,REVIEWED_NO_EXAMPLES,Phonology and grammar paradigms or tables contain no bilingual full-sentence examples
page-066,66,0,REVIEWED_NO_EXAMPLES,Phonology and grammar paradigms or tables contain no bilingual full-sentence examples
page-067,67,4,REVIEWED_INCLUDED,Examples 4-1 through 4-4 reviewed directly; spacing and punctuation restored and footnote contamination removed
page-068,68,4,REVIEWED_INCLUDED,Examples 4-5 through 4-8 reviewed directly; text-layer spacing defects and final punctuation corrected
page-069,69,5,REVIEWED_INCLUDED,Examples 4-9 through 4-13 reviewed directly; five complete translated sentences included
page-070,70,5,REVIEWED_INCLUDED,Examples 4-14 through 4-18 reviewed directly; five complete translated sentences included
page-071,71,2,REVIEWED_INCLUDED,Example 4-19 included with corrected translation; noun phrase 4-20 explicitly excluded
page-072,72,4,REVIEWED_INCLUDED,Noun phrases 4-21 through 4-23 excluded; complete predicate sentence 4-24 included
page-073,73,4,REVIEWED_INCLUDED,Examples 4-25 through 4-28 reviewed directly and included with translations corrected where needed
page-074,74,3,REVIEWED_INCLUDED,Examples 4-29 through 4-31 reviewed and two translated sentences recovered from footnote 17; five included total
page-075,75,3,REVIEWED_INCLUDED,Examples 4-32 through 4-34 reviewed directly; three complete sentences included
page-076,76,3,REVIEWED_INCLUDED,Examples 4-35 and 4-36 included; slash alternatives in 4-37 split into two source sentences
page-077,77,1,REVIEWED_INCLUDED,Machine candidate expanded to printed subexamples 4-38a-c; three translated examples included
page-078,78,0,REVIEWED_EXCLUDED,Chapter-ending Chinese prose only; no translated Kanakanavu sentence examples
page-079,79,1,REVIEWED_INCLUDED,Machine candidate expanded to 5-1a-b; cross-page 5-1c continues on page 80
page-080,80,3,REVIEWED_INCLUDED,Completed 5-1c and reviewed 5-2 and 5-3a-b; one prose false positive rejected
page-081,81,3,REVIEWED_INCLUDED,Recovered 5-3c and reviewed 5-4 through 5-6a; four complete sentences included
page-082,82,0,REVIEWED_INCLUDED,Cross-page subexample 5-6b recovered above pronoun table; no machine candidate was emitted
page-083,83,2,REVIEWED_INCLUDED,Machine candidates expanded to printed subexamples 5-7a-b and 5-8a-b; four complete sentences included
page-084,84,3,REVIEWED_INCLUDED,Recovered 5-8c and reviewed 5-9a-b 5-10 and 5-11a; five complete sentences included
page-085,85,1,REVIEWED_INCLUDED,Completed 5-11b-c and expanded machine candidate to 5-12a-d; six complete sentences included
page-086,86,2,REVIEWED_INCLUDED,Examples 5-13 and 5-14 reviewed directly; two complete sentences included
page-087,87,1,REVIEWED_INCLUDED,Machine heading candidate replaced by printed subexamples 5-15a-c; three complete sentences included
page-088,88,2,REVIEWED_INCLUDED,Machine headings replaced by printed 5-16a-c and 5-17a-b; five complete examples included
page-089,89,3,REVIEWED_INCLUDED,Completed 5-17c and reviewed 5-18a-b and 5-19a; isolated punctuation false positive rejected
page-090,90,0,REVIEWED_INCLUDED,Cross-page chapter-ending subexample 5-19b recovered; remaining page blank
page-091,91,0,REVIEWED_EXCLUDED,Chapter introduction and focus table only; no translated Kanakanavu sentence examples
page-092,92,1,REVIEWED_INCLUDED,Machine candidate expanded to printed 6-1a-b; two complete sentences included
page-093,93,3,REVIEWED_INCLUDED,Machine candidates expanded to 6-2a-b 6-3 and 6-4a-b; five complete sentences included
page-094,94,1,REVIEWED_INCLUDED,Machine candidate expanded to 6-5a-b and two complete translated footnote examples; four included
page-095,95,2,REVIEWED_INCLUDED,Example 6-6 and subexamples 6-7a-c reviewed directly; four complete examples included
page-096,96,3,REVIEWED_INCLUDED,Examples 6-8 and 6-9 reviewed; 6-10 expanded to a-b; four complete examples included
page-097,97,2,REVIEWED_INCLUDED,Headings replaced by 6-11a-c and 6-12a; footnote 23 yielded one included and one untranslated exclusion
page-098,98,1,REVIEWED_INCLUDED,Completed 6-12b-c and reviewed 6-13a; three complete examples included
page-099,99,0,REVIEWED_INCLUDED,Cross-page 6-13b recovered above chapter prose and table; remaining material contains no sentence pairs
page-100,100,2,REVIEWED_INCLUDED,Headings replaced by 6-14a-c and 6-15; four complete sentences included
page-101,101,2,REVIEWED_INCLUDED,Headings replaced by 6-16a-b and 6-17a-c; five complete examples included; 6-17 continues on page 102
page-102,102,1,REVIEWED_INCLUDED,Completed 6-17d-e and retained 6-18a-c from direct image review
page-103,103,2,REVIEWED_INCLUDED,Completed 6-18d and expanded 6-19a-b and 6-20a-b from direct image review
page-104,104,3,REVIEWED_INCLUDED,Expanded 6-21a-b and 6-23a-b and retained complete 6-22; 6-23 continues on page 105
page-105,105,3,REVIEWED_INCLUDED,Completed 6-23b and retained 6-24 6-25 and 6-26a-b; 6-26 continues on page 106
page-106,106,0,REVIEWED_INCLUDED,Recovered machine-missed continuation examples 6-26c-d and completed chapter 6
page-107,107,1,REVIEWED_INCLUDED,Began chapter 7 with 7-1a; example continues on page 108
page-108,108,1,REVIEWED_INCLUDED,Completed 7-1b-c and retained 7-2 plus complete translated footnote examples 25i and 26i
page-109,109,3,REVIEWED_INCLUDED,Expanded 7-3a-c and retained complete 7-4 and 7-5
page-110,110,0,REVIEWED_NO_EXAMPLES,Blank source page between chapters 7 and 8
page-111,111,0,REVIEWED_NO_EXAMPLES,Chapter 8 introduction and paradigm table contain no complete translated sentence examples
page-112,112,5,REVIEWED_INCLUDED,Expanded 8-1a-c and retained 8-2 through 8-4; rejected one explanatory prose false positive
page-113,113,4,REVIEWED_INCLUDED,Retained complete examples 8-5 through 8-8 with printed spacing
page-114,114,3,REVIEWED_INCLUDED,Expanded 8-9a-d and retained 8-10 and 8-11; starred untranslated form explicitly excluded
page-115,115,1,REVIEWED_INCLUDED,Retained complete example 8-12 and completed chapter 8
page-116,116,0,REVIEWED_NO_EXAMPLES,Blank source page between chapters 8 and 9
page-117,117,1,REVIEWED_INCLUDED,Expanded machine heading to both comparison examples 9-1a-b
page-118,118,0,REVIEWED_INCLUDED,Recovered complete translated sentence in footnote 27 despite zero machine candidates
page-119,119,3,REVIEWED_INCLUDED,Expanded 9-2a-b 9-3a-b and 9-4a-b; explicitly excluded two starred untranslated forms
page-120,120,3,REVIEWED_INCLUDED,Expanded 9-5a-b and 9-6a-b and retained 9-7; documented Pori versus Pani source inconsistency
page-121,121,1,REVIEWED_INCLUDED,Expanded machine heading to both printed subexamples 9-8a-b
page-122,122,1,REVIEWED_INCLUDED,Expanded to translated 9-9a-b and explicitly excluded starred untranslated 9-9c; completed chapter 9
page-123,123,0,REVIEWED_NO_EXAMPLES,Chapter 10 introduction and negator table contain no complete translated sentence examples
page-124,124,2,REVIEWED_INCLUDED,Expanded 10-1a-b and began 10-2 with 10-2a; 10-2 continues on page 125
page-125,125,1,REVIEWED_INCLUDED,Completed 10-2b-c and expanded 10-3a-c despite one machine heading candidate
page-126,126,1,REVIEWED_INCLUDED,Expanded 10-4a-c and recovered complete translated footnote example 28i
page-127,127,2,REVIEWED_INCLUDED,Expanded 10-5a-c and 10-6a-b from machine headings
page-128,128,1,REVIEWED_INCLUDED,Completed 10-6c and expanded machine heading to all five subexamples 10-7a-e
page-129,129,2,REVIEWED_INCLUDED,Expanded 10-8a-c and retained complete 10-9
page-130,130,1,REVIEWED_INCLUDED,Expanded 10-10 to two questions and four answers on this page; final answer continues on page 131
page-131,131,4,REVIEWED_INCLUDED,Completed cross-page 10-10 answer and retained 10-11 through 10-13; rejected one prose false positive
page-132,132,0,REVIEWED_NO_EXAMPLES,Blank source page between chapters 10 and 11
page-133,133,2,REVIEWED_INCLUDED,Retained 11-1 and expanded 11-2a-b; untranslated footnote 29 variant explicitly excluded; 11-2 continues on page 134
page-134,134,2,REVIEWED_INCLUDED,Completed 11-2c-d and expanded 11-3a-c; rejected one prose false positive
page-135,135,1,REVIEWED_INCLUDED,Expanded machine heading to both printed subexamples 11-4a-b
page-136,136,2,REVIEWED_INCLUDED,Expanded 11-5a-e and 11-6a-b from two machine heading candidates
page-137,137,2,REVIEWED_INCLUDED,Expanded 11-7a-b and 11-8a-d; 11-8 continues on page 138
page-138,138,1,REVIEWED_INCLUDED,Completed 11-8e and expanded 11-9a-d including two optional-na variants; untranslated footnote 30 explicitly excluded
page-139,139,1,REVIEWED_INCLUDED,Completed 11-9e and expanded machine heading to all three 11-10a-c
page-140,140,2,REVIEWED_INCLUDED,Expanded 11-11a-b and 11-12a-d from two machine heading candidates
page-141,141,3,REVIEWED_INCLUDED,Expanded 11-13a-b 11-14a question-answer plus 11-14b and began 11-15a
page-142,142,2,REVIEWED_INCLUDED,Completed 11-15b and expanded 11-16 question-answer plus complete 11-17
page-143,143,2,REVIEWED_INCLUDED,Expanded 11-18a-c and 11-19a-d from two machine heading candidates
page-144,144,2,REVIEWED_INCLUDED,Split 11-20 into two sentences and 11-21a into two questions then recovered 11-21b; completed chapter 11
page-145,145,1,REVIEWED_INCLUDED,Expanded machine heading to all four printed subexamples 11-22a-d; completed chapter 11
page-146,146,0,REVIEWED_NO_EXAMPLES,Blank source page between chapters 11 and 12
page-147,147,0,REVIEWED_NO_EXAMPLES,Chapter 12 introduction and structural overview contain no complete translated sentence examples
page-148,148,3,REVIEWED_INCLUDED,Retained 12-1a and 12-2a and split non-serial 12-1b into two clauses; rejected prose false positive; 12-2b continues
page-149,149,1,REVIEWED_INCLUDED,Split 12-2b into two independent clauses and retained 12-3a; starred untranslated 12-3b explicitly excluded
page-150,150,2,REVIEWED_INCLUDED,Expanded 12-4a-b into optional-sua variants and retained 12-5a
page-151,151,3,REVIEWED_INCLUDED,Completed 12-5b and expanded 12-6a-b 12-7 and 12-8a-b including optional-sua variants
page-152,152,3,REVIEWED_INCLUDED,Retained 12-9 and expanded 12-10a-b and 12-11a-b
page-153,153,1,REVIEWED_INCLUDED,Retained complete 12-12 and completed chapter 12
page-154,154,0,REVIEWED_NO_EXAMPLES,Blank source page between chapters 12 and 13
page-155,155,1,REVIEWED_INCLUDED,Chapter 13 introduction plus complete example 13-1
page-156,156,2,REVIEWED_INCLUDED,Expanded 13-2a-c and began 13-3a-b from two machine headings
page-157,157,1,REVIEWED_INCLUDED,Completed 13-3c-d including optional-miʉra variants and retained 13-4
page-158,158,2,REVIEWED_INCLUDED,Expanded 13-5a-b and 13-6a-b from two machine headings
page-159,159,3,REVIEWED_INCLUDED,Expanded 13-7a-c and retained complete 13-8 and 13-9
page-160,160,1,REVIEWED_INCLUDED,Expanded machine heading to 13-10a-c and restored quoted complement boundaries; example continues on page 161
page-161,161,2,REVIEWED_INCLUDED,Completed 13-10d-f and rejected two prose false positives
page-162,162,2,REVIEWED_INCLUDED,Retained 13-11 and split 13-12a into two sentences plus recovered 13-12b
page-163,163,2,REVIEWED_INCLUDED,Retained 13-13 and expanded machine heading to all four quoted subexamples 13-14a-d
page-164,164,2,REVIEWED_INCLUDED,Completed cross-page 13-14e and retained quoted 13-15 plus 13-16a; 13-16 continues
page-165,165,2,REVIEWED_INCLUDED,Completed 13-16b-c and retained 13-17 and 13-18
page-166,166,1,REVIEWED_INCLUDED,Expanded machine heading to all six 13-19a-f and completed chapter 13
page-167,167,1,REVIEWED_INCLUDED,Began chapter 14 by expanding 14-1a-b into optional-sua variants and correcting machine translation
page-168,168,3,REVIEWED_INCLUDED,Completed 14-1c and retained 14-2a; rejected one prose false positive; 14-2 continues on page 169
page-169,169,1,REVIEWED_INCLUDED,Completed 14-2b and expanded machine heading to 14-3a-c
page-170,170,1,REVIEWED_INCLUDED,Expanded machine heading to both temporal-clause examples 14-4a-b
page-171,171,3,REVIEWED_INCLUDED,Expanded 14-5a-b and retained complete translated 14-6 and 14-7
page-172,172,2,REVIEWED_INCLUDED,Restored 14-8 aligned translation and expanded machine heading to 14-9a-c
page-173,173,3,REVIEWED_INCLUDED,Split 14-10 into two sentences and expanded 14-11a-b plus 14-12a; 14-12 continues
page-174,174,2,REVIEWED_INCLUDED,Completed 14-12b and expanded 14-13a-c; rejected one prose false positive; 14-13 continues
page-175,175,2,REVIEWED_INCLUDED,Completed 14-13d and retained 14-14 plus line-wrapped 14-15 with translations restored
page-176,176,2,REVIEWED_INCLUDED,Expanded 14-16a-b including optional concessive variants and completed translated 14-17; completed chapter 14
page-177,177,1,REVIEWED_INCLUDED,Began chapter 15 by expanding machine heading to 15-1a-c; example continues on page 178
page-178,178,2,REVIEWED_INCLUDED,Completed 15-1d and expanded 15-2a-b including optional-sua variants plus 15-3a; 15-3 continues
page-179,179,2,REVIEWED_INCLUDED,Completed 15-3b-c and expanded 15-4a-c; rejected one prose false positive
page-180,180,1,REVIEWED_INCLUDED,Completed cross-page 15-4d and expanded machine heading to 15-5a-b with corrected translations
page-181,181,2,REVIEWED_INCLUDED,Retained translated 15-6 and expanded 15-7a-c; 15-7 continues on page 182
page-182,182,1,REVIEWED_INCLUDED,Completed 15-7d-e and expanded machine heading to 15-8a-b
page-183,183,3,REVIEWED_INCLUDED,Expanded 15-9a-b retained 15-10 and expanded 15-11a-b with 15-11b split into two sentences
page-184,184,2,REVIEWED_INCLUDED,Retained 15-12 and expanded 15-13a-c into six saa/sua variants; completed chapter 15
page-185,185,0,REVIEWED_NO_EXAMPLES,References page contains no translated Kanakanavu sentence examples
page-186,186,0,REVIEWED_NO_EXAMPLES,References page contains no translated Kanakanavu sentence examples
page-187,187,4,REVIEWED_INCLUDED,Recovered ten complete translated examples from the punctuation appendix table including split question-answer dialogue
page-188,188,2,REVIEWED_INCLUDED,Recovered nine complete translated semicolon and quotation examples from punctuation appendix table
page-189,189,0,REVIEWED_INCLUDED,Recovered thirteen complete translated parenthesis question and exclamation examples despite zero machine candidates
page-190,190,4,REVIEWED_INCLUDED,Recovered nine complete translated dash ellipsis and song-hyphenation records from appendix table
page-191,191,0,REVIEWED_INCLUDED,Recovered six capitalization and paragraph example sentences despite zero machine candidates; completed punctuation appendix
page-192,192,0,REVIEWED_NO_EXAMPLES,Blank source page between punctuation appendix and basic lexicon
page-193,193,0,REVIEWED_NO_EXAMPLES,Basic lexicon introductory page and word-translation table contain no complete sentence examples
page-194,194,0,REVIEWED_NO_EXAMPLES,Basic lexicon word-translation table contains no complete sentence examples
page-195,195,0,REVIEWED_NO_EXAMPLES,Basic lexicon word-translation table contains no complete sentence examples
page-196,196,0,REVIEWED_NO_EXAMPLES,Basic lexicon word-translation table contains no complete sentence examples
page-197,197,0,REVIEWED_NO_EXAMPLES,Basic lexicon word-translation table contains no complete sentence examples
page-198,198,0,REVIEWED_NO_EXAMPLES,Basic lexicon word-translation table contains no complete sentence examples
page-199,199,0,REVIEWED_NO_EXAMPLES,Basic lexicon word-translation table contains no complete sentence examples
page-200,200,0,REVIEWED_NO_EXAMPLES,Basic lexicon word-translation table contains no complete sentence examples
page-201,201,0,REVIEWED_NO_EXAMPLES,Basic lexicon word-translation table contains no complete sentence examples
page-202,202,0,REVIEWED_NO_EXAMPLES,Basic lexicon word-translation table contains no complete sentence examples
page-203,203,0,REVIEWED_NO_EXAMPLES,Basic lexicon word-translation table contains no complete sentence examples
page-204,204,0,REVIEWED_NO_EXAMPLES,Basic lexicon word-translation table contains no complete sentence examples
page-205,205,0,REVIEWED_NO_EXAMPLES,Basic lexicon word-translation table contains no complete sentence examples
page-206,206,0,REVIEWED_NO_EXAMPLES,Basic lexicon word-translation table contains no complete sentence examples and completes Appendix 2A
page-207,207,0,REVIEWED_NO_EXAMPLES,Chinese-sorted basic lexicon introduction and word-translation table contain no complete sentence examples
page-208,208,0,REVIEWED_NO_EXAMPLES,Chinese-sorted basic lexicon word-translation table contains no complete sentence examples
page-209,209,0,REVIEWED_NO_EXAMPLES,Chinese-sorted basic lexicon word-translation table contains no complete sentence examples
page-210,210,0,REVIEWED_NO_EXAMPLES,Chinese-sorted basic lexicon word-translation table contains no complete sentence examples
page-211,211,0,REVIEWED_NO_EXAMPLES,Chinese-sorted basic lexicon word-translation table contains no complete sentence examples
page-212,212,0,REVIEWED_NO_EXAMPLES,Chinese-sorted basic lexicon word-translation table contains no complete sentence examples
page-213,213,0,REVIEWED_NO_EXAMPLES,Chinese-sorted basic lexicon word-translation table contains no complete sentence examples
page-214,214,0,REVIEWED_NO_EXAMPLES,Chinese-sorted basic lexicon word-translation table contains no complete sentence examples
page-215,215,0,REVIEWED_NO_EXAMPLES,Chinese-sorted basic lexicon word-translation table contains no complete sentence examples
page-216,216,0,REVIEWED_NO_EXAMPLES,Chinese-sorted basic lexicon word-translation table contains no complete sentence examples
page-217,217,0,REVIEWED_NO_EXAMPLES,Chinese-sorted basic lexicon word-translation table contains no complete sentence examples
page-218,218,0,REVIEWED_NO_EXAMPLES,Chinese-sorted basic lexicon word-translation table contains no complete sentence examples
page-219,219,0,REVIEWED_NO_EXAMPLES,Chinese-sorted basic lexicon word-translation table contains no complete sentence examples
page-220,220,0,REVIEWED_NO_EXAMPLES,Chinese-sorted basic lexicon word-translation table contains no complete sentence examples and completes Appendix 2B
page-221,221,3,REVIEWED_INCLUDED,Appendix 3 Narrative 1 sentences 1-3 reviewed directly against page image
page-222,222,4,REVIEWED_INCLUDED,Narrative 1 sentences 4-7 reviewed; following overview paragraph used only for context
page-223,223,7,REVIEWED_INCLUDED,Narrative 1 sentences 8-14 reviewed directly against interlinear page image
page-224,224,7,REVIEWED_INCLUDED,Narrative 1 sentences 15-21 reviewed directly against interlinear page image
page-225,225,6,REVIEWED_INCLUDED,Narrative 1 sentences 22-27 reviewed; sentence 26 translation recovered from page image
page-226,226,9,REVIEWED_INCLUDED,Narrative 1 sentences 28-36 reviewed directly against interlinear page image
page-227,227,1,REVIEWED_INCLUDED,Narrative 1 sentence 37 reviewed; narrative overview used only for context
page-228,228,6,REVIEWED_INCLUDED,Narrative 1 sentences 38-43 reviewed; sentence 42 translation recovered from page image
page-229,229,8,REVIEWED_INCLUDED,Narrative 1 sentences 44-51 reviewed; sentence 47 translation recovered from page image
page-230,230,4,REVIEWED_INCLUDED,Narrative 1 sentences 52-55 reviewed; sentence 55 translation recovered from page image
page-231,231,3,REVIEWED_INCLUDED,Narrative 1 sentences 56-58 reviewed; sentence 58 translation recovered from page image
page-232,232,7,REVIEWED_INCLUDED,Narrative 1 sentences 59-65 reviewed; translations for 59 60 and 63 recovered from page image
page-233,233,7,REVIEWED_INCLUDED,Narrative 1 sentences 66-72 reviewed; sentence 69 translation recovered from page image
page-234,234,8,REVIEWED_INCLUDED,Narrative 1 sentences 73-80 reviewed directly against interlinear page image
page-235,235,2,REVIEWED_INCLUDED,Narrative 1 sentences 81-82 reviewed; following narrative overview used only for context
page-236,236,7,REVIEWED_INCLUDED,Narrative 1 sentences 83-89 reviewed; sentence 88 translation recovered from page image
page-237,237,7,REVIEWED_INCLUDED,Narrative 1 sentences 90-96 reviewed; sentence 96 translation recovered from page image
page-238,238,4,REVIEWED_INCLUDED,Narrative 1 sentences 97-100 reviewed directly against interlinear page image
page-239,239,0,REVIEWED_NO_EXAMPLES,Narrative 2 overview reviewed as context; numbered content is duplicated by detailed interlinear pages beginning on page 240
page-240,240,9,REVIEWED_INCLUDED,Narrative 2 sentences 1-9 reviewed; sentence 9 footnote marker removed from source form
page-241,241,7,REVIEWED_INCLUDED,Narrative 2 sentences 10-16 reviewed directly against interlinear page image
page-242,242,8,REVIEWED_INCLUDED,Narrative 2 sentences 17-24 reviewed; sentence 22 translation recovered from page image
page-243,243,2,REVIEWED_INCLUDED,Narrative 2 sentences 25-26 reviewed; following overview used only for context
page-244,244,6,REVIEWED_INCLUDED,Narrative 2 sentences 27-32 reviewed; sentence 30 translation recovered and sentence 32 completed from page image
page-245,245,6,REVIEWED_INCLUDED,Narrative 2 sentences 33-38 reviewed; dialogue translations for 35-37 recovered from page image
page-246,246,2,REVIEWED_INCLUDED,Narrative 2 sentences 39-40 reviewed; overview and footnotes used only for context
page-247,247,8,REVIEWED_INCLUDED,Narrative 2 sentences 41-48 reviewed directly against interlinear page image
page-248,248,7,REVIEWED_INCLUDED,Narrative 2 sentences 49-55 reviewed; sentence 52 translation completed from page image
page-249,249,2,REVIEWED_INCLUDED,Narrative 2 sentences 56-57 reviewed directly against interlinear page image
page-250,250,0,REVIEWED_NO_EXAMPLES,Blank official reader page
page-251,251,2,REVIEWED_INCLUDED,Narrative 3 overview reviewed as context and detailed sentences 1-2 included; sentence 2 footnote marker removed
page-252,252,7,REVIEWED_INCLUDED,Narrative 3 sentences 3-9 reviewed directly against interlinear page image
page-253,253,3,REVIEWED_INCLUDED,Narrative 3 sentences 10-12 reviewed; following overview used only for context
page-254,254,3,REVIEWED_INCLUDED,Narrative 3 sentences 13-15 reviewed; sentence 14 translation completed from page image
page-255,255,6,REVIEWED_INCLUDED,Narrative 3 sentences 16-21 reviewed directly against interlinear page image
page-256,256,6,REVIEWED_INCLUDED,Narrative 3 sentences 22-27 reviewed directly against interlinear page image
page-257,257,7,REVIEWED_INCLUDED,Narrative 3 sentences 28-34 reviewed directly against interlinear page image
page-258,258,4,REVIEWED_INCLUDED,Narrative 3 sentences 35-38 reviewed; sentence 37 translation completed from page image and following overview used only for context
page-259,259,4,REVIEWED_INCLUDED,Narrative 3 sentences 39-42 reviewed directly against interlinear page image
