id,verdict,fragment,source
Atayal_89b30afd-b80a-f011-bd65-00155db40116,resolved,,1.pinqasuw / qinsugan taʼ / ta ga yal cikuy / cipoq hazi sunan. 2.sawbih tayhuk ryax na pinsmyan la.(快要過年了)
Atayal_3e61fb08-b90a-f011-bd65-00155db40116,dropped,pira / piraʼ qu rawin / msrawin / su / suʼ ?,1.pira / piraʼ qu rawin / msrawin / su / suʼ ? 2.piraʼ qu rnrawin qsuyan mlikuy ru knayril?
Atayal_3e61fb08-b90a-f011-bd65-00155db40116,resolved,,1.pira / piraʼ qu rawin / msrawin / su / suʼ ? 2.piraʼ qu rnrawin qsuyan mlikuy ru knayril?
Atayal_ed9b2bb0-8a33-f011-8fad-000d3a8250a0,dropped,pira / piraʼ qu rawin / msrawin / su / suʼ ?,1.pira / piraʼ qu rawin / msrawin / su / suʼ ?2.piraʼ qu rnrawin qsuyan mlikuy ru knayril?
Atayal_ed9b2bb0-8a33-f011-8fad-000d3a8250a0,resolved,,1.pira / piraʼ qu rawin / msrawin / su / suʼ ?2.piraʼ qu rnrawin qsuyan mlikuy ru knayril?
Atayal_e4f50203-b90a-f011-bd65-00155db40116,resolved,,1.qani ga kocyo na pqwasan / (pqwasan biruʼ) myan. 2.qa hiya ga mrhuw na pqwasan myan biru.
Atayal_21f50203-b90a-f011-bd65-00155db40116,dropped,qani qu kinbahan / （laqi kneril na laqi） suʼ ga?,1.qani qu kinbahan / （laqi kneril na laqi） suʼ ga? 2.kinbahan suʼ knayril qani ga?
Atayal_21f50203-b90a-f011-bd65-00155db40116,resolved,,1.qani qu kinbahan / （laqi kneril na laqi） suʼ ga? 2.kinbahan suʼ knayril qani ga?
Atayal_4264fb08-b90a-f011-bd65-00155db40116,resolved,,1.qasa ga kya qutux tuqi nya. 2.cyux kya qutux tuqi.
Atayal_5df70203-b90a-f011-bd65-00155db40116,dropped,cyux qalang inuʼ qu lpyung / pinqering suʼ?,1.qenu / qenuʼ qalang nya / nyaʼ lpyung su / suʼ? 2.cyux qalang inuʼ qu lpyung / pinqering suʼ?
Atayal_5df70203-b90a-f011-bd65-00155db40116,resolved,,1.qenu / qenuʼ qalang nya / nyaʼ lpyung su / suʼ? 2.cyux qalang inuʼ qu lpyung / pinqering suʼ?
Atayal_5b60fb08-b90a-f011-bd65-00155db40116,resolved,,1.qlʼi blihun mwah mzyup ngasal qu kuy la! 2.qlʼi blihun bahaʼ hmswaʼ mwah mzyup ngasal qu kuy la.
Atayal_6b60fb08-b90a-f011-bd65-00155db40116,dropped,qmisan ga mhuziq ru tltuʼ / tltu / ghzyaq balay .,1.qmisan ga mhuziq ru tltuʼ / tltu / ghzyaq balay . 2.mhuziq ru tʼltuʼ qu qmisam hiyaʼ.
Atayal_6b60fb08-b90a-f011-bd65-00155db40116,resolved,,1.qmisan ga mhuziq ru tltuʼ / tltu / ghzyaq balay . 2.mhuziq ru tʼltuʼ qu qmisam hiyaʼ.
Atayal_b060fb08-b90a-f011-bd65-00155db40116,resolved,,"1.qmroq turuy ga rusa qba trhgun ming qu bengan. 2.qmroq su turak ga, hhwazi cikuy. ptacing tunux taʼ la.(你剎車時,請慢慢煞,以免我們撞到頭)"
Atayal_ab7b4598-8a33-f011-8fad-000d3a8250a0,resolved,,"1.qmroq turuy ga rusa qba trhgun ming qu bengan. 2.qmroq su turak ga, hhwazi cikuy. ptacing tunux taʼ la.(你剎車時，請慢慢煞，以免我們撞到頭)"
Atayal_255ffb08-b90a-f011-bd65-00155db40116,dropped,"qutux tuqi / qtqyan nanak wal su / suʼ skayal , ga iyat kwara .","1.qutux tuqi / qtqyan nanak wal su / suʼ skayal , ga iyat kwara . 2.nanak Watan snhyun makuʼ la.(我僅相信Watan)"
Atayal_255ffb08-b90a-f011-bd65-00155db40116,resolved,,"1.qutux tuqi / qtqyan nanak wal su / suʼ skayal , ga iyat kwara . 2.nanak Watan snhyun makuʼ la.(我僅相信Watan)"
Atayal_0efa0203-b90a-f011-bd65-00155db40116,resolved,,1.ragan yayaʼ mlukus qu ssweʼ mlikuy. 2.cyux ragan / rʼagan plukus ni yaya qu sswe / ssway mu mlikuy.
Atayal_2e62fb08-b90a-f011-bd65-00155db40116,resolved,,1.say makuʼ smalit cikay tanux na ngasal makuʼ ha.(我去砍一下屋外的空地) 2.mnwah ku smalit cikay rumaʼ te rgyax.
Atayal_dcf80203-b90a-f011-bd65-00155db40116,dropped,nyux ku / sakuʼ maras luku / rukuʼ mshriq / mhtuw ngasal soni / sawni.,1.soni ga meng ku ruku / rukuʼ musa / musaʼ tanux. 2.nyux ku / sakuʼ maras luku / rukuʼ mshriq / mhtuw ngasal soni / sawni.
Atayal_dcf80203-b90a-f011-bd65-00155db40116,resolved,,1.soni ga meng ku ruku / rukuʼ musa / musaʼ tanux. 2.nyux ku / sakuʼ maras luku / rukuʼ mshriq / mhtuw ngasal soni / sawni.
Atayal_0e63fb08-b90a-f011-bd65-00155db40116,resolved,,1.srpus myan qu bnaqi. 2.ssweʼ ga srpus nya ana nʼinu qu bwax.
Atayal_f95ffb08-b90a-f011-bd65-00155db40116,resolved,,"1.sswe kneril ga pskluw lukus na yayaʼ mtkibuw. 2.cyux pskluw lukus na yayaʼ qu ssweʼ kneril, iniʼ nya swali mshriq yayaʼ."
Atayal_fd9b2bb0-8a33-f011-8fad-000d3a8250a0,resolved,,"1.sswe kneril ga pskluw lukus na yayaʼ mtkibuw.2.cyux pskluw lukus na yayaʼ qu ssweʼ kneril, iniʼ nya swali mshriq yayaʼ."
Atayal_1d63fb08-b90a-f011-bd65-00155db40116,resolved,,1.swagi mu ru yaya mu ga mnwah kyokay lhngan heraʼ / hera . 2.lhngan hera ga swagi maku wal mgluw yaya mu musa kyukay.
Atayal_2afb0203-b90a-f011-bd65-00155db40116,resolved,,1.sʼrux qu cyux kmayal hiyaʼ / hiya. 2.pkayal su keʼ ga sikiʼ msʼurux.(要說話者必須站起來.)
Atayal_ec63fb08-b90a-f011-bd65-00155db40116,dropped,tmuʼ / tmu saku / sakuʼ sswe mu / muʼ kneril musa smatuʼ / smatu nniqan sqaniq / qqayaʼ / nniqun knyaxun / yabaʼ.,1.tmuʼ / tmu saku / sakuʼ sswe mu / muʼ kneril musa smatuʼ / smatu nniqan sqaniq / qqayaʼ / nniqun knyaxun / yabaʼ. 2.tun makuʼ ssway knayril say smatuʼ qayaʼ yabaʼ.
Atayal_ec63fb08-b90a-f011-bd65-00155db40116,resolved,,1.tmuʼ / tmu saku / sakuʼ sswe mu / muʼ kneril musa smatuʼ / smatu nniqan sqaniq / qqayaʼ / nniqun knyaxun / yabaʼ. 2.tun makuʼ ssway knayril say smatuʼ qayaʼ yabaʼ.
Atayal_6960fb08-b90a-f011-bd65-00155db40116,dropped,cyux qmihuk turak / turuy qasa. iniʼ / iyat qbaq mhtuw qu turak / turuy makuʼ / mu.,"1.turak / turuy qasa cyux qmihut tuqi ʼwahan / ʼsan, ini qbaqi / (qbaq mhtuw) qmuzit qu turuy mu. 2.cyux qmihuk turak / turuy qasa. iniʼ / iyat qbaq mhtuw qu turak / turuy makuʼ / mu."
Atayal_6960fb08-b90a-f011-bd65-00155db40116,resolved,,"1.turak / turuy qasa cyux qmihut tuqi ʼwahan / ʼsan, ini qbaqi / (qbaq mhtuw) qmuzit qu turuy mu. 2.cyux qmihuk turak / turuy qasa. iniʼ / iyat qbaq mhtuw qu turak / turuy makuʼ / mu."
Atayal_6760fb08-b90a-f011-bd65-00155db40116,resolved,,1.wal kkyuhan llukus makuʼ la. 2.cyux tʼaring qmibu slaq qu yabaʼ la.(爸爸開始在田間翻土了)
Atayal_7ef90203-b90a-f011-bd65-00155db40116,resolved,,1.wal mkaraw babaw qhuniq qu yungay la.
Atayal_5af70203-b90a-f011-bd65-00155db40116,dropped,wal swagun / ppgyarun na yabaʼ / yaba qu lomwa / loman / luman / rema.,1.wal swagun / ppgyarun na yabaʼ / yaba qu lomwa / loman / luman / rema. 2.wal rasun na kinsat qu luman la.(警察將流氓帶走了)
Atayal_5af70203-b90a-f011-bd65-00155db40116,resolved,,1.wal swagun / ppgyarun na yabaʼ / yaba qu lomwa / loman / luman / rema. 2.wal rasun na kinsat qu luman la.(警察將流氓帶走了)
Atayal_32483c9e-8a33-f011-8fad-000d3a8250a0,dropped,wal swagun / ppgyarun na yabaʼ / yaba qu lomwa / loman / luman / rema.,1.wal swagun / ppgyarun na yabaʼ / yaba qu lomwa / loman / luman / rema.2.wal rasun na kinsat qu luman la.(警察將流氓帶走了)
Atayal_32483c9e-8a33-f011-8fad-000d3a8250a0,resolved,,1.wal swagun / ppgyarun na yabaʼ / yaba qu lomwa / loman / luman / rema.2.wal rasun na kinsat qu luman la.(警察將流氓帶走了)
Atayal_90b30afd-b80a-f011-bd65-00155db40116,dropped,sbaqan / cbaqan ku / sakuʼ na yaba / yabaʼ ming bkaruh kmihuy ngahi ska na qmayah.,1.yaba / yabaʼ ga cbaqan ku nya / nyaʼ mha / mhaʼ nanu / nanuʼ kmaroh qmehuy / qmihuy ngahi / ngahi bih qmayah. 2.sbaqan / cbaqan ku / sakuʼ na yaba / yabaʼ ming bkaruh kmihuy ngahi ska na qmayah.
Atayal_90b30afd-b80a-f011-bd65-00155db40116,resolved,,1.yaba / yabaʼ ga cbaqan ku nya / nyaʼ mha / mhaʼ nanu / nanuʼ kmaroh qmehuy / qmihuy ngahi / ngahi bih qmayah. 2.sbaqan / cbaqan ku / sakuʼ na yaba / yabaʼ ming bkaruh kmihuy ngahi ska na qmayah.
Atayal_56f70203-b90a-f011-bd65-00155db40116,dropped,"miray turak rasun sami ni yabaʼ shiraʼ, musaʼ lmawsay tay / te tbziran qayqayaʼ.","1.yabaʼ / yaba ga qmuzit turak sheraʼ, rasun sami nyaʼ lmosay bbiran. 2.miray turak rasun sami ni yabaʼ shiraʼ, musaʼ lmawsay tay / te tbziran qayqayaʼ."
Atayal_56f70203-b90a-f011-bd65-00155db40116,resolved,,"1.yabaʼ / yaba ga qmuzit turak sheraʼ, rasun sami nyaʼ lmosay bbiran. 2.miray turak rasun sami ni yabaʼ shiraʼ, musaʼ lmawsay tay / te tbziran qayqayaʼ."
Atayal_e2f80203-b90a-f011-bd65-00155db40116,resolved,,1.yabaʼ ga mhangal cingay qhuniq mwah ngasal. 2.mhangal cingay qhuniq mwah ngasal qu yabaʼ.
Atayal_a564fb08-b90a-f011-bd65-00155db40116,dropped,yama nya / nyaʼ qu wagiq / gwagiq balay na mlikuy qasa / mrkyas qasa.,1.yama nya / nyaʼ qu wagiq / gwagiq balay na mlikuy qasa / mrkyas qasa. 2.wagiq balay na mlikuy qasa qu yamaʼ nyaʼ.
Atayal_a564fb08-b90a-f011-bd65-00155db40116,resolved,,1.yama nya / nyaʼ qu wagiq / gwagiq balay na mlikuy qasa / mrkyas qasa. 2.wagiq balay na mlikuy qasa qu yamaʼ nyaʼ.
Atayal_a764fb08-b90a-f011-bd65-00155db40116,dropped,yanay ga wal / mnwah pnep syaw bsilung hngan hera.,1.yanay ga wal / mnwah pnep syaw bsilung hngan hera. 2.wal pnep / psabuʼ qulih shiraʼ lhngan qu yanay.
Atayal_a764fb08-b90a-f011-bd65-00155db40116,dropped,wal pnep / psabuʼ qulih shiraʼ lhngan qu yanay.,1.yanay ga wal / mnwah pnep syaw bsilung hngan hera. 2.wal pnep / psabuʼ qulih shiraʼ lhngan qu yanay.
Atayal_56b20afd-b80a-f011-bd65-00155db40116,resolved,,abaw bgayaw ga maki tubaʼ nyaʼ / nya.
Atayal_b9b7ffb8-e3dc-aeb0-2bc4-3a1bf6fca3d0,resolved,,"ana cipuq/cipoq pila gitan su smli lga, musa n_gyut pzyux/piyux nanak la."
Atayal_476330aa-8a33-f011-8fad-000d3a8250a0,dropped,"ana ktwaʼ / ktwaʼ kintwahiq / kinthyaqan ga , musa / mmawsaʼ saku.","ana ktwaʼ / ktwaʼ kintwahiq / kinthyaqan ga , musa / mmawsaʼ saku."
Atayal_75058e05-7252-8ec0-f0b7-3a19b0dff7d5,dropped,"ana pzyux/piyux pila nya ga, ungat/uka qu pnqas nya.","ana pzyux/piyux pila nya ga, ungat/uka qu pnqas nya."
Atayal_cf027fa2-09ef-d27a-3b8a-3a19b0e0100a,resolved,,ani miq yaki qu bhluk na bzyok/bzywak qasa.
Atayal_4562d666-0631-99c9-99cd-3a1bf8c5a769,dropped,ani saku magal kagaw/sapuh ha.,ani saku magal kagaw/sapuh ha.
Atayal_57b20afd-b80a-f011-bd65-00155db40116,resolved,,aniʼ miq yaki qu bhluk na bzyok / bzywak qasa.
Atayal_44b20afd-b80a-f011-bd65-00155db40116,resolved,,"aw, musaʼ / musa sami pqwasan biruʼ / biru kiraʼ / kira."
Atayal_129c2bb0-8a33-f011-8fad-000d3a8250a0,dropped,"babaw / suluw na unuw / mʼunuw / mʼunu lga, wal mbkaʼ / mbka / mkbkaʼ kwara qu qnryang / qnryang na ngasan la.","babaw / suluw na unuw / mʼunuw / mʼunu lga, wal mbkaʼ / mbka / mkbkaʼ kwara qu qnryang / qnryang na ngasan la."
Atayal_e9f50203-b90a-f011-bd65-00155db40116,dropped,babaw / suruw maniq kgabi / mtngi kingabi / mnaniq lga musaʼ sami thgiruʼ mhkangi cikay te tanux krryax.,babaw / suruw maniq kgabi / mtngi kingabi / mnaniq lga musaʼ sami thgiruʼ mhkangi cikay te tanux krryax.
Atayal_5bf80203-b90a-f011-bd65-00155db40116,dropped,babaw na mqwalax lga mhtuw qu tmang / masut la.,babaw na mqwalax lga mhtuw qu tmang / masut la.
