id	source_locator	pdf_page	printed_page	example_label	source_ref	included	language	original	gloss	translation	translation_alt	translation_alt_in_xml	grammaticality	notes
tsukida2014_seediq_S015	PDF p. 79; printed p. 74; example (16b)	79	74	16b	article example	yes	Seediq	Saw 'adi mpeke-geruŋ ka peratu 'u, berig-un=mu.	like NEG AV.FUT-break NOM plate PTC buy-GV1=1SG.GEN	I will buy such a plate as will not break.		n/a	grammatical	Source notes that clause-A is identical in (16b) and (17b).
tsukida2014_seediq_S016	PDF p. 79; printed p. 74; example (17a)	79	74	17a	article example	yes	Seediq	Saw mpe-takur ka laqi 'u, pelekuh-un=na da.	like AV.FUT-stumble NOM child PTC support-GV1=3SG.GEN NS	When the child is likely to stumble, he supports the child.	He supported the child who was likely to stumble.	yes	grammatical	Source supplies temporal and correlative interpretations; second translation is emitted as ver=alt.
tsukida2014_seediq_S017	PDF p. 79; printed p. 74; example (17b)	79	74	17b	article example	yes	Seediq	Saw 'adi mpeke-geruŋ ka peratu 'u, seku-'un=mu kulu.	like NEG AV.FUT-break NOM plate PTC put-GV1=1SG.GEN box	I put the plate in a box lest it should break.		n/a	grammatical	Source compares this clause-A with example (16b).
tsukida2014_seediq_S018	PDF p. 80; printed p. 75; example (18a)	80	75	18a	article example	yes	Seediq	Wada qeduriq ka se'diq [p-en-huqil rebiq-an].	is.gone AC.escape NOM person AV.PRF-kill Rubiq-OBL	The person who killed Rubiq escaped away.		n/a	grammatical	Source heading identifies this as External RC. Square brackets marking the external relative-clause span are preserved in sentence-level original FORM; W/M emission is suppressed. The source prints one shared translation after (18b).
tsukida2014_seediq_S019	PDF p. 80; printed p. 75; example (18b)	80	75	18b	article example	yes	Seediq	Wada qeduriq ka [p-en-huqil rebiq-an ka se'diq].	is.gone AV.escape NOM AV.PRF-kill Rubiq-OBL NOM person	The person who killed Rubiq escaped away.		n/a	grammatical	Source heading identifies this as Internal RC. Square brackets marking the internal relative-clause span are preserved in sentence-level original FORM; W/M emission is suppressed. The source prints one shared translation after (18b).
tsukida2014_seediq_S020	PDF p. 80; printed p. 75; example (19a)	80	75	19a	article example	yes	Seediq	S-em-en-teruŋ=ku se'diq [m-en-uway patas rebiq-an].	AV-PRF-meet=1SG.NOM person AV-PRF-give book Rubiq-OBL	I met [the man who gave Rubiq a book].		n/a	grammatical	Source square brackets in the target form and translation are preserved; W/M emission is suppressed. The source appends the analytical label (externally-headed RC) after the translation.
tsukida2014_seediq_S021	PDF p. 80; printed p. 75; example (19b)	80	75	19b	article example	yes	Seediq	S-em-en-teruŋ=ku [m-en-uway patas rebiq-an ka se'diq].	AV-PRF-meet=1SG.NOM AV-PRF-give book Rubiq-OBL NOM person	I met [the man who gave Rubiq a book].		n/a	grammatical	Source square brackets in the target form and translation are preserved; W/M emission is suppressed. The source appends the analytical label (internally-headed RC) after the translation.
excluded_005a	PDF p. 81; printed p. 76; example (20a)	81	76	20a	English comparison	no	English	The child came first in the examination; he is very talented.		The child came first in the examination; he is very talented.		n/a	grammatical	Excluded from XML because it is an English comparison example, not Seediq target data.
excluded_005b	PDF p. 81; printed p. 76; example (20b)	81	76	20b	English comparison	no	English	The child who came first in the examination is very talented.		The child who came first in the examination is very talented.		n/a	grammatical	Excluded from XML because it is an English comparison example, not Seediq target data.
tsukida2014_seediq_S022	PDF p. 81; printed p. 76; example (21)	81	76	21	article example	yes	Seediq	Adi mpe-sepug ka laqi 'u, seku-i haya.	NEG AV.FUT-read NOM child PTC put.away-GV.NFIN BEN	As the child will not read, put it away.		n/a	grammatical	Source labels this interpretation E1 Reason.
tsukida2014_seediq_S023	PDF p. 81; printed p. 76; example (22)	81	76	22	article example	yes	Seediq	M-uduh siyaŋ ka sehiga 'u, 'eme-'ima ka m-eniq hiya?	AV-roast pork NOM yesterday PTC PL-who NOM AV-exist there	When they roasted meat, who were there?		n/a	grammatical	Source labels this interpretation E2 Temporal.
tsukida2014_seediq_S024	PDF p. 81; printed p. 76; example (23)	81	76	23	article example	yes	Seediq	M-iyah q-em-ita tema-'an ka rubiq 'u, wada ŋaŋut ka tama.	AV-come AV-see father-OBL NOM Rubiq PTC is.gone outside NOM father	Though rubiq came to see father, father went outside.		n/a	grammatical	Source labels this interpretation E3 Concession; translation lowercases rubiq.
tsukida2014_seediq_S025	PDF pp. 81-82; printed pp. 76-77; example (24)	81-82	76-77	24	article example	yes	Seediq	M-iyah=su hini 'u, me-qaras=ku.	AV-come=2SG.NOM here PTC AV-be:glad=1SG.NOM	If you come, I would be glad.		n/a	grammatical	Example begins on PDF p. 81 and translation appears on PDF p. 82.
tsukida2014_seediq_S026	PDF p. 82; printed p. 77; example (25)	82	77	25	article example	yes	Seediq	T-em-egesa 'uyas kelemukan ka tiwaŋ 'u, t-em-egesa 'uyas nihuŋ ka daway 'uri.	AV-teach song Taiwanese NOM Ciwang PTC AV-teach song Japanese NOM Daway also	Ciwang taught Taiwanese songs, and Daway taught Japanese songs.		n/a	grammatical	Source labels this interpretation F Contrast; target line has tiwaŋ while gloss has Ciwang.
tsukida2014_seediq_S027	PDF p. 82; printed p. 77; example (26)	82	77	26	article example	yes	Seediq	Pe-kedus-un=ta=na ka 'ita 'u, m-en-da huway yisu kirisuto tehawlaŋ.	CAUS-live-GV1=1PLIN.NOM=3SG.GEN NOM 1PLIN PTC AV-PRF-pass grace Jisus Christ lord	That we are made to live by him, it is through the grace of Lord Jesus Christ.		n/a	grammatical	Source labels this interpretation G Explanation.
tsukida2014_seediq_S028	PDF p. 82; printed p. 77; example (27)	82	77	27	article example	yes	Seediq	M-usa sapah rubiq ka kumu 'u, me-kela ka rubiq.	AV-go house Rubiq NOM Kumu PTC AV-know NOM Rubiq	Rubiq knows that Kumu went to Rubiq's house.		n/a	grammatical	Source labels this interpretation H Content of cognition.
tsukida2014_seediq_S029	PDF p. 83; printed p. 78; duplicate-labeled example (27)	83	78	27-2	article example	yes	Seediq	[P-en-huqil rebiq-an ka se'diq] 'u, wada qeduriq.	AV.PRF-kill Rubiq-OBL NOM person PTC is.gone AV.escape	The person who killed Rubiq escaped.		n/a	grammatical	Source reuses label (27); the bracketed left-dislocated internal relative-clause span is preserved in sentence-level original FORM and W/M emission is suppressed.
excluded_006	PDF p. 83; printed p. 78; example (28a)	83	78	28a	article duplicate	no	Seediq	Kumuᵢ 'u, b-en-arig=naᵢ laqi=na ka patas niyi.	Kumu PTC CV.PRF-buy=3SG.GEN child=3SG.GEN NOM book PRX	As for Kumu, she bought this book for her child.		n/a	grammatical	Excluded because the source explicitly marks this as example (7); source coindex subscripts are preserved in reviewed evidence.
tsukida2014_seediq_S030	PDF p. 83; printed p. 78; example (28b)	83	78	28b	article example	no	Seediq	*Ga reŋag-an yudaw ga ka lupuŋ 'u, b-en-arig=na laqi=na ka patas niyi.	DIST.PRG talk-GV2 Yudaw DIST NOM guest PTC CV.PRF-buy=3SG.GEN child=3SG.GEN NOM book PRX	As for the guest to whom Yudaw is talking to, s/he bought this book for her/his child.		n/a	ungrammatical	Excluded under the FormosanBank source-initial-asterisk rule; the leading star and intended-meaning translation are preserved in reviewed evidence.
tsukida2014_seediq_S031	PDF p. 83; printed p. 78; example (29)	83	78	29	article example	no	Seediq	*B-en-arig [ga reŋag-an yudaw ga ka lupuŋ] laqi=na ka patas niyi.	CV.PRF-buy DIST.PRG talk-GV2 Yudaw DIST NOM guest child=3SG.GEN NOM book PRX	The guest to whom Yudaw is talking tobought this for her/his child.		n/a	ungrammatical	Excluded under the FormosanBank source-initial-asterisk rule; leading star, bracketed internal relative clause, and source typo tobought are preserved in reviewed evidence.
