token,count,category,in_attestation_dict,n_files,example_file,example_sentence_id,example_context
kin'lwan,5,internal,no,2,Fuxing.xml,0,"…s , Qoyaw , Qoyaw , Silong , Qoyaw , Snazi , Kin'lwan , Sqiy , Cyasi , Yuwhbun raka , Kayway , Qus…"
niya',5,final,no,5,Hassan_Rouhani.xml,0,… u 'Nmk2 knhbrawan hiyi mnuda 150 diyax brah niya'. Seyhu Tehran uri u wada pkla burah pnwaya km…
m'yutak,5,internal,no,2,Jianshi.xml,0,"… lwan , Qolu , Qyuws , Hbun-lesa , Metapay , M'yutak , Mrmurak , Spwan , Melukux , Metuiy . pusup…"
'qnlangan,5,initial,no,4,Mauritus.xml,0,"… qnlangan snadu beyhing rrmiwaw u mangal mn3 'Qnlangan knmalu bay ssanan rmiwaw ucilung taw', kiya …"
zealand',5,final,no,1,New_Zealand.xml,0,…uwaya balay rmngaw rikisi niyi ka 'Mccbu New Zealand'. Kcka na u wada balay ini pshlih mtdiyal mccb…
ptasan',5,final,no,1,Ptasan.xml,0,… klgan ka ptasan. brah 6 hngkwasan o 'tgwawa ptasan' daha ka 'ptasan prjingan' ksun. kska 7-12 hn…
weynso',5,final,no,1,Yang_di-Pertuan_Agong.xml,0,"…Na Sediq', sbrrahun kari Cyokoku ka 'Knbaraw Weynso' uxay daw 'Qnlhangan Weynso'. Mniq kcka kari …"
konghkwo',4,final,no,4,Adama_Barrow.xml,0,"…1, Adama Barrow pa wada niya pryuxan 'Gambia Konghkwo' ka hangan qnlhangan."
'mnmtilux,4,initial,no,2,Amirika.xml,0,…unarac hunac mi Mexico Wan mkngahu ucilung u 'MnMtilux Hari Lmiqu Kngkkarac' uxay daw Co sucn kngkk…
mu'izzaddin,4,internal,no,2,Brunei.xml,0,"…an ta sayang o kiya ka Haji Hassanal Bolkiah Mu'izzaddin Waddaulah, pnaah hngkawas1967 idas 10 jiyax …"
''gaya,4,initial,no,2,China.xml,0,"…i hmetun bgihun, ma knkawas 1979 wada peheyu ''gaya smnetun fancinka Confazemin konhoko'', ani s…"
''knddun,4,initial,no,2,China.xml,0,"…tasan na, ini sbale sofecyi na Conko kndalah ''knddun egu ngungalun na wcwenfa dahaka ini baka ka …"
skangki',4,final,no,3,Ciyakang.xml,0,"…ahan alang 'Patas Lntudan Marah Matas Nyusan Skangki' – Patas Bnkuwan Kluwanan Sediq. ""Rrmiwaw Ala…"
cuyi',4,final,no,4,Evo_Morales.xml,0,"…n Evo Morales Ayma 'Prrudu Pspaux' mi Pstali Cuyi', kiya mi Tase Kwoci, Jncweyn Kwanca pa to smr…"
sediq',4,final,no,4,Evo_Morales.xml,0,"…qanan cumi 'Smliq waya smliq qridin mi pbari sediq', kiya u spngan dha ka diyax niyi u ya bay mni…"
kanao'pu,4,internal,no,2,Kanao’pu.xml,0,= Kanao'pu = Gaga mniq Taytung Ruyeysyang ka alang Kana…
khu',4,final,no,2,Lwax_khu’.xml,0,= Lwax khu' = Gaga mniq Sincuseyn Ufungsyang ka alang Lw…
'king,4,initial,no,3,Malaysia.xml,0,…iq qalux. Rudan cbiyaw sediq Indu splawa dha 'King Pataw' (Ji Indu: Suvarnadvipa; Eygo: Golden …
mayl'ux,4,internal,no,2,Mayl’ux.xml,0,= Mayl'ux = Gaga mniq Sincuseyn Ufungsyang ka alang Ma…
t'apan,4,internal,no,3,Si’ung.xml,0,"…lang duri, sqapah msupu mniq Alang Cung-sing (T'apan) Kklaan rgrigan Qtaan bnatas patas Gaya Tay-y…"
'wada,3,initial,no,3,Abdullah_II_of_Jordan.xml,0,"…kung babaw niya ka muda smnrnu, ddha cida ka 'Wada Kasi Pskuxul' Babaw 2 idas balay daw, wada p…"
undo',3,final,no,2,Almazbek_Atambayev.xml,0,"…y mi 12 Hantaypay pssli phiyu 'Ryeynho Jnmin Undo', dmudul Soto o Kurmanpyeyk Paciyev knllu knam…"
'ndanan,3,initial,no,3,Amirika.xml,0,"…a Panrihwa pnsltudan, hoying Amirika u tmuru 'Ndanan Brah' uuda, mnIngkoku Amirika France Si (Hay…"
qcahur',3,final,no,3,Amirika.xml,0,…ida kndadax Afrika madas dhuq Amirika 'Uuqun Qcahur' pa wada uqun bay tnsapah uri da. Psdkanun rm…
batbato'an,3,internal,no,2,Batbato’an.xml,0,= Batbato'an = Gaga mniq Myawriseyn Nancawagsyang ka alan…
kalito'od,3,internal,no,2,Beinan.xml,0,"…Ulivelivek , A'lripay , Likavung , Pinaski , Kalito'od , Fudafudak , Dikidiki , Taromak , Tamalakaw…"
b'bukeykay,3,internal,no,2,B’bukeykay.xml,0,= B'bukeykay = Gaga mniq Yilan Nanawsyang ka alang B'buke…
polo't,3,internal,no,2,Changbin.xml,0,"…gan (長光 部落), Makrahay , Cidatayay , Ta´man , Polo't , Pakara'ac , Pasongan , Kolado't , Carapong…"
pakara'ac,3,internal,no,2,Changbin.xml,0,"…落), Makrahay , Cidatayay , Ta´man , Polo't , Pakara'ac , Pasongan , Kolado't , Carapongay , Sadipon…"
kolado't,3,internal,no,2,Changbin.xml,0,"…y , Ta´man , Polo't , Pakara'ac , Pasongan , Kolado't , Carapongay , Sadipongan , Nadan , Cikadaan…"
sa'aniwan,3,internal,no,2,Chenggong.xml,0,"… alang ni maxal 14. 14 o, Ciliksay , Torik , Sa'aniwan , Kalahaay , Kahciday , Madawdaw , Dadowacen…"
mararo'ong,3,internal,no,2,Chenggong.xml,0,"…Folalacay , Cirarokohay , Tomiyac , Piyoxo , Mararo'ong , Pisirian , Paongaongan . pusupnyahan patas"
cikowa'ay,3,internal,no,2,Chishang.xml,0,"…alang ni maxal 9. 9 o, Kalokapuk , Muliyaw , Cikowa'ay , Dihekoay , Ciataw , Cipuwa , Fangafangasan…"
cicala'ay,3,internal,no,2,Chishang.xml,0,"…ataw , Cipuwa , Fangafangasan , Kawaliwali , Cicala'ay . pusupnyahan patas"
cilo'ohay,3,internal,no,2,Cilo'ohay.xml,0,= Cilo'ohay = Gaga mniq Hwareyseyn Fungrincn ka alang Ci…
d'ivoirie,3,internal,no,1,Cote_d'ivoirie.xml,0,"= Cote d'ivoirie = Gaga kska Meycow ka Cote d'ivoirie, 8 00 N…"
'syabutay,3,initial,no,2,Datong.xml,0,"…n , Knbung , Pekus , Banun , Sengan , Kulu , 'Syabutay . pusupnyahan patas"
sena',3,final,no,2,Donghe.xml,0,"…an Donghe o niqan 7 alang ni maxal 10. 10 o, Sena' , Asiroay , Howak , Pa'anifong , Kalifangar …"
pa'anifong,3,internal,no,2,Donghe.xml,0,"…ni maxal 10. 10 o, Sena' , Asiroay , Howak , Pa'anifong , Kalifangar , 'Etolan , Alapawan , Cilafina…"
'etolan,3,initial,no,2,Donghe.xml,0,"… Asiroay , Howak , Pa'anifong , Kalifangar , 'Etolan , Alapawan , Cilafinan , Fafokod , Ma'olaway…"
ma'olaway,3,internal,no,2,Donghe.xml,0,"…, 'Etolan , Alapawan , Cilafinan , Fafokod , Ma'olaway . pusupnyahan patas"
'bukung,3,initial,no,3,Elizabeth_II.xml,0,"…udul Niya Ron Williams ka muda cmiyuk rmngaw 'Bukung Qridin ka qmita hnyuwan niya nanaq cida pa, …"
'smliq,3,initial,no,3,Evo_Morales.xml,0,"… ang, wada pswaun Bolivia Shwabu bqanan cumi 'Smliq waya smliq qridin mi pbari sediq', kiya u sp…"
fata',3,final,no,2,Fata’_an.xml,0,= Fata' an = Gaga mniq Hwareyseyn Kwangfusyang ka al…
kawbu',3,final,no,2,Fuxing.xml,0,"…, Hbun , Hbun-sinqumi , Kinyawpan , Rangay , Kawbu' , Khpan , Raga' , Rahu'(下宇內 部落), Qapu' , Qus…"
raga',3,final,no,2,Fuxing.xml,0,"…qumi , Kinyawpan , Rangay , Kawbu' , Khpan , Raga' , Rahu'(下宇內 部落), Qapu' , Qus , Yubang , Triq…"
qapu',3,final,no,2,Fuxing.xml,0,"…ay , Kawbu' , Khpan , Raga' , Rahu'(下宇內 部落), Qapu' , Qus , Yubang , Triqan , Zihing , Kayu-bali…"
ksunu',3,final,no,2,Fuxing.xml,0,"…ka , Kayway , Qus , Qmocyan , Babau , Qnau , Ksunu' , Qehuy , Kuli , Sbunaw , Quri , Uruw , Tkas…"
'bu,3,initial,no,2,Fuxing.xml,0,"… , Qrahu , Tqwiy , Ngurus , Qphay , Balung , 'Bu balung , Qara , Quzi . pusupnyahan patas"
ay'awniya,3,internal,no,1,Greece.xml,0,"… ppheyu na Toriko. Eruc kn-Awniya Kesun eruc Ay'awniya nii ge, bnarah seediq mneniq ssiyo rcilung d…"
m'utu,3,internal,no,2,Guanxi.xml,0,"…nxi o niqan 21 alang ni maxal 2. 2 o, Qalang m'utu , Qalang q'yulang . pusupnyahan patas"
q'yulang,3,internal,no,2,Guanxi.xml,0,"…alang ni maxal 2. 2 o, Qalang m'utu , Qalang q'yulang . pusupnyahan patas"
'o,3,initial,no,2,Hadur_Mdkrang.xml,0,…ngaw bbuyu ka dsnaw mmowsa na ni'mduuy qsiya 'o srbug na qsiya ka rnabaw ni daan na murus ba…
'muda,3,initial,no,3,Hashim_Thaçi.xml,0,"… spngan pnchuwan 10 knkawas, tnyuwan cumi ka 'Muda Dmudul Smicu Cuyi', kiya daw spuda Serbia ka…"
heku',3,final,no,2,Heku’.xml,0,= Heku' = Gaga mniq Sincuseyn Ufungsyang ka alang He…
m'ihu,3,internal,no,2,Heping.xml,0,"…13. 13 o, Sqoyaw , Tabuk , Slamaw , Lilang , M'ihu , Tgbin , L'olu , Kling , Pasing , Slamaw , …"
l'olu,3,internal,no,2,Heping.xml,0,"… , Tabuk , Slamaw , Lilang , M'ihu , Tgbin , L'olu , Kling , Pasing , Slamaw , Tbulan , S'yux ,…"
s'yux,3,internal,no,2,Heping.xml,0,"…, L'olu , Kling , Pasing , Slamaw , Tbulan , S'yux , Hrung . pusupnyahan patas"
'knkana,3,initial,no,3,Igiris.xml,0,"…g dha, singcng cyuhwa. So kiya Ingkoku u uka 'Knkana Qnlhangan Singcng Sitong'. Dhuq 19 th, singc…"
'uka,3,initial,no,3,Ilham_Aliyev.xml,0,"…s 2016 idas 11 diyax 2, uxay pnssliyan seyhu 'Uka Ayus Qnlhangan Singbung Kyisya' u wada dha p…"
ip'ipa'an,3,internal,no,2,Ip’ipa’an_bato.xml,0,= Ip'ipa'an bato = Gaga mniq Sincuseyn Ufungsyang ka ala…
k'yang,3,internal,no,2,K`yang.xml,0,= K'yang = Gaga mniq Yilan Nanawsyang ka alang K'yang…
kahkahoe'an,3,internal,no,2,Kahkahoe’an.xml,0,= Kahkahoe'an = Gaga mniq Myawriseyn Nancawagsyang ka alan…
laso'ay,3,internal,no,2,Kamayamatu.xml,0,"…alang ni maxal 9. 9 o, Tafalong , Fata' an , Laso'ay , Alolong , Sado , Kalotong , O kakay , Atom…"
kb'bu,3,internal,no,2,Kb’bu.xml,0,= Kb'bu = Gaga mniq Yilan Nanawsyang ka alang Kb'bu.…
k'babaw,3,internal,no,2,K’babaw.xml,0,= K'babaw = Gaga mniq Yilan Nanawsyang ka alang K'baba…
tjana'asiya,3,internal,no,2,Laiyi.xml,0,"… Payljus , Calasiv , Tjuwaqau , Siljevavav , Tjana'asiya , Pucunug , Tjalja'avus , Takamimura . pusup…"
tjalja'avus,3,internal,no,2,Laiyi.xml,0,"…waqau , Siljevavav , Tjana'asiya , Pucunug , Tjalja'avus , Takamimura . pusupnyahan patas"
pakala'ac,3,internal,no,2,Luye.xml,0,"…ni maxal 7. 7 o, Parayapay , Rekat , Efong , Pakala'ac , Pailasan , Salinliw , Kanao'pu . pusupnyah…"
sweyweyn',3,final,no,2,Malawi.xml,0,"…bay dungus niya, kiya u niqan 'Malawi kwanri sweyweyn' (Malawi Institute of Management)mi 'Malawi p…"
mb'ala,3,internal,no,2,Mb’ala.xml,0,= Mb'ala = Gaga mniq Nantowseyn Jnaysyang ka alang mb…
yingkay',3,final,no,1,Mohamed_Ould_Abdel_Aziz.xml,0,…biyax Meysa Msdurux Lnglungan Mi Mincu Cyuns Yingkay' lmutuc biyax lmutuc biyax Soto Weytuy Chuykw…
'kwowu,3,initial,no,1,Mohamed_Ould_Abdel_Aziz.xml,0,"…l knpaux seyhu, phmtur Abdullahi Soto, phiyu 'Kwowu Yingkay', phiyu 'Kwowu Yingkay', lmutuc biya…"
tamayo'an,3,internal,no,2,Nanzhuang.xml,0,"…5. 15 o, haba: , kaehkaba:oS , Sasasezeman , tamayo'an , batbato'an , kahkahoe'an , ray'in , haboeh…"
ray'in,3,internal,no,2,Nanzhuang.xml,0,"…man , tamayo'an , batbato'an , kahkahoe'an , ray'in , haboeh , Ciupus , Sinpitu , P'anoh , rarem…"
walo',3,final,no,2,Nanzhuang.xml,0,"…s , Sinpitu , P'anoh , rareme:an , hororok , walo' , Raysinay . pusupnyahan patas"
nan'ao,3,internal,no,1,Nan’ao.xml,0,"Nan'ao Nsgan Nan'ao o gaga Nsgan Yilan, kmpraan kan…"
'tuhunac,3,initial,no,2,New_Zealand.xml,0,"… niya qnpringan asu, mniq kngkawas 1642 dhuq 'Tuhunac Tudaya Taw' tuiwil mkngahu ucilung. Cida u i…"
sunghu'an,3,internal,no,1,Puerto_Rico.xml,0,"…yah May-ami na Fororita, tunux alang daha we Sunghu'an. Kari Sipanya peni, dungus na potoriko niiwe,…"
awi',3,final,no,2,Quwis_awi’.xml,0,= Quwis awi' = Gaga mniq Myawriseyn Tayansyang ka alang Q…
ren'ai,3,internal,no,1,Ren’ai.xml,0,"Ren'ai Nsgan Ren'ai o gaga Nsgan Nantou, kmpraan ka…"
ruba',3,final,no,2,Ruba’.xml,0,= Ruba' = Gaga mniq Sincuseyn Ufungsyang ka alang Ru…
r'ra',3,final+internal,no,2,R’ra’.xml,0,= R'ra' = Gaga mniq Sincuseyn Ufungsyang ka alang R'…
r'uyan,3,internal,no,2,R’uyan.xml,0,= R'uyan = Gaga mniq Sincuseyn Ufungsyang ka alang R'…
sipazi',3,final,no,2,Sipazi’.xml,0,= Sipazi' = Gaga mniq Sincuseyn Ufungsyang ka alang Si…
si'ung,3,internal,no,2,Si’ung.xml,0,== Si'ung == Gaga mniq Sincuseyn Ufungsyang ka alang S…
su'aci,3,internal,no,2,Su'aci.xml,0,= Su'aci = Gaga mniq Kawsyungsu Tawyuncyu ka alang Su…
tai'an,3,internal,no,1,Tai’an.xml,0,"Tai'an Nsgan Tai'an o gaga Nsgan Miaoli, kmpraan ka…"
tatoba',3,final,no,2,Tatoba’.xml,0,= Tatoba' = Gaga mniq Sincuseyn Ufungsyang ka alang Ta…
tida'an,3,internal,no,2,Tida'an.xml,0,= Tida'an = Gaga mniq Hwareyseyn Fungpinsyang ka alang…
ukraine',3,final,no,1,Ukraine.xml,0,…ya Timosnko Ryeynmong Ritwen Ryeynmong 'Nita Ukraine' Jnmin Ryeynmong Ticyu Tang Jnmin Tang Quli J…
yohae',3,final,no,2,Wufeng.xml,0,"…oba' , Sansama:an , Sayie , Ip'ipa'an bato , Yohae' , Sansaru , Ulay , Takunan , Trayan , Lwax k…"
'knbaraw,3,initial,no,1,Yang_di-Pertuan_Agong.xml,0,"…n Bukung Na Sediq', sbrrahun kari Cyokoku ka 'Knbaraw Weynso' uxay daw 'Qnlhangan Weynso'. Mniq kc…"
'jacques,2,initial,no,2,"Albert_II,_Prince_of_Monaco.xml",0,"…tuhuy swayi niya snaw pa tnrurun. Laqi snaw: 'Jacques Honoré Rainier, Manaco mnBukung, Pawks Hocwe…"
'ryeynho,2,initial,no,1,Almazbek_Atambayev.xml,0,"…7 Hantay Tangpay mi 12 Hantaypay pssli phiyu 'Ryeynho Jnmin Undo', dmudul Soto o Kurmanpyeyk Paciy…"
'talusing,2,initial,no,2,Amirika.xml,0,…langu cyu mnKopn kngkkarac kluwanan pnsnakan 'Talusing Wentay Beyhung Wasaw Qqhuni Kngkkarac' uxay …
'mnhayyangsing,2,initial,no,2,Amirika.xml,0,"…hari Ucilung Kcka Dxral Kngkkarac', tudaya u 'MnHayyangsing Muxultay Beyhing Wasaw Qqhuni Kngkkarac' uxa…"
brah',2,final,no,2,Amirika.xml,0,"…wa pnsltudan, hoying Amirika u tmuru 'Ndanan Brah' uuda, mnIngkoku Amirika France Si (Hayyang W…"
'tndxral',2,both-edges,no,2,Amirika.xml,0,"…dha Tndxral Amirika. Duma sediq u ngalan dha 'Tndxral' Co uri ka Alaska Co, alaw ana hiya u tuhuy '…"
'trahuc,2,initial,no,2,Amirika.xml,0,"…' Co uri ka Alaska Co, alaw ana hiya u tuhuy 'Trahuc na 48 Co' u wada psthiyaq Kanada, binaw mniq…"
co',2,final,no,2,Amirika.xml,0,"…aska Co, alaw ana hiya u tuhuy 'Trahuc na 48 Co' u wada psthiyaq Kanada, binaw mniq dxral lnl…"
'uuqun,2,initial,no,2,Amirika.xml,0,…mquli cida kndadax Afrika madas dhuq Amirika 'Uuqun Qcahur' pa wada uqun bay tnsapah uri da. Psd…
'4,2,initial,no,2,Amirika.xml,0,"…ing pa to bay mniq Amirika kana. Wada ngalan '4 Beyhing Tunux' ka undo u kiya ka Pangcyo, Mt…"
tunux',2,final,no,2,Amirika.xml,0,"…ay mniq Amirika kana. Wada ngalan '4 Beyhing Tunux' ka undo u kiya ka Pangcyo, Mtur Boru Amirika…"
george's,2,internal,no,1,Belize.xml,0,"…iya ka Spanya. Nii u kiya ka "" Battle of St. George's Idas 9 diyax Caye"". 10 kika diyax sngayan ko…"
s'wuzau,2,internal,no,1,B’anux.xml,0,"…humaam ana manu pnegalang, kika tmhangan dha S'wuzau, dungus na o dxgal, uxay uri o prngaw dha dxg…"
/'kænədə/,2,internal,no,2,Canada.xml,0,"…rbiru' Kanada GKanada(Eygo,Fayui,spuuyas IPA /'kænədə/ /kanada/Fa)). Pnugdungus knlangan Pemeco, de…"
d'oubangui-chari,2,internal,no,1,Central_african_republic.xml,0,"…ngan berah we Fasuupanci-ciarinti Territoire d'Oubangui-Chari) , kinngan knlunhangan na Fako Fecocuminti. m…"
daha'',2,final,no,2,China.xml,0,"…n ka knbrawan na we hmrinas 4000 koncu, kesn daha'' knloh alang bobo deheran '' ; daha hnkawan b…"
snnegun'',2,final,no,2,China.xml,0,…ko. hnyegan kklahan na Confazemin konhoko we snnegun'' sienfa Cnfazenmin konhoko'' dmoi Zenmin taip…
"''unbeyah,minsu,wenmin''",2,both-edges+internal,no,2,China.xml,0,"…udaun mesa Conko koncantan, kiyasa Coko maha ''unbeyah,minsu,wenmin'' sentaifa sofecyi koka. Conkon mahan mmsepa k…"
sepa'',2,final,no,2,China.xml,0,… knseun kbisi kmlahan ka tan '' smnetun mkri sepa'' gmalang ooda . consci Conyan weyenfe Sicinpi…
confamincu'',2,final,no,2,China.xml,0,"…icinpin pahakari mesa '' tmtui knumalu na ka confamincu'' mkri '' sepi malu na Conko'', kegaku knkawas…"
conko'',2,final,no,2,China.xml,0,"…malu na ka confamincu'' mkri '' sepi malu na Conko'', kegaku knkawas 2020 de dehug siaukan sofe, d…"
''bgurah,2,initial,no,2,China.xml,0,…n mngari zentafeyi mangan kingan bgulah kari ''bgurah zidai lnlnngan Conko toso sofecyi na Sicipin…
sicipin'',2,final,no,2,China.xml,0,"…'bgurah zidai lnlnngan Conko toso sofecyi na Sicipin'' spadis menag Conkon tancan, mesa pntasan na …"
knpahan'',2,final,no,2,China.xml,0,…lun na wcwenfa dahaka ini baka ka pnyahan na knpahan'' wada kpliyuh ''knddun egu ka ngungaln na knd…
na'',2,final,no,2,China.xml,0,…n na kndesan malu ini sbale mggalug ka haten na''. 政府結構 (Cnfu ceko) Cenkozenmin taipiautafe we …
nhkilan'',2,final,no,2,China.xml,0,"…n ''gaya pntasan lrahun seedig pklahan betag nhkilan'' de nikan pnpsan meepah, kiya kana Conli kowy…"
''snolun,2,initial,no,2,China.xml,0,…n zenmin cnfu wada smluwa kingan pnatis gaya ''snolun gaya msterun na Confa zenmin konhoko''; knka…
''confa,2,initial,no,2,China.xml,0,"… zenmin tapiautafe wada smluwa kingan pnatis ''Confa zemin konhoko senfa''. Knkawas 2011, pklahan…"
senfa'',2,final,no,2,China.xml,0,"…a smluwa kingan pnatis ''Confa zemin konhoko senfa''. Knkawas 2011, pklahan Conko peeyah kari mesa…"
''pecin,2,initial,no,2,China.xml,0,…kana bucanci pnsliyan alang icin wada smluwa ''Pecin fanfupai sienyen''. Anisa knkawas 2014 ciida…
sienyen'',2,final,no,2,China.xml,0,"…iyan alang icin wada smluwa ''Pecin fanfupai sienyen''. Anisa knkawas 2014 ciida, cinlencsu na Conko…"
/kæ'biːlə/,2,internal,no,2,Denis_Sassou_Nguesso.xml,0,"…Denis Sassou Nguesso = Joseph Kabila Kabange (/kæ'biːlə/ kab-EE-lə, kari France: (ʒɔzɛf kabila), mntu…"
'quri,2,initial,no,2,Denis_Sassou_Nguesso.xml,0,"…Congo Mincu Konghkwo Seyhu u pwaya kari alaw 'Quri Anjeyng Qnlhangan', knkana qnlhangan pa knda…"
hwa'an,2,internal,no,2,Eswatini.xml,0,"…we, rima knkawas ttloongan daha hiya, peeyah hwa'an kana daha. Neko Congri ka tunux na singcung …"
dha',2,final,no,2,Evo_Morales.xml,0,…orales Ayma tuhuy wauwa kiya 'Pnsupu Pnluban Dha' u hmrinas 5 knkawas. OK Diario u muda pqita …
lmngelung',2,final,no,2,François_Hollande.xml,0,"…ing balay quri qnbliqan qnlhangan ka pllayun lmngelung', François Gérard Georges Nicolas Hollande pa …"
l'ena,2,internal,no,2,François_Hollande.xml,0,"… mangal s-keyng Qnlhangan Sing-cng Swey-weyn L'ENA. Kngkawas 1980 cida, wada mangal tu7 pnyasan …"
'msturung,2,initial,no,2,François_Hollande.xml,0,…qridin na Soto France; mnrngal kari ka hiya: 'Msturung mi ini psturung u txtaxa nanaq sediq ka muda…
umau',2,final,no,2,François_Hollande.xml,0,…mi ini psturung u txtaxa nanaq sediq ka muda umau'. François Gérard Georges Nicolas Hollande u i…
'flanby,2,initial,no,2,François_Hollande.xml,0,"…a sapah; ida balay pnngalan dha adana hangan 'Flanby pay na Cyw-tang Pu-ting'ka hiya han, bukuy n…"
pu-ting'ka,2,internal,no,2,François_Hollande.xml,0,"…lan dha adana hangan 'Flanby pay na Cyw-tang Pu-ting'ka hiya han, bukuy niya daw alaw muda pkdhu pnd…"
keyjay',2,final,no,2,Fuad_Masum.xml,0,"… knkana quri ddaun anjeyng, seyji, syakay mi keyjay'. Papak"
d'haïti,2,internal,no,1,Haiti.xml,0,… brbiru' = Haiti-konhoko = (Fayi: République d'Haïti; kari Hatikoriaur: Repiblik Ayiti) tungayan d…
sitong',2,final,no,2,Igiris.xml,0,"…kiya Ingkoku u uka 'Knkana Qnlhangan Singcng Sitong'. Dhuq 19 th, singcng sitong u kiya hana niqan…"
'elu,2,initial,no,2,Igiris.xml,0,"… bay jaysang hniti qnlangan u kiya ka knkana 'Elu Beyhing Sediq' mi mkngahu ucilung niya, Knbe…"
'mbbiyax,2,initial,no,2,Juan_Orlando_Hernández.xml,0,"…ado pa niqan bay hnhanga mniq seyji Honduras 'Mbbiyax Pay' seyjicya, bukung Mtrawah Tang Rafael Pi…"
quli',2,final,no,2,János_Áder.xml,0,…das 12 diyax 19 wada muda knsangan dha 'Waya Quli' ka Rawkong Kayke Hwaan (Burah rawkonghwa pnd…
ci'uli,2,internal,no,2,Kari_Atayal.xml,0,…i Kari Squliq Atayal Kari Skikun Atayal Kari Ci'uli Atayal Kari Klesan Kari Matu'uwal / Mayrinax…
matu'uwal,2,internal,no,2,Kari_Atayal.xml,0,…n Atayal Kari Ci'uli Atayal Kari Klesan Kari Matu'uwal / Mayrinax Itaal Kari Plngawan Atayal / Band…
species',2,final,no,1,Kari_Mawri.xml,0,"…o ka: kēkē 'armpit' ∼ keke 'cake' kākā 'bird species' ∼ kaka 'garment' kōkō 'tui, bird species' ∼ …"
kyu'ang,2,internal,no,2,Kyu’ang.xml,0,"Gaga mniq Sincuseyn Ufungsyang ka alang Kyu'ang. 20 sapah ka kneegu na sapah, 40 hiyi ka kana…"
'dnamux,2,initial,no,1,Laos.xml,0,"…nd. Nniqan Tubaraw Lao ka tubaraw bay, niqan 'Dnamux sapah Tunarac hunac Asia' ka splawa dha; brn…"
asia',2,final,no,2,Laos.xml,0,"…baraw bay, niqan 'Dnamux sapah Tunarac hunac Asia' ka splawa dha; brnux dxral baraw Cwankwang k…"
'uxay,2,initial,no,2,Leung_Chun-ying.xml,0,…syakay pnspuwan dha qmita pa swangfey rabu u 'Uxay Hong Kong Psbalay Knhbrawan sediq mndungus h…
'kari,2,initial,no,2,Luxembourg.xml,0,"… Luxembourg u sediq Luxembourg pa ngalan dha 'Kari quri qcahur', ddiyun pprngaw kari kndusan kd…"
'tangcyu',2,both-edges,no,1,Macau.xml,0,"…ri Sing-ceng cyu-hwa Macau pa spuda Teynskyo 'Tangcyu' ka singcngcyu tanwey, knkingal tangcyu u spu…"
'kingal,2,initial,no,1,Macedonia.xml,0,…kedon (IMRO) u wada dha pnklanun ka knklanan 'Kingal dukuricu ka Makedon' so mkala 'Kingal pnspuw…
'makedon',2,both-edges,no,1,Macedonia.xml,0,"…da patas bntasan Paycanting cida rnengaw dha 'Makedon' u, ya bay kiya ka dxral nniqan heytay Makedo…"
pila',2,final,no,1,Malawi.xml,0,"…muying u mkrabang mqbling pila seyhu 'Rhngun Pila' so snsiqa singbung, Omong, Norway, kwoci hwo…"
'malawi,2,initial,no,1,Malawi.xml,0,"…n mi knbeyhing bay dungus niya, kiya u niqan 'Malawi kwanri sweyweyn' (Malawi Institute of Manage…"
