token,count,category,in_attestation_dict,n_files,example_file,example_sentence_id,example_context
nai',281,final,yes,175,2025_mihcaan_Taypei_nai’_ku_hicahica_nu_sapiedisan_a_kawaw.xml,0,== 2025 mihcaan Taypei nai' ku hicahica nu sapiedisan a kawaw 2025 == 20…
pasubana',278,final,yes,181,20171211-Cengce_Tabakiay_a_cacudadan_Wikipayke_pasubana'_a_kawaw.xml,0,…171211-Cengce Tabakiay a cacudadan Wikipayke pasubana' a kawaw == -Yincumincu saicelangen a zazan n…
nisanga'an,262,internal,no,148,101_damsayay_a_wacu’.xml,0,"…almatians) u cacay a iga ni Huwa-te-ti-se-ni nisanga'an, i 1961 a mihcaan nipaigaan manga a iga. i pa…"
tanayu',253,final,yes,143,A-di-se-a-pei-pa.xml,0,…yea-cia sipakayda i abala atu lima mikinkiw: tanayu' ku nu timulan a ungayan. nikuda satu makaadi…
kuku',252,final,yes,129,A-di-se-a-pei-pa.xml,0,"…, katinengan ku culil nu ungayan, patelek ku kuku', mahaymaw ku culil, u ke-yea-cia sipakayda i …"
sapuyu'en,250,internal,no,126,Brandon_Armstrong.xml,0,"…put, Amilika:National Basketball Association,sapuyu'en NBA, u Amis-Amilika tatama syubay kanas-mali…"
laluma'an,237,internal,yes,62,Alya_Stak.xml,0,"…nida minanam tu mipana', mipacin, midiput tu laluma'an. laluma'an baki: Likad Stak bayi: Liana Stak …"
nayi',232,final,no,166,101_damsayay_a_wacu’.xml,0,…i Taywan a nipatahkalan. imahini i Cung-kow inayi' ku canacanan a sunian nu iga nisanga'an a pa…
lami',215,final,yes,138,2026_a_mihcaan_1_a_bulad_5_ay_a_demiad.xml,0,"…a' , kinacacay tu malahuk kami u bintu aku u lami' sa u kalitang laklak han ninaku i bintu mibu…"
inay',210,final,no,204,Bsngan.xml,0,"… tademaw itini mueneng. u Sakizaya a tademaw inay' ku Sakizaya a tademaw mueneng itini, hakay i…"
tatenga',206,final,yes,148,Andy_Lau.xml,0,"…ay ku sasumidang nu misu謝謝你的愛(1992 a mihcan) tatenga'ay a sasumidang caay kadayum milayap真情難收,kina…"
lala'ay,202,internal,no,183,Afghanistan.xml,0,"…mapulung sa izaw ku 652,230 km2. u ahebal nu lala'ay sa izaw ku 652,230 km2, u ahebal nu nanumay …"
tatenga'ay,197,internal,no,141,101_damsayay_a_wacu’.xml,0,"…6 a mihcaan nisumada mala u cacay a igaan tu tatenga'ay a tademaw ku misaigiay a iga, caay ka sunad …"
buyubuyu'an,191,internal,yes,109,Al-payse_a_buyu’.xml,0,"…-cu satalakaway atu mulakuwitay tu liwliw nu buyubuyu'an , mamin matahab ku yi-ta-li nu amisan a laad…"
pucu',188,final,no,17,Beinan.xml,0,"…-san, cu-li-mu-cang, nu balebutay a mihca tu pucu', i pusung nu langaw sanay a mulangaway nu kak…"
namapili',184,final,no,184,Andray_Blatche.xml,0,"…BA. lumeniay a tademaw, talakaway a tademaw. namapili' ciniza ni Wasentun Mapalaway putiput. u Fili…"
punu',182,final,no,92,20180601_u_sapibetik_a_kamu_nu_minanam_tu_kamu_nu_Sakizaya.xml,0,…nu namu. payawen kamu nama i kami. buhati ku punu' niyam. ngay kalamkam amatingen minanam uyniy…
sapapili',182,final,no,182,Arron_Afflalo.xml,0,"… mimaliay. Arron Afflalo i 2007 a mihcan NBA sapapili' mimaliay a kawaw, saka 1 ku uwac atu silsil …"
puu',180,final,no,121,140_amihcan.xml,0,"…pinacadan. nika paymihmihcan katukuhan tu ku puu' nu mihcan sa makadateng tu tina kawawan, aha…"
lumeni'ay,160,internal,yes,87,101_damsayay_a_wacu’.xml,0,"…zipay a uzip, ngay azih han ku uzip mahiza u lumeni'ay a La-pu-latu a wacu' a malimek ku pikilim ni…"
niyzau',148,final,no,107,Alapanay.xml,0,"…Yuwatan(Bunun) 1%, Puyuma 1%, zumazuma 3%. u niyzau' nu Pangcah u Pangcah(Amis) a niyazu' kyuni, …"
ngiha',146,final,yes,133,A-li-pa-pa_atu_sepat_a_bataan_a_kukung.xml,0,"…u tu himice nuheni, amitaneng henay kaku, aw ngiha' ku sapi buhat tu panan, miadih anuuhica kuni…"
'',141,isolated,no,21,Daren.xml,0,"…-wiy-se, sakay nu an-suo ku satabakiay, satu '' u an-suo '' (a-lang-i' ALjungic ) i paywan a…"
nani',139,final,yes,39,101_damsayay_a_wacu’.xml,0,"…ikeliday tu hitay"" (Sergeant Tibbs), cacay a nani' misebeng tu inakaay a kakitizaan. maala tu n…"
niyazu'ay,135,internal,no,89,2025_a_mihcaan-2016_a_mihcaan_Mey-cya-Muw_mingayaw_tu_sapisiwbay.xml,0,…ida nu mikawaw. mahini masetul ku malukay nu niyazu'ay a kusi nu Amilikaay. mahiniay u cayay kadem …
nabalucu'an,132,internal,yes,106,Andy_Lau.xml,0,…idih tisuwanan kaku 再說一次我愛你(2005 a mihcan) u nabalucu'an a nizateng nu katazazan 一隻牛的異想世界(2007 a mihc…
niyadu'ay,126,internal,no,95,2025_mihcaan_Taypei_nai’_ku_hicahica_nu_sapiedisan_a_kawaw.xml,0,"… nu hitay paduma tu taw. namala mikunliay tu niyadu'ay nu matatungdutay nu lumaan tu paw-ci, caay k…"
sa'wac,119,internal,yes,73,Alangahay.xml,0,… u sulit nu Hulam: 紅葉溪 u siwkay u tabakiay a sa'wac i Kalinku a kuwan.
mangelu',118,final,yes,97,Ba-lan-si-s-kePiy-sa-low.xml,0,"…aay kayadah, katinengan wawana nikauzip niza mangelu' pakuyuc', asaca caay ka picudad, maliyuh mis…"
luma'an,115,internal,no,72,A-di-se-a-pei-pa.xml,0,"… sa, mikeda tu siidaay a tademaw misangan tu luma'an, hida satu a malingatu kina maci. u acawa nid…"
la'cusay,115,internal,yes,78,Andy_Lau.xml,0,… · sasumidang ilabu' nu hulic法內情 · sakapahay la'cusay a cabay最佳損友 · Wang-cyaw Kamen 旺角卡門 · u sapab…
adada',113,final,no,66,2025_a_mihcaan-2016_a_mihcaan_Mey-cya-Muw_mingayaw_tu_sapisiwbay.xml,0,"…ud nu Mu-si-ke, atu caay ku simal atu dingki adada' u hamin anipatahkal a tuud nu Cya-na-ta, u n…"
buyu'an,113,internal,no,56,A-di-se-a-pei-pa.xml,0,"…misan nu talakaw tulu a malebut nu N-tuo-tuo buyu'an, nipatidengan tinaluma'an i liwliw nu masaena…"
inai',113,final,no,90,A-di-se-a-pei-pa.xml,0,"…an a kawaw 城市軼聞 A-di-se-a-pei-pa a patiyamay inai' namin ku ngangan, inai' ku paya nu lumaluma'…"
la'cus,104,internal,yes,82,Bosnia_and_Herzegovina.xml,0,"…ing ku mamisingkiway, sisatena tu sapalangat la'cus a u nu Bosnia atu Herzegovina a tademaw ku m…"
bala',103,final,yes,44,Amazon_a_kanatal_matuduh_ku_kilakilangan.xml,0,"…tuduh ku kilakilangan u ciyung nu kitakit, u ""bala' nu kitakit han"" a mala u nalinabuan tu. nila…"
ngelu',102,final,yes,71,Fa-tuo-muo-na.xml,0,"…ulitan nida a su'-cuo-in-sye-suo, pasubana u ngelu' ku sapilawpes tu malumanay a kawawan, amica …"
apuyu'ay,100,internal,no,57,Aw-_tali-ya_lyen-pang.xml,0,"…al yadah ku mauzipay, pasu makay talakaway a apuyu'ay nu mulangaway katukuh caledesay a kilakilang…"
apuyu',96,final,yes,80,An-ti-s_a_buyu’an.xml,0,"…akuti' 18 tu. matinengtu tu itiniay a demiad apuyu' ku laed mahapinang tu ku nikasumad, kanahatu…"
ak'ak,96,internal,yes,5,akeak.xml,0,ak'ak kakaliman u ak'ak tadaak'ak hananay masateze…
misanga'ay,95,internal,yes,69,101_damsayay_a_wacu’.xml,0,… atu ciniza tu tataytayay a tatama mitesakay misanga'ay tu dadiw a tademaw ci Lu-cyey u eneng i Ing-…
luma'ay,92,internal,no,66,Andy_Lau.xml,0,"… kilang a panan, micaliw tu kalisiway, elun, luma'ay a sakaluk .....kayadah ku ni patayliay a tak…"
isu',92,final,no,10,Fengbin.xml,0,"…iw-ku-lan a sauwc, Tidaan minatu piazihan tu isu' Huting picekulan, Patelungan masatukalay a l…"
mabi',88,final,yes,71,2026_a_mihcaan_1_a_bulad_5_ay_a_demiad.xml,0,… sapitahab sakupaan laledled sa kami malkaka mabi' i lilal ya lilal niyam sa nu penen a nitulik…
ti'kuk,88,internal,yes,62,Afghanistan.xml,0,"… izaw ku 652,230 km2, u ahebal nu nanumay sa ti'kuk ku km2. hamin nu tademaw sa 33,332,025. kaka…"
tanayu'ay,83,internal,no,57,101_damsayay_a_wacu’.xml,0,…gaan ni Huwa-te-ti-s-ni u micidekay ku kapah tanayu'ay maga a iga. nilacul a kungku u makay ci Tow-…
asu',82,final,yes,64,Burma.xml,0,…umaay a titi mingihngih a miliawli u duma ku asu' bangesis sa ku azi. (u sulit nu hulam: .)
sawada',82,final,no,36,Dakan-ecu.xml,0,"…abalaki a kakanen. lami' hantu idaw ku ""waci sawada' nu pabuy"", "" hannu limaen mikamel ku basis"",…"
sapasubana',80,final,no,56,2020_a_mihcaan_malaheci_amitena'_tu_masaadipingay_a_ledek_i_Taywan.xml,0,"…ingay a ledek a imelang, Taywan a u canan ku sapasubana' tu kawaw i kitakitay""? a ulic. COVID-19 "" ni…"
buyu'ay,79,internal,no,60,A-la-puo-lin-he-ta-kun-kuo.xml,0,"…bayu u likelikenan, duduc han muculil u mala buyu'ay nu liken, micapitu Walian u buyu'. amisan u …"
tanaya',78,final,no,56,Changbin.xml,0,"…yaw tu bayu, angangan buyubuyu'an ku liwliw, tanaya' ku sadipasan, demiad tungusay taledesay kasi…"
asu'ay,77,internal,no,31,Ciw-ben.xml,0,"…ay tu malumanay nipabeliay nu tahak yadah ku asu'ay a kakanen, patinaku mulu a tali atu mulu a t…"
sapisanga',76,final,no,60,Cin-men_sakuwan.xml,0,"…nga' aca tu micidekay nu Cin-men1 a saytu, u sapisanga' makayzaay i Cong-kow-ta-lu a tademaw tu nihu…"
akuti'ay,73,internal,yes,54,An-ti-s_a_buyu’an.xml,0,"…a buyu'an malatutul ku demiad nu kitizaam, u akuti'ay a An-ti-s, maacakay a An-ti-s atu masemetay …"
sibalucu',72,final,no,67,101_damsayay_a_wacu’.xml,0,"…a a wacuan. maazih haca nu heni, ci Ku-yi-la sibalucu' uyni adidi'ay a wacu' mipatay amikelit tu ba…"
kasaniyazu',72,final,no,63,Alishan.xml,0,"…u kasalumaluma' sa, 1,373 ku luma'. ilabu nu kasaniyazu' nu siyang sa, 3,459 ku ingcumin a tademaw. u…"
da'dac,71,internal,yes,36,20180601_u_sapibetik_a_kamu_nu_minanam_tu_kamu_nu_Sakizaya.xml,0,…anu bilabila sa atu niyan a upah. tuyniyan a da'dac. payawan kamu kya haw mipili'. milayap tuyniy…
kalimucu',69,final,yes,48,Cuba.xml,0,"… wayway tanayu',makaysatipan a San Antonio a kalimucu' katukuh i sawalian pasayza' satipan a kalinu…"
wacu',66,final,no,12,101_damsayay_a_wacu’.xml,0,101 damsayay a wacu' (kamu nu Hulam: 101忠狗) 101 damsayay a wacu' …
nai'ay,66,internal,no,31,2025_mihcaan_Taypei_nai’_ku_hicahica_nu_sapiedisan_a_kawaw.xml,0,"…021 mihcaan 8 bulad, malahitay tu kungung nu nai'ay nu dingsingan, nika itini i 2022 pihibangan …"
buyu'buyu'an,66,internal,no,42,Belguim.xml,0,"…utipan sa kalunubayuay a enal, nu teban sa u buyu'buyu'an, pasu nu kawalianay ya A-ten hanany a buyu'bu…"
ki',66,final,no,3,Daren.xml,0,"… nganga kya '' tu-pan '' u nipanganga aca ''uki' a niyadu' '', i naayaw sa u ta-cu a sawac ta…"
ba'tuay,65,internal,no,40,An-man.xml,0,"…nipanganganan a An-ca-le nazipaan nu baluhay ba'tuay a ziday, itiza tahkal ku kitakitay nu kasuma…"
isi',65,final,yes,32,adada_ku_tapeling.xml,0,"…瀉:頻繁,油膩, . cacay nu waywayan a siwanengay nu isi' a imelang: tapeling miladay tu yi-daw nikale…"
mawada',63,final,no,53,Amazon_a_kanatal_matuduh_ku_kilakilangan.xml,0,"…aan, iayaw a mihcaan, Europe pacakayay hawsa mawada' tu ku nu Brazil a nisangaan tu kakanan. i ki…"
mipili',62,final,yes,53,20180601_u_sapibetik_a_kamu_nu_minanam_tu_kamu_nu_Sakizaya.xml,0,…pah. tuyniyan a da'dac. payawan kamu kya haw mipili'. milayap tuyniyan unipaini niyam. ayza mapulu…
cica',62,final,no,22,Owngci_a_tademaw.xml,0,"…ca pasu tabaku. alikulu u sapaliyun tu udal, cica' nu kilang, bayuay enip a ti'kuk atu lung-yen…"
mutudu',61,final,no,49,2022_a_mihcaan_u_Elus_misatal_tu_Ukelan.xml,0,"…tu likisi, pakayni nikasaupu paceba sa alima mutudu' Ukelan mala"" E a kamu pasasuada tu binacadan…"
subana'ay,61,internal,no,46,3EP-salunganay_tatayna.xml,0,"…lumeniay. u kawaw niza ayza sa, u palaway. u subana'ay niza sa, u tabakiay a cacudadan. kamu niza s…"
ba'ket,60,internal,yes,30,A-di-se-a-pei-pa.xml,0,"…nipisausian: talakaw caysiplim limi, tama nu ba'ket makaala tu nemlim cenke', lang lulim cenke',…"
pabalucu',59,final,no,50,A-Taw-buSi-te-le.xml,0,"…awaw. Ssca 1970 a mihcaan 3 a bulad, Su-lyen pabalucu' miliyas tuyni kitizaan nu hitay mikawaw pabe…"
lala'an,59,internal,no,47,An-ta-man_a_tademaw.xml,0,"…, imaahini uyni a kitizaan tungus nu In-tuay lala'an. Ing-kow nu mabulaway cebu sakay pahabay atu …"
ma-ke-li-te',59,final,no,4,Ke-lai-ke-liPin-ka-se.xml,0,…alaw ni kiyakuan tu sasiwawa a patidengay ci Ma-ke-li-te'. San-ke ku misiluday musakamu ci nidan tina s…
mitena',58,final,no,35,2020_a_mihcaan_malaheci_amitena'_tu_masaadipingay_a_ledek_i_Taywan.xml,0,2020 a mihcaan malaheci amitena' tu masaadipingay a pihaceng ku libung a lede…
ba'tuan,58,internal,no,38,Aw-_tali-ya_lyen-pang.xml,0,"…u malubuay, zikuz zayhan maazih ku siacaay a ba'tuan mala u mabulayay a tademaw, makakadum tu mah…"
paybalucu'ay,58,internal,no,40,adada'_ku_tangah_mukan_tu_kiyandi.xml,0,…asulitan nasakamuan atu natinengan wikipayek paybalucu'ay pulungamin a cudad-頭痛 nasulitan nay pabalucu…
taludu'ay,58,internal,no,2,taludu'ay_a_limecedan.xml,0,"taludu'ay a limecedan (nu Hulam a kamu: :Tommelise,英語:…"
niyazu'sa,57,internal,no,55,Alishan.xml,0,"…n mala 12 a cuwen atu 8 ku niyazu'. kina 8 a niyazu'sa, Niae' ucna , Tapangʉ , Tfuya , Lalauya , Png…"
pataluma',56,final,no,46,A-li-pa-pa_atu_sepat_a_bataan_a_kukung.xml,0,"…tu kasuy, pakacaw han nida i kulul nu mawluy pataluma'. i mahini satu, i batad henay makatengl cinid…"
pulu',56,final,no,42,Andy_Lau.xml,0,"…adiway(1990-1992 1994 1999 2004), maala niza pulu' Tatay sakanamuhay Hong Kong tatama mudadiway…"
mapeci',54,final,yes,46,101_damsayay_a_wacu’.xml,0,"… a kazizeng mahetik tu i helungay nu sauwac, mapeci' tu kya tusaay a kazizeng, caay ka hica ku ta…"
palatatenga',54,final,no,32,A-Taw-buSi-te-le.xml,0,"…ung han mibatung i Pi-te-luy-ce a sa'wasc. a palatatenga' mapatay ci Si-te-le, hamin han mituduh ku li…"
paluma',54,final,no,49,A-di-se-a-pei-pa.xml,0,"…ida mangalay mibulaw tu Suo-tu, anumahida sa paluma' han tu kilang i sa. patahekal ku kanatal tu …"
lumeni',54,final,no,36,Katherine_Johnson.xml,0,"…n ci Katherine, caay kalipahak ciniza, zaysa lumeni' ku banges niza, caay kalecad atu kaput, maka…"
sipunu'ay,51,internal,no,40,Ay-al-nanke-al-te-s.xml,0,"…a u malukay, kumuing, zikuz mala u tizaay nu sipunu'ay. 1511 a nihcaan ci Ke-al-ti-s mikilul ci Pey-…"
ilabu',48,final,no,25,"+cengyi+,_lucek-kakalimaan.xml",0,"…gkeit) . u +cengyi+ saan, u mahizaay pawanan ilabu' nu binawlan atu nizateng nu tademaw, tina za…"
pasubana'ay,48,internal,yes,39,"+cengyi+,_lucek-kakalimaan.xml",0,"…ay a heci tu mahiniay. izaw ku mitesekay atu pasubana'ay, tinaku sumamaday a Sila a tademaw, pakuhica …"
misabalucu',48,final,yes,42,A-Taw-buSi-te-le.xml,0,"…ay-atu ci Ke-pye-al a tademawan, ci Si-te-le misabalucu' tu sapipatay tu Yu-tay a tademaw, Si-te-le p…"
di'tuan,48,internal,no,26,A-suo-se-san.xml,0,"…waiten ku tabakiay a ba'tu pasayda i bayu nu di'tuan ci Puo-say-tun, papulinen ci nida i Ay-cin-b…"
tayu',48,final,no,8,Lubas-Mapalaway-pasakapah_tu_imelang.xml,0,… ku nikabulah nu misu / 用蕉葉拂去您的牽掛 u papah nu tayu' ku nika zahket a kapah ku imelang nu misu / …
tai',48,final,yes,26,Nanzhuang.xml,0,"…n. itida i Mai-li kin wali amisan, timulan u Tai'an niyadu', nutipan timulan u Shi-tan niyadu'…"
cucu',47,final,no,30,Cin-ten-yi_a_kawaw_nu_cudadan.xml,0,"…akapahay nu cabayan, bangcal ku wayway, tanu cucu' sa, kapah ku tinsu, kapah ku nikaudipan a wa…"
maduba',46,final,yes,37,A-la-puo-lin-he-ta-kun-kuo.xml,0,…tsetay nu kadideng atu luo-tu i kacacabian a maduba'. .
pala',45,final,no,34,Awkusetu.xml,0,"…pannuniya,nulikumu atulaytiya, misatabaki tu pala' nuheni i huycu, mamin pasayni i isepaniya a …"
labunuluma',44,final,no,35,Alputeayinsedan.xml,0,…nga tu kasenun sananay a dingki. Ayinsedan u labunuluma' nuheni cay piduduc tu tiniay a sinziya u ace…
katanayu',44,final,yes,35,Central_african_republic.xml,0,"…7.8 du: hua-se82 du"", nutimulanay u nikaudad katanayu' katukuh i walu a buladan tabaki ku udada i s…"
niyazu'an,43,internal,no,30,101_damsayay_a_wacu’.xml,0,"…la, Cya-s-pow atu ci How-luy-s. i adidi'ay a niyazu'an, adidi'ay a wacu' amin ya abu nu calah sapisi…"
patatenga',43,final,yes,38,An-ta-man_a_tademaw.xml,0,…d keyzay a kawaw miadup atu miala. An-ta-man patatenga' tu Di'tu a lisin angangan a salisin pasu mas…
balucu'ay,43,internal,no,38,"Aykesa,niwtun.xml",0,"…awacuay a tademaw. ya cin-viyaw cacudadan nu balucu'ay ci Simen.keen sakamusa, ci Niwtun idaw kuime…"
taludu',43,final,no,31,Balaut_a_wang-ce.xml,0,"…u tiya cuedetay a balaut, sisa hanu u tusa a taludu' a mulimad patakalimucu'en niza kida balaut, …"
nisanga',43,final,no,33,Ciyan-tang-ciyng.xml,0,"…adideng, anu mucalil sa u talakaw 4.5 depah, nisanga' tu cacay a tatukiyan ku culil sa 60 kung-li.…"
pela',43,final,yes,32,Hong_Kong.xml,0,"…-ciye a nisakaput, hekal a lala' nu Cuw-lung pela' a subal hekal a lala', atu 263 a subal a sub…"
isasa',43,final,no,37,Kakawasan.xml,0,"…n sa u ""sikahemekan a dietuay a kakitizaan"". isasa' nu lala' izaw tu gas, taneng palamal, maceku…"
sakalaniyazu',42,final,no,42,Alishan.xml,0,"… Pakalatu 85%(Cou) ku kasabinawlan. u Cou ku sakalaniyazu'. Alishan siang a lala' ahebal, u satabakiay a…"
balunga',42,final,no,27,An-ta-man_a_tademaw.xml,0,"… tu balangbangan a bali, yadah ku satebuc nu balunga' mauzipay a tademaw hatu mapatay nu An-ta-man…"
bayu'an,41,internal,no,41,Bgurah_branaw.xml,0,…ueneng i Kalinku i Pusung atu i dadipasan nu bayu'an. katuuday a cidekay u Taluku(Truku) . u niyaz…
buwa',41,final,yes,27,COVID-19.xml,0,"…, mawada ku sangelacay a izang, malawacu' ku buwa'. namakayniay a nasulitan nasakamuan atu natin…"
paza',41,final,yes,26,Cameron.xml,0,"… a lalaculan. nipalumaan , tadasimal, kuhiy, paza', nu lahaday a kumu , alumi , alumiay alala' a…"
labi',40,final,no,20,Egypt.xml,0,"…ih tu mahtusaay a Nile ya tukus kabangcal nu labi', tangen i balunga mukan tu asuay a kakanan at…"
lima',39,final,no,33,A-di-se-a-pei-pa.xml,0,"…aay kaw mamatepa. kanahatu nai' ku ziwsiw nu lima', ya kanatal u yiwbin sa nai' ku palasitay tu …"
biluu',38,final,yes,1,biluu’.xml,0,"== kakiliman == biluu'甲狀腺腫 biluu' ""kamu nu Ing, goitre"" singangan a…"
sapi',37,final,no,34,A-li-pa-pa_atu_sepat_a_bataan_a_kukung.xml,0,"…an nida musedal musakamu tu acawa nida, kiya sapi' satu ku balucu nida. nina pakuyucay nu lumaa…"
bayu'ay,37,internal,no,21,Angola.xml,0,"… ku maydih tayda i India mikilim tu sakay nu bayu'ay a sapabalunga a cacaliwayan nu dadan, kyu mu…"
suni',37,final,no,25,Balaut_a_wang-ce.xml,0,"…' aku."" imahini sa, matengil aca ku tusaay a suni' kaca sa, milihiza tu nika tatebudtebud a s…"
ngawa',37,final,yes,18,En-ke-low-en-ke-low_pidiputan.xml,0,"…ihcaan izaw ku pana lasubu emang ku tusaay a ngawa' a subayu, sikulitay a subayu, ten-lin aadupa…"
pi'kiman,36,internal,no,3,Taywan_Ciw-Ben_Suy-Nan-Tung_sabawtulu_a_dang_a_pi'kiman.xml,0,"… == Taywan Ciw-Ben Suy-Nan-Tung nazipa'an nu pi'kiman ""sabaw tulu a dang"" hananay . kakiliman ziku…"
mabalucu',35,final,no,30,Balaut_a_wang-ce.xml,0,"…u caay sa sakamuen aku ci yama isu. imahini mabalucu' tu kida kung-cu , saicelang han nida ku udip…"
tabuyu',35,final,yes,22,Bu-s_buyu’.xml,0,"…n. Bu-s buyu' sepat ku angangan a sacumud nu tabuyu'ay, pasazuma u Bu-s pitaungan a sacumud, Si-c…"
pana',34,final,no,19,2017_a_mihca_nangayaw_139_a_mihca_–_Sakizaya_Palamal_u_laylay_nu_lisin.xml,0,…8 pahalhal tu lamal(火青隊備火 ) 18:39 palikat tu pana' 18:39 salais ku papana'ay 18:42 palikat tu i…
duba',34,final,no,16,Asian_Iron_Man_Yang_-Chuan-Kwang.xml,0,… Malan a niyazu'. maala niza ku Roma Kitakit Duba' bataan duba' ingpay (sakatusa a laylay-kawla…
puu'an,34,internal,no,28,Bu-s_buyu’.xml,0,"…y a puu' a mukayakay tu Bu-s a buyu', zuma a puu'an edepen ku buyu' 8 a bulad yadah ku baliyus, …"
nyadu'ay,34,internal,no,12,Kacaw_Lalapa.xml,0,"…sakulay lecuhen a tademaw u saicelangay nu i nyadu'ay, u kakasenengan nu katuuday. namaka i sumamad…"
nikabi',34,final,no,10,Salengacay_suleda_a_kung-cu.xml,0,"…ak tu tima' ""a miliyas tu mahini mapatayay a nikabi'"" uyza u tatenga'ay a sasumidang saayaway a ni…"
