pair,source_phrase_clean,ildrf_source_found,ildrf_reference_files,ildrf_chinese_glosses,glosbe_targets_for_source,mapping_supported_targets,mapping_different_targets,unmapped_targets,unattested_source_targets,decision
"tay,en",blaq,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,好,good; well,good; well,,,,keep_all_structurally_valid_targets
"tay,en",bling,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,山洞; 洞; 洞穴,orifice,orifice,,,,keep_all_structurally_valid_targets
"tay,en",blung,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,裝置陷阱,seed,,,seed,,keep_all_structurally_valid_targets
"tay,en",bnaqii,no,,,gravel; grit; sand,,,,gravel; grit; sand,keep_all_structurally_valid_targets
"tay,en",bnkis,no,,,"ancestor, oldster",,,,"ancestor, oldster",keep_all_structurally_valid_targets
"tay,en",boluw,no,,,long bean,,,,long bean,keep_all_structurally_valid_targets
"tay,en",bonaw,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,花生,peanut,,,peanut,,keep_all_structurally_valid_targets
"tay,en",bruy,no,,,"space, empty",,,,"space, empty",keep_all_structurally_valid_targets
"tay,en",bsiaq,no,,,short time,,,,short time,keep_all_structurally_valid_targets
"tay,en",bskan,no,,,place of origin,,,,place of origin,keep_all_structurally_valid_targets
"tay,en",btúnux,no,,,stone,,,,stone,keep_all_structurally_valid_targets
"tay,en",btunux,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,岩石; 石頭,stone,,,stone,,keep_all_structurally_valid_targets
"tay,en",buax,no,,,rice,,,,rice,keep_all_structurally_valid_targets
"tay,en",bukil loziq,no,,,eyebrow,,,,eyebrow,keep_all_structurally_valid_targets
"tay,en",bukil,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,毛; 體毛,"body hair, peach",,,"body hair, peach",,keep_all_structurally_valid_targets
"tay,en",buqul,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,墳墓,tomb,,,tomb,,keep_all_structurally_valid_targets
"tay,en",buway,no,,,fruit,,,,fruit,keep_all_structurally_valid_targets
"tay,en",bwah,no,,,rice (uncooked),,,,rice (uncooked),keep_all_structurally_valid_targets
"tay,en",bziku',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,耳飾,man's earring,,,man's earring,,keep_all_structurally_valid_targets
"tay,en",bziok nhiun,no,,,wild boar,,,,wild boar,keep_all_structurally_valid_targets
"tay,en",bziok,no,,,pig,,,,pig,keep_all_structurally_valid_targets
"tay,en",cbeng qba',no,,,hand in hand,,,,hand in hand,keep_all_structurally_valid_targets
"tay,en",ciabux,no,,,hat,,,,hat,keep_all_structurally_valid_targets
"tay,en",cikui,no,,,a small amount; little; small,,,,a small amount; little; small,keep_all_structurally_valid_targets
"tay,en",cimmyan,no,,,salt meat,,,,salt meat,keep_all_structurally_valid_targets
"tay,en",cimu',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,鹽; 鹽巴,salt,,,salt,,keep_all_structurally_valid_targets
"tay,en",cinbuanan,no,,,nation,,,,nation,keep_all_structurally_valid_targets
"tay,en",cinun,no,,,weaving,,,,weaving,keep_all_structurally_valid_targets
"tay,en",cipoq,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,一點點,"little; little, small; small","little; little, small; small",,,,keep_all_structurally_valid_targets
"tay,en",cmyan,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,新年; 春節(農曆新年),pass the new year,pass the new year,,,,keep_all_structurally_valid_targets
"tay,en",cqun,no,,,together,,,,together,keep_all_structurally_valid_targets
"tay,en",dalah tunux,no,,,American,,,,American,keep_all_structurally_valid_targets
"tay,en",gaga,no,,,custom,,,,custom,keep_all_structurally_valid_targets
"tay,en",gasil,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,線、繩子; 繩索,rope,,,rope,,keep_all_structurally_valid_targets
"tay,en",gaya',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,大腿,thighs,,,thighs,,keep_all_structurally_valid_targets
"tay,en",ghci,no,,,wide,,,,wide,keep_all_structurally_valid_targets
"tay,en",gitu,no,,,loquat,,,,loquat,keep_all_structurally_valid_targets
"tay,en",glgan basu,no,,,bus stop,,,,bus stop,keep_all_structurally_valid_targets
"tay,en",gong,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,小溪,stream,,,stream,,keep_all_structurally_valid_targets
"tay,en",gqcyo,no,,,goose,,,,goose,keep_all_structurally_valid_targets
"tay,en",gryung,no,,,"nape, neck",,,,"nape, neck",keep_all_structurally_valid_targets
"tay,en",guqoh,no,,,banana,,,,banana,keep_all_structurally_valid_targets
"tay,en",hakut,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,搬運,bring; carry,bring; carry,,,,keep_all_structurally_valid_targets
"tay,en",hapui,no,,,cook,,,,cook,keep_all_structurally_valid_targets
"tay,en",hi,no,,,body,,,,body,keep_all_structurally_valid_targets
"tay,en",hial,no,,,earth; world,,,,earth; world,keep_all_structurally_valid_targets
"tay,en",hkuy,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,彎角; 轉彎、弄彎,music,,,music,,keep_all_structurally_valid_targets
"tay,en",hmop,no,,,pierce; stab; stick; sting,,,,pierce; stab; stick; sting,keep_all_structurally_valid_targets
"tay,en",hmyapas,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,嬉戲、好玩,joke (with someone),joke (with someone),,,,keep_all_structurally_valid_targets
"tay,en",hmyaw,no,,,chase,,,,chase,keep_all_structurally_valid_targets
"tay,en",hoku',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,柺杖,stick,,,stick,,keep_all_structurally_valid_targets
"tay,en",hongu na utux,no,,,rainbow,,,,rainbow,keep_all_structurally_valid_targets
"tay,en",hongu'utux,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,彩虹,rainbow,,,rainbow,,keep_all_structurally_valid_targets
"tay,en",hongu',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,橋; 橋樑,bridge,,,bridge,,keep_all_structurally_valid_targets
"tay,en",hongu,no,,,bridge,,,,bridge,keep_all_structurally_valid_targets
"tay,en",hoqil,no,,,death,,,,death,keep_all_structurally_valid_targets
"tay,en",hoyel,no,,,dog,,,,dog,keep_all_structurally_valid_targets
"tay,en",hpah,no,,,flower,,,,flower,keep_all_structurally_valid_targets
"tay,en",hpurun,no,,,cook,,,,cook,keep_all_structurally_valid_targets
"tay,en",htuw,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,出現,emerge,,,emerge,,keep_all_structurally_valid_targets
"tay,en",hu-il,no,,,dog,,,,dog,keep_all_structurally_valid_targets
"tay,en",huzil,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,狗,dog; doggy; hound,dog; doggy; hound,,,,keep_all_structurally_valid_targets
"tay,en",ima,no,,,who,,,,who,keep_all_structurally_valid_targets
"tay,en",inbu',no,,,patient,,,,patient,keep_all_structurally_valid_targets
"tay,en",ini,no,,,not,,,,not,keep_all_structurally_valid_targets
"tay,en",inlungan,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,心腸、心思、想法,mind,,,mind,,keep_all_structurally_valid_targets
"tay,en",inu,no,,,where,,,,where,keep_all_structurally_valid_targets
"tay,en",inungan,no,,,heart,,,,heart,keep_all_structurally_valid_targets
"tay,en",ispuqing,no,,,original place,,,,original place,keep_all_structurally_valid_targets
"tay,en",isu,no,,,you,,,,you,keep_all_structurally_valid_targets
"tay,en",ita,no,,,we,,,,we,keep_all_structurally_valid_targets
"tay,en",itunux,no,,,severed head,,,,severed head,keep_all_structurally_valid_targets
"tay,en",iungay,no,,,monkey,,,,monkey,keep_all_structurally_valid_targets
"tay,en",k'man,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,草; 雜草,grass unattended,,,grass unattended,,keep_all_structurally_valid_targets
"tay,en",kāyal,no,,,sky,,,,sky,keep_all_structurally_valid_targets
"tay,en",kacing,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,牛,"buffalo, cow",,,"buffalo, cow",,keep_all_structurally_valid_targets
"tay,en",kaial,no,,,sky,,,,sky,keep_all_structurally_valid_targets
"tay,en",kakay,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,腳,foot,,,foot,,keep_all_structurally_valid_targets
"tay,en",kaman,no,,,grass,,,,grass,keep_all_structurally_valid_targets
"tay,en",kamit,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,指甲,fingernail,,,fingernail,,keep_all_structurally_valid_targets
"tay,en",kapin,no,,,scar,,,,scar,keep_all_structurally_valid_targets
"tay,en",karoh,no,,,hoe,,,,hoe,keep_all_structurally_valid_targets
"tay,en",kawas,no,,,year,,,,year,keep_all_structurally_valid_targets
"tay,en",kaway meriy,no,,,red-flesh plum,,,,red-flesh plum,keep_all_structurally_valid_targets
"tay,en",kaway,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,李子,plum,,,plum,,keep_all_structurally_valid_targets
"tay,en",kayal,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,天空,sky,,,sky,,keep_all_structurally_valid_targets
"tay,en",kayu',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,小甕,pot,,,pot,,keep_all_structurally_valid_targets
"tay,en",kbrus,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,說謊,cheat,,,cheat,,keep_all_structurally_valid_targets
"tay,en",ke',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,話; 語言,"speech, language; story","speech, language; story",,,,keep_all_structurally_valid_targets
"tay,en",kgiy,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,苧麻,hemp,,,hemp,,keep_all_structurally_valid_targets
"tay,en",khahunikh,no,,,stick; wood,,,,stick; wood,keep_all_structurally_valid_targets
"tay,en",khangi',no,,,walk,,,,walk,keep_all_structurally_valid_targets
"tay,en",khoni,no,,,stick; wood,,,,stick; wood,keep_all_structurally_valid_targets
"tay,en",khoniq,no,,,stick; wood,,,,stick; wood,keep_all_structurally_valid_targets
"tay,en",kira',no,,,today,,,,today,keep_all_structurally_valid_targets
"tay,en",kmaial,no,,,say,,,,say,keep_all_structurally_valid_targets
"tay,en",kmkah mari,no,,,kick a ball,,,,kick a ball,keep_all_structurally_valid_targets
"tay,en",kneril,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,女生、女人、妻子,woman,woman,,,,keep_all_structurally_valid_targets
"tay,en",koto,no,,,one,,,,one,keep_all_structurally_valid_targets
"tay,en",kulikh,no,,,fish,,,,fish,keep_all_structurally_valid_targets
"tay,en",kulu'syan biru,no,,,bookshelf,,,,bookshelf,keep_all_structurally_valid_targets
"tay,en",kulu,no,,,fence,,,,fence,keep_all_structurally_valid_targets
"tay,en",kuzing,no,,,I,,,,I,keep_all_structurally_valid_targets
"tay,en",kwārahu,no,,,rain,,,,rain,keep_all_structurally_valid_targets
"tay,en",lalan,no,,,desk,,,,desk,keep_all_structurally_valid_targets
"tay,en",lalaw,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,獵刀; 直形獵刀,knife,,,knife,,keep_all_structurally_valid_targets
"tay,en",lapaw,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,山櫻花,cherry blossom,cherry blossom,,,,keep_all_structurally_valid_targets
"tay,en",laqi,no,,,child,,,,child,keep_all_structurally_valid_targets
"tay,en",lazia,no,,,stalks,,,,stalks,keep_all_structurally_valid_targets
"tay,en",lbak,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,葉子,refire,,,refire,,keep_all_structurally_valid_targets
"tay,en",lepuw,no,,,"dregs, lees",,,,"dregs, lees",keep_all_structurally_valid_targets
"tay,en",lhlahuy,no,,,dense forest,,,,dense forest,keep_all_structurally_valid_targets
"tay,en",lingay,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,周圍、邊緣,alongside,,,alongside,,keep_all_structurally_valid_targets
"tay,en",liung,no,,,river,,,,river,keep_all_structurally_valid_targets
"tay,en",lkotas,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,祖先,ancestors,,,ancestors,,keep_all_structurally_valid_targets
"tay,en",llaw,no,,,easy,,,,easy,keep_all_structurally_valid_targets
"tay,en",lmngyaq,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,游泳,swim,,,swim,,keep_all_structurally_valid_targets
"tay,en",lmom,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,(放火)燒; 燒(如燒稻草),burn; refire,burn,refire,,,keep_all_structurally_valid_targets
"tay,en",lmpuw,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,數(計算); 讀,read,,,read,,keep_all_structurally_valid_targets
"tay,en",lokah su pi?,no,,,How are you?,,,,How are you?,keep_all_structurally_valid_targets
"tay,en",lokah,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,健康、勤奮、好(問候語); 好的,strength; strong,strength; strong,,,,keep_all_structurally_valid_targets
"tay,en",loziq,no,,,eye,,,,eye,keep_all_structurally_valid_targets
"tay,en",lpyung,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,姻親; 親戚,relatives,,,relatives,,keep_all_structurally_valid_targets
"tay,en",lubuw,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,琴,mouth organ,,,mouth organ,,keep_all_structurally_valid_targets
"tay,en",lukus,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,上衣; 衣服,clothing,,,clothing,,keep_all_structurally_valid_targets
"tay,en",lungan,no,,,opinion,,,,opinion,keep_all_structurally_valid_targets
"tay,en",m'abi,no,,,asleep,,,,asleep,keep_all_structurally_valid_targets
"tay,en",m'iyu,no,,,to barter/ barter,,,,to barter/ barter,keep_all_structurally_valid_targets
"tay,en",mabel,no,,,asleep; lie down; sleep,,,,asleep; lie down; sleep,keep_all_structurally_valid_targets
"tay,en",malax,no,,,let go of,,,,let go of,keep_all_structurally_valid_targets
"tay,en",mama,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,繼父,uncle,,,uncle,,keep_all_structurally_valid_targets
"tay,en",maniq,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,吃; 吃(東西),eat,,,eat,,keep_all_structurally_valid_targets
"tay,en",mari,no,,,ball,,,,ball,keep_all_structurally_valid_targets
"tay,en",matanah,no,,,red,,,,red,keep_all_structurally_valid_targets
"tay,en",mavi,no,,,asleep; sleep,,,,asleep; sleep,keep_all_structurally_valid_targets
"tay,en",mgiyay,no,,,flee,,,,flee,keep_all_structurally_valid_targets
"tay,en",mhoqil,no,,,die,,,,die,keep_all_structurally_valid_targets
"tay,en",mhuay su balay,no,,,thank you,,,,thank you,keep_all_structurally_valid_targets
"tay,en",minraomul,no,,,lie down,,,,lie down,keep_all_structurally_valid_targets
"tay,en",miquy,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,男子名,weeds,,weeds,,,keep_all_structurally_valid_targets
"tay,en",miru,no,,,write,,,,write,keep_all_structurally_valid_targets
"tay,en",misim,no,,,machine,,,,machine,keep_all_structurally_valid_targets
"tay,en",mit,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,羊,sheep,,,sheep,,keep_all_structurally_valid_targets
"tay,en",mkbrus kmayal,no,,,bullshit,,,,bullshit,keep_all_structurally_valid_targets
"tay,en",mlúh,no,,,pepper,,,,pepper,keep_all_structurally_valid_targets
"tay,en",mlahang gluw,no,,,relatives,,,,relatives,keep_all_structurally_valid_targets
"tay,en",mlahang,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,照顧,care for (look after),,,care for (look after),,keep_all_structurally_valid_targets
"tay,en",mlikuy,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,丈夫; 男人、丈夫; 男孩; 男性,boy,boy,,,,keep_all_structurally_valid_targets
"tay,en",mluw basu,no,,,ride a bus,,,,ride a bus,keep_all_structurally_valid_targets
"tay,en",mnbuu,no,,,drink,,,,drink,keep_all_structurally_valid_targets
"tay,en",mngilis,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,哭,weep,,,weep,,keep_all_structurally_valid_targets
"tay,en",mnkis,no,,,old man,,,,old man,keep_all_structurally_valid_targets
"tay,en",mnuka,no,,,rub (hemp),,,,rub (hemp),keep_all_structurally_valid_targets
"tay,en",moráu,no,,,house,,,,house,keep_all_structurally_valid_targets
"tay,en",motux,no,,,fierce,,,,fierce,keep_all_structurally_valid_targets
"tay,en",mpbay,no,,,to share,,,,to share,keep_all_structurally_valid_targets
"tay,en",mqaraw,no,,,climb,,,,climb,keep_all_structurally_valid_targets
"tay,en",mqu',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,蛇,snake,,,snake,,keep_all_structurally_valid_targets
"tay,en",mqu,no,,,snake,,,,snake,keep_all_structurally_valid_targets
"tay,en",mquas,no,,,sing,,,,sing,keep_all_structurally_valid_targets
"tay,en",mqzinah,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,跑,"hike, go hiking",,,"hike, go hiking",,keep_all_structurally_valid_targets
"tay,en",mrhuw,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,智者; 長官,"ancestors; chief, leader","chief, leader",ancestors,,,keep_all_structurally_valid_targets
"tay,en",msiaq,no,,,laugh,,,,laugh,keep_all_structurally_valid_targets
"tay,en",mslubay,no,,,swing,,,,swing,keep_all_structurally_valid_targets
"tay,en",msqun,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,婚姻; 結婚,act together,,,act together,,keep_all_structurally_valid_targets
"tay,en",mstoput,no,,,jump a long way,,,,jump a long way,keep_all_structurally_valid_targets
"tay,en",msyam,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,肥胖多肉的,rich,,,rich,,keep_all_structurally_valid_targets
"tay,en",mtbazi,no,,,buying and selling / business / business transactions,,,,buying and selling / business / business transactions,keep_all_structurally_valid_targets
"tay,en",mtswe',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,兄弟姊妹,siblings,,,siblings,,keep_all_structurally_valid_targets
"tay,en",mumarah,no,,,work,,,,work,keep_all_structurally_valid_targets
"tay,en",mumuk yaya yayut qasa,no,,,yayut,,,,yayut,keep_all_structurally_valid_targets
"tay,en",mumuk,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,蓋、遮,cover (a pot),,,cover (a pot),,keep_all_structurally_valid_targets
"tay,en",muzi,no,,,thigh,,,,thigh,keep_all_structurally_valid_targets
"tay,en",mwalukh,no,,,rain,,,,rain,keep_all_structurally_valid_targets
"tay,en",mziau,no,,,work,,,,work,keep_all_structurally_valid_targets
"tay,en",mzibuq,no,,,early,,,,early,keep_all_structurally_valid_targets
"tay,en",mzyuy,no,,,play (game),,,,play (game),keep_all_structurally_valid_targets
"tay,en",n'inu',no,,,everywhere,,,,everywhere,keep_all_structurally_valid_targets
"tay,en",n-gon,no,,,await,,,,await,keep_all_structurally_valid_targets
"tay,en",nagu',no,,,"fiancé, fiancee",,,,"fiancé, fiancee",keep_all_structurally_valid_targets
"tay,en",nana',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,夫之兄,husband's older brother; woman's older sister's husband,husband's older brother,woman's older sister's husband,,,keep_all_structurally_valid_targets
"tay,en",nanak,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,僅僅; 只有; 獨自一人,alone,alone,,,,keep_all_structurally_valid_targets
"tay,en",nasubi,no,,,eggplant,,,,eggplant,keep_all_structurally_valid_targets
"tay,en",nbu',no,,,illness,,,,illness,keep_all_structurally_valid_targets
"tay,en",nbuan,no,,,cup,,,,cup,keep_all_structurally_valid_targets
"tay,en",nbuas,no,,,"stomach, belly",,,,"stomach, belly",keep_all_structurally_valid_targets
"tay,en",nbun,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,喝,flat place,,,flat place,,keep_all_structurally_valid_targets
"tay,en",ngahi',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,地瓜; 甘薯; 甘藷,sweet potato,,,sweet potato,,keep_all_structurally_valid_targets
"tay,en",ngahoq,no,,,pus,,,,pus,keep_all_structurally_valid_targets
"tay,en",ngaqa',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,張開,open one's mouth,,,open one's mouth,,keep_all_structurally_valid_targets
"tay,en",ngarux,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,熊,bear,,,bear,,keep_all_structurally_valid_targets
"tay,en",ngasal,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,家,"house; house, family","house; house, family",,,,keep_all_structurally_valid_targets
"tay,en",ngat,no,,,without,,,,without,keep_all_structurally_valid_targets
