source_row	source_form	form	evidence	raw_form
2458	Sakepakepa n cingra to romi'ad a matiya ito'emanay.	Sakepakepa san cingra to romi'ad a matiya ito'emanay.	source/upstream/k.txt:3326	Sakepakepa san cigra to romi'ad a matiya ito'emanay.
2465	kahkrekerem ko romi'ad.	Makahkrekerem ko romi'ad.	source/upstream/k.txt:3366	Makahkrekerem ko romi'ad.
2475	kakeris ko citosiya.	Makakeris ko citosiya.	source/upstream/k.txt:3414	Makakeris ko citosiya.
2501	kaketon to sowal	makaketon to sowal	source/upstream/k.txt:3530	makaketon to sowal
2533	har kako toya demak.	Mikihar kako toya demak.	k.txt:2011	Mikihar kako toya demak.
2553	sakimoodan a mo'ong	nisakimoodan a mimo'ong	source/upstream/k.txt:2144	nisakimoodan a mimo'og
2583	kakinih to demak	misakakinih to demak	source/upstream/k.txt:2229	misakakinih to demak
2584	kakinih ko piteli	makakinih ko piteli	source/upstream/k.txt:2232	makakinih ko piteli
2657	Sakohenac kono mako a fanges.	Sakohenac sa kono mako a fanges.	source/upstream/k.txt:2771	Sakohenac sa kono mako a fages.
2786	'om ko payso ako.	Mala'om ko payso ako.	l.txt:50	Mala'om ko payso ako.
2800	Lomadiw cangra tahadadaya.	Lomadiw sa cangra tahadadaya.	source/upstream/l.txt:144	Lomadiw sa cagra tahadadaya.
2802	ecaan cingra.	Malaecaan cingra.	source/upstream/l.txt:75	Malaecaan cigra.
2805	facen koya kolong ta ira a makilim nira ko kakaenen.	Palafacen koya kolong ta ira a makilim nira ko kakaenen.	r.txt:81	Palafacen koya kolog ta ira a makilim nira ko kakaenen.
2806	facen.	Palafacen.	r.txt:86	Palafacen.
2811	fang kita.	Palafang kita.	l.txt:171	Palafag kita.
2814	sakalafian ko cidal	pisakalafian ko cidal	source/upstream/l.txt:196	pisakalafian ko cidal
2815	fi kita.	Malafi kita.	l.txt:199	Malafi kita.
2818	Salafii cingra a minokay.	Salafii sa cingra a minokay.	l.txt:223	Salafii sa cigra a minokay.
2821	fin cingra i omah.	Malafin cingra i omah.	source/upstream/l.txt:236	Malafin cigra i omah.
2825	Salaflaf ko faloco' ako a maketer.	Salaflaf sa ko faloco' ako a maketer.	source/upstream/r.txt:143	Salaflaf sa ko faloco' ako a maketer.
2826	flaf ko faloco' nangra a pasayra i ma'otitay a demak.	Malaflaf ko faloco' nangra a pasayra i ma'otitay a demak.	r.txt:146	Malaflaf ko faloco' nagra a pasayra i ma'otitay a demak.
2827	O foay satan.	O palafoay ci satan.	l.txt:259	O palafoay ci satan.
2830	fot ko sela'	malafot ko sela'	l.txt:276	malafot ko sela'
2831	tanolaha'	tanolaha' sa	source/upstream/l.txt:312	tanolaha' sa
2838	hedawen to ko i faloco'ay iso.	Palahedawen to ko i faloco'ay iso.	l.txt:359	Palahedawen to ko i faloco'ay iso.
2839	hedaw to ko roray no faloco' ako.	Malahedaw to ko roray no faloco' ako.	l.txt:362	Malahedaw to ko roray no faloco' ako.
2840	palahedaw to	mapalahedaw to	l.txt:365	mapalahedaw to
2842	hok cangra.	Malahok cangra.	l.txt:386	Malahok cagra.
2848	kelak ko tilid.	Malakelak ko tilid.	l.txt:443	Malakelak ko tilid.
2849	kelak ko harateng.	Malakelak ko harateng.	l.txt:446	Malakelak ko harateg.
2850	kelak to sowal	palakelak to sowal	l.txt:449	palakelak to sowal
2867	lan to faloco'	palalan to faloco'	l.txt:551	palalan to faloco'
2876	lenen ko demak.	Palalenen ko demak.	l.txt:569	Palalenen ko demak.
2877	len ko demak nira.	Malalen ko demak nira.	l.txt:572	Malalen ko demak nira.
2880	les ko po'ot ako.	Malales ko po'ot ako.	l.txt:579	Malales ko po'ot ako.
2900	salaloma' no pikowan no was kita.	Masalaloma' no pikowan no Kawas kita.	l.txt:676	Masalaloma' no pikowan no Kawas kita.
2908	Cilamit ko sowal no was i faloco' ako.	Cilamit ko sowal no Kawas i faloco' ako.	l.txt:712	Cilamit ko sowal no Kawas i faloco' ako.
2909	mlam ko howak ato 'ayam a mapalit.	Malamlam ko howak ato 'ayam a mapalit.	source/upstream/l.txt:728	Malamlam ko howak ato 'ayam a mapalit.
2912	nang kako toya wawa.	Malanang kako toya wawa.	l.txt:774	Malanag kako toya wawa.
2922	nto to ko loma' niyam.	Malanto to ko loma' niyam.	l.txt:791	Malanto to ko loma' niyam.
2926	oc ko loma'.	Malaoc ko loma'.	l.txt:807	Malaoc ko loma'.
2929	pedit ko tilid	malapedit ko tilid	l.txt:843	malapedit ko tilid
2930	pedit ko fokes	malapedit ko fokes	l.txt:846	malapedit ko fokes
2941	ta'ang kako to wawa ako.	Malata'ang kako to wawa ako.	l.txt:905	Malata'ag kako to wawa ako.
2943	salata'ang	salata'ang sa	source/upstream/l.txt:911	salata'ag sa
2955	wa konini.	Malawa konini.	l.txt:965	Malawa konini.
2971	yap to nira	malayap to nira	l.txt:1038	malayap to nira
2994	Tano lekal cangra a tomangic.	Tano lekal sa cangra a tomangic.	l.txt:2197	Tano lekal sa cagra a tomagic.
2998	palemed no was kita.	Mapalemed no Kawas kita.	l.txt:2215	Mapalemed no Kawas kita.
3022	moleso' sato ko nanom i pipacakatan.	Samoleso' sato ko nanom i pipacakatan.	source/upstream/l.txt:2798	Samoleso' sato ko nanom i pipacakatan.
3029	Malali'ay to kita ato was.	Malali'ay to kita ato Kawas.	l.txt:1250	Malali'ay to kita ato Kawas.
3038	O pilicay ngraan ko nga'ay.	O pilicay cingraan ko nga'ay.	l.txt:1293	O pilicay cigraan ko ga'ay.
3040	cinowas kita.	Malacinowas kita.	l.txt:1310	Malacinowas kita.
3041	cinowas ko faloco' nangra.	Malacinowas ko faloco' nangra.	l.txt:1313	Malacinowas ko faloco' nagra.
3055	palidong kami.	Mapalidong kami.	source/upstream/l.txt:1376	Mapalidog kami.
3067	O kalifotan ko tiraay a demak.	O kalifotan ko matiraay a demak.	l.txt:1492	O kalifotan ko matiraay a demak.
3111	kalimelaen.	Kakalimelaen.	source/upstream/l.txt:1805	Kakalimelaen.
3130	Salingses kako.	Salingses sa kako.	source/upstream/l.txt:1555	Saligses sa kako.
3134	tatelekan a lipa no Tapang	katatelekan a lipa no Tapang	source/upstream/l.txt:1867	katatelekan a lipa no Tapag
3135	salipa ko fawahan.	Masalipa ko fawahan.	l.txt:1870	Masalipa ko fawahan.
3136	salipahak	salipahak sa	source/upstream/l.txt:1877	salipahak sa
3139	Misalipaw ko tamdaw wloan.	Misalipaw ko tamdaw ci Pawloan.	l.txt:1900	Misalipaw ko tamdaw ci Pawloan.
3144	ngra ko palipowakay.	Cingra ko palipowakay.	l.txt:1929	Cigra ko palipowakay.
3150	Akato salita'ata'ang a somowal.	Akato pisalita'ata'ang a somowal.	l.txt:1981	Akato pisalita'ata'ag a somowal.
3166	Ihakowa a liyad kiso a wad a mitilid?	Ihakowa a liyad kiso a misawad a mitilid?	r.txt:1192	Ihakowa a liyad kiso a misawad a mitilid?
3169	saliyaliyad	saliyaliyad sa	source/upstream/r.txt:1201	saliyaliyad sa
3179	lyasen koya wawa to waco.	Papilyasen koya wawa to waco.	source/upstream/l.txt:2107	Papilyasen koya wawa to waco.
3255	Tanolosa' cingra a tomangic	Tanolosa' sa cingra a tomangic	source/upstream/l.txt:2602	Tanolosa' sa cigra a tomagic
3273	lomowad.	Kalomowad.	source/upstream/l.txt:2717	Kalomowad.
3299	an saan ko harateng iso?	Maan saan ko harateng iso?	m.txt:15	Maan saan ko harateg iso?
3303	caco'is ko sowal nira.	Macaco'is ko sowal nira.	c.txt:1804	Macaco'is ko sowal nira.
3342	wawa ako konini.	Mala wawa ako konini.	m.txt:169	Mala wawa ako konini.
3343	awaay ko epoc ko demak nira.	Mala awaay ko epoc ko demak nira.	m.txt:172	Mala awaay ko epoc ko demak nira.
3356	mok a ripa'en ko tafok.	Malamok a ripa'en ko tafok.	l.txt:766	Malamok a ripa'en ko tafok.
3385	lomaan konini?	Malomaan konini?	m.txt:234	Malomaan konini?
3386	Onini a dafong ako i, lomaan ho saan kako.	Onini a dafong ako i, malomaan ho saan kako.	m.txt:237	Onini a dafog ako i, malomaan ho saan kako.
3387	lo kakaenen no 'Amis ko cekiw	Malo kakaenen no 'Amis ko cekiw	m.txt:240	Malo kakaenen no 'Amis ko cekiw
3398	samaan konini a demak?	Masamaan konini a demak?	source/upstream/m.txt:31	Masamaan konini a demak?
3408	moko' ko riko nira.	Mamoko' ko riko nira.	m.txt:328	Mamoko' ko riko nira.
3409	moko' ko faloco' nira.	Mamoko' ko faloco' nira.	m.txt:331	Mamoko' ko faloco' nira.
3417	samangah nira kako.	Masamangah nira kako.	m.txt:77	Masamagah nira kako.
3436	O kaomi'ay no ina kako.	O makaomi'ay no ina kako.	source/upstream/m.txt:361	O makaomi'ay no ina kako.
3494	tini ko nga'ayay a demak.	Matini ko nga'ayay a demak.	source/upstream/m.txt:462	Matini ko ga'ayay a demak.
3495	tini koya demak.	Matini koya demak.	m.txt:465	Matini koya demak.
3497	samatini ano roma a mihecaan 'i	Masamatini ano roma a mihecaan 'i	source/upstream/m.txt:471	Masamatini ano roma a mihecaan 'i
3498	tira ko sowal nira.	Matira ko sowal nira.	source/upstream/m.txt:479	Matira ko sowal nira.
3499	tira aca ko sowal nira.	Matira aca ko sowal nira.	source/upstream/m.txt:482	Matira aca ko sowal nira.
3502	Aka samatiyatiya o mafana'ay.	Aka pisamatiyatiya o mafana'ay.	source/upstream/m.txt:495	Aka pisamatiyatiya o mafana'ay.
3503	tiya o wawa ako cingra a haratengen.	Matiya o wawa ako cingra a haratengen.	source/upstream/m.txt:498	Matiya o wawa ako cigra a harategen.
3505	to mafana'ay cingra.	Mato mafana'ay cingra.	m.txt:511	Mato mafana'ay cigra.
3506	to so'elinay kora demak.	Mato so'elinay kora demak.	m.txt:514	Mato so'elinay kora demak.
3507	to sowal nira ko demak.	Mato sowal nira ko demak.	source/upstream/m.txt:517	Mato sowal nira ko demak.
3560	na ko mihecaan iso?	Pina ko mihecaan iso?	source/upstream/m.txt:571	Pina ko mihecaan iso?
3704	Ono tamitanan cangra	Ono mitamitanan cangra	source/upstream/m.txt:684	Ono mitamitanan cagra
3707	taheka^en nira kami.	Pataheka^en nira kami.	source/upstream/t.txt:686	Pataheka^en nira kami.
3708	Icowa ko taheka^an ita?	Icowa ko pitaheka^an ita?	source/upstream/t.txt:689	Icowa ko pitaheka^an ita?
3721	o klamo^tepan	o niklamo^tepan	source/upstream/m.txt:750	o niklamo^tepan
3772	'onen ko rakat iso.	Na'onen ko rakat iso.	n.txt:22	Na'onen ko rakat iso.
3773	na'no to sowal nira.	Pina'no to sowal nira.	source/upstream/n.txt:25	Pina'no to sowal nira.
3794	O pananaman ako a wawa cingra.	O nipananaman ako a wawa cingra.	source/upstream/n.txt:119	O nipananaman ako a wawa cigra.
3800	nay ira kiso a tayni a lama.	Nanay ira kiso a tayni a misalama.	n.txt:160	Nanay ira kiso a tayni a misalama.
3804	tira i Singko kiso a tayni haw?	Nanitira i Singko kiso a tayni haw?	n.txt:167	Nanitira i Sigko kiso a tayni haw?
3808	O nano piti'er Yisan ko sakanga'ay ita a mala wawa no was.	O nano piti'er ci Yisan ko sakanga'ay ita a mala wawa no Kawas.	source/upstream/n.txt:182	O nano piti'er ci Yisan ko sakaga'ay ita a mala wawa no Kawas.
3818	o mafana'ay kako to faloco' nira.	Nao mafana'ay kako to faloco' nira.	source/upstream/n.txt:254	Nao mafana'ay kako to faloco' nira.
3835	Minayatay ko soni no la^.	Minayatay ko soni no la^pa.	n.txt:341	Minayatay ko soni no la^pa.
3849	Sanga'ay ko harateng ako anini.	Sanga'ay sa ko harateng ako anini.	g.txt:23	Saga'ay sa ko harateg ako anini.
3928	pakangodo cingra.	Mapakangodo cingra.	g.txt:414	Mapakagodo cigra.
3940	fana'ko ngoyos nira.	Mafana'ko ngoyos nira.	g.txt:467	Mafana'ko goyos nira.
3943	cingoyos kiso.	kacingoyos kiso.	g.txt:476	kacigoyos kiso.
3957	Ono manima konini?	Ono nimanima konini?	n.txt:472	Ono nimanima konini?
3973	Tayra kita i yaroaro' no 'Amis.	Tayra kita i niyaroaro' no 'Amis.	n.txt:543	Tayra kita i niyaroaro' no 'Amis.
3995	O niocoran no was Yis.	O niocoran no Kawas ci Yis.	o.txt:9	O niocoran no Kawas ci Yis.
3996	Maocor no was Yis.	Maocor no Kawas ci Yis.	o.txt:12	Maocor no Kawas ci Yis.
3997	Ocoren no was Yis.	Ocoren no Kawas ci Yis.	o.txt:15	Ocoren no Kawas ci Yis.
4032	Awaay ko ratoh to yniay to iloma'ay ako. Orasaka maroray kako a miharateng.	Awaay ko ratoh to pakayniay to iloma'ay ako. Orasaka maroray kako a miharateng.	o.txt:222	Awaay ko ratoh to pakayniay to iloma'ay ako. Orasaka maroray kako a miharateg.
4099	cefa ko demak nira.	Pacefa ko demak nira.	p.txt:140	Pacefa ko demak nira.
4113	Aka ci^en ko faloco' ako.	Aka paci^cien ko faloco' ako.	p.txt:148	Aka paci^cien ko faloco' ako.
4114	ci^ cingra a tayra.	Paci^ci sa cingra a tayra.	source/upstream/p.txt:151	Paci^ci sa cigra a tayra.
4144	dengen ko namal.	Padengen ko namal.	source/upstream/p.txt:287	Padegen ko namal.
4151	deteng cingra a mitakaw.	Padeteng sa cingra a mitakaw.	source/upstream/p.txt:347	Padeteg sa cigra a mitakaw.
4152	deteng ko was a miocor Yis Kristoan.	Padeteng sa ko Kawas a miocor ci Yis Kristoan.	source/upstream/p.txt:350	Padeteg sa ko Kawas a miocor ci Yis Kristoan.
4159	Awaay ko ecasan no faloco' ako.	Awaay ko paecasan no faloco' ako.	p.txt:11	Awaay ko paecasan no faloco' ako.
4173	felien kami to riko'.	Pafelien kami to riko'.	p.txt:361	Pafelien kami to riko'.
4174	o feliay	o pafeliay	p.txt:364	o pafeliay
4175	O feli nira konini.	O sapafeli nira konini.	p.txt:367	O sapafeli nira konini.
4224	tiihan ko hofoc.	Pakatiihan ko hofoc.	p.txt:488	Pakatiihan ko hofoc.
4228	yni kita a romakat.	Pakayni kita a romakat.	p.txt:498	Pakayni kita a romakat.
4229	yni i patay nira a mahepol ko raraw.	Pakayni i patay nira a mahepol ko raraw.	p.txt:501	Pakayni i patay nira a mahepol ko raraw.
4230	ynien toya tamdaw ko pasowal.	Pakaynien toya tamdaw ko pipasowal.	source/upstream/p.txt:504	Pakaynien toya tamdaw ko pipasowal.
4231	Awaay ko sowal nira to yniay tonini a demak.	Awaay ko sowal nira to pakayniay tonini a demak.	p.txt:509	Awaay ko sowal nira to pakayniay tonini a demak.
4233	yra kita a romakat.	Pakayra kita a romakat.	p.txt:524	Pakayra kita a romakat.
4234	yra tora demak a masalof cingra.	Pakayra tora demak a masalof cingra.	p.txt:527	Pakayra tora demak a masalof cigra.
4236	yraw kita a romakat.	Pakayraw kita a romakat.	p.txt:533	Pakayraw kita a romakat.
4255	nali ko sowal nira.	Pakinali ko sowal nira.	source/upstream/p.txt:564	Pakinali ko sowal nira.
4289	len cingra.	Palalen cingra.	p.txt:663	Palalen cigra.
4304	Pali'ayaw cingra a pasowal to nika o aira Kristo.	Pali'ayaw cingra a pasowal to nika o aira ci Kristo.	p.txt:693	Pali'ayaw cigra a pasowal to nika o aira ci Kristo.
4310	o palimangta' hananay a lifanges	o palimangta' hananay a milifanges	p.txt:710	o palimagta' hananay a milifages
4318	litaen ho.	Palitaen ho.	p.txt:743	Palitaen ho.
4355	Matalaw cangra to talapangtaan no lonan.	Matalaw cangra to katalapangtaan no lonan.	p.txt:429	Matalaw cagra to katalapagtaan no lonan.
4393	na ko paro no loma' iso?	Papina ko paro no loma' iso?	p.txt:985	Papina ko paro no loma' iso?
4395	roen konini i paliding ako.	Paroen konini i paliding ako.	p.txt:995	Paroen konini i palidig ako.
4406	moen ita ko demak anini.	Pasamoen ita ko demak anini.	p.txt:1054	Pasamoen ita ko demak anini.
4409	yni ko rakat nira.	Pasayni ko rakat nira.	p.txt:1061	Pasayni ko rakat nira.
4410	ynien ko faloco'.	Pasaynien ko faloco'.	p.txt:1064	Pasaynien ko faloco'.
4411	yra a minengneng.	Pasayra a minengneng.	p.txt:1071	Pasayra a minegneg.
4412	yraen ko faloco.	Pasayraen ko faloco.	p.txt:1074	Pasayraen ko faloco.
4423	paseteko i patay koya ciraraway a tamdaw.	Mapaseteko i patay koya ciraraway a tamdaw.	source/upstream/s.txt:2871	Mapaseteko i patay koya ciraraway a tamdaw.
4447	Patado Yis titaanan a milaheci to demak.	Patado ci Yis titaanan a milaheci to demak.	source/upstream/t.txt:320	Patado ci Yis titaanan a milaheci to demak.
4464	O tarod cingra a mimali.	O sapatarod cingra a mimali.	p.txt:1181	O sapatarod cigra a mimali.
4465	O tarod konini a kikay to matastasay	O sapatarod konini a kikay to matastasay	p.txt:1184	O sapatarod konini a kikay to matastasay
4469	tayen koya waco.	Patayen koya waco.	p.txt:1200	Patayen koya waco.
4470	tayen cingra to 'ada ako.	Papipatayen cingra to 'ada ako.	source/upstream/p.txt:1203	Papipatayen cigra to 'ada ako.
4473	patay a misimed to patelac	patay sa a misimed to patelac	source/upstream/p.txt:1216	patay sa a misimed to patelac
4476	Patedo ko sowal nira.	Patedo sa ko sowal nira.	p.txt:1226	Patedo sa ko sowal nira.
4478	O kakeridan no sapatekey a sofitay cingra.	O kakeridan no masapatekey a sofitay cingra.	source/upstream/p.txt:1234	O kakeridan no masapatekey a sofitay cigra.
4496	Mapato' ko mata ako to nano tomangican ako.	Mapato' ko mata ako to nano katomangican ako.	p.txt:1295	Mapato' ko mata ako to nano katomagican ako.
4497	sapato'aya ko tireng Yis.	Mala sapato'aya ko tireng ni Yis.	source/upstream/p.txt:1302	Mala sapato'aya ko tireg ni Yis.
4515	Mapawan kako a pasowal i ngraan.	Mapawan kako a pasowal i cingraan.	p.txt:1372	Mapawan kako a pasowal i cigraan.
4534	ysin aka ka saan a komaen to titi.	Paysin aka ka saan a komaen to titi.	p.txt:1463	Paysin aka ka saan a komaen to titi.
4547	papeci' to fiyaw namo to cecay a siri.	Mapapeci' to fiyaw namo to cecay a siri.	source/upstream/p.txt:1531	Mapapeci' to fiyaw namo to cecay a siri.
4557	papedek ko mata.	Mapapedek ko mata.	source/upstream/p.txt:1603	Mapapedek ko mata.
4565	Alapekapekaw cangra a milaliw.	Alapekapekaw sa cangra a milaliw.	source/upstream/p.txt:2103	Alapekapekaw sa cagra a milaliw.
4602	pi'iw	ci pi'iw	source/upstream/p.txt:1705	ci pi'iw
4626	keden ko wa'ay iso.	Pikeden ko wa'ay iso.	p.txt:1831	Pikeden ko wa'ay iso.
4644	Cima ko li'an ita inacila?	Cima ko nipili'an ita inacila?	p.txt:1911	Cima ko nipili'an ita inacila?
4655	na a foting ko maalaay namo?	Pina a foting ko maalaay namo?	source/upstream/p.txt:1931	Pina a fotig ko maalaay namo?
4657	na ko paro no loma' namo?	Papina ko paro no loma' namo?	source/upstream/p.txt:1937	Papina ko paro no loma' namo?
